CONCEPTICON_ID	CONCEPTICON_GLOSS	SPANISH	SPANISH_AWE_MEAN	SPANISH_RELIEF_MEAN	SPANISH_EXCITEMENT_MEAN	SPANISH_AMUSEMENT_MEAN	SPANISH_PLEASURE_MEAN	SPANISH_CONTENTMENT_MEAN	SPANISH_SERENITY_MEAN	LINE_IN_SOURCE
10	FIREWOOD	leña	1.95000	2.14286	1.95455	2.15000	2.60000	2.10000	3.45000	5160
100	FAITHFUL	fiel	4.15000	4.45000	3.00000	2.90000	3.70000	4.05000	3.50000	3811
1001	BLACKSMITH	herrero	2.31579	1.78947	2.10000	1.66667	1.80000	1.80000	1.65000	4324
1002	STATUE	estatua	2.75000	1.90000	2.09524	2.28000	2.10000	2.05000	2.60000	3463
1003	PERMIT	permitir	1.85000	2.85000	3.00000	2.30435	3.25000	3.10000	2.60870	6544
1004	MUSCLE	músculo	2.60000	2.35000	1.85000	2.30000	2.60000	2.65000	2.10000	5873
1006	BRICK	ladrillo	1.35000	1.60000	1.65000	1.40000	1.45000	1.50000	1.50000	5075
1007	COW	vaca	1.85000	2.15000	1.50000	2.35000	1.90000	2.45000	2.50000	8719
1008	BULL	toro	1.90000	1.30000	1.80000	1.85000	1.65000	1.70000	1.50000	8494
1010	BOUNDARY	límite	2.10000	2.60000	1.75000	1.80000	2.35000	2.35000	2.31818	5221
1011	BRIDGE	puente	2.05000	2.70000	2.30000	2.13636	2.00000	2.70000	2.75000	7102
1012	LATCH	cerrojo	1.35000	2.35000	1.32000	1.52381	1.73684	1.70000	2.52381	1550
1016	DRIZZLE	llovizna	2.15000	2.87500	2.25000	2.10000	2.73684	2.57895	3.70000	5277
1019	RIGHT	derecho	2.68182	2.95000	2.50000	2.14286	2.80000	3.19048	2.70000	2514
1021	TOWEL	toalla	1.50000	2.10000	1.45000	2.15000	2.95000	2.10000	1.90000	8454
1022	BOOTY	botín	2.05000	2.75000	2.65000	2.35000	2.50000	2.85000	1.75000	1140
1029	JEWEL	joya	2.70000	2.35000	2.95000	2.85000	2.95000	3.00000	2.50000	5025
1030	NECESSARY	necesario	2.50000	3.10000	3.30435	2.70000	2.95000	3.35000	2.80952	5938
1035	GOOD	bueno	4.00000	4.00000	3.40000	3.90000	3.85000	4.20000	4.20000	1180
1036	OWNER	dueño	2.40000	2.29167	1.95000	1.75000	1.95000	2.85000	1.95000	2967
1037	ELF	duende	2.55000	2.30000	3.30000	3.61905	3.15000	1.65000	2.90000	2965
1038	TEACHER	profesor	3.45000	2.35000	2.85000	2.15000	2.35000	2.55000	2.65000	6966
1039	SHOW	mostrar	2.75000	2.70000	2.70000	2.65000	2.65000	2.70000	2.15000	5804
1040	HAIR	pelo	2.31818	2.25000	2.35000	2.60000	2.29167	2.16000	2.95000	6459
1042	CARPENTER	carpintero	2.30000	1.40000	1.90000	1.90000	2.00000	2.25000	2.04545	1417
1044	PILLOW	almohada	2.50000	3.55000	2.80000	2.10526	3.90000	3.70000	3.80000	377
1045	POET	poeta	3.70000	3.10000	3.31818	3.38095	3.05000	3.10000	3.35000	6711
1046	SHUT	cerrar	1.76923	2.55000	1.77273	1.35000	2.15000	2.00000	2.27273	1549
1047	PURSUE	perseguir	2.45455	2.25000	2.25000	2.04762	2.30000	2.12000	1.71429	6552
1048	LINE	línea	1.40000	1.65217	2.05000	1.75000	2.30000	2.00000	3.00000	5232
1049	MOLAR TOOTH	muela	1.65000	1.55000	1.40000	1.50000	1.50000	1.75000	1.50000	5835
105	MATTRESS	colchón	1.95000	3.25000	2.60000	2.75000	3.70000	3.05000	3.45000	1742
1050	MOTHER-IN-LAW	suegra	2.90000	2.00000	1.80000	2.59091	2.20000	2.25000	2.15000	8170
1051	CAN	lata	1.70000	1.40000	1.40000	1.85000	1.80000	2.00000	1.50000	5108
1053	HUNTER	cazador	1.50000	1.15000	1.65000	1.35000	1.55000	1.80000	1.45000	1484
1054	SMALLPOX	viruela	1.25000	1.25000	1.20000	1.04545	1.15000	1.30000	1.23810	8917
1055	FATHER-IN-LAW	suegro	2.15000	2.40000	2.00000	2.09091	1.85000	2.00000	2.55000	8171
1056	SON-IN-LAW	yerno	2.30000	1.50000	1.85000	2.00000	2.90000	2.42857	1.95000	8981
1061	ARMOUR	armadura	2.25000	2.10000	2.10000	2.15000	2.20000	1.95000	1.91304	653
1062	LAW	ley	1.75000	2.55000	2.40000	1.45455	2.40000	2.45000	2.05000	5178
1063	NEPHEW	sobrino	2.04762	2.70000	2.68000	2.65000	2.90000	3.05000	2.68182	8039
1064	SHIELD	escudo	2.15000	3.35000	1.95000	2.15000	1.85000	2.41667	1.71429	3354
