CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	ENGLISH_AOA_READING_MEAN	ENGLISH_AOA_WRITING_MEAN	ENGLISH_AOA_READING_UNTRAINED_GPT_SCORE	ENGLISH_AOA_WRITING_UNTRAINED_GPT_SCORE	ENGLISH_AOA_UNTRAINED_GPT_SCORE	ENGLISH_AOA_READING_TRAINED_GPT_SCORE	ENGLISH_AOA_WRITING_TRAINED_GPT_SCORE	ENGLISH_AOA_TRAINED_GPT_SCORE	LINE_IN_SOURCE
10	FIREWOOD	firewood	9.338235294117647	10.272727272727273	8.5	8.5	6.5	7.1	7.4	6.9	4441
100	FAITHFUL	faithful	8.72972972972973	8.701607012417824	9.5	10.5	7.5	8.1	8.5	8	3083
1000	ANXIETY	anxiety	8.14499634769905	9.020818115412709	12.5	12.5	10.5	11.5	12	11	3550
1001	BLACKSMITH	blacksmith	8.722222222222221	9.298392987582176	9.5	10.5	8.5	9	9.2	8.9	3424
1002	STATUE	statue	8.85135135135135	8.884615384615385	7.2	8.5	5.5	7	7.2	6.9	1300
1003	PERMIT	allow	6.244140625	6.793469387755102	7.5	8.5	4.5	6.5	6.7	6	2005
1004	MUSCLE	muscle	8.599480968858131	9.324324324324325	8.5	10.5	6.5	7.5	7.9	7	4610
1005	TWINS	twin	7.7293877551020405	8.944444444444445	6.5	6.5	4.5	6.1	6.2	5.9	3019
1006	BRICK	brick	7.1911764705882355	7.329986149584488	6.5	6.5	5.2	6.1	6.2	5.9	2328
1007	COW	cow	4.869834710743802	5.078512396694215	5.2	5	3.5	5.1	5.2	4.9	587
1008	BULL	bull	5.082639714625446	5.737551020408163	6.5	6.5	4.5	6.4	6.7	6	2367
101	BOAST	boast	8.554054054054054	9.407894736842104	9.5	9.5	7.5	9.1	9.5	9	3968
1010	BOUNDARY	boundary	9.144896193771627	10.014285714285714	10.5	10.5	8.5	10	10.2	9.9	8357
1011	BRIDGE	bridge	7.828571428571428	7.68809349890431	7.2	7.5	5.2	6.1	6.2	6	795
1012	LATCH	latch	8.567567567567568	9.23076923076923	8.5	8.5	5.5	7.5	7.9	7	5528
1013	FRESHWATER EEL	eel	7.516666666666667	7.712121212121212	7.5	7.5	6.5	8.1	8.3	8	3469
1014	OR	or	5.127222222222222	5.570934256055363	5.2	5	3.5	5.1	5.2	4.9	61
1016	DRIZZLE	drizzle	6.493944636678201	7.94140625	8.5	9.5	6.5	8.1	8.5	8	3522
1017	APPEARANCE	appearance	9.31081081081081	9.756756756756756	9.5	10.5	6.5	9	9.2	8.9	3093
1018	MEMORY	memory	6.635030864197531	7.326150474799123	7.5	9.5	5.2	7	7.1	6.5	1797
1019	RIGHT	right	5.419354838709677	5.871428571428571	6.5	7.5	3.5	5.5	6	5	74
1020	HANDKERCHIEF	handkerchief	9.014705882352942	8.776315789473685	9.5	10.5	6.5	8.4	9	8	3899
1021	TOWEL	towel	5.443519619500594	5.966262975778546	5.6	6.5	3.5	5	5	4	1908
1024	CHARACTER	character	7.037629757785467	7.972222222222222	8.5	10.5	6.5	8	8.1	7.9	3662
1025	WHISTLE	whistle	7.277315296566077	8.260665972944848	6.5	8.5	4.5	6.4	6.7	6	1572
1027	BUG	bug	6.248086734693877	6.602941176470588	5.2	5	4.5	4.9	5	4	743
1028	YAWN	yawn	6.1387755102040815	6.551882460973371	5.2	6.5	3.5	5.5	6	4.9	1625
1029	JEWEL	jewel	7.337837837837838	7.189349112426035	8.5	9.5	6.5	7.1	7.4	7	3023
1030	NECESSARY	necessary	7.678240740740741	9.228571428571428	9.5	10.5	8.5	9.1	9.7	9	2484
1032	CITIZEN	citizen	7.277700831024932	7.997922437673131	10.5	10.5	8.5	8.1	8.5	8	6233
1033	GRIND	grind	8.621212121212121	9.5625	8.5	8.5	6.5	8.1	8.3	8	3373
1035	GOOD	good	4.712665406427221	5.057232049947971	5.2	5	3.5	4.1	4.2	3.9	72
1036	OWNER	owner	7.5285714285714285	7.940443213296399	7.5	8.5	5.2	7	7.1	6.9	1373
1037	ELF	elf	7.315695600475625	7.742857142857143	7.5	7.5	6.5	6.1	6.2	5.9	969
1038	TEACHER	teacher	5.09375	5.651515151515151	6.5	7.5	5	5.1	5.2	4.9	336
1039	SHOW	show	6.562885802469136	6.9792243767313025	5.2	6.5	3.5	5.1	5.2	4.9	269
1040	HAIR	hair	6.190476190476191	6.532258064516129	5.2	6.5	2.5	4.4	4.7	3.9	221
1041	INCREASE	increase	7.612903225806452	7.787755102040816	8.5	9.5	6.5	8.1	8.4	8	6178
1042	CARPENTER	carpenter	8.210526315789474	9.18663257852447	8.5	8.5	6.5	8.4	8.7	8	5445
1043	BRAID	braid	7.934210526315789	8.68772826880935	8.5	8.5	5.5	6.5	7	6	1643
1044	PILLOW	pillow	5.061224489795919	5.504325259515571	6.5	7.5	3.5	5.1	5.3	4.9	1323
1045	POET	poet	9.416666666666666	9.287878787878787	9.2	9.5	7.5	8.1	8.4	8	2789
1046	SHUT	close	5.6708984375	6.407439446366782	6.5	7.5	4.5	5.1	5.2	5	391
1047	PURSUE	chase	6.63818359375	7.4346938775510205	6.5	7.5	4.5	5.4	5.7	5	727
1048	LINE	line	5.705882352941177	6.3	5.2	6.5	4.5	5	5	5	580
1049	MOLAR TOOTH	molar	8.675675675675675	9.192307692307692	10.5	10.5	10.5	9.1	9.3	9	8151
105	MATTRESS	mattress	6.14047866805411	6.802857142857143	8.5	9.5	5.5	6.5	6.9	6	3827
1052	LIGHT (WEIGHT)	lightweight	8.831428571428573	9.087950138504155	9.5	10.5	8.5	8.1	8.5	8	6299
