CONCEPTICON_ID	CONCEPTICON_GLOSS	DUTCH	DUTCH_GENDER_MEAN_FEMALE	DUTCH_GENDER_MEAN_MALE	DUTCH_GENDER_MEAN	LINE_IN_SOURCE
1375	WINDOW	raam			2.95	16054
1376	NOW	nu			2.95	13069
1377	VISIT	bezoeken			2.7	2447
1378	SPOON	lepel			2.9	11081
1379	TELEPHONE	telefoon			2.8	19499
1381	SHOE	schoen			3.05	17369
1382	NEEDLE (FOR SEWING)	naald			2.15	12635
1383	GRANDFATHER	opa			4.95	14052
1384	SECOND	tweede			2.95	20287
1385	PEPPER	peper			3.1	15070
1386	LION	leeuw			4.05	11016
1390	WRONG	fout			3.05	6325
1394	BONE	bot			3.35	3070
1395	ROUND	rond			2.75	16790
1396	SHARP	scherp			3	17289
1398	DRY	droog			3.2	5182
1399	CLAY	klei			2.75	9973
1400	THIN (SLIM)	mager			2.75	11637
1401	DRINK	drinken			3.4	5154
1403	BITE	bijten			3.25	2569
1404	STRAIGHT	recht			3.35	16218
1405	NAME	naam			3	12640
1406	FAR	ver			2.95	20969
1407	BREATHE	ademen			3	496
1408	HEAR	horen			2.95	8450
1409	SEE	zien			3	23720
1410	KNOW (SOMETHING)	weten			3.3	23155
1411	LIE (REST)	liegen			3.05	11218
1414	SQUEEZE	uitknijpen			2.9	20478
1415	THINK (REFLECT)	nadenken			2.95	12688
1416	SIT	zitten			3	23775
1417	KILL	vermoorden			3.8	21405
1418	DIG	graven			3.8	7516
1419	FEAR (BE AFRAID)	bang			2.4	1559
1420	COUNT	tellen			3.1	19522
1422	BE ALIVE	levend			3.1	11120
1424	YELLOW	geel			2.9	6635
1425	GREEN	groen			3.2	7565
1426	EXPENSIVE	duur			2.9	5327
1427	BEAUTIFUL	heerlijk			2.65	7937
1429	FULL	vol			3	22150
143	HUMID	klam			2.8	9919
1430	STAR	ster			2.3	18730
1431	FREEZE	bevriezen			2.85	2352
1432	CUT	knippen			2.6	10186
1435	HUNT	jagen			4.3	9309
1439	SWIM	zwemmen			3.05	23992
1441	FLY (MOVE THROUGH AIR)	vliegen			3.05	22025
1442	STAND	staan			3.05	18524
1443	WALK	lopen			3.15	11426
145	SORROWFUL	verdrietig			2.65	21103
1451	SMILE	glimlachen			2.6	7309
1452	PUSH	duwen			3.4	5331
1453	WASH	wassen			2.5	22747
1455	PULL	trekken			3.35	20123
1456	THROW	weggooien			3	22919
1457	SEW	naaien			2.25	12630
1458	SAY	zeggen			2.7	23589
1463	DRUNK	dronken			4.05	5179
1464	LADDER	ladder			3.85	10815
1466	EXACT	stipt			2.85	18844
1467	CIRCLE	cirkel			2.95	3707
1468	LOOK FOR	zoeken			3.05	23784
1469	WEEK	week			2.85	22842
1471	WINTER	winter			3.1	23287
1472	KEY	sleutel			3.1	17866
1474	SEA	zee			2.6	23537
1475	COMB	kam			2.25	9512
1476	CHAIR	stoel			3.1	18852
1481	HAMMER	hamer			3.95	7755
1483	NINE	negen			3.05	12863
1484	OIL (ORGANIC SUBSTANCE)	olie			3.35	13174
1487	POUR	gieten			3	7227
1489	CLOUD	wolk			2.75	23344
1491	MOUSE	muis			2.5	12569
1494	DIE	doodgaan			3.1	4867
1495	HAPPY	gelukkig			2.6	6833
1496	GRANDMOTHER	oma			1.05	13190
1498	TWO	twee			2.7	20286
1500	FOUR	vier			3.05	21876
1501	BORE	boren			4.05	3043
1502	GOAT	geit			2.7	6722
1504	FLY (INSECT)	vlieg			3.3	22023
1506	MEASURE	opmeten			3.5	14253
1507	FRUIT	fruit			2.7	6384
151	RAZOR	scheermes			4.3	17244
1510	CHIN	kin			2.95	9848
1511	ROOSTER	haan			4.55	7667
1514	HEN	kip			1.95	9881
1515	TEN	tien			2.9	19726
1518	STUPID	dom			3.45	4822
1519	RUN	hardlopen			3.2	7841
1522	SOCK	sok			3.35	18149
1524	WINE	wijn			2.4	23204
153	GREY	grijs			3.5	7548
1533	BE HUNGRY	hongeren			3.15	8325
1535	SWORD	zwaard			4.3	23941
1536	UNDERSTAND	begrijpen			2.85	1798
1537	SPRINGTIME	lente			2.4	11079
1539	BASKET	mand			2.45	11696
1543	SNAIL	slak			2.9	17823
1547	SOUP	bouillon			2.6	3093
1548	UGLY	lelijk			3.35	11066
1552	GLOOMY	somber			3.05	18171
1554	MAN	man			5	11691
1558	SIMILAR	vergelijkbaar			3.05	21169
156	RED	rood			2.45	16839
1560	FACE	gezicht			2.6	7196
1564	LAZY	lui			3.7	11507
1566	GUN	pistool			4.1	15261
1567	DOOR	deur			2.9	4517
1569	CHEESE	kaas			2.8	9464
1570	EQUAL	gelijk			3.05	6802
1571	SELL	verkopen			3.15	21299
1572	SURPRISED	verbaasd			2.8	20991
1574	FLOAT	drijven			3.15	5144
1579	BE	bestaand			2.95	2206
1580	ONLY	enig			2.95	5656
1585	SLEEP	slapen			2.95	17835
1586	SMELL (PERCEIVE)	ruiken			2.6	16966
1592	CHEST	borst			1.95	3049
1593	DEEP	diep			2.9	4622
1597	AIRPLANE	vliegtuig			3.5	22035
1601	WEAK	zwak			2.65	23954
1602	WAKE UP	opstaan			3	14351
1607	HATE	haten			2.8	7895
1608	LISTEN	luisteren			2.65	11526
1609	IDEA	idee			2.9	8640
1613	COLOR	kleur			2.4	10014
1616	CLOTH	doek			2.68	4779
1620	SON	zoon			4.75	23873
1622	SHIRT	overhemd			4	14603
1623	SPEAK	praten			2.6	15662
1624	EMPTY	leeg			2.95	10962
1625	DEAD	dood			3.37	4861
1627	CHAIN	ketting			2.2	9775
1628	SQUIRREL	eekhoorn			2.8	5405
1629	EVENING	avond			3.05	1430
163	BLACK	zwart			3.3	23967
1631	FAST	snel			3	18039
1633	FLAT	plat			3.1	15335
1634	HUNDRED	honderd			3.05	8318
1639	BEER	bier			4.05	2492
164	KANGAROO	kangoeroe			3.05	9546
1641	SILK	zijde			2.45	23729
1645	SHORT	kort			2.9	10415
1646	GIRL	meisje			1.03	11967
1650	WATCH	horloge			3.15	8453
1653	BLIND	blind			3.15	2753
1654	LIGHTNING	bliksem			3.3	2746
1659	DOLL	pop			1.8	15551
1663	BED	bed			2.7	1652
1672	WRITE	schrijven			2.8	17491
1673	ARM	arm			3.2	1249
1689	SMOKE (INHALE)	roken			3.5	16756
1702	HOLY	heilig			3.15	7959
1703	SIX	zes			2.95	23657
1704	SEVEN	zeven			3	23681
1705	EIGHT	acht			2.95	376
1706	ELEVEN	elf			2.15	5589
1707	TWELVE	twaalf			3	20283
1708	THIRTEEN	dertien			3.05	4460
1709	FIFTEEN	vijftien			2.85	21901
1710	TWENTY	twintig			2.8	20320
1713	EIGHTEEN	achttien			2.8	450
1714	NINETEEN	negentien			3.05	12865
1715	THIRTY	dertig			3	4462
1716	FORTY	veertig			3.05	20918
1717	FIFTY	vijftig			3.05	21903
1718	SIXTY	zestig			3.05	23666
1720	SIGN	gebaren			2.85	6527
1721	SEVENTY	zeventig			3.2	23686
1722	EIGHTY	tachtig			2.95	19316
1724	NINETY	negentig			2.9	12867
1725	CORRECT (RIGHT)	correct			3.15	4047
1726	WET	nat			2.5	12759
1728	ROTTEN	rot			3.15	16878
1730	CHEEK	wang			2.7	22689
1733	RAINBOW	regenboog			2.5	16353
1735	TEAR (SHRED)	scheuren			3.05	17299
174	PROUD	fier			2.9	6090
1750	CHOOSE	kiezen			2.9	9825
1757	TIRED	moe			2.75	12366
176	BLOW (WITH MOUTH)	blazen			2.95	2715
1771	TASTELESS	smaakloos			3.2	17956
1775	TABLE	bureau			3.3	3433
178	RIPE	rijp			2.85	16651
1784	WANT	willen			2.8	23244
1788	TELEVISION	televisie			2.95	19519
1791	BUTTERFLY	vlinder			2.15	22043
1798	GUNPOWDER	buskruit			3.75	3456
1803	WOOD	hout			3.6	8479
1804	BOMB	bom			4	2974
1807	AFTERNOON	middag			3	12132
1813	TASTY	smakelijk			2.65	17962
1814	ACCUSE	beschuldigen			3.25	2151
1819	LOOK	kijken			2.95	9832
1820	BEAR	beer			3.65	1751
1821	BRUSH	borstel			2.3	3052
1824	DEXTEROUS	handig			3.25	7786
1826	ANGRY	boos			3.45	3029
1829	JUMP	springen			3.05	18473
1831	MEET	ontmoeten			3	13817
1839	CRY	huilen			2	8508
1840	BUILD	metselen			4.05	12112
1843	THOUSAND	duizend			3	5299
1844	BOAT	boot			3.7	3034
1845	BALL	bal			3.45	1518
1847	SICK	misselijk			2.65	12307
1849	ROW	roeien			3.45	16725
185	FIREPLACE	openhaard			3	14117
1850	COTTON	katoen			2.5	9660
1856	SOFT	zacht			2.15	23456
1857	CROCODILE	krokodil			3.35	10579
1861	ACTIVE	actief			3.45	463
1862	DONKEY	ezel			3.5	5944
1864	HUNGER	honger			3.2	8323
1867	COIN	munt			3	12581
1868	VISIBLE	zichtbaar			2.85	23692
1869	BUY	kopen			2.65	10374
1870	ANCHOR	anker			3.5	1125
1879	DANCE	dansen			2.4	4251
1881	ENOUGH	genoeg			2.9	6925
1884	HARD	hard			3.55	7834
1887	CHEAP	goedkoop			3.05	7382
1894	ASHAMED	schamen			2.65	17200
1895	CLOTHES	kleren			2.25	10004
1898	SPECTACLES	bril			3.4	3248
1899	MAD	dol			2.8	4809
1904	DROWN	verdrinken			3	21106
1906	SOUR	zuur			3.1	23925
1908	ATTENTIVE	aandachtig			2.65	34
1917	TIE	vastmaken			3.15	20867
1920	DREAM (SOMETHING)	dromen			2.6	5170
1921	PLOUGH	ploegen			3.7	15394
1923	ROUGH	ruw			3.7	17025
193	SHALLOW	ondiep			3.05	13527
1938	FORTRESS	kasteel			3.45	9647
194	FAMILY	familie			2.65	5984
1942	NEAR	dichtbij			2.9	4561
1943	CROWN (OF HEAD)	kroon			3.55	10591
1948	SAW	zaag			3.35	23450
1954	GENTLE	teder			2.05	19415
1959	RAW	rauw			3.05	16169
1962	ROAST (SOMETHING)	braden			3.2	3170
1971	FAN (OBJECT)	ventilator			3.3	20966
1993	SELF	zelf			3.1	23606
200	SAME	zelfde			3	23614
2000	CLOVE	kruidnagel			2.6	10607
2001	PAINTING	tekenen			2.4	19479
2005	MASK	masker			3.4	11789
2009	DOG	hond			3.6	8307
203	MARRY	trouwen			2.15	20204
2030	DRAG	slepen			3.35	17860
2042	WALNUT	walnoot			3.25	22667
2043	PEACH	perzik			2.4	15140
2058	STOOL	kruk			3.55	10637
2070	COMB (VERB)	kammen			2.2	9528
2077	DILIGENT	ijverig			2.95	8699
209	RARE	zeldzaam			3.05	23605
2090	MY	mijn			3.5	12184
2099	CHILD	kind			2.95	9849
2108	RAINING OR RAIN	regenen			3	16356
2112	OLD (AGED)	bejaard			3.1	1857
2113	OLD (USED)	tweedehands			3.1	20288
2148	PICK	plukken			2.85	15422
2151	COARSE	grof			3.7	7583
2157	FINE OR THIN	ijl			2.84	8667
216	MOVIE	film			2.95	6122
219	TOILET	toilet			2.65	19923
220	INTACT	heel			3	7926
2204	LEDGE	richel			3	16606
221	FIRE	vuur			3.55	22571
2235	CLEAN (SOMETHING)	lappen			3.1	10905
2246	BELL	bel			2.7	1921
2253	DRIP (EMIT LIQUID)	druppelen			2.85	5239
227	FISH	vis			2.7	21948
2277	WHOLE	gans			2.65	6463
228	CARVE	uitsnijden			3.4	20569
230	SWEEP	vegen			2.65	20923
2302	CIRCULAR (ROUND IN TWO DIMENSIONS)	cirkelvormig			2.95	3709
2303	SPHERICAL (ROUND IN THREE DIMENSIONS)	bol			2.8	2962
2308	THIN	dun			2.4	5306
231	SHAVE	scheren			3.75	17283
2316	FREE	vrij			3	22483
2318	CHESTNUT	kastanje			2.9	9645
2329	LACK (NOT HAVE)	barsten			3.25	1611
2334	MELT	smelten			2.8	17983
2340	SUNNY	zonnig			2.3	23864
2344	PETROL	benzine			3.5	2028
2349	SHRIMP	garnaal			3	6478
2366	ONION	ui			2.7	20341
2368	GARLIC	knoflook			2.9	10199
239	FLOWER	bloem			1.85	2815
2396	KNOCK	kloppen			3.35	10091
2398	MANGO	mango			2.5	11704
2409	BROWN	bruin			3.5	3331
2410	GOOD-LOOKING	fraai			2.75	6328
2427	FUTURE	toekomst			3.05	19842
243	FRESH	vers			2.35	21508
244	LEFT	links			2.55	11300
2440	PINEAPPLE	ananas			2.3	1079
2449	FAT (OF MEAT AND FOOD)	vettig			3.4	21853
245	BROOM	bezem			2.05	2412
2451	FOURTEEN	veertien			2.75	20916
2452	PURPLE	paars			2.65	14745
2453	SEVENTEEN	zeventien			3	23684
2454	SIXTEEN	zestien			2.75	23664
2458	PERSPIRE OR SWEAT	zweten			3.65	24019
2470	DEAR	dierbaar			2.6	4632
2483	COLD (OF WEATHER)	koel			3.1	10243
249	FOG	mist			2.9	12315
2500	GINGER	gember			2.5	6849
2504	DIFFERENT	verschillend			3	21523
2506	LOOSE	los			3.15	11429
2507	DISGUSTING	walgelijk			3.15	22662
251	SHARPEN (SOMETHING)	slijpen			3.32	17885
2530	SMART	intelligent			3.3	9120
2531	BROAD	breed			3.35	3216
2540	LIME (MATERIAL)	kalk			3.25	9503
2548	BARREL	ton			3.55	19941
2578	PENCIL	potlood			2.9	15629
2579	TOOTHBRUSH	tandenborstel			2.85	19359
258	CALM	kalm			3.1	9507
2580	HELICOPTER	helikopter			3.7	7994
2590	HARMONICA	harmonica			3.1	7855
2595	CACTUS	cactus			3.05	3476
2597	HARP	harp			2.25	7863
26	UNPLEASANT	onaangenaam			2.95	13299
2606	COMPASS	kompas			3.45	10318
2607	TRIPOD	statief			3.35	18638
2618	CAMERA	camera			2.8	3497
2623	FLAG	vlag			3.35	21990
2625	MAP	kaart			3.3	9457
2627	ORANGE (FRUIT)	sinaasappel			2.5	17741
2630	WHIP	zweep			3.1	23979
2638	FISHING	vissen			3.25	21969
2643	INK	inkt			2.95	8976
2668	SKELETON	skelet			3.55	17765
2717	STEEP	steil			3.15	18685
275	PEEL	schillen			2.55	17347
2755	BUSY	bezet			3	2417
2758	CAREFUL	voorzichtig			2.5	22408
2765	CHERRY	kers			2.2	9751
2766	WATERMELON	watermeloen			2.45	22780
2768	LITCHI	lychee			2.59	11557
2769	PORK	varkensvlees			3.55	20843
2783	SCALES (MEASURE INSTRUMENT)	weegschaal			2.4	22841
2805	BIRTH (ACCOUCHEMENT)	geboren			2.75	6556
2821	JEALOUS	jaloers			2.5	9313
2831	PENGUIN	pinguïn			3.05	15234
2833	RUM	rum			4.15	17001
2843	CAULIFLOWER	bloemkool			2.9	2822
2871	SWING (MOVEMENT)	schommelen			2.6	17393
2875	RING (MAKE SOUND)	aanbellen			2.95	12
2902	BRAWL (FIGHT)	vechten			4.25	20884
2905	KNIT	breien			1.85	3224
292	RUG	tapijt			2.65	19380
2924	A LITTLE	gering			2.85	6992
2940	GATE	hek			3.15	7969
2949	LAIR	den			3.05	4417
2958	LAUGHTER	gelach			2.6	6769
2969	RIBBON	lint			2.6	11308
297	CROOKED	krom			3.3	10581
2991	SKI	skiën			3.25	17768
2997	COLORFUL	kleurig			2.45	10019
2998	DAMP	vochtig			2.75	22088
3	BRAVE	dapper			3.8	4260
3002	PRECIOUS	kostelijk			3.2	10437
3004	FORMER	voormalig			3.1	22302
3005	FAMILIAR	vertrouwd			2.75	21667
3028	GRAVEL	grind			3.25	7557
3032	STARFISH	zeester			2.1	23574
3053	TIGHT	spannend			3.25	18219
3075	SLANTED	schuin			2.9	17535
3083	BALLOON	ballon			2.9	1535
3084	BLACKBOARD	schoolbord			2.65	17402
3085	CARROT	wortel			2.8	23400
3086	COMPUTER	computer			3.95	3872
3087	PACIFIER	speen			2.45	18282
3088	ENVELOPE	envelop			2.8	5684
3089	GIRAFFE	giraf			2.95	7260
3090	GUITAR	gitaar			3.55	7274
3091	LEMON	citroen			2.45	3713
3092	LIGHTER	aansteker			3.55	202
3093	LIPSTICK	lippenstift			1.18	11316
3094	PAINTBRUSH	kwast			3.3	10740
3095	POSTMAN	postbode			4.25	15599
3096	RACKET	tennisracket			3.25	19551
3097	SEWING MACHINE	naaimachine			1.65	12631
3098	SNOWMAN	sneeuwpop			3.05	18035
3099	SOFA	bank			3.45	1565
31	PAN	koekenpan			2.55	10239
3100	SUNGLASSES	zonnebril			2.5	23846
3101	SWING	schommel			2.65	17392
3102	TANK	tank			4.05	19371
3103	TENNIS BALL	tennisbal			3.3	19550
3104	THERMOMETER	thermometer			3.05	19702
3105	UMBRELLA	paraplu			2.4	14877
3106	WARDROBE	kast			3.3	9644
3107	WHISTLE (INSTRUMENT)	fluitje			2.95	6237
3108	BOX (SOMEBODY OR SOMETHING)	boksen			4.25	2959
3110	CLAP	klappen			3.1	9929
3111	CONDUCT	dirigeren			3.85	4695
3112	ERUPT	uitbarsten			3.3	20351
3113	FILE (SOMETHING)	vijlen			2.4	21908
3114	GRATE (SOMETHING)	raspen			2.55	16152
3117	HITCHHIKE	liften			3.05	11226
3118	IRON (CLOTHES)	strijken			1.9	19037
3119	MASSAGE (SOMEBODY)	masseren			2.1	11801
3120	MOP (SOMETHING)	dweilen			2.3	5359
3121	OPERATE (MEDICINE)	opereren			3.55	14140
3122	PAINT (SOMETHING)	verven			3.4	21691
3123	PHOTOGRAPH (SOMETHING)	fotograferen			2.65	6314
3124	PLAY (INSTRUMENT)	spelen			2.95	18295
3125	PLAY (GAME)	golfen			3.84	7400
3126	POST (SOMETHING)	posten			3.05	15603
3127	RAKE (SOMETHING)	harken			3.45	7854
3128	SHOWER (ACTION)	douchen			2.9	5052
3129	SKATE	rolschaatsen			2.4	16771
3130	SPILL (SOMETHING)	morsen			3.3	12516
3131	SUNBATHE	zonnen			1.85	23852
3132	SURF	surfen			3.6	19235
3133	TALK (PHONE)	bellen			2.75	1971
3134	TYPE (ON SOMETHING)	typen			2.85	20330
3135	VACUUM (SOMETHING)	stofzuigen			2.1	18877
3138	STRAWBERRY	aardbei			2.3	294
3181	MUSTARD	mosterd			3.2	12524
319	LICK	likken			2.6	11277
323	FAT (ORGANIC SUBSTANCE)	vet			2.95	21840
3230	DECEIVE	bedriegen			3.3	1699
3231	DEITY	god			4	7342
3235	OPEN (STATE)	open			2.95	14105
3241	CORIANDER	koriander			2.5	10408
3247	KIWIFRUIT	kiwi			2.75	9894
325	FELT	vilt			2.61	21914
3251	MOLD (GET ROTTEN)	schimmel			3.15	17349
3304	PICTURE (PHOTOGRAPH)	foto			2.65	6308
3306	NAIL	slaan			3.6	17776
332	RAG	vod			2.9	22090
3328	ORANGE (COLOR)	oranje			2.65	14469
3356	INCENSE	wierook			2.35	23191
3368	POWDER	poeder			2.4	15440
34	STAIRS	trap			3	20085
340	LASSO	lasso			4	10917
3405	RULER	liniaal			3.05	11289
342	HAY	hooi			3.25	8422
3423	DRILL	boor			3.95	3024
3446	PINK	roze			1.65	16932
3473	LONG (FOR SOMETHING)	verlangen			2.35	21323
3474	BE THIRSTY	dorsten			3.11	5039
3475	SUFFICE	genoegen			2.85	6926
3534	BEG	bedelen			3.05	1667
3544	WAVE (VERB)	zwaaien			2.8	23936
3545	WATERY	waterig			2.75	22765
356	SHEARS	schaar			2.6	17175
3604	LIGHT BLUE	lichtblauw			2.85	11169
3620	SLEEPY	slaperig			2.85	17838
3625	HEADACHE	hoofdpijn			2.65	8361
363	DWELL (LIVE, RESIDE)	wonen			2.95	23365
3634	STUBBORN	koppig			3.15	10390
367	RIDE	paardrijden			2.35	14744
3675	ZEBRA	zebra			2.75	23525
3701	HOLLOW	hol			3.53	8276
3702	SLIPPERY	glad			2.8	7276
3703	STICKY	kleverig			3.05	10033
3707	BEIGE	beige			2.55	1853
3710	CLEAR (TO SEE)	duidelijk			3	5263
3711	TIE (NOUN)	stropdas			4.5	19091
372	POINTED	puntig			3.1	16000
3725	AVOCADO	avocado			2.8	1429
3726	BROCCOLI	broccoli			2.75	3252
3727	CELERY	selderij			2.5	17624
3730	APRICOT	abrikoos			2.5	335
3744	INTERPRETER	tolk			3.35	19931
3748	DROP (OF A LIQUID)	drop			2.8	5201
3751	BRIGHT YELLOW	knalgeel			2.45	10132
3752	LILAC	lila			1.71	11278
3753	MAGENTA	magenta			2.41	11636
3754	TRANSPARENT	doorzichtig			2.7	5022
3755	MOUNTAINOUS	bergachtig			3.15	2069
3756	FLORAL	gebloemd			2.1	6545
3757	MUGGY	benauwd			2.9	2007
3758	WINDY	winderig			3.45	23255
3759	FOGGY	mistig			2.9	12318
376	FRAGRANT	geurig			2	7087
3761	EMOTIONAL	emotioneel			1.9	5628
3762	SAFE	veilig			2.7	20929
377	LOUD	luid			3.15	11509
378	PINCH	knijpen			3	10171
379	BLUNT	stomp			3.3	18905
3803	RASPBERRY	framboos			1.95	6336
3812	COWARDLY	laf			3.45	10824
3815	ALMOND	amandel			2.65	1015
3841	WINDMILL	windmolen			3.25	23261
3857	EGGSHELL	eierschaal			2.75	5513
3858	CONFUSED	verward			3.1	21727
3884	PATIENT	geduldig			2.75	6629
3979	TADPOLE	kikkervisje			2.85	9840
3982	BREEZE	bries			2.55	3241
418	FOR A LONG TIME	lang			3.35	10881
45	EVIL	kwaad			3.45	10705
474	DRESS	jurk			1.3	9431
48	BE SILENT	stil			3.1	18807
487	SHY	schuw			3.05	17559
492	THREE	drie			3.25	5119
493	FIVE	vijf			2.85	21895
496	CUCUMBER	komkommer			2.45	10313
500	CRUEL	wreed			3.5	23417
503	FROG	kikker			3.55	9837
504	LEARN	leren			2.8	11087
505	PARENTS	ouders			3	14534
507	MELON	meloen			2.45	12003
509	CERTAIN	zeker			3.05	23601
522	WOLF	wolf			3.95	23342
537	TURBID	troebel			3.25	20165
539	NEST	nest			2.5	12889
544	SPICY	kruidig			2.4	10606
55	WHISPER	fluisteren			2.6	6234
571	STING	steken			3.2	18694
578	KISS	zoenen			2.3	23794
58	LIQUID	vloeistof			2.9	22054
580	FUR	bont			2.3	3004
584	DIFFICULT	moeilijk			3.2	12383
585	BOOT	laars			2.6	10784
587	ANT	mier			3.35	12166
588	BROKEN	kapot			3.2	9589
589	CLOSED	gesloten			3	7031
590	NAKED	naakt			2.3	12633
592	PISS	plassen			3.2	15328
593	POTATO	aardappel			2.9	291
595	GROUNDNUT (PEANUT)	pinda			3.05	15227
600	STRANGE	eigenaardig			3.05	5519
604	GLASS	glas			2.7	7286
606	GRASS	gras			3.05	7499
