CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	ENGLISH_POS	ENGLISH_SPECIFICITY_SCORE	LINE_IN_SOURCE
10	FIREWOOD	firewood	Noun	0.443	2902
1000	ANXIETY	anxiety	Noun	-0.159	2425
1001	BLACKSMITH	blacksmith	Noun	0.518	2781
1003	PERMIT	permit	Verb	-0.352	6544
1004	MUSCLE	muscle	Noun	0	675
1006	BRICK	brick	Noun	0.611	1853
101	BOAST	boast	Verb	0.148	6133
1011	BRIDGE	bridge	Noun	0.195	829
1016	DRIZZLE	drizzle	Noun	0.216	1350
1018	MEMORY	memory	Noun	-0.257	2169
1020	HANDKERCHIEF	handkerchief	Noun	0.882	2582
1024	CHARACTER	character	Noun	-0.339	4874
1028	YAWN	yawn	Verb	0.577	5994
1029	JEWEL	jewel	Noun	0.16	344
1033	GRIND	grind	Verb	0.095	5662
1034	DEFENDANT	defendant	Noun	0.083	1773
1038	TEACHER	teacher	Noun	0.164	3383
1039	SHOW	show	Verb	-0.53	5479
1041	INCREASE	increase	Verb	-0.206	5634
1044	PILLOW	pillow	Noun	0.651	121
1047	PURSUE	pursue	Verb	-0.156	5572
1048	LINE	line	Noun	-0.22	261
1052	LIGHT (WEIGHT)	lightweight	Noun	-0.189	1260
1054	SMALLPOX	smallpox	Noun	0.593	119
1056	SON-IN-LAW	nephew	Noun	0.667	366
1058	STEPDAUGHTER	stepdaughter	Noun	0.725	2572
1059	STEPSON	stepson	Noun	0.576	2734
1062	LAW	law	Noun	-0.368	896
1066	CRIME	crime	Noun	-0.38	1899
1067	JUDGMENT	judgment	Noun	-0.432	1206
107	OMEN	omen	Noun	-0.218	4308
1070	BUS	bus	Noun	0.463	2959
1072	PRISONER	prisoner	Noun	0.25	1786
1076	EMERGE (APPEAR)	appear	Verb	-0.368	5406
108	RUDDER	rudder	Noun	0.397	3058
1080	VULGAR	vulgar	Adjective	0.12	7182
1082	MERCHANT	merchant	Noun	0.26	1554
1085	FOLLOW	follow	Verb	-0.316	6536
1086	WORK (ACTIVITY)	work	Verb	-0.237	5909
1087	CONCEIVE	conceive	Verb	-0.246	5745
109	FOREIGN	foreign	Adjective	-0.032	8347
1090	BE BORN	born	Verb	-0.017	5974
1091	SALTY	salty	Adjective	0.38	7159
1092	HOPE	hope	Verb	-0.39	5940
1093	MIDDLE	mid	Adjective	-0.339	8324
1094	FASTEN	fasten	Verb	0.138	6138
1095	LET GO OR SET FREE	release	Verb	-0.294	6522
1097	ABANDON	abandon	Verb	0.102	6159
11	DARKNESS	darkness	Noun	-0.333	4607
1101	SUFFER	suffer	Verb	-0.145	6435
1103	SACRIFICE	sacrifice	Noun	-0.328	4797
1105	CAMP	camp	Noun	-0.036	185
1108	UNCOVER	uncover	Verb	-0.071	6358
1109	WOUND	wound	Noun	-0.016	3818
1111	CAR	car	Noun	0.455	2934
1112	SUCCEED	succeed	Verb	-0.27	5651
1115	SPEECH	speech	Noun	-0.274	1470
1127	SEND	send	Verb	0.016	5619
1128	ORDER	order	Noun	-0.516	5165
1129	PAINFUL	painful	Adjective	-0.263	6631
113	SHORE	beach	Noun	0.29	3342
1134	DIVORCE	divorce	Noun	0.351	1362
1137	TENDON	tendon	Noun	0.389	1823
1139	LEOPARD	leopard	Noun	0.821	2583
1140	FATIGUE	fatigue	Noun	-0.11	270
1141	PITY	pity	Noun	-0.159	2423
1144	WITNESS	witness	Noun	-0.192	1492
1146	AUBERGINE	eggplant	Noun	0.776	2594
1147	PURE	pure	Adjective	-0.207	8051
1149	ORPHAN	orphan	Noun	0.446	243
1150	THUNDER	thunder	Noun	0.373	1162
1156	OPEN	open	Verb	-0.344	5776
1160	THIEF	thief	Noun	0.169	3336
1161	THREAD	thread	Noun	-0.161	74
1162	INTENTION	intention	Noun	-0.557	2118
1163	BRIBE (AMOUNT)	bribe	Verb	0.279	6081
1165	MOUSTACHE	moustache	Noun	0.662	2657
117	IMITATE	imitate	Verb	0.246	6101
1171	MIRROR	mirror	Noun	0.5	2916
1177	DIARRHEA	diarrhea	Noun	0.719	2673
1178	NOSTRIL	nostril	Noun	0.707	1190
1182	NOISE	noise	Noun	-0.597	5201
1184	DIMINISH	diminish	Verb	-0.101	5395
1185	VULTURE	vulture	Noun	0.292	3139
1188	CHARCOAL	charcoal	Noun	0.676	2676
1189	ULCER	ulcer	Noun	0.39	842
119	DIVE	dive	Verb	0.279	5759
1190	HARE	jackrabbit	Noun	0.592	2099
1192	THREATEN	threaten	Verb	0.159	5658
1194	BEAVER	beaver	Noun	0.717	2622
1198	MANY	numerous	Adjective	-0.218	7762
1199	WIFE	wife	Noun	0.567	2719
12	MIDDAY	noon	Noun	0.333	3128
1200	HUSBAND	husband	Noun	0.593	2710
1201	FEATHER	feather	Noun	0.661	2682
1202	BIG	big	Adjective	-0.357	6712
1210	HEAVY	heavy	Adjective	-0.291	7771
1216	MOTHER	mother	Noun	0.477	2966
1217	FATHER	father	Noun	0.366	2070
1218	ROPE	string	Noun	0.127	558
1221	NOSE	nose	Noun	0.559	2801
1223	HEART	heart	Noun	0.176	1354
1226	YEAR	year	Noun	0.154	3571
1227	BOARD	board	Noun	-0.257	2202
1229	OLD	overgrown	Adjective	0.088	7930
123	FOREHEAD	forehead	Noun	0.456	2900
1233	NIGHT	night	Noun	0.035	146
1246	SMALL	small	Adjective	-0.239	6897
1248	EYE	eye	Noun	0.568	1385
125	SWEAT (SUBSTANCE)	perspiration	Noun	0.167	3482
1251	BELLY	stomach	Noun	0.395	986
1252	HOUSE	house	Noun	0.111	339
1254	HANDLE	handle	Verb	-0.565	6598
1258	FINGERNAIL	fingernail	Noun	0.672	2631
1260	DAY (24 HOURS)	day	Noun	0.034	3617
1263	SISTER	sister	Noun	0.42	2543
1265	HIGH	tall	Adjective	-0.121	8040
1267	NARROW	narrow	Adjective	-0.179	8466
127	EXTINGUISH	extinguish	Verb	0.262	5782
1271	DELIGHT	delight	Noun	-0.194	4374
