CONCEPTICON_ID	CONCEPTICON_GLOSS	ITALIAN	ITALIAN_FREQUENCY	ITALIAN_CD	ITALIAN_POS	LINE_IN_SOURCE
1007	COW	mucca	1155	603	NOM	5394
1025	WHISTLE	fischiare	128	104	VER	25262
1069	GLUE	incollare	35	34	VER	54750
1070	BUS	autobus	4028	2021	NOM	1976
1088	SINK (DESCEND)	affondare	366	317	VER	12548
1098	WEIGH	pesare	203	185	VER	18848
1100	COOK (SOMETHING)	cucinare	1812	1280	VER	3776
1102	CLIMB	arrampicarsi	143	121	VER	23609
1111	CAR	macchina	33792	10451	NOM	336
112	TURTLE	tartaruga	716	384	NOM	7744
1133	MATCH	fiammifero	330	261	NOM	13542
1135	KICK	calciare	104	79	VER	28846
1136	RABBIT	coniglio	1569	793	NOM	4244
1156	OPEN	aprire	5950	4214	VER	1420
119	DIVE	tuffarsi	87	84	VER	32074
1201	FEATHER	piuma	328	225	NOM	13599
1206	BARKING	abbaiare	227	179	VER	17487
1208	CAT	gatto	4110	2027	NOM	1937
121	SPIN	girare	3837	2740	VER	2068
1220	TAIL	coda	2234	1482	NOM	3233
1221	NOSE	naso	5593	3681	NOM	1509
1223	HEART	cuore	23767	9683	NOM	466
1247	EAR	orecchio	2093	1445	NOM	3401
1248	EYE	occhio	11176	6657	NOM	844
1252	HOUSE	casa	129959	17841	NOM	112
1255	SNOWING	nevicare	87	73	VER	32012
1261	SING	cantare	3459	1919	VER	2251
1273	CANDLE	candela	906	588	NOM	6508
1280	FALL	cadere	4123	3129	VER	1934
1288	CAP	berretto	469	288	NOM	10526
1290	ELEPHANT	elefante	861	507	NOM	6737
1297	LEG	gamba	6493	3637	NOM	1341
1298	NEWSPAPER	giornale	4096	2368	NOM	1948
1302	FORK	forchetta	394	322	NOM	11925
1313	MOON	luna	6539	2881	NOM	1333
1320	APPLE	mela	1206	828	NOM	5224
1321	BOTTLE	bottiglia	4283	2772	NOM	1866
1323	CLOCK	orologio	4034	2120	NOM	1974
1324	SLIP	scivolare	492	422	VER	10172
1336	EAT	mangiare	16714	8414	VER	612
1343	SUN	sole	9987	5640	NOM	927
1350	MONKEY	scimmia	1961	905	NOM	3553
1352	KNIFE	coltello	4712	2329	NOM	1716
