CONCEPTICON_ID	CONCEPTICON_GLOSS	DUTCH	DUTCH_FREQUENCY	DUTCH_CD	DUTCH_SUBTITLE_FREQUENCY	DUTCH_FREQUENCY_LOG	DUTCH_SUBTITLE_CD	DUTCH_CD_LOG	LINE_IN_SOURCE
1240	NOT	niet	8e+05	8e+03	18323.9788	5.9038	99.9504	3.9067	7
1241	SOME	sommige	4e+03	3e+03	93.7355	3.6128	33.5192	3.4323	837
1242	FEW	enkele	5e+03	3e+03	114.591	3.7	34.3247	3.4426	698
1243	WIDE	wijd	3e+02	3e+02	7.4092	2.5119	3.259	2.4216	5893
1244	THICK	dik	2e+03	1e+03	42.6029	3.2704	16.1462	3.1153	1559
1246	SMALL	klein	9e+03	4e+03	195.6577	3.9323	53.5068	3.6354	483
1247	EAR	oor	1e+03	8e+02	25.0175	3.0394	9.5415	2.8871	2356
1248	EYE	oog	3e+03	2e+03	68.3979	3.476	22.5403	3.2601	1062
1252	HOUSE	huis	4e+04	7e+03	818.8995	4.554	85.9851	3.8414	154
1253	RAIN (RAINING)	regen	1e+03	8e+02	26.481	3.0641	9.6035	2.8899	2258
1255	SNOWING	sneeuwen	8e+01	7e+01	1.8066	1.9031	0.8302	1.8325	15898
1261	SING	zingen	3e+03	1e+03	65.5165	3.4573	16.2949	3.1193	1092
1262	BROTHER	broer	1e+04	3e+03	245.6241	4.0311	38.7113	3.4949	405
1263	SISTER	zus	6e+03	2e+03	131.0331	3.7582	27.6456	3.3487	633
1265	HIGH	hoog	3e+03	2e+03	63.2297	3.4419	24.2627	3.292	1126
1267	NARROW	smal	9e+01	9e+01	2.081	1.9638	1.0657	1.9395	14500
1268	YES	ja	1e+05	8e+03	3427.898	5.1758	98.6245	3.9009	50
1269	NO	nee	1e+05	8e+03	3084.8338	5.13	98.7732	3.9016	54
127	EXTINGUISH	blussen	1e+02	9e+01	2.5155	2.0453	1.1648	1.9777	12790
1270	WHY	waarom	9e+04	8e+03	2141.7159	4.9715	98.8971	3.9021	77
1272	AUNT	tante	3e+03	1e+03	62.3379	3.4357	12.8625	3.0166	1136
1273	CANDLE	kaars	3e+02	2e+02	5.8771	2.4116	2.0818	2.2279	7048
1274	SALT	zout	7e+02	4e+02	15.5044	2.8319	5.5514	2.6522	3412
1275	ANSWER	antwoorden	2e+03	1e+03	41.3223	3.2572	16.1462	3.1153	1595
1277	HAND	hand	9e+03	4e+03	199.9112	3.9417	53.0607	3.6317	472
1279	FAT (OBESE)	vet	8e+02	6e+02	18.523	2.909	7.2367	2.7672	2966
1280	FALL	vallen	8e+03	4e+03	180.9766	3.8985	52.2429	3.625	508
1285	IMPORTANT	belangrijk	7e+03	4e+03	170.0	3.8713	50.3098	3.6086	540
1286	HOT	heet	1e+04	6e+03	338.5135	4.1704	68.29	3.7413	311
1287	COLD	koud	4e+03	3e+03	95.9537	3.6229	31.6729	3.4077	817
1288	CAP	muts	2e+02	1e+02	4.4592	2.2923	1.7224	2.1461	8566
1290	ELEPHANT	olifant	5e+02	3e+02	12.0056	2.721	3.2094	2.415	4137
1292	BAD	slecht	1e+04	5e+03	267.806	4.0686	65.3532	3.7222	380
1294	ZERO	nul	8e+02	5e+02	17.6083	2.8871	6.6667	2.7316	3083
1297	LEG	been	2e+03	1e+03	53.6252	3.3703	17.1499	3.1414	1274
1298	NEWSPAPER	krant	3e+03	1e+03	58.1988	3.4059	17.72	3.1556	1202
1302	FORK	vork	2e+02	2e+02	5.191	2.3579	2.3296	2.2765	7680
1307	LANGUAGE	taal	2e+03	1e+03	36.2914	3.2009	13.8166	3.0477	1748
1309	ASK (INQUIRE)	vragen	2e+04	6e+03	440.6644	4.2849	80.062	3.8104	259
1311	VERY	zeer	7e+03	3e+03	149.8533	3.8165	39.1078	3.4993	586
1313	MOON	maan	2e+03	1e+03	42.0998	3.2653	11.9455	2.9845	1568
1320	APPLE	appel	4e+02	3e+02	10.1991	2.6503	3.9777	2.5079	4666
1321	BOTTLE	fles	2e+03	1e+03	45.7129	3.301	15.8612	3.1075	1472
1323	CLOCK	klok	1e+03	7e+02	23.897	3.0195	8.1784	2.8202	2442
1324	SLIP	glijbaan	2e+01	2e+01	0.5031	1.3617	0.2354	1.301	36073
1327	UNCLE	oom	5e+03	2e+03	108.7826	3.6774	18.9095	3.1838	731
1335	WHITE	wit	1e+03	1e+03	33.4786	3.1658	13.0112	3.0216	1862
1336	EAT	eten	2e+04	6e+03	445.924	4.2901	72.9616	3.77	258
1339	MORNING	ochtend	2e+03	1e+03	39.5386	3.238	16.6047	3.1274	1645
1342	SUMMER	zomer	2e+03	1e+03	42.9002	3.2735	12.8625	3.0166	1549
1343	SUN	zon	3e+03	2e+03	68.6723	3.4777	22.28	3.255	1058
1350	MONKEY	aap	1e+03	6e+02	28.562	3.0969	7.1871	2.7642	2104
1352	KNIFE	mes	2e+03	1e+03	46.2389	3.306	14.5973	3.0715	1463
1355	LAUGH	lachen	4e+03	2e+03	88.8875	3.5897	30.1239	3.386	880
1356	NUMBER	getal	3e+02	2e+02	6.9061	2.4814	2.4287	2.2945	6210
1357	DAUGHTER	dochter	1e+04	3e+03	219.3032	3.9819	38.7732	3.4955	441
136	HERE	hier	2e+05	8e+03	4516.6158	5.2956	99.7274	3.9057	31
1360	DUCK	eend	4e+02	2e+02	8.9871	2.5955	2.404	2.29	5144
1370	MONTH	maand	4e+03	3e+03	93.644	3.6124	32.1685	3.4145	838
1376	NOW	nu	1e+05	8e+03	3089.4531	5.1307	99.653	3.9054	53
1377	VISIT	bezoeken	1e+03	9e+02	26.2523	3.0603	10.9789	2.9479	2269
1378	SPOON	lepel	2e+02	2e+02	5.0081	2.3424	2.0818	2.2279	7912
1379	TELEPHONE	telefoon	7e+03	3e+03	156.9195	3.8365	39.6159	3.5049	570
138	BATHE	badderen	1e+01	1e+01	0.2515	1.0792	0.1239	1.0414	55083
1381	SHOE	schoen	6e+02	4e+02	13.4463	2.7701	4.4857	2.5599	3803
1382	NEEDLE (FOR SEWING)	naald	4e+02	3e+02	8.5069	2.5717	3.6307	2.4683	5345
1383	GRANDFATHER	opa	3e+03	9e+02	57.3298	3.3993	11.2392	2.9581	1211
1384	SECOND	tweede	6e+03	3e+03	129.8211	3.7542	40.6196	3.5157	638
1386	LION	leeuw	6e+02	3e+02	14.7041	2.8089	3.7299	2.48	3567
1390	WRONG	fout	7e+03	4e+03	165.2663	3.859	47.4845	3.5835	553
1394	BONE	bot	6e+02	5e+02	14.5211	2.8035	6.2949	2.7067	3595
1395	ROUND	rond	8e+03	4e+03	172.6526	3.878	53.482	3.6352	531
1396	SHARP	scherp	9e+02	7e+02	20.8327	2.96	9.1202	2.8675	2714
1398	DRY	droog	9e+02	7e+02	19.6435	2.9345	8.7856	2.8513	2840
1400	THIN (SLIM)	mager	4e+02	3e+02	8.6441	2.5786	3.9405	2.5038	5284
1401	DRINK	drinken	8e+03	4e+03	193.6682	3.9279	49.8017	3.6042	489
1403	BITE	bijten	7e+02	6e+02	15.9618	2.8445	7.0756	2.7574	3345
1404	STRAIGHT	recht	7e+03	4e+03	159.3664	3.8432	46.6914	3.5762	563
1405	NAME	naam	2e+04	6e+03	470.5985	4.3134	76.1834	3.7888	245
1406	FAR	ver	6e+03	4e+03	131.4904	3.7597	44.0273	3.5507	632
1407	BREATHE	ademen	1e+03	8e+02	24.2628	3.0261	9.653	2.8921	2414
1408	HEAR	horen	2e+04	6e+03	352.28	4.1877	76.2454	3.7892	303
1409	SEE	zien	7e+04	8e+03	1538.8038	4.828	98.5502	3.9006	93
1410	KNOW (SOMETHING)	weten	4e+04	8e+03	977.2597	4.6308	95.0682	3.885	138
1411	LIE (REST)	liegen	3e+03	2e+03	60.3255	3.4214	22.4535	3.2584	1167
1414	SQUEEZE	uitknijpen	2e+01	2e+01	0.343	1.2041	0.1859	1.2041	44468
1415	THINK (REFLECT)	nadenken	2e+03	2e+03	49.7377	3.3377	20.7311	3.2238	1371
1416	SIT	zitten	3e+04	7e+03	743.6412	4.5122	90.2974	3.8626	167
1417	KILL	vermoorden	9e+03	4e+03	194.8574	3.9305	45.4895	3.5649	484
1418	DIG	graven	1e+03	7e+02	26.138	3.0584	8.5378	2.8388	2274
1419	FEAR (BE AFRAID)	bang	2e+04	6e+03	477.2073	4.3195	79.4672	3.8071	239
1420	COUNT	tellen	1e+03	9e+02	27.35	3.0781	11.4994	2.968	2198
1422	BE ALIVE	levend	2e+03	2e+03	55.6147	3.3861	21.6233	3.242	1246
1424	YELLOW	geel	4e+02	3e+02	9.5588	2.6222	3.8042	2.4886	4889
1425	GREEN	groen	1e+03	8e+02	28.0589	3.0892	10.347	2.9222	2145
1426	EXPENSIVE	duur	2e+03	1e+03	34.5305	3.1793	15.0558	3.0849	1812
1427	BEAUTIFUL	mooi	3e+04	7e+03	616.0612	4.4304	82.6766	3.8243	195
1429	FULL	vol	9e+03	5e+03	207.206	3.9572	58.4758	3.6739	458
143	HUMID	klam	3e+01	2e+01	0.6174	1.4472	0.285	1.3802	31787
1430	STAR	ster	2e+03	1e+03	43.7692	3.2822	12.8005	3.0145	1531
1431	FREEZE	bevriezen	2e+02	2e+02	4.2534	2.2718	1.8711	2.1818	8904
1432	CUT	knippen	4e+02	3e+02	9.0786	2.5999	3.9033	2.4997	5100
1435	HUNT	jagen	1e+03	1e+03	32.724	3.1559	13.0235	3.022	1899
1439	SWIM	zwemmen	2e+03	1e+03	39.47	3.2373	12.3048	2.9974	1648
1441	FLY (MOVE THROUGH AIR)	vliegen	4e+03	2e+03	89.6879	3.5936	24.1636	3.2903	872
1442	STAND	staan	2e+04	6e+03	421.7527	4.2659	79.7274	3.8085	272
1443	WALK	lopen	1e+04	5e+03	221.5671	3.9863	58.2528	3.6723	437
1451	SMILE	glimlachen	3e+02	2e+02	5.7627	2.4031	2.5898	2.3222	7174
1452	PUSH	duwen	1e+03	7e+02	22.3648	2.9908	9.1574	2.8692	2573
1453	WASH	wassen	1e+03	1e+03	27.9674	3.0878	11.834	2.9805	2153
1455	PULL	trekken	4e+03	2e+03	82.05	3.555	30.7311	3.3946	933
1456	THROW	weggooien	3e+02	3e+02	7.6607	2.5263	3.7918	2.4871	5744
1457	SEW	naaien	8e+02	6e+02	18.0199	2.8971	7.0508	2.7559	3034
1458	SAY	zeggen	5e+04	8e+03	1085.905	4.6766	95.1425	3.8853	121
1459	IF	als	3e+05	8e+03	6343.3493	5.4431	99.8265	3.9062	26
1463	DRUNK	dronken	3e+03	2e+03	76.7675	3.5261	23.5068	3.2783	984
1464	LADDER	ladder	4e+02	3e+02	9.6731	2.6274	3.3829	2.4378	4855
1466	EXACT	stipt	1e+02	1e+02	2.95	2.1139	1.3879	2.0531	11404
1468	LOOK FOR	zoeken	1e+04	5e+03	273.2257	4.0773	67.4597	3.736	373
1469	WEEK	week	1e+04	5e+03	235.608	4.013	56.4064	3.6583	419
1471	WINTER	winter	1e+03	6e+02	22.3648	2.9908	7.658	2.7917	2571
1472	KEY	sleutel	4e+03	2e+03	80.7008	3.5478	21.9579	3.2487	941
1474	SEA	zee	3e+03	1e+03	67.8033	3.4722	17.0384	3.1386	1068
1475	COMB	kam	2e+02	2e+02	5.2825	2.3655	1.8711	2.1818	7599
1476	CHAIR	stoel	2e+03	1e+03	51.2012	3.3502	18.1165	3.1652	1334
1483	NINE	negen	3e+03	2e+03	64.2817	3.449	22.3172	3.2558	1110
1485	BELOW OR UNDER	lager	6e+02	5e+02	13.5607	2.7738	5.9603	2.683	3768
1487	POUR	gieten	8e+01	8e+01	1.9438	1.9345	0.9665	1.8976	15171
1489	CLOUD	wolk	2e+02	2e+02	5.4426	2.3784	2.2553	2.2625	7431
1491	MOUSE	muis	5e+02	3e+02	11.1367	2.6884	3.1722	2.4099	4378
1493	ONE	een	8e+05	8e+03	17972.179	5.8954	99.9876	3.9069	8
1494	DIE	doodgaan	9e+02	8e+02	21.4272	2.9722	9.5415	2.8871	2666
1495	HAPPY	graag	3e+04	7e+03	583.726	4.407	85.4647	3.8387	203
1496	GRANDMOTHER	oma	3e+03	1e+03	72.8571	3.5034	14.1636	3.0584	1020
1498	TWO	twee	4e+04	8e+03	1007.5139	4.644	93.2838	3.8767	134
1500	FOUR	vier	1e+04	5e+03	242.0796	4.0248	57.4349	3.6661	411
1501	BORE	boren	2e+02	1e+02	5.374	2.3729	1.6605	2.1303	7522
1502	GOAT	geit	4e+02	2e+02	8.0724	2.549	2.7757	2.3522	5553
1504	FLY (INSECT)	vlieg	1e+03	9e+02	29.0651	3.1045	10.8674	2.9435	2070
1506	MEASURE	opmeten	3e+01	3e+01	0.7318	1.5185	0.3594	1.4771	28571
1507	FRUIT	fruit	6e+02	4e+02	12.9432	2.7536	5.1921	2.6232	3908
1514	HEN	kip	2e+03	9e+02	37.8921	3.2196	11.1648	2.9552	1695
1515	TEN	tien	9e+03	4e+03	207.0002	3.9568	51.3259	3.6173	461
1518	STUPID	stom	5e+03	3e+03	103.9117	3.6575	34.3494	3.4429	762
1519	RUN	hardlopen	1e+02	7e+01	2.5155	2.0453	0.8302	1.8325	12768
1522	SOCK	sok	1e+02	1e+02	3.11	2.1367	1.1896	1.9868	11007
153	GREY	grauw	2e+01	2e+01	0.5031	1.3617	0.2726	1.3617	36066
1533	BE HUNGRY	hongeren	2e+01	2e+01	0.5717	1.415	0.2726	1.3617	33315
1536	UNDERSTAND	begrijpen	5e+03	3e+03	111.6868	3.6889	38.2528	3.4897	716
1537	SPRINGTIME	lente	7e+02	4e+02	16.3048	2.8537	5.5019	2.6484	3286
1539	BASKET	mand	2e+02	1e+02	4.2992	2.2765	1.71	2.143	8828
1543	SNAIL	slak	1e+02	8e+01	2.3783	2.0212	0.9418	1.8865	13258
1548	UGLY	lelijk	1e+03	9e+02	29.2252	3.1069	11.3259	2.9614	2063
1552	GLOOMY	somber	3e+02	3e+02	6.8832	2.48	3.2962	2.4265	6215
1554	MAN	man	6e+04	8e+03	1403.8146	4.7881	93.3457	3.877	101
1558	SIMILAR	vergelijkbaar	6e+01	6e+01	1.4635	1.8129	0.7807	1.8062	18323
156	RED	ros	1e+02	5e+01	2.2868	2.0043	0.6072	1.699	13623
1564	LAZY	lui	2e+03	1e+03	47.6796	3.3193	16.741	3.131	1425
1566	GUN	pistool	4e+03	2e+03	102.6311	3.6521	21.1772	3.233	775
1567	DOOR	deur	1e+04	5e+03	247.4764	4.0343	57.2243	3.6645	401
1569	CHEESE	kaas	1e+03	7e+02	22.845	3.0	8.1289	2.8176	2533
1570	EQUAL	gelijk	1e+04	6e+03	329.9152	4.1592	73.1351	3.7711	320
1571	SELL	verkopen	4e+03	2e+03	90.5569	3.5978	27.7943	3.351	863
1572	SURPRISED	verrast	9e+02	8e+02	21.473	2.9731	9.8017	2.8987	2660
1574	FLOAT	drijven	6e+02	4e+02	12.6917	2.7451	5.4771	2.6464	3966
1579	BE	bestaand	2e+01	2e+01	0.526	1.3802	0.2726	1.3617	35318
1580	ONLY	enig	2e+03	2e+03	51.7501	3.3549	21.6605	3.2428	1322
1585	SLEEP	slapen	9e+03	4e+03	209.2184	3.9614	51.8587	3.6218	455
1586	SMELL (PERCEIVE)	ruiken	1e+03	9e+02	25.612	3.0496	11.2144	2.9571	2306
1593	DEEP	diep	3e+03	2e+03	68.3979	3.476	26.3073	3.3272	1063
1597	AIRPLANE	vliegtuig	4e+03	2e+03	89.9166	3.5947	19.3309	3.1934	870
1601	WEAK	zwak	2e+03	1e+03	35.3995	3.1901	14.7831	3.077	1779
1602	WAKE UP	opstaan	2e+03	1e+03	41.6424	3.2605	16.1958	3.1166	1586
1607	HATE	haten	1e+03	9e+02	26.1151	3.058	10.8055	2.941	2275
1608	LISTEN	luisteren	4e+03	3e+03	99.4068	3.6383	36.3321	3.4673	796
1609	IDEA	idee	2e+04	7e+03	482.9929	4.3247	82.0322	3.8209	237
1613	COLOR	kleur	2e+03	1e+03	39.6758	3.2395	15.3036	3.092	1639
1620	SON	zoon	2e+04	4e+03	348.1866	4.1826	48.9467	3.5967	306
1622	SHIRT	overhemd	3e+02	2e+02	6.746	2.4713	2.8377	2.3617	6308
1623	SPEAK	praten	3e+04	7e+03	642.2678	4.4485	85.4647	3.8387	191
1624	EMPTY	leeg	3e+03	2e+03	61.7433	3.4315	24.6097	3.2982	1147
1625	DEAD	dood	4e+04	7e+03	992.1467	4.6374	88.6493	3.8546	136
1627	CHAIN	ketting	8e+02	5e+02	19.1404	2.9232	6.0967	2.6928	2892
1628	SQUIRREL	eekhoorn	3e+02	1e+02	6.06	2.4249	1.7472	2.1523	6884
1629	EVENING	avond	8e+03	4e+03	180.6107	3.8976	45.2416	3.5625	509
163	BLACK	zwart	3e+03	2e+03	57.307	3.3992	19.6778	3.2011	1212
1631	FAST	snel	2e+04	7e+03	463.6009	4.3069	80.6568	3.8136	251
1633	FLAT	plat	8e+02	7e+02	18.9804	2.9196	8.3643	2.8299	2912
1634	HUNDRED	honderd	2e+03	1e+03	47.954	3.3218	18.2776	3.1691	1414
164	KANGAROO	kangoeroe	7e+01	3e+01	1.555	1.8388	0.3965	1.5185	17653
1645	SHORT	kort	2e+03	2e+03	47.5195	3.3179	20.7807	3.2248	1429
1646	GIRL	meisje	2e+04	5e+03	382.74	4.2237	62.0446	3.6997	287
1650	WATCH	horloge	1e+03	7e+02	28.1733	3.091	8.8724	2.8555	2132
1653	BLIND	blind	2e+03	1e+03	35.6053	3.1926	12.4287	3.0017	1772
1654	LIGHTNING	bliksem	5e+02	3e+02	10.6336	2.6684	4.052	2.5159	4540
1657	TRUE	waar	1e+05	8e+03	3198.6702	5.1457	99.7026	3.9056	52
1659	DOLL	pop	1e+03	5e+02	23.897	3.0195	5.7621	2.6684	2439
1663	BED	bed	1e+04	4e+03	239.93	4.0209	53.3953	3.6345	413
1672	WRITE	schrijven	4e+03	2e+03	96.6169	3.6259	26.6295	3.3324	813
1674	POOR	arm	3e+03	2e+03	79.2601	3.54	26.9269	3.3373	956
1689	SMOKE (INHALE)	roken	2e+03	1e+03	43.8835	3.2833	15.3779	3.0941	1527
1702	HOLY	heilig	5e+02	4e+02	12.2115	2.7284	5.2045	2.6243	4089
1703	SIX	zes	9e+03	4e+03	199.8426	3.9415	51.5737	3.6194	473
1704	SEVEN	zeven	5e+03	3e+03	103.523	3.6559	31.5489	3.406	765
1705	EIGHT	acht	5e+03	3e+03	111.0694	3.6865	33.891	3.4371	721
1706	ELEVEN	elf	1e+03	8e+02	27.8302	3.0856	10.1363	2.9133	2169
1707	TWELVE	twaalf	2e+03	1e+03	46.4904	3.3084	17.2986	3.1452	1456
1708	THIRTEEN	dertien	6e+02	4e+02	13.1948	2.7619	4.9814	2.6053	3847
1709	FIFTEEN	vijftien	1e+03	9e+02	28.9965	3.1035	11.3631	2.9628	2074
1710	TWENTY	twintig	2e+03	2e+03	56.438	3.3925	19.7274	3.2022	1232
1713	EIGHTEEN	achttien	5e+02	4e+02	10.725	2.6721	4.4238	2.5539	4517
1714	NINETEEN	negentien	2e+02	2e+02	5.3968	2.3747	2.3668	2.2833	7489
1715	THIRTY	dertig	1e+03	1e+03	32.4495	3.1523	12.2677	2.9961	1910
1716	FORTY	veertig	8e+02	6e+02	17.7912	2.8915	6.9888	2.752	3059
1717	FIFTY	vijftig	1e+03	8e+02	26.8698	3.0704	9.8265	2.8998	2234
1718	SIXTY	zestig	4e+02	3e+02	9.0328	2.5977	4.1016	2.5211	5117
1720	SIGN	gebaren	9e+01	8e+01	2.1267	1.9731	0.9418	1.8865	14357
1721	SEVENTY	zeventig	2e+02	1e+02	3.5903	2.1987	1.7348	2.1492	10009
1722	EIGHTY	tachtig	2e+02	2e+02	5.3511	2.3711	2.119	2.2355	7526
1724	NINETY	negentig	1e+02	1e+02	3.293	2.1614	1.5366	2.0969	10607
1725	CORRECT (RIGHT)	juist	1e+04	5e+03	236.7742	4.0152	56.3569	3.6579	418
1726	WET	nat	1e+03	9e+02	30.5744	3.1265	11.2144	2.9571	1987
1728	ROTTEN	rot	4e+03	2e+03	87.1496	3.5812	26.518	3.3306	890
1733	RAINBOW	regenboog	2e+02	1e+02	4.505	2.2967	1.3507	2.0414	8516
1734	TWENTY ONE	eenentwintig	7e+01	6e+01	1.555	1.8388	0.7311	1.7782	17677
1735	TEAR (SHRED)	scheuren	3e+02	3e+02	6.6088	2.4624	3.2218	2.4166	6415
174	PROUD	trots	5e+03	3e+03	111.4581	3.688	35.9108	3.4622	718
1750	CHOOSE	kiezen	3e+03	2e+03	59.6166	3.4163	22.974	3.2683	1179
1757	TIRED	moe	4e+03	2e+03	89.9394	3.5948	30.5204	3.3916	869
176	BLOW (WITH MOUTH)	blazen	8e+02	6e+02	17.654	2.8882	7.6828	2.7931	3079
1771	TASTELESS	smaakloos	4e+00	4e+00	0.0915	0.699	0.0496	0.699	88106
1775	TABLE	bureau	3e+03	2e+03	66.9343	3.4666	21.2144	3.2338	1077
178	RIPE	rijp	4e+02	3e+02	8.0952	2.5502	3.7918	2.4871	5527
1784	WANT	willen	3e+04	7e+03	754.2748	4.5183	91.8216	3.8699	165
1788	TELEVISION	televisie	1e+03	6e+02	22.5706	2.9948	7.5589	2.786	2555
1791	BUTTERFLY	vlinder	3e+02	2e+02	6.1286	2.4298	1.8959	2.1875	6808
1807	AFTERNOON	middag	1e+03	8e+02	22.6392	2.9961	9.6406	2.8915	2550
1813	TASTY	smakelijk	4e+02	3e+02	9.0557	2.5988	4.2999	2.5416	5109
1814	ACCUSE	beschuldigen	4e+02	4e+02	9.4673	2.618	4.4981	2.5611	4934
1819	LOOK	kijken	2e+04	7e+03	495.2272	4.3356	83.5192	3.8287	234
1820	BEAR	beer	1e+03	4e+02	25.452	3.0469	5.0062	2.6075	2321
1821	BRUSH	borstel	9e+01	8e+01	2.1038	1.9685	0.9418	1.8865	14467
1824	DEXTEROUS	handig	6e+02	5e+02	13.8122	2.7818	6.7782	2.7388	3721
1826	ANGRY	boos	5e+03	3e+03	105.7869	3.6653	32.404	3.4176	745
1829	JUMP	springen	2e+03	1e+03	46.8563	3.3118	16.5428	3.1258	1442
1831	MEET	ontmoeten	6e+03	3e+03	127.9688	3.748	37.5836	3.482	648
1839	CRY	huilen	2e+03	2e+03	54.5171	3.3775	19.1822	3.1901	1256
1840	BUILD	metselen	9e+00	9e+00	0.2058	1.0	0.1115	1.0	60079
1843	THOUSAND	duizend	2e+03	1e+03	40.3618	3.247	14.3371	3.0637	1615
1845	BALL	bal	4e+03	1e+03	80.6322	3.5474	16.3569	3.1209	942
