CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	ENGLISH_AOA_READING_UNTRAINED_GPT_SCORE	ENGLISH_AOA_WRITING_UNTRAINED_GPT_SCORE	ENGLISH_AOA_UNTRAINED_GPT_SCORE	ENGLISH_AOA_READING_TRAINED_GPT_SCORE	ENGLISH_AOA_WRITING_TRAINED_GPT_SCORE	ENGLISH_AOA_TRAINED_GPT_SCORE	LINE_IN_SOURCE
10	FIREWOOD	firewood	8.5	9.5	7.5	7.11	7.37	6.89	7970
100	FAITHFUL	faithful	9.5	10.5	7.5	8.11	8.5	8	7617
1000	ANXIETY	anxiety	11.5	12.5	10.5	11.5	12	11	827
1001	BLACKSMITH	blacksmith	9.5	10.5	8.5	9	9.22	8.89	1963
1002	STATUE	statue	8.5	8.5	5.5	7	7.22	6.89	20581
1003	PERMIT	allow	7.5	8.5	4.5	6.5	6.7	6	551
1004	MUSCLE	muscle	9.5	10.5	6.5	7.5	7.89	7	13815
1005	TWINS	twins	6.5	6.5	4.5	6.37	6.68	5.95	22661
1006	BRICK	brick	6.5	7.5	5.2	6.11	6.22	5.89	2446
1007	COW	cow	4.5	5	3.5	5.11	5.22	4.89	4610
1008	BULL	bull	6.5	6.5	4.5	6.37	6.68	5.95	2596
101	BOAST	boast	9.5	9.5	7.5	9.11	9.5	9	2146
1010	BOUNDARY	boundary	10.5	11.5	8.5	10	10.22	9.89	2304
1011	BRIDGE	bridge	7.5	8.5	5.2	6.11	6.22	6	2454
1012	LATCH	latch	8.5	8.5	5.5	7.5	7.89	7	12025
1013	FRESHWATER EEL	eel	8.5	7.5	6.5	8.11	8.33	8	6640
1014	OR	or	5.2	5	3.5	5.11	5.22	4.89	14707
1016	DRIZZLE	drizzle	8.5	9.5	6.5	8.11	8.47	8	6410
1017	APPEARANCE	appearance	9.5	10.5	7.5	9	9.22	8.89	870
1018	MEMORY	memory	8.5	9.5	5.5	6.95	7.11	6.53	13084
1019	RIGHT	right	6.5	7.5	3.5	5.5	6	5	18176
1020	HANDKERCHIEF	handkerchief	9.5	10.5	6.5	8.37	9	7.95	9553
1021	TOWEL	towel	6.5	6.5	3.5	5	5	4	22227
1024	CHARACTER	character	9.5	10.5	6.5	8	8.11	7.89	3152
1025	WHISTLE	whistle	7.5	8.5	4.5	6.37	6.68	5.95	24629
1027	BUG	bug	5.5	5.5	4.5	4.89	5	4	2581
1028	YAWN	yawn	6.5	6.5	3.5	5.5	6	4.89	25000
1029	JEWEL	jewel	8.5	9.5	6.5	7.11	7.37	6.95	11659
1030	NECESSARY	necessary	9.5	10.5	7.5	9.11	9.68	8.95	13974
1032	CITIZEN	citizen	10.5	10.5	8.5	8.11	8.5	8	3429
1033	GRIND	grind	9.5	8.5	6.5	8.11	8.33	8	9287
1034	DEFENDANT	defendant	12.5	12.5	12.5	11.5	11.89	11	5267
1035	GOOD	good	4.5	5.5	3.5	4.11	4.22	3.89	9086
