CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	ENGLISH_AOA_READING_TRAINED_GPT_SCORE	ENGLISH_AOA_WRITING_TRAINED_GPT_SCORE	ENGLISH_AOA_TRAINED_GPT_SCORE	ENGLISH_AOA_MEAN	LINE_IN_SOURCE
1	CONTEMPTIBLE	contemptible	12.5	13	12	13.33	5129
10	FIREWOOD	firewood	7.11	7.37	6.89	6.61	9219
100	FAITHFUL	faithful	8.11	8.5	8	8.42	8839
1000	ANXIETY	anxiety	11.5	12	11	8.17	1059
1001	BLACKSMITH	blacksmith	9	9.22	8.89	9.84	2458
1002	STATUE	statue	7	7.22	6.89	7.55	23355
1003	PERMIT	allow	6.5	6.7	6	5.32	674
1004	MUSCLE	muscle	7.5	7.89	7	8.45	15874
1005	TWINS	twin	6.11	6.22	5.89	6.06	25617
1006	BRICK	brick	6.11	6.22	5.89	6.43	2981
1007	COW	cow	5.11	5.22	4.89	3.94	5511
1008	BULL	bull	6.37	6.68	5.95	4.53	3155
1009	CHESTNUT TREE	buckeye	10.47	10.95	10	12.47	3111
101	BOAST	boast	9.11	9.5	9	8.22	2633
1010	BOUNDARY	boundary	10	10.22	9.89	8.35	2825
1011	BRIDGE	bridge	6.11	6.22	6	5.58	2991
1012	LATCH	latch	7.5	7.89	7	8	13761
1013	FRESHWATER EEL	eel	8.11	8.33	8	6.47	7765
1014	OR	or	5.11	5.22	4.89	4.1436020000000005	16868
1016	DRIZZLE	drizzle	8.11	8.47	8	7.56	7497
1017	APPEARANCE	appearance	9	9.22	8.89	8.83	1116
1018	MEMORY	memory	6.95	7.11	6.53	6.4	15032
1019	RIGHT	right	5.5	6	5	4.346085	20882
1020	HANDKERCHIEF	handkerchief	8.37	9	7.95	7.22	11011
1021	TOWEL	towel	5	5	4	3.22	25152
1024	CHARACTER	character	8	8.11	7.89	6.47	3918
1025	WHISTLE	whistle	6.37	6.68	5.95	5.42	27554
1027	BUG	bug	4.89	5	4	3.79	3135
1028	YAWN	yawn	5.5	6	4.89	5.3	27951
1029	JEWEL	jewel	7.11	7.37	6.95	6.22	13297
1030	NECESSARY	necessary	9.11	9.68	8.95	7.55	16064
1032	CITIZEN	citizen	8.11	8.5	8	7.74	4229
1033	GRIND	grind	8.11	8.33	8	8.37	10698
1034	DEFENDANT	defendant	11.5	11.89	11	11.42	6235
1035	GOOD	good	4.11	4.22	3.89	3.55	10487
1036	OWNER	owner	7	7.11	6.89	7.5	17252
1037	ELF	elf	6.11	6.22	5.89	4.32	7889
1038	TEACHER	teacher	5.11	5.22	4.89	4.55	24468
1039	SHOW	show	5.11	5.22	4.89	6.21	22143
1040	HAIR	hair	4.37	4.67	3.89	3.17	10926
1041	INCREASE	increase	8.11	8.37	8	7.42	12400
1042	CARPENTER	carpenter	8.37	8.68	8	7.393987000000001	3609
1043	BRAID	braid	6.5	7	6	7.22	2879
1044	PILLOW	pillow	5.11	5.33	4.89	3.47	18149
1045	POET	poet	8.11	8.37	8	8.61	18418
1046	SHUT	close	5.11	5.22	5	4.5	4381
1047	PURSUE	pursue	10.47	10.95	10	10	19464
1048	LINE	line	5	5	5	4.85	14108
1049	MOLAR TOOTH	molar	9.11	9.33	9	8.12	15536
105	MATTRESS	mattress	6.47	6.89	5.95	5.1	14881
1052	LIGHT (WEIGHT)	lightweight	8.11	8.5	8	7.95	14072
1053	HUNTER	hunter	6.11	6.22	6	6.53077	11831
1054	SMALLPOX	smallpox	10.47	10.95	10	10.71	22581
1058	STEPDAUGHTER	stepdaughter	8	8.22	7.89	8.61	23414
1059	STEPSON	stepson	8.11	8.37	7.89	7.94	23424
1061	ARMOUR	armor	7.5	7.89	7	7.17	1266
1062	LAW	law	7.11	7.22	6.95	8.33	13802
1063	NEPHEW	nephew	7.37	7.68	6.95	6.37	16124
1064	SHIELD	shield	7.11	7.37	7	6.5	22036
1065	SPIDER WEB	web	6.11	6.22	6	5.37	27409
1066	CRIME	crime	7.11	7.37	7	7.67	5659
1067	JUDGMENT	judgment	9.47	10	9	8.939252	13370
1068	COURT	court	8	8.11	7.89	8.39	5481
1069	GLUE	glue	5.5	5.5	5	4.67	10393
107	OMEN	omen	11.47	11.95	11	12.05	16763
1070	BUS	bus	5.11	5.22	4.89	3.85	3245
1071	HOOK	hook	6.11	6.22	5.89	6.26	11617
1072	PRISONER	prisoner	8.11	8.37	7.89	8	18999
1074	FISHHOOK	fishhook	7.5	7.89	7	6.84	9238
1075	TRAP (PITFALL)	trap	6.11	6.33	5.95	6.44	25313
1076	EMERGE (APPEAR)	appear	7.89	8.11	7.53	6.67	1115
1077	WHEAT	wheat	7.11	7.37	6.95	6.53	27493
1078	MAIN	main	7	7.11	6.89	6.55	14564
1079	FEEL	feel	5.37	5.68	4.89	5.11	9006
108	RUDDER	rudder	10.47	10.95	10	10.39	21099
1080	VULGAR	vulgar	11	11.47	10.47	11.57	27190
1081	BILL	bill	7	7.11	6.89	6.424200000000001	2320
1082	MERCHANT	merchant	10	10.22	9.89	9.8	15065
1084	CALL	call	5.11	5.22	4.89	4.74	3383
1085	FOLLOW	follow	6	6.11	5.53	5.11	9513
1086	WORK (ACTIVITY)	activity	7.11	7.37	6.95	6.47	249
1087	CONCEIVE	conceive	11.47	11.95	11	10.39	4841
1088	SINK (DESCEND)	sink	5.11	5.22	4.89	4.47	22339
109	FOREIGN	foreign	10	10.37	9.89	8.74	9598
1090	BE BORN	born	5.11	5.33	4.89	4.68	2787
1091	SALTY	salty	6.11	6.22	5.89	5.33	21263
1092	HOPE	hope	6.11	6.22	5.95	4.89	11633
1093	MIDDLE	middle	6.11	6.33	5.95	4.6977660000000006	15202
1094	FASTEN	fasten	7.11	7.5	7	7.26	8925
1095	LET GO OR SET FREE	release	8.11	8.5	8	8.53	20327
1096	SONG	song	4.89	5	4	4.26	22834
1097	ABANDON	abandon	9.11	9.47	9	8.32	5
1098	WEIGH	weigh	7.5	8	7	6.62	27442
11	DARKNESS	darkness	6.11	6.37	5.95	4.83	6019
110	MOTOR	motor	7.11	7.5	7	7.42	15732
1100	COOK (SOMETHING)	cook	5.5	6	5	4.22	5240
1101	SUFFER	suffer	8.11	8.47	7.89	8.89	23876
1102	CLIMB	climb	5.37	5.68	4.89	5.3	4346
1103	SACRIFICE	sacrifice	9.47	9.95	9	9.61	21180
1104	NURSE	nurse	5.5	6	5	5.84	16541
1105	CAMP	camp	6.11	6.22	5.89	5.78	3414
1107	GO OUT	out	4	4	4	3.280385	16981
1108	UNCOVER	uncover	7.11	7.33	7	7.17	25892
1109	WOUND	wound	7	7.11	6.53	7.52	27876
1110	SHARK	shark	6.11	6.33	5.95	5.47	21983
