CONCEPTICON_ID	CONCEPTICON_GLOSS	PICTURE_CODE	ENGLISH	ENGLISH_RESPONSE_NUMBER	ENGLISH_SHANNON_DIVERSITY	ENGLISH_MODAL_RESPONSE_PERCENTAGE	ENGLISH_DUNNO_PERCENTAGE	ENGLISH_IDIOSYNCRATIC_RESPONSE_PERCENTAGE	ENGLISH_FAMILIARITY	CZECH	CZECH_RESPONSE_NUMBER	CZECH_SHANNON_DIVERSITY	CZECH_MODAL_RESPONSE_PERCENTAGE	CZECH_DUNNO_PERCENTAGE	CZECH_IDIOSYNCRATIC_RESPONSE_PERCENTAGE	CZECH_FAMILIARITY	FINNISH	FINNISH_RESPONSE_NUMBER	FINNISH_SHANNON_DIVERSITY	FINNISH_MODAL_RESPONSE_PERCENTAGE	FINNISH_DUNNO_PERCENTAGE	FINNISH_IDIOSYNCRATIC_RESPONSE_PERCENTAGE	FINNISH_FAMILIARITY	ITALIAN	ITALIAN_RESPONSE_NUMBER	ITALIAN_SHANNON_DIVERSITY	ITALIAN_MODAL_RESPONSE_PERCENTAGE	ITALIAN_DUNNO_PERCENTAGE	ITALIAN_IDIOSYNCRATIC_RESPONSE_PERCENTAGE	ITALIAN_FAMILIARITY	KOREAN	KOREAN_RESPONSE_NUMBER	KOREAN_SHANNON_DIVERSITY	KOREAN_MODAL_RESPONSE_PERCENTAGE	KOREAN_DUNNO_PERCENTAGE	KOREAN_IDIOSYNCRATIC_RESPONSE_PERCENTAGE	KOREAN_FAMILIARITY	GERMAN	GERMAN_RESPONSE_NUMBER	GERMAN_SHANNON_DIVERSITY	GERMAN_MODAL_RESPONSE_PERCENTAGE	GERMAN_DUNNO_PERCENTAGE	GERMAN_IDIOSYNCRATIC_RESPONSE_PERCENTAGE	GERMAN_FAMILIARITY	CATALAN	CATALAN_RESPONSE_NUMBER	CATALAN_SHANNON_DIVERSITY	CATALAN_MODAL_RESPONSE_PERCENTAGE	CATALAN_DUNNO_PERCENTAGE	CATALAN_IDIOSYNCRATIC_RESPONSE_PERCENTAGE	CATALAN_FAMILIARITY	DUTCH	DUTCH_RESPONSE_NUMBER	DUTCH_SHANNON_DIVERSITY	DUTCH_MODAL_RESPONSE_PERCENTAGE	DUTCH_DUNNO_PERCENTAGE	DUTCH_IDIOSYNCRATIC_RESPONSE_PERCENTAGE	DUTCH_FAMILIARITY	MANDARIN	MANDARIN_RESPONSE_NUMBER	MANDARIN_SHANNON_DIVERSITY	MANDARIN_MODAL_RESPONSE_PERCENTAGE	MANDARIN_DUNNO_PERCENTAGE	MANDARIN_IDIOSYNCRATIC_RESPONSE_PERCENTAGE	MANDARIN_FAMILIARITY	CGREEK	CGREEK_RESPONSE_NUMBER	CGREEK_SHANNON_DIVERSITY	CGREEK_MODAL_RESPONSE_PERCENTAGE	CGREEK_DUNNO_PERCENTAGE	CGREEK_IDIOSYNCRATIC_RESPONSE_PERCENTAGE	CGREEK_FAMILIARITY	FRENCH	FRENCH_RESPONSE_NUMBER	FRENCH_SHANNON_DIVERSITY	FRENCH_MODAL_RESPONSE_PERCENTAGE	FRENCH_DUNNO_PERCENTAGE	FRENCH_IDIOSYNCRATIC_RESPONSE_PERCENTAGE	FRENCH_FAMILIARITY	GREEK	GREEK_RESPONSE_NUMBER	GREEK_SHANNON_DIVERSITY	GREEK_MODAL_RESPONSE_PERCENTAGE	GREEK_DUNNO_PERCENTAGE	GREEK_IDIOSYNCRATIC_RESPONSE_PERCENTAGE	GREEK_FAMILIARITY	HEBREW	HEBREW_RESPONSE_NUMBER	HEBREW_SHANNON_DIVERSITY	HEBREW_MODAL_RESPONSE_PERCENTAGE	HEBREW_DUNNO_PERCENTAGE	HEBREW_IDIOSYNCRATIC_RESPONSE_PERCENTAGE	HEBREW_FAMILIARITY	HUNGARIAN	HUNGARIAN_RESPONSE_NUMBER	HUNGARIAN_SHANNON_DIVERSITY	HUNGARIAN_MODAL_RESPONSE_PERCENTAGE	HUNGARIAN_DUNNO_PERCENTAGE	HUNGARIAN_IDIOSYNCRATIC_RESPONSE_PERCENTAGE	HUNGARIAN_FAMILIARITY	ARABIC	ARABIC_RESPONSE_NUMBER	ARABIC_SHANNON_DIVERSITY	ARABIC_MODAL_RESPONSE_PERCENTAGE	ARABIC_DUNNO_PERCENTAGE	ARABIC_IDIOSYNCRATIC_RESPONSE_PERCENTAGE	ARABIC_FAMILIARITY	MALAYSIAN	MALAYSIAN_RESPONSE_NUMBER	MALAYSIAN_SHANNON_DIVERSITY	MALAYSIAN_MODAL_RESPONSE_PERCENTAGE	MALAYSIAN_DUNNO_PERCENTAGE	MALAYSIAN_IDIOSYNCRATIC_RESPONSE_PERCENTAGE	MALAYSIAN_FAMILIARITY	NORWEGIAN	NORWEGIAN_RESPONSE_NUMBER	NORWEGIAN_SHANNON_DIVERSITY	NORWEGIAN_MODAL_RESPONSE_PERCENTAGE	NORWEGIAN_DUNNO_PERCENTAGE	NORWEGIAN_IDIOSYNCRATIC_RESPONSE_PERCENTAGE	NORWEGIAN_FAMILIARITY	POLISH	POLISH_RESPONSE_NUMBER	POLISH_SHANNON_DIVERSITY	POLISH_MODAL_RESPONSE_PERCENTAGE	POLISH_DUNNO_PERCENTAGE	POLISH_IDIOSYNCRATIC_RESPONSE_PERCENTAGE	POLISH_FAMILIARITY	PORTUGUESE	PORTUGUESE_RESPONSE_NUMBER	PORTUGUESE_SHANNON_DIVERSITY	PORTUGUESE_MODAL_RESPONSE_PERCENTAGE	PORTUGUESE_DUNNO_PERCENTAGE	PORTUGUESE_IDIOSYNCRATIC_RESPONSE_PERCENTAGE	PORTUGUESE_FAMILIARITY	RUSSIAN	RUSSIAN_RESPONSE_NUMBER	RUSSIAN_SHANNON_DIVERSITY	RUSSIAN_MODAL_RESPONSE_PERCENTAGE	RUSSIAN_DUNNO_PERCENTAGE	RUSSIAN_IDIOSYNCRATIC_RESPONSE_PERCENTAGE	RUSSIAN_FAMILIARITY	SERBIAN	SERBIAN_RESPONSE_NUMBER	SERBIAN_SHANNON_DIVERSITY	SERBIAN_MODAL_RESPONSE_PERCENTAGE	SERBIAN_DUNNO_PERCENTAGE	SERBIAN_IDIOSYNCRATIC_RESPONSE_PERCENTAGE	SERBIAN_FAMILIARITY	SLOVAK	SLOVAK_RESPONSE_NUMBER	SLOVAK_SHANNON_DIVERSITY	SLOVAK_MODAL_RESPONSE_PERCENTAGE	SLOVAK_DUNNO_PERCENTAGE	SLOVAK_IDIOSYNCRATIC_RESPONSE_PERCENTAGE	SLOVAK_FAMILIARITY	SPANISH	SPANISH_RESPONSE_NUMBER	SPANISH_SHANNON_DIVERSITY	SPANISH_MODAL_RESPONSE_PERCENTAGE	SPANISH_DUNNO_PERCENTAGE	SPANISH_IDIOSYNCRATIC_RESPONSE_PERCENTAGE	SPANISH_FAMILIARITY	TURKISH	TURKISH_RESPONSE_NUMBER	TURKISH_SHANNON_DIVERSITY	TURKISH_MODAL_RESPONSE_PERCENTAGE	TURKISH_DUNNO_PERCENTAGE	TURKISH_IDIOSYNCRATIC_RESPONSE_PERCENTAGE	TURKISH_FAMILIARITY	WELSH	WELSH_RESPONSE_NUMBER	WELSH_SHANNON_DIVERSITY	WELSH_MODAL_RESPONSE_PERCENTAGE	WELSH_DUNNO_PERCENTAGE	WELSH_IDIOSYNCRATIC_RESPONSE_PERCENTAGE	WELSH_FAMILIARITY	BASQUE	BASQUE_RESPONSE_NUMBER	BASQUE_SHANNON_DIVERSITY	BASQUE_MODAL_RESPONSE_PERCENTAGE	BASQUE_DUNNO_PERCENTAGE	BASQUE_IDIOSYNCRATIC_RESPONSE_PERCENTAGE	BASQUE_FAMILIARITY	FLEMISH	FLEMISH_RESPONSE_NUMBER	FLEMISH_SHANNON_DIVERSITY	FLEMISH_MODAL_RESPONSE_PERCENTAGE	FLEMISH_DUNNO_PERCENTAGE	FLEMISH_IDIOSYNCRATIC_RESPONSE_PERCENTAGE	FLEMISH_FAMILIARITY
1491	MOUSE	1	mouse	100	0.587930373	85.85858586	0	1		myš	83	0.167026804	97.5308642	0	2.409638554	85.31325301	hiiri	84	0.226410948	96.34146341	0	2.380952381	84.29761905	topo	100	0.342978951	94.84536082	2	1		쥐	78	0.69444607	81.33333333	1.282051282	2.564102564	65.12	maus	100	0	100	0	3		ratolí	98	0.44	90.81632653	0	0	74.9								老鼠	80	0.581011233	90.90909091	0	3.75	76.6625	ποντίκι	80	0.232927855	96.20253165	0	1.25	78.7654321	souris	100	0.195909271	96.96969697	0	1		ποντίκι	80	0.401825855	93.67088608	0	1.25	80	עכבר	80	0.168660931	97.5	0	0	92.1	egér	78	0.235193382	96.15384615	0	0	90.61538462	فارة	40	0	100	2.5	2.5	86.5	tikus	80	0.409780208	93.50649351	0	3.75	83.3125	mus	80	0	100	0	1.25	80.0875	mysz	89	0.582357133	89.65517241	0	2.247191011	89.75555556	rato	88	0.18089488	100	1.136363636	2.272727273	77.71590909	мышь	82	0.664933268	87.5	0	2.43902439	88.62195122	miš	95	0.296431632	95.74468085	0	1.052631579	87.38947368	myš	80	0	100	0	5	90.77777778	ratón	100	0.288538514	94.94949495	0	1		fare	80	0	100	0	1.25	93	llygoden	36	0	100	2.777777778	2.777777778	81.38888889	sagu	80	0.340373286	93.67088608	0	1.25	77.7625	muis	60	0.216396932	96.55172414	0	3.333333333	
1349	CHURCH	4	church	100	0.858981037	71.73913043	3	5		oltář	83	1.091464905	63.01369863	3.614457831	8.43373494	68.02409639	alttari	84	0.659375881	82.92682927	1.19047619	1.19047619	76.78571429	altare	100	0.827374478	73.95833333	0	4		교회	78	1.557531836	61.97183099	1.282051282	7.692307692	67.82	altar	100	0.968778287	77.31958763	1	2		església	98	1.51	47.31182796	3.06122449	2.040816327	67.7								教堂	80	0.500968259	91.52542373	3.75	22.5	59.5375	εκκλησία	80	1.456254069	59.15492958	3.75	7.5	76.59259259	église	100	1.265265179	52.94117647	9	6		εκκλησία	80	1.051975092	73.61111111	5	5	72.05	כנסייה	80	0	100	3.75	5	76.1625	oltár	78	1.206943965	64.86486486	2.564102564	2.564102564	81.62820513	كنيسه	40	0.954434003	62.5	15	5	73.85	gereja	80	1.572501897	77.46478873	8.75	2.5	67.65	alter	80	0.774241158	77.21518987	0	1.25	72.4625	ołtarz	89	0.77810428	82.14285714	2.247191011	3.370786517	84.93333333	altar	88	0.995325107	54.02298851	0	1.136363636	73.625	алтарь	82	1.57155386	48	4.87804878	3.658536585	67.52439024	oltar	95	1.122392331	54.44444444	4.210526316	1.052631579	77.24210526	oltár	80	0.842133687	79.72972973	1.25	6.25	84.45679012	altar	100	1.552676484	59.57446809	1	5		kilise	80	0.390452131	93.93939394	5	12.5	77.59	eglwys	36	1.547227412	57.57575758	5.555555556	2.777777778	70.77777778	eliza	80	1.248676944	51.38888889	3.75	6.25	69.625	altaar	60	0.707669	80.70175439	1.666666667	3.333333333	
1482	SHOULDER	5	shoulder	100	1.18976766	69.56521739	5	3		rameno	83	1.074782068	75	1.204819277	2.409638554	84.90361446	olkapää	84	2.455530113	42.66666667	3.571428571	7.142857143	78.69047619	spalla	100	0.655983119	86.45833333	2	2		어깨	78	1.889498752	58.57142857	0	10.25641026	70.79	schulter	100	0.86235472	82.9787234	1	5		espatlla	98	1.47	71.13402062	0	1.020408163	78.8								肩膀	80	1.67452444	50	0	15	69.75	ώμος	80	1.43873546	55.12820513	1.25	1.25	87.88888889	épaule	100	1.109726445	71.42857143	2	0		ώμος	80	1.555517668	50.63291139	0	1.25	88.5	כתף	80	0.930586129	65.38461538	1.25	1.25	88.55	váll	78	1.028492459	73.61111111	2.564102564	5.128205128	86.62820513	كتف	40	0.315997133	94.28571429	5	7.5	86.65	bahu	80	0.775704886	90.27777778	5	5	80.2875	skulder	80	0.656743147	86.84210526	3.75	1.25	80.5625	bark	89	1.83259502	40.22988506	0	2.247191011	84.73333333	ombro	88	0.969338362	78.31325301	0	5.681818182	82.875	плечо	82	1.413374445	59.25925926	0	1.219512195	86.3902439	rame	95	1.060482799	79.06976744	1.052631579	8.421052632	86.29473684	rameno	80	1.335543564	64.47368421	0	5	90.50617284	hombro	100	0.909088316	80.41237113	1	2		omuz	80	0.758359492	83.33333333	3.75	6.25	87.79	ysgwydd	36	0.978015557	76.47058824	0	5.555555556	83.19444444	sorbalda	80	1.046231246	80.82191781	5	3.75	76.2375	schouder	60	0.955639858	75.47169811	5	6.666666667	
1510	CHIN	6	chin	100	0.579262605	88.88888889	0	1		brada	83	0.465069845	90.12345679	0	2.409638554	90.54216867	leuka	84	0	100	0	2.380952381	89.07142857	mento	100	0.52708144	92	0	0		턱	78	0.480433457	91.89189189	1.282051282	3.846153846	76.23	kinn	100	0.445050304	92.78350515	1	2		barbeta	98	1.09	77.17391304	3.06122449	3.06122449	74.3								下巴	80	0.544820078	90.54054054	0	7.5	76.725	πιγούνι	80	0.538596444	90.4109589	1.25	7.5	83.75308642	menton	100	0.382542669	94	0	0		πιγούνι	80	0.710676854	80.55555556	0	10	85.35	סנטר	80	0.470956314	92.10526316	1.25	3.75	91.675	áll	78	0.405977038	91.89189189	1.282051282	3.846153846	89.91025641	دئن	40	0.303374836	94.59459459	2.5	5	84.025	dagu	80	0.692542283	88.46153846	0	2.5	84.45	hake	80	1.011260474	75.32467532	0	3.75	81.575	broda	89	0.1578382	57.95454545	0	1.123595506	84.61111111	queixo	88	0.273769169	95.29411765	1.136363636	2.272727273	82.61363636	подбородок	82	0.836088291	86.41975309	0	1.219512195	91.35365854	brada	95	0.662357052	82.79569892	0	2.105263158	91.29473684	brada	80	0.855789719	82.05128205	1.25	1.25	90.17283951	barbilla	100	1.017909854	76.53061224	0	2		çene	80	0.173781323	97.4025974	0	3.75	93.2	gên	36	0.043048843	96.96969697	8.333333333	0	81.88888889	kokotxa	80	0	100	2.5	6.25	73.2625	kin	60	0.527765223	90.90909091	0	6.779661017	
1138	FAIRY	7	fairy	100	0.474132766	91.83673469	0	2		víla	83	0	100	0	3.614457831	69.68674699	keiju	84	1.727882887	67.08860759	0	5.952380952	76.20238095	fata	100	0.61361902	84.84848485	1	0		요정	78	0.633550694	88.15789474	0	2.564102564	64.87	fee	100	0.14372617	97.95918367	0	2		fada	98	0.00	100	1.020408163	1.020408163	71.3								仙女	80	1.65211193	56.94444444	0	10	74.25	νεράιδα	80	0	96.25	0	0	75.07407407	fée	100	0	100	0	0		νεράιδα	80	0	100	0	0	71.3125	פיה	80	0	100	1.25	0	89.6875	tündér	78	0	100	0	0	89.21794872	ساحرة	40	2.119917259	38.46153846	25	10	67.025	pari-pari	80	0.823450125	86.66666667	2.5	3.75	77.5	fe	80	0.173781323	97.4025974	1.25	2.5	74.0375	wróżka	89	0	100	0	1.123595506	85.76666667	fada	88	0	100	0	0	69.44318182	фея	82	0	100	0	1.219512195	81.14634146	vila	95	0	100	0	0	82.15789474	víla	80	0.575313334	91.02564103	1.25	1.25	82.96296296	hada	100	0	100	1	2		peri	80	0.286396957	95	0	0	87.89	tylwyth teg	36	0.950250643	79.41176471	5.555555556	0	76.52777778	maitagarri	80	1.810738884	57.57575758	15	2.5	59.425	fee	60	0.216396932	96.55172414	3.333333333	0	
1297	LEG	8	leg	100	0.288538514	94.94949495	0	1		noha	83	0.394203354	93.82716049	0	2.409638554	93.71084337	jalka	84	0.50037222	91.56626506	0	1.19047619	89.98809524	gamba	100	0.288538514	94.94949495	1	0		다리	78	1.242358613	76	1.282051282	2.564102564	78.24	bein	100	0.448864489	90.625	0	4		cama	98	0.25	95.87628866	0	1.020408163	87.9								腿	80	1.079542812	80.28169014	1.25	10	77.25	πόδι	80	0	100	2.5	7.5	87.65432099	jambe	100	0.286396957	95	0	0		πόδι	80	0	100	0	1.25	93.7125	רגל	80	0.524031283	91.02564103	2.5	0	91.125	láb	78	0.497150184	91.66666667	0	7.692307692	91.61538462	اجر	40	0.322756959	94.11764706	2.5	12.5	85.625	kaki	80	0.979776827	81.57894737	1.25	3.75	85.5125	bein	80	0.62279536	82.05128205	0	2.5	88.5443038	noga	89	0.317901	95.34883721	2.247191011	1.123595506	89.47777778	perna	88	0.214509834	96.59090909	0	0	90.75	нога	82	0	100	0	2.43902439	91.93902439	noga	95	0	100	0	2.105263158	95.28421053	noha	80	0.586834421	90.78947368	0	5	93.54320988	pierna	100	0.327444919	94	0	0		bacak	80	0.232927855	95	0	0	92.89	coes	36	0	100	0	2.777777778	89.94444444	hanka	80	0.453183732	92.5	0	0	82.0375	been	60	0.222284831	96.42857143	1.694915254	3.389830508	
3128	SHOWER (ACTION)	9	shower	100	0	100	0	1		sprcha	83	1.181373668	60.24096386	0	0	92.19277108	suihku	84	1.560544183	42.1686747	0	1.19047619	85.45238095	doccia	100	0.288538514	94.94949495	1	0		샤워부스	78	1.377235145	62.66666667	0	3.846153846	74.56	dusche	100	0.468995594	90	0	0		dutxa	98	0.00	100	0	1.020408163	88.1								浴室	80	2.225387262	55.40540541	2.5	5	76.9625	ντους	80	0.586918583	85.8974359	0	2.5	87.95061728	douche	100	0.14257333	97.97979798	0	1		ντουζιέρα	80	0	100	0	0	89.175	מקלחת	80	0	100	1.25	0	93.35	zuhanyzó	78	2.244890025	35.8974359	0	0	92.28205128	دوش	40	1.519891356	45.45454545	7.5	10	84.15	bilik mandi	80	0.767352579	84.21052632	2.5	2.5	81.06	dusj	80	0.944738829	63.75	0	0	88.98	prysznic	89	0.658744	82.95454545	0	1.123595506	91.6	chuveiro	88	0.843616998	83.90804598	0	1.136363636	82.76136364	душ	82	1.274940961	60.49382716	0	1.219512195	89.56097561	tuš kabina	95	0.781676554	81.72043011	0	2.105263158	91.6	sprcha	80	1.068701766	72.15189873	0	1.25	93.80246914	ducha	100	0	100	0	0		duşakabin	80	0.874931588	70.51282051	0	2.5	95.25	cawod	36	0.41381685	91.66666667	0	0	87.5	dutxa	80	0	100	0	0	80.35	douche	60	0.821498557	81.3559322	0	1.666666667	
		11	burger	100	0.337576423	94.94949495	0	1		hamburger	83	0.895374922	78.31325301	0	0	88.85542169	hampurilainen	84	0	100	0	0	88.86904762	hamburger	100	1.080679506	65.30612245	1	1		햄버거	78	0.235193382	96.15384615	0	0	84.96	burger	100	1.076297626	70	0	0		hamburguesa	98	0.14	97.93814433	1.020408163	0	82.7								汉堡	80	0.769192829	77.5	0	0	80.85	χάμπουργκερ	80	0.28907946	94.93670886	1.25	0	88.77777778	hamburger	100	0.639556365	88	0	0		μπέργκερ	80	0.922347533	77.21518987	0	1.25	89.05	המבורגר	80	0.168660931	97.5	0	0	93.55	hamburger	78	0.235193382	96.15384615	0	0	93.70512821	برجر	40	0.989992792	55.88235294	12.5	2.5	86.275	burger	80	0.170330576	97.46835443	0	1.25	87.95	hamburger	80	0.811278124	75	0	0	87.35	hamburger	89	1.072587754	67.04545455	0	1.123595506	89.97777778	hambúrguer	88	0	100	0	0	86.64772727	бургер	82	1.395169626	53.08641975	0	1.219512195	89.53658537	hamburger	95	1.747453728	54.73684211	0	0	90.97894737	hamburger	80	0.684038436	81.81818182	0	3.75	90.2345679	hamburguesa	100	0	100	0	1		hamburger	80	0.397974479	93.75	0	0	95.17	byrgyr	36	0	100	2.777777778	2.777777778	84.61111111	hanburgesa	80	0	100	0	1.25	80.05	hamburger	60	0.225363639	96.36363636	1.694915254	5.084745763	
		12	mermaid	100	0	100	1	2		mořská panna	83	1.014939788	82.27848101	0	4.819277108	67.5060241	merenneito	84	0	100	0	1.19047619	81.08333333	sirena	100	0.141440543	98	0	0		인어	78	0.981940787	57.89473684	0	2.564102564	67.15	meerjungfrau	100	0.371232327	92.85714286	0	2		sirena	98	0.00	100	0	0	68.7								美人鱼	80	0.28907946	94.93670886	0	1.25	74	γοργόνα	80	0	100	0	2.5	73.30864198	sirène	100	0	100	0	2		γοργόνα	80	0	100	0	0	70.1875	בת ים	80	0.455831458	90.4109589	1.25	7.5	87.175	sellő	78	0.75734577	84.21052632	0	2.564102564	86.3974359	حوريه	40	1.724740377	48.38709677	17.5	5	79	duyung	80	0.431414856	94.80519481	2.5	1.25	80.075	havfrue	80	0	100	0	1.25	73.9625	syrena	89	0.266764988	95.45454545	0	1.123595506	85.96666667	sereia	88	0	100	0	0	66.34090909	русалка	82	0.165427034	97.56097561	0	0	82.91463415	sirena	95	0	100	0	0	82.73684211	morská panna	80	0.855446426	84.41558442	1.25	2.5	79.7037037	sirena	100	0	100	0	0		deniz kızı	80	0	100	1.25	2.5	89.85	môr-forwyn	36	0.963274798	61.29032258	13.88888889	0	64.52777778	sirena	80	1.062452255	65.38461538	0	2.5	68.4375	zeemeermin	60	0	100	3.389830508	0	
		14	dressing gown	100	1.257981686	69.6969697	0	1		župan	83	0	100	0	0	87.20481928	kylpytakki	84	0.834286742	73.4939759	0	1.19047619	85.6547619	accappatoio	100	0.642064289	83.67346939	1	1		가운	78	1.877659802	52.11267606	3.846153846	5.128205128	66.74	bademantel	100	0.687251475	86.86868687	0	1		barnús	98	1.17	61.79775281	5.102040816	4.081632653	68.1								睡衣	80	1.989216661	47.36842105	0	5	77.4625	ρόμπα	80	1.130434194	63.15789474	1.25	3.75	80.25925926	peignoir	100	0.625262405	84.375	3	1		ρόμπα	80	0.988699408	56.25	0	0	85.0375	חלוק	80	0.74090655	83.75	0	0	90.675	köntös	78	1.052141445	72	1.282051282	2.564102564	86.23076923	روب	40	1.1294849	67.64705882	7.5	7.5	85.4	baju mandi	80	2.080880231	55.88235294	11.25	3.75	71.8	morgenkåpe	80	0.813496638	82.05128205	1.25	1.25	82.7	szlafrok	89	0	100	0	2.247191011	88.73333333	robe	88	0.811278124	75	0	0	77.95454545	халат	82	0	100	0	1.219512195	89.80487805	bademantil	95	0.524395239	88.17204301	0	2.105263158	88.33684211	župan	80	0	100	0	2.5	88.49382716	bata	100	0.970950594	60	0	0		bornoz	80	0.747024296	83.5443038	0	1.25	92.66	dressing gown	36	1.724845046	58.33333333	19.44444444	13.88888889	71.83333333	bata	80	1.12385619	64	3.75	2.5	70.1125	badjas	60	1.245618671	50	3.333333333	3.333333333	
