CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	WORDPAIR	WORDPAIR_GLOSS	POS	SIMILARITY_SCORE_ARABIC	SIMILARITY_SCORE_CHINESE	SIMILARITY_SCORE_WELSH	SIMILARITY_SCORE_ENGLISH	SIMILARITY_SCORE_ESTONIAN	SIMILARITY_SCORE_FINNISH	SIMILARITY_SCORE_FRENCH	SIMILARITY_SCORE_HEBREW	SIMILARITY_SCORE_POLISH	SIMILARITY_SCORE_RUSSIAN	SIMILARITY_SCORE_SPANISH	SIMILARITY_SCORE_KISWAHILI	SIMILARITY_SCORE_YUE_CHINESE	SIMILARITY_SCORE_MEAN	ARABIC	CHINESE	WELSH	ESTONIAN	FINNISH	FRENCH	HEBREW	POLISH	RUSSIAN	SPANISH	KISWAHILI	YUE_CHINESE
1002	STATUE	statue	word2-2091	sculpture; statue	nouns	3.9	5.363636364	5.1	4.923076923	4.7	5.4	5.2	4.1	5.1	3.9	5.3	4.4	4.454545455	4.828438228	تمثال	雕像	cerflun	kuju	patsas	statue	אנדרטה	statua	статуя	estatua	sanamu	雕像
1003	PERMIT	allow	word1-1534	allow; disprove	verbs	0.7	0	0	0	0	0.5	0.5	0.2	0	0.1	0.5	0	0	0.15	يسمح	允许	caniatáu	lubama	sallia	permettre	להרשות	zezwalać	разрешать	permitir	kukanusha	允許
1004	MUSCLE	muscle	word1-690	muscle; tongue	nouns	2.8	0.818181818	1.8	1.615384615	0.8	1.8	3.4	1.4	1.3	0.8	2	0.3	0.272727273	1.358857809	عضل	肌肉	cyhyrau	lihas	lihas	muscle	שריר	mięsień	мускул	músculo	misuli	肌肉
1006	BRICK	brick	word2-2506	wall; brick	nouns	1	0.636363636	1.2	0.615384615	1.2	0.8	2.2	1.7	0.7	1	1.3	1.8	0.818181818	1.164160839	طابوق	砖	bricsen	telliskivi	tiili	brique	לבנה	cegła	кирпич	ladrillo	tofali	磚
1007	COW	cow	word1-120	cow; goat	nouns	2.8	0.454545455	1.2	0.846153846	1.1	1.5	2.6	1.7	1.1	0.5	1.3	0.5	2.272727273	1.256118881	بقرة	牛	buwch	lehm	lehmä	vache	פרה	krowa	корова	vaca	ngombe	牛
1008	BULL	bull	word2-2396	calf; bull	nouns	4.5	3.181818182	1.8	1.615384615	1.5	2.3	3.1	2.6	2	2.2	2.3	2.2	3.363636364	2.346736597	ثور	公牛	tarw	pull	sonni	taureau	שור	byk	бык	toro	fahali	公牛
1010	BOUNDARY	boundary	word1-919	boundary; border	nouns	4.1	3.181818182	4.1	4.846153846	3.4	3	5.6	4.3	3.4	4.4	5.1	4.1	3.727272727	4.096270396	طرف	分界线	terfyn	piire	rajaviiva	frontière	תחום	odgraniczenie	рубеж	límite	mpaka	分界線
1011	BRIDGE	bridge	word2-2592	car; bridge	nouns	0.7	0.181818182	0.3	0	0.6	0.3	0.6	0.8	0	0.4	0.2	0.1	0.272727273	0.312878788	جسر	桥	pont	sild	silta	pont	גשר	most	мост	puente	daraja	橋
1016	DRIZZLE	drizzle	word1-764	drizzle; rain	nouns	3.3	3.363636364	3.8	3.230769231	4	4.1	4.7	3.1	3.6	4.3	4.4	4.6	4.272727273	3.955594406	رذاذ	毛毛雨	glaw mân	uduvihm	tihkusade	bruine	טפטוף	mżawka	морось	llovizna	manyunyu	毛毛雨
1019	RIGHT	right	word1-880	right; justice	nouns	4.8	0.545454545	0.1	1.692307692	2.9	4	4.1	1	1.3	1.2	2.3	0.6	0.545454545	1.690268065	حق	权利	dde	õigus	oikeus	droit	זכות	prawo	право	derecho	haki	權利
1024	CHARACTER	character	word1-152	character; person	nouns	3.2	4.272727273	3.1	2.538461538	2.5	3.7	4.7	0.7	1.6	2.5	2.8	2.6	4.272727273	2.94032634	شخصية	人物	cymeriad	tegelane	hahmo	personnage	אופי	charakter	персонаж	personaje	mtu	人物
1025	WHISTLE	whistle	word2-3229	stop; whistle	verbs	0.9	0	0.1	0	0.3	0.1	0.5	0.2	0.1	0	0.5	0	0.272727273	0.172727273	يصفّر	哨	chwibanu	vilistama	viheltää	siffler	לשרוק	gwizdać	свистеть	silbar	kuacha	哨
1030	NECESSARY	necessary	word1-1199	necessary; important	adjectives	5.1	3.818181818	3.2	4	4.9	4.7	4.7	3.3	4.2	3.5	3.5	2.8	3.181818182	3.816666667	ضروري	必须	angenrheidiol	vajalik	tarpeellinen	nécessaire	הכרחי	konieczny	необходимый	necesario	lazima	必須
1035	GOOD	good	word2-3136	spicy; good	adjectives	0.4	0	0	0	1.1	0.2	0.3	0.9	0.5	0.7	0	0	0.090909091	0.315909091	جيد	好	da	hea	hyvä	bien	טוב	dobry	хороший	bueno	pilipili	好
1038	TEACHER	teacher	word1-80	teacher; helper	nouns	2.7	0.818181818	2.1	2.153846154	1.8	2.2	2.5	1.6	0.3	2.1	1.1	0.6	0.454545455	1.477214452	معلّم	老师	athro	õpetaja	opettaja	enseignant	מורה	nauczyciel	наставник	profesor	mwalimu	老師
1039	SHOW	show	word2-2826	mathematician; show	nouns	1	0	0	0	0.1	0	0.2	0.1	0	0	0.1	0	0.090909091	0.049242424	تبيّن	节目	sioe	etendus	näytös	spectacle	הצגה	widowisko	показ	show	mwanamahesabu	節目
1041	INCREASE	increase	word2-3346	grow; increase	verbs	4	0.909090909	3.9	4.538461538	4.4	1.3	6	1.4	2.6	3.2	4	1.7	0.727272727	2.889568765	يزيد	增加	cynyddu	suurenema	korottaa	augmenter	להגביר	wzrosnąć	увеличивать	incrementar	kukua	增加
1045	POET	poet	word1-118	poet; journalist	nouns	1.5	0	0.4	0.615384615	1.4	0.9	1.8	1.6	0.5	0.7	0.9	0.4	0.090909091	0.775524476	شاعر	诗人	bardd	luuletaja	runoilija	poète	משורר	poeta	поэт	poeta	mwanahabari	詩人
1046	SHUT	shut	word1-1568	shut; vomit	verbs	0	0	0	0	0	0	0.1	0.1	0	0	0	0	0	0.016666667	يغلق	关闭	cau	sulgema	sulkea	fermer	לסגור	zamykać	закрыть	cerrar	kutapika	關閉
1047	PURSUE	chase	word2-3207	follow; chase	verbs	5.2	2.818181818	1.7	2.846153846	4.6	3.5	2.7	2	3.3	2.7	3.7	2.1	2.454545455	2.868240093	يلحق	追逐	ymlid	taga ajama	jahdata	chasser	לרדוף	ścigać	гнаться	perseguir	kufuata	追逐
1052	LIGHT (WEIGHT)	light	word2-2309	keyboard; light	nouns	0.7	0.090909091	0	0	0.2	0	0.2	0	0	0	0.5	0	0.181818182	0.097727273	ضوء	光	golau	valgus	valo	lumière	אור	światło	свет	ligero	kibodi	光
1062	LAW	law	word2-2129	school; law	nouns	2.2	0.363636364	0.3	0.153846154	0.4	0.2	1.7	1	0.2	0.8	0.8	0.1	0.363636364	0.531759907	قانون	法律	cyfraith	õigus	laki	droit	חוק	prawo	юриспруденция	derecho	sheria	法律
