CONCEPTICON_ID	CONCEPTICON_GLOSS	FRENCH	FRENCH_AUDITORY_MEAN	LINE_IN_SOURCE
1000	ANXIETY	anxiété	35.481	135
1006	BRICK	brique	26.148	423
1007	COW	vache	70.375	3483
1008	BULL	taureau	47.182	3302
1012	LATCH	verrou	44.217	3519
1013	FRESHWATER EEL	anguille	16.391	123
1016	DRIZZLE	bruine	28.667	438
1017	APPEARANCE	aspect	25.69	184
1032	CITIZEN	citoyen	42.609	675
1034	DEFENDANT	accusé	35.6	29
1035	GOOD	bon	24.615	362
1036	OWNER	propriétaire	28.417	2769
1037	ELF	lutin	38.8	2058
1038	TEACHER	professeur	66.37	2752
1044	PILLOW	oreiller	25	2411
1048	LINE	ligne	23.708	2009
1049	MOLAR TOOTH	molaire	29.607	2222
105	MATTRESS	matelas	33.444	2134
1061	ARMOUR	armure	44.808	172
1063	NEPHEW	neveu	34.6	2326
1068	COURT	tribunal	48.579	3439
1074	FISHHOOK	hameçon	15.4	1709
1075	TRAP (PITFALL)	piège	30.679	2579
1077	WHEAT	blé	32.444	347
108	RUDDER	gouvernail	27.417	1646
1081	BILL	compte	10.731	786
1092	HOPE	espoir	34.818	1312
11	DARKNESS	obscurité	26.077	2365
110	MOTOR	moteur	72.913	2256
1103	SACRIFICE	sacrifice	27.615	3025
1104	NURSE	infirmier	19.75	1835
1109	WOUND	blessure	42.478	349
1110	SHARK	requin	34.538	2936
1114	BULLET	balle	33.65	263
112	TURTLE	tortue	23.185	3381
1121	SECRET	secret	45.72	3082
1124	PIPE	pipe	24.44	2600
1125	BALD	chauve	14.708	636
1132	BEAM	poutre	17.192	2700
1134	DIVORCE	divorce	40.375	1123
1136	RABBIT	lapin	16.35	1962
1137	TENDON	tendon	8.714	3322
1139	LEOPARD	léopard	45.192	1984
1141	PITY	pitié	44.87	2610
1142	URINE	urine	54.542	3473
1143	OVEN	four	36.321	1520
1145	SWAMP	marais	40.391	2110
1146	AUBERGINE	aubergine	21.545	213
1150	THUNDER	tonnerre	85.542	3372
1154	OLIVE	olive	9.957	2388
1155	CAVE	grotte	39.148	1681
1161	THREAD	fil	18.852	1456
1165	MOUSTACHE	moustache	9.417	2271
1169	OX	boeuf	49.148	357
1171	MIRROR	miroir	19.63	2202
1173	EYEBROW	sourcil	14.444	3193
1175	GHOST	fantôme	41.333	1404
1181	PALM TREE	palmier	20.417	2450
1182	NOISE	bruit	80.931	439
1183	PALM OF HAND	paume	19.846	2515
1187	GOOSE	oie	50.125	2384
1188	CHARCOAL	houille	13.462	1764
1189	ULCER	ulcère	21.273	3467
1190	HARE	lièvre	26.852	2007
1194	BEAVER	castor	48.724	564
1199	WIFE	épouse	34.593	1287
12	MIDDAY	midi	39.174	2189
120	PITCHER	cruche	39.345	950
1200	HUSBAND	mari	49	2122
1201	FEATHER	plume	22.792	2631
1204	BARK	écorce	25.444	1182
1208	CAT	chat	74.87	626
1209	I	moi	56.375	2219
1217	FATHER	papa	64.833	2457
1219	WORM	ver	19.72	3508
122	CART	wagon	50.038	3589
1226	YEAR	année	23.929	126
124	THORN	épine	20.407	1280
1245	BUTTER	beurre	19.826	325
1246	SMALL	petit	30.815	2566
1248	EYE	oeil	22.815	2379
1251	BELLY	ventre	24.458	3506
1252	HOUSE	maison	49.148	2079
1254	HANDLE	poignée	29.269	2636
1256	HEAD	tête	23.074	3339
1257	WING	aile	34.667	77
1258	FINGERNAIL	ongle	27	2394
1259	WEDDING	mariage	58.955	2123
1272	AUNT	tante	41	3291
1273	CANDLE	bougie	20.731	383
1274	SALT	sel	19.417	3091
1277	HAND	main	31.111	2074
1284	BANK	banque	18.615	276
1290	ELEPHANT	éléphant	63.1	1212
1293	MISTAKE	erreur	40.32	1300
1297	LEG	jambe	16.462	1899
1298	NEWSPAPER	journal	28.565	1917
1299	COFFEE	café	45.444	469
1301	FOOT	pied	19.375	2578
1302	FORK	fourchette	32.65	1523
1303	FINGER	doigt	27.087	1130
1305	CHIMNEY	cheminée	46.542	639
131	FESTIVAL	fête	72.96	1432
1312	FOX	renard	25.619	2910
1313	MOON	lune	11.536	2054
1315	RADIO	radio	83.923	2815
1316	TENT	tente	41.185	3328
1318	CHICKEN	poulet	55.963	2689
1320	APPLE	pomme	48.739	2656
1321	BOTTLE	bouteille	40.037	406
1323	CLOCK	horloge	67.348	1757
1327	UNCLE	oncle	43.095	2392
1331	SHEEP	mouton	70.65	2273
1332	NEIGHBOUR	voisin	45.696	3571
1333	NECK	cou	29.69	890
1335	WHITE	blanc	13.652	344
1337	PIG	cochon	69.828	714
134	FAULT	faute	22.6	1413
1342	SUMMER	été	59.3	1328
1343	SUN	soleil	32.37	3154
1344	RAM	bélier	39.786	312
1349	CHURCH	église	60.462	1203
135	BOOMERANG	boomerang	29.304	370
1350	MONKEY	singe	66.846	3140
1352	KNIFE	couteau	38.115	911
1357	DAUGHTER	fille	60.75	1457
1358	ENEMY	ennemi	32.25	1250
1360	DUCK	canard	69.4	498
1361	TOOL	outil	59	2433
1363	VOICE	voix	81.667	3573
1365	KITCHEN	cuisine	58.6	957
1366	BOY	garçon	49.444	1589
1368	BREAD	pain	18.56	2443
1369	GOLD	or	12.625	2403
1371	KNEE	genou	17.13	1610
1373	TEA	thé	31.846	3341
1374	RING	bague	9.952	252
1375	WINDOW	fenêtre	30.37	1421
1378	SPOON	cuillère	42.667	955
1379	TELEPHONE	téléphone	74.76	3310
1380	TOOTH	dent	37.407	1028
1381	SHOE	chaussure	50.25	635
1385	PEPPER	poivre	33.25	2647
1386	LION	lion	65.714	2018
1388	SHADE	ombre	11.526	2391
1389	TOE	orteil	16.593	2423
1392	LOUSE	pou	30.48	2682
1393	HORN (ANATOMY)	corne	28.696	867
1396	SHARP	tranchant	34.481	3418
1399	CLAY	argile	21.042	167
1402	BREAST	sein	13.56	3089
1404	STRAIGHT	droit	30.444	1152
1406	FAR	loin	20.214	2034
1430	STAR	étoile	3.9	1332
1439	SWIM	nageur	55.16	2303
144	MACHINE	machine	50.542	2065
1450	ROOM	chambre	38.154	602
1451	SMILE	sourire	22.381	3195
1456	THROW	lancer	27.25	1958
1464	LADDER	échelle	11.292	1169
1472	KEY	clé	56.92	691
1473	FIST	poing	32.346	2638
1474	SEA	mer	87.37	2167
1475	COMB	peigne	24.826	2521
1476	CHAIR	chaise	27.333	598
1479	DOLPHIN	dauphin	71.125	974
1480	BODY	corps	17.957	873
1481	HAMMER	marteau	74.125	2130
1482	SHOULDER	épaule	8.962	1272
1488	FAUCET	robinet	63.25	2984
1489	CLOUD	nuage	14.708	2350
1490	RAT	rat	48.28	2837
1491	MOUSE	souris	57.042	3196
1499	JUICE	jus	35.375	1927
1502	GOAT	chèvre	73	648
1503	SALIVA	salive	31.083	3033
1504	FLY (INSECT)	mouche	76.615	2262
1505	SPERM	sperme	28.259	3211
1506	MEASURE	mesure	20.25	2179
1509	MOSQUITO	moustique	84.462	2272
151	RAZOR	rasoir	49.929	2836
1510	CHIN	menton	10.625	2164
1511	ROOSTER	coq	85.444	859
1514	HEN	poule	80.963	2688
1515	TEN	dix	26.37	1124
1522	SOCK	chaussette	10.65	633
1524	WINE	vin	48.481	3544
1526	MEAL	repas	46.593	2921
1529	LAST (FINAL)	dernier	23.37	1039
1531	BRANCH	branche	45.444	413
1535	SWORD	épée	47.652	1274
1538	SCORPION	scorpion	23.192	3070
1539	BASKET	corbeille	11.1	864
1543	SNAIL	escargot	18.375	1305
1547	SOUP	soupe	22.074	3190
1555	CHAMELEON	caméléon	17.4	490
1560	FACE	visage	18.852	3556
1563	PYTHON	python	29.381	2799
1564	LAZY	paresseux	26.48	2478
1566	GUN	fusil	82.783	1567
1567	DOOR	porte	49.826	2666
1569	CHEESE	fromage	25.435	1557
1575	COCKROACH	cafard	31.857	468
1581	ALLIGATOR	alligator	24.917	91
1584	BLISTER	ampoule	25.276	114
1592	CHEST	poitrine	22.593	2646
1597	AIRPLANE	avion	73.667	238
1599	WORD	mot	43.952	2253
16	SLED	luge	40.833	2050
1605	SKULL	crâne	20.815	922
1612	LETTER	lettre	29.556	1987
1613	COLOR	couleur	13.958	896
1620	SON	fils	50.333	1462
1628	SQUIRREL	écureuil	45.375	1192
163	BLACK	noir	15.125	2335
1632	FLOOR	sol	27.208	3152
1634	HUNDRED	cent	9.962	583
1638	TRUTH	vérité	31.769	3515
164	KANGAROO	kangourou	35.103	1931
1643	COUSIN	cousin	38.6	909
1647	FOAL	poulain	46.214	2687
1648	ANVIL	enclume	30.52	1236
1651	TEAR (OF EYE)	larme	59.92	1966
1654	LIGHTNING	éclair	53.5	1172
1658	PUPIL	pupille	10.444	2791
1662	CAPE	cape	19.833	515
1664	RAFT	radeau	37.087	2814
1668	GRIEF	chagrin	60.6	596
1669	ANCESTORS	ancêtre	24.583	119
1673	ARM	bras	21.821	414
1680	HELMET	casque	30.852	561
1686	BEHIND	derrière	22.852	1040
1687	PRAISE	louange	55.2	2039
1690	FENCE	barrière	21.522	292
1692	FRIDAY	vendredi	32.48	3503
1693	THURSDAY	jeudi	36.586	1911
1694	WEDNESDAY	mercredi	11.75	2169
1695	TUESDAY	mardi	10.81	2115
1697	MONDAY	lundi	22.458	2053
1699	SUNDAY	dimanche	24.85	1089
17	EYELID	paupière	12.667	2516
1703	SIX	six	16.385	3146
1704	SEVEN	sept	32.259	3107
1707	TWELVE	douze	29.739	1149
1712	OATH	serment	45.038	3114
1732	SKY	ciel	38.407	661
1740	PINE	pin	18	2591
1745	HIP	hanche	9.958	1710
1747	CUSTOM	coutume	34.435	912
1762	STONE (OF FRUIT)	noyau	8.654	2348
1768	FOAM	écume	27.28	1191
1769	AXLE	essieu	21.556	1316
1775	TABLE	table	21.333	3278
1776	SHAME	honte	39	1753
1782	GUEST	invité	36.72	1888
1789	AGE	âge	34.037	60
1791	BUTTERFLY	papillon	14.5	2459
1793	BAT	chauve-souris	45.741	637
1794	FURROW	sillon	12.852	3135
1797	HEDGEHOG	hérisson	24.538	1727
1799	HYENA	hyène	42.708	1776
1803	WOOD	bois	36	358
1804	BOMB	bombe	82.593	361
1808	PUS	pus	6	2795
