CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	LINE_IN_SOURCE
1286	HOT	hot	104
1287	COLD	coldness	2797
1288	CAP	cap	863
1289	BABY	infant	622
129	CHOKE	choke	1280
1290	ELEPHANT	elephant	439
1291	BACK	back	99
1292	BAD	bad	101
1293	MISTAKE	error	1564
1294	ZERO	zero	1484
1295	STICK	stick	126
1296	WALKING STICK	cane	1843
1297	LEG	leg	86
1298	NEWSPAPER	newspaper	1999
1299	COFFEE	coffee	1013
13	DECEIT	deception	5147
130	GRATIS (OF CHARGE)	free of charge	9837
1300	COUNTRY	country	651
1301	FOOT	feet	5021
1302	FORK	fork	851
1303	FINGER	finger	278
1305	CHIMNEY	chimney	2255
1306	QUEEN	queen	1479
1307	LANGUAGE	language	377
1308	DOUBT	doubt	1353
1309	ASK (INQUIRE)	ask	410
131	FESTIVAL	party	2650
1310	CLEVER	clever	1023
1311	VERY	very	961
1312	FOX	fox	870
1313	MOON	Moon	2327
1314	QUIET	quiet	917
1315	RADIO	radio	2442
1316	TENT	tent	1357
1318	CHICKEN	chicken	601
1319	COWARD	coward	1712
132	SAUCE	sauce	2808
1320	APPLE	apple	1395
1321	BOTTLE	bottle	1015
1322	BREAKFAST	breakfast	1325
1323	CLOCK	clock	1005
1324	SLIP	slide	1171
1325	FRIEND	friend	360
1326	DOWN	downwards	4359
1327	UNCLE	uncle	499
1329	TOMORROW	tomorrow	202
133	WEAVE	weaving	8461
1330	DEFEND	defense	6751
1331	SHEEP	sheep	405
1332	NEIGHBOUR	neighbour	1748
1333	NECK	neck	60
1334	GUTS	gut	316
1335	WHITE	white	40
1336	EAT	eat	27
1337	PIG	hog	2739
1338	PEACE	peace	789
1339	MORNING	morning	297
134	FAULT	guilt	4762
1340	WITH	with	835
1342	SUMMER	summer	856
1343	SUN	Sun	1686
1344	RAM	ram	1030
1345	EWE	ewe	1671
1346	THROAT	throat	371
1347	NAPE (OF NECK)	nape of neck	3017
1348	BOAR (MALE PIG)	boar	1583
1349	CHURCH	church	1034
135	BOOMERANG	boomerang	3099
1350	MONKEY	monkey	452
1351	SOW (FEMALE PIG)	sow	889
1352	KNIFE	knife	188
1353	HOUR	hour	883
1354	NEXT	next	1944
1355	LAUGH	laugh	118
1356	NUMBER	number	381
1357	DAUGHTER	daughter	392
1358	ENEMY	enemy	747
1359	SEPARATE	separate	683
136	HERE	here	293
1360	DUCK	duck	428
1361	TOOL	instrument	2802
1362	STREET	street	1333
1363	VOICE	voice	394
1364	HEALTHY	health	1195
1365	KITCHEN	kitchen	992
1366	BOY	boy	296
1367	CROSS	cross	707
1368	BREAD	bread	560
1369	GOLD	gold	760
137	COCA	coca	9454
1370	MONTH	month	421
1371	KNEE	knee	85
1372	MEDICINE	medication	3206
1373	TEA	tea	1112
1374	RING	ring	822
1375	WINDOW	window	737
1376	NOW	now	425
1377	VISIT	visit	1502
1378	SPOON	spoon	570
1379	TELEPHONE	phone	4430
138	BATHE	bath	2887
1380	TOOTH	teeth	1480
1381	SHOE	shoes	4500
1382	NEEDLE (FOR SEWING)	needle	383
1383	GRANDFATHER	grandfather	415
1384	SECOND	second	833
1385	PEPPER	pepper	860
1386	LION	lion	521
1387	ARRIVE	arrive	591
1388	SHADE	shade	337
1389	TOE	toe	467
139	GUMS	gum	1835
1390	WRONG	wrong	802
1391	TOWN	town	579
1392	LOUSE	lice	5857
1393	HORN (ANATOMY)	horn	191
1394	BONE	bone	12
1395	ROUND	round	353
1396	SHARP	sharp	216
1398	DRY	dry	65
1399	CLAY	clay	648
14	YOKE	yoke	2125
140	PADDY FIELD	paddy	8581
1400	THIN (SLIM)	slimy	5962
1401	DRINK	drink	48
1402	BREAST	bosom	3123
1403	BITE	bite	71
1404	STRAIGHT	straight	331
1405	NAME	name	14
1406	FAR	far away	4896
1407	BREATHE	breathing	2757
1408	HEAR	hear	21
1409	SEE	see	11
1411	LIE (REST)	lie	145
1412	RUDE	rude	3560
1413	PLAY	play	368
1414	SQUEEZE	wring	378
1416	SIT	sit	78
1417	KILL	kill	70
1418	DIG	dig	146
1419	FEAR (BE AFRAID)	be afraid	492
1420	COUNT	counting	8720
1421	SUCK	suck	240
1422	BE ALIVE	living	480
1423	FIGHT	fight	270
1424	YELLOW	yellow	140
1425	GREEN	green	128
1426	EXPENSIVE	expensiveness	9629
1427	BEAUTIFUL	beautiful	578
1428	BURNING	burning	5384
1429	FULL	become full	5898
143	HUMID	humid	4690
1430	STAR	star	17
1431	FREEZE	freeze	1635
1432	CUT	cut	119
1433	HIT	hit	156
1434	STAB	prick	2190
1435	HUNT	hunting	1407
1436	SCRATCH	scratch	249
1437	SPLIT	split	236
1438	FOOL	fool	2087
1439	SWIM	swimming	6147
144	MACHINE	machine	1805
1440	SPIT	spit	221
1441	FLY (MOVE THROUGH AIR)	flying	6617
1442	STAND	stand	100
1443	WALK	walk	109
1444	TURN AROUND	turn around	995
1445	TURN (SOMETHING)	turn over	977
1446	COME	come	19
1447	GIVE	give	107
1448	HOLD	hold	201
1449	RUB	rub	354
145	SORROWFUL	sorrowful	6796
1450	ROOM	room	847
1451	SMILE	smiling	9917
1452	PUSH	push	279
1453	WASH	wash	196
1454	WIPE	wipe off	7393
1455	PULL	pull	243
1456	THROW	throw	175
1457	SEW	sew	205
1458	SAY	said	9526
1459	IF	if	418
146	SUGAR CANE	sugar cane	1181
1460	IN	within	3647
1461	AT	at	701
1462	POT	jar	3042
1463	DRUNK	get drunk	9643
1464	LADDER	ladder	929
1465	BOX	case	2399
1466	EXACT	exact	4361
1467	CIRCLE	circle	1232
1468	LOOK FOR	search for	2161
1469	WEEK	week	830
147	COCONUT TREE	coconut palm	6596
1470	FOLD	fold	963
1471	WINTER	winter	839
1472	KEY	key	953
1473	FIST	fist	991
1474	SEA	sea	252
1475	COMB	comb	528
1476	CHAIR	chair	641
1477	KEEP	keep	1038
1478	WITHOUT	without	1738
1479	DOLPHIN	dolphin	1918
148	ITCH	itch	692
1480	BODY	body	266
1481	HAMMER	hammer	621
1482	SHOULDER	shoulder	124
1483	NINE	nine	142
1484	OIL (ORGANIC SUBSTANCE)	oil	323
1485	BELOW OR UNDER	underneath	1840
1487	POUR	pour away	8276
1488	FAUCET	faucet	4759
1489	CLOUD	clouds	9071
149	ITCHY	itchy	5936
1490	RAT	rat	148
1491	MOUSE	mouse	235
1492	DUMB	dumb	1396
1494	DIE	pass away	4130
1495	HAPPY	glad	1445
1496	GRANDMOTHER	grandmother	424
1498	TWO	two	2
1499	JUICE	juice	1859
15	OTTER	otter	3047
150	WORRY	worry	1247
1500	FOUR	four	67
1501	BORE	perforate	9151
1502	GOAT	goat	364
1503	SALIVA	spittle	1441
1504	FLY (INSECT)	housefly	4366
1505	SPERM	sperm	2104
1506	MEASURE	measure	736
1507	FRUIT	fruit	204
1508	KING	emperor	4473
1509	MOSQUITO	gnat	1359
151	RAZOR	razor	1020
1510	CHIN	chin	228
1511	ROOSTER	cockerel	5257
1514	HEN	hen	613
1515	TEN	ten	106
1517	WASP	wasp	772
1518	STUPID	foolish	1150
1519	RUN	run	218
152	HOOF	hoof	1845
1521	SEEM	seem	1901
1522	SOCK	socks	8133
1523	FORGET	forget	408
1524	WINE	wine	987
1525	COAST	coast	1689
1526	MEAL	meal	1017
1527	TICK	tick	1151
1528	FORGIVE	forgive	1283
1529	LAST (FINAL)	last	873
153	GREY	gray	2568
1530	BOWL	bowl	1067
1531	BRANCH	limb	4319
1532	SHEAR	shear	6431
1533	BE HUNGRY	be hungry	7171
1534	FEVER	fever	850
1535	SWORD	sword	765
1536	UNDERSTAND	understand	843
1537	SPRINGTIME	spring	504
1538	SCORPION	scorpion	488
1539	BASKET	basket	438
154	UDDER	udder	1246
1540	EYELASH	eyelash	611
1541	CULTIVATE	cultivate	1040
1542	ACCOMPANY	accompany	1562
1543	SNAIL	snail	629
1544	SOMETIMES	sometimes	1368
1545	HOST	host	1617
1546	TWICE	two times	3352
1547	SOUP	broth	1153
1548	UGLY	ugly	910
1549	TRIBE	tribe	1449
1550	PREVENT	prevent	1366
1551	FEMALE	female	111
1552	GLOOMY	gloomy	5498
1553	MALE	male	83
1554	MAN	men	6130
1555	CHAMELEON	chameleon	1584
1556	YOLK	egg yolk	2660
1557	BEGINNING	beginning	1001
1558	SIMILAR	alike	4049
1559	MONEY	money	525
156	RED	red	73
1560	FACE	face	238
1561	ARMY	army	1352
1562	MIND	mind	1140
1563	PYTHON	python	1399
1564	LAZY	lazy	716
1565	HEAVEN	heaven	923
1566	GUN	rifle	2365
1567	DOOR	doorway	2647
1568	ARRANGE	arrange	1371
1569	CHEESE	cheese	1307
157	DYE	dye	1513
1570	EQUAL	equal	2114
1571	SELL	sell	566
1572	SURPRISED	surprised	1838
1573	SWELL	swollen	3054
1574	FLOAT	float	646
1575	COCKROACH	roach	8604
1576	PILE UP	heap up	3039
1577	AND	and	322
1578	IGUANA	iguana	5030
1579	BE	will	1879
158	PUT ON	put on	1060
1580	ONLY	only	628
1581	ALLIGATOR	alligator	627
1583	BRAIN	brains	945
1584	BLISTER	blister	1380
1585	SLEEP	sleep	35
1587	SMELL (STINK)	stink	2133
1588	TURN	turn	262
1589	HUMMINGBIRD	hummingbird	8237
159	SWEET POTATO	sweet potato	1080
1590	WAIT (FOR)	wait for	2625
1591	UP	upwards	5812
1592	CHEST	chest	244
1593	DEEP	deep	564
1594	FLOUR	flour	669
1595	SOUTH	south	626
1596	LOCK	lock	1212
1597	AIRPLANE	plane	1911
1598	NORTH	north	647
1599	WORD	words	4991
16	SLED	sled	8294
160	SET (HEAVENLY BODIES)	set	960
1600	SKIRT	skirt	1242
1601	WEAK	weak	508
1602	WAKE UP	get up	1724
1603	MOSQUE	mosque	2272
1605	SKULL	skull	898
1606	INSIDE	inside	259
1607	HATE	hate	630
1608	LISTEN	listen	486
1609	IDEA	idea	1526
161	MISS (A TARGET)	miss	1059
1610	PROSTITUTE	whore	3715
1611	INVITE	invite	1509
1612	LETTER	letter	1082
1613	COLOR	colour	2237
1614	SUMMIT	summit	2445
1615	ESCAPE	escape	1149
1616	CLOTH	cloth	659
1617	GRANDCHILD	grandchild	1338
1618	GRANDSON	grandson	1069
1619	GRANDDAUGHTER	granddaughter	1215
162	HICCOUGH	hiccough	1858
1620	SON	son	379
1621	SNEEZE	sneeze	511
1622	SHIRT	shirt	897
1623	SPEAK	speak	230
1624	EMPTY	empty	461
1625	DEAD	dead	110
1626	EXPLAIN	explain	952
1627	CHAIN	chain	1231
1628	SQUIRREL	squirrel	785
1629	EVENING	evening	430
163	BLACK	black	33
1631	FAST	swift	727
1632	FLOOR	floor	912
1633	FLAT	flat	894
1634	HUNDRED	one hundred	1734
1635	OBEY	obey	1262
1638	TRUTH	truth	957
1639	BEER	beer	793
164	KANGAROO	kangaroo	1951
1640	SIBLING	sibling	943
1641	SILK	silk	1489
1642	NIECE	niece	1129
1643	COUSIN	cousin	1124
1644	RELATIVES	relative	1349
1645	SHORT	short	108
1646	GIRL	young girl	9941
1647	FOAL	pony	9512
1648	ANVIL	anvil	1857
1649	SIT DOWN	sit down	2093
165	WALLABY	wallaby	1284
1650	WATCH	watch	773
1651	TEAR (OF EYE)	tears	909
1652	INSTEAD	instead	5582
1653	BLIND	blind	382
1654	LIGHTNING	lightning	212
1655	BLINK	wink	2656
1656	NEVER	never	1029
1657	TRUE	real	2443
1659	DOLL	doll	2736
166	MAINLAND	mainland	2682
1661	STRAIT	strait	6896
1662	CAPE	headland	5410
1663	BED	bed	454
1664	RAFT	raft	1855
1665	BEAT	beat	162
1666	MUTE	mute	1170
1667	HOLE	hole	294
1668	GRIEF	sorrow	1008
1669	ANCESTORS	ancestors	1938
1670	RAPIDS	rapids	3111
1671	TOWER	tower	1791
1672	WRITE	write	657
1673	ARM	arms	2461
1674	POOR	poor	913
1675	PROMISE	promise	1109
1676	ALWAYS	always	562
1678	HUT	shelter	1521
1679	LOAD	burden	1538
168	REST	relax	3927
1680	HELMET	helmet	2896
1681	WAIST	waist	926
1682	GUILTY	guilty	2210
1683	BUSH	bush	937
1684	BUD	bud	2266
1685	AFTER	after	915
1686	BEHIND	behind	589
1688	FATE	fate	2762
169	IT	it	400
1690	FENCE	fence	440
1691	FLEXIBLE	flexible	4414
1692	FRIDAY	Friday	816
1693	THURSDAY	Thursday	840
1694	WEDNESDAY	Wednesday	841
1695	TUESDAY	Tuesday	817
1696	SURRENDER	give up	4119
1697	MONDAY	Monday	806
1698	CURVED	curved	3907
1699	SUNDAY	Sunday	783
17	EYELID	eyelid	990
1700	SATURDAY	saturday	5180
1702	HOLY	sacred	1988
1703	SIX	six	123
1704	SEVEN	seven	130
1705	EIGHT	eight	132
1706	ELEVEN	eleven	1073
1707	TWELVE	twelve	1052
1708	THIRTEEN	thirteen	1790
1709	FIFTEEN	fifteen	1277
1710	TWENTY	twenty	431
1711	TELL	tell story	4283
1712	OATH	oath	1658
1713	EIGHTEEN	eighteen	1896
1714	NINETEEN	nineteen	1909
1715	THIRTY	thirty	1394
1716	FORTY	forty	1514
1717	FIFTY	fifty	1294
1718	SIXTY	sixty	1674
1719	BURY	bury	346
172	SHOULDERBLADE	shoulderblade	2080
1720	SIGN	mark	1682
1721	SEVENTY	seventy	1828
1722	EIGHTY	eighty	1626
1724	NINETY	ninety	1713
1725	CORRECT (RIGHT)	correct	326
1726	WET	get wet	3263
1727	THRESHOLD	threshold	5187
1728	ROTTEN	rotten	237
1730	CHEEK	cheek	313
1732	SKY	sky	117
1733	RAINBOW	rainbow	477
1734	TWENTY ONE	twenty-one	5188
1735	TEAR (SHRED)	tear	336
1737	OKRA	okra	2666
1739	DECORATE	decorate	1632
174	PROUD	proud	1364
1740	PINE	pine tree	9342
1741	ABOVE	over	2227
1742	TRAVERSE	go through	5272
1743	JOIN	unite	1782
1744	SPLEEN	spleen	1269
1745	HIP	hip	652
1746	BLADDER	bladder	1442
1747	CUSTOM	tradition	2787
1748	RIDGE	ridge	2621
1749	TAKE	take	258
175	BLOW (OF WIND)	blow	181
1750	CHOOSE	choose	436
1751	BIRTHMARK	birthmark	7729
1752	LEAVE	depart	1320
1753	TOP	top	661
1754	BRACELET	bracelet	1159
1755	UNDRESS	take off	1535
1756	WIDOW	widow	745
1757	TIRED	tired	717
1758	OLDER SISTER	elder sister	9822
1759	OLDER BROTHER	big brother	6933
1760	YOUNGER BROTHER	younger brother	849
1761	YOUNGER SISTER	younger sister	1203
1763	CLUB	club	1068
1764	OBSCURE	obscure	2323
1765	IN VAIN	in vain	2899
1766	FINISH	finish	412
1767	SCRAPE	scrape	583
1768	FOAM	foam	644
1769	AXLE	axle	3065
1771	TASTELESS	insipid	7099
1772	ELK	moose	3976
1773	GRAVE	tomb	1152
1774	STINGY	avaricious	2397
1775	TABLE	desk	4542
1776	SHAME	shame	770
1777	RESEMBLE	resemble	1473
1778	APPROACH	approach	1142
1779	DARE	dare	2040
178	RIPE	ripe	411
1780	BILE	bile	1264
1781	THUMB	thumb	464
1782	GUEST	guest	710
1783	PAIN	suffering	3236
1784	WANT	wish	1201
1786	DRY UP	dry up	1984
1787	LOOM	loom	2571
1788	TELEVISION	television	2142
1789	AGE	old age	3079
179	RIPEN	ripen	1588
1791	BUTTERFLY	butterfly	332
1792	PERJURY	perjury	4856
1793	BAT	bat	470
1794	FURROW	furrow	1680
1795	BANANA TREE	banana tree	3574
1796	SLAUGHTER	slaughter	1409
1797	HEDGEHOG	hedgehog	1993
1798	GUNPOWDER	gunpowder	2860
1799	HYENA	hyena	1127
18	EARLOBE	earlobe	3009
1802	SCREW	screw	2549
1803	WOOD	log	1403
1804	BOMB	bomb	2756
1807	AFTERNOON	afternoon	475
1808	PUS	pus	726
1809	PIMPLE	pimple	1470
181	ANTEATER	anteater	3946
1810	DANGER	danger	1389
1812	TRY	try	742
1813	TASTY	delicious	2761
1814	ACCUSE	accuse	1422
1815	ACHE	ache	1377
1816	BESIDE	beside	1258
1817	WEST	west	549
1819	LOOK	look at	612
1820	BEAR	bear	471
1821	BRUSH	brush	1326
1823	BORROW	borrow	893
1825	COPPER	copper	950
1826	ANGRY	angry	1085
1828	ASK (REQUEST)	ask for	1702
1829	JUMP	jump	340
183	BAKE	bake	1324
1830	CRANE	crane	2500
1831	MEET	meet	594
1833	DINNER (SUPPER)	evening meal	9474
1834	SHE	she	184
1835	MARROW	bone marrow	4669
1836	VAGINA	vagina	724
1837	VULVA	vulva	1122
1838	NAVEL	belly button	2754
1839	CRY	weep	314
184	MAST	mast	2766
1840	BUILD	build	473
1841	SUSPECT	suspect	1957
1842	OBSTINATE	obstinate	3923
1843	THOUSAND	one thousand	2719
1844	BOAT	boat	500
1845	BALL	sphere	2001
1846	RULE	rule	1200
1847	SICK	feverish	9832
1848	QUARREL	quarrel	800
1849	ROW	row	896
185	FIREPLACE	hearth	1328
1850	COTTON	cotton	877
1851	POCKET	pocket	1187
1852	OFTEN	frequently	3548
1853	DOVE	pigeon	846
1854	SPARROW	sparrow	2578
1855	BIRCH	birch	2755
1856	SOFT	softness	4790
1857	CROCODILE	crocodile	352
1858	FISHERMAN	fisherman	1295
1859	THIRD	third	1104
186	SHIN	shin	1009
1860	BEAD	beads	3865
1861	ACTIVE	active	3195
1862	DONKEY	ass	796
1863	AMAZING	amazing	7567
1864	HUNGER	hunger	390
1865	BUZZARD	buzzard	6000
1866	STUTTER	stutter	1157
1867	COIN	coin	1428
1868	VISIBLE	visible	3643
1869	BUY	but	1259
1870	ANCHOR	anchor	1646
1871	CAMEL	camel	1016
1872	DUIKER	duiker	9820
1873	ANTHILL	anthill	2696
1874	SAUSAGE	sausage	2350
1875	REGRET	be sorry	2829
1876	REINDEER	reindeer	3450
1877	EAST	east	573
1879	DANCE	dance	241
1880	PASSIONATE	passionate	9150
1881	ENOUGH	enough	978
1882	BEFORE	till	2060
1883	IN FRONT OF	in front	3918
1884	HARD	hardness	3873
1886	ARMPIT	armpit	398
1887	CHEAP	cheap	1174
1888	PAIR	pair	1332
1889	ARSON	arson	4297
189	HAIR (BODY)	body hair	921
1890	BELIEVE	faith	1929
1892	TOUCH	touch	516
1893	QUAIL	quail	2575
1894	ASHAMED	ashamed	940
1895	CLOTHES	clothes	481
1896	FINGERNAIL OR TOENAIL	nail	192
1897	HELP	help	604
1899	MAD	insane	1566
19	FISHING LINE	fishing line	1655
190	MOW	mow	2424
1901	SHOVEL	shovel	1453
1902	BETRAY	betray	1706
1903	SWELLING	bump	2462
1904	DROWN	drown	1444
1905	EAGLE	eagle	577
1906	SOUR	sourness	4708
1907	MOLE	mole	1899
1908	ATTENTIVE	attentive	7046
1909	SHAKE	shake	540
191	NUT	nut	1302
1910	STINGRAY	stingray	2935
1911	DRAW (WATER)	draw water	5774
1913	PRESS	press down	9698
1914	DEBT	debt	1093
1915	FIR	fir	3438
1916	GILL	gills	7608
1917	TIE	bind	231
1918	MANE	mane	2862
1919	TORCH	torch	1051
192	CORNER	corner	1039
1923	ROUGH	rough	857
1924	VEIN	vein	367
1925	ARTERY	artery	606
1926	OINTMENT	ointment	1806
1927	BAMBOO	bamboo	1025
