CONCEPTICON_ID	CONCEPTICON_GLOSS	CHINESE	CHINESE_FREQUENCY	CHINESE_FREQUENCY_LOG	CHINESE_FREQUENCY_PM	CHINESE_CD	CHINESE_CD_LOG	CHINESE_CD_PERCENTAGE	LINE_IN_SOURCE
10	FIREWOOD	柴火	40.0	1.6021	1.19	38.0	1.5798	0.61	19148
1001	BLACKSMITH	铁匠	96.0	1.9823	2.86	44.0	1.6435	0.7	11740
1003	PERMIT	允许	2734.0	3.4368	81.5	1815.0	3.2589	29.07	1095
1004	MUSCLE	肌肉	780.0	2.8921	23.25	559.0	2.7474	8.95	2911
1006	BRICK	砖	193.0	2.2856	5.75	111.0	2.0453	1.78	7678
1008	BULL	公牛	159.0	2.2014	4.74	93.0	1.9685	1.49	8673
101	BOAST	吹牛	210.0	2.3222	6.26	170.0	2.2304	2.72	7315
1011	BRIDGE	桥	1074.0	3.031	32.02	470.0	2.6721	7.53	2283
1017	APPEARANCE	样子	5337.0	3.7273	159.09	3007.0	3.4781	48.17	615
1019	RIGHT	右	1738.0	3.24	51.81	903.0	2.9557	14.46	1564
1020	HANDKERCHIEF	帕	413.0	2.616	12.31	197.0	2.2945	3.16	4626
1021	TOWEL	毛巾	462.0	2.6646	13.77	320.0	2.5051	5.13	4268
1025	WHISTLE	哨子	48.0	1.6812	1.43	34.0	1.5315	0.54	17441
1028	YAWN	打哈欠	31.0	1.4914	0.92	20.0	1.301	0.32	21944
1031	ON PURPOSE	故意	1803.0	3.256	53.75	1317.0	3.1196	21.1	1520
1032	CITIZEN	民	529.0	2.7235	15.77	221.0	2.3444	3.54	3887
1033	GRIND	磨	381.0	2.5809	11.36	287.0	2.4579	4.6	4897
1035	GOOD	好	334698.0	5.5247	9977.13	6241.0	3.7953	99.97	10
1036	OWNER	主	3030.0	3.4814	90.32	1452.0	3.162	23.26	997
1038	TEACHER	老师	3879.0	3.5887	115.63	1170.0	3.0682	18.74	804
1039	SHOW	展示	1801.0	3.2555	53.69	933.0	2.9699	14.94	1525
1041	INCREASE	增加	938.0	2.9722	27.96	734.0	2.8657	11.76	2525
1042	CARPENTER	木匠	85.0	1.9294	2.53	54.0	1.7324	0.86	12605
1043	BRAID	编	1943.0	3.2885	57.92	881.0	2.945	14.11	1436
1044	PILLOW	枕头	487.0	2.6875	14.52	331.0	2.5198	5.3	4118
1046	SHUT	关闭	1204.0	3.0806	35.89	642.0	2.8075	10.28	2087
1047	PURSUE	追	2916.0	3.4648	86.92	1724.0	3.2365	27.61	1029
1050	MOTHER-IN-LAW	岳母	60.0	1.7782	1.79	46.0	1.6628	0.74	15441
1052	LIGHT (WEIGHT)	輕	5.0	0.699	0.15	1.0	0.0	0.02	46820
1053	HUNTER	猎人	345.0	2.5378	10.28	189.0	2.2765	3.03	5213
1054	SMALLPOX	天花	30.0	1.4771	0.89	28.0	1.4472	0.45	22255
1055	FATHER-IN-LAW	岳父	104.0	2.017	3.1	70.0	1.8451	1.12	11210
1056	SON-IN-LAW	女婿	106.0	2.0253	3.16	78.0	1.8921	1.25	11075
1057	DAUGHTER-IN-LAW	儿媳	23.0	1.3617	0.69	17.0	1.2304	0.27	25225
106	SATIATED	饱	425.0	2.6284	12.67	360.0	2.5563	5.77	4543
1061	ARMOUR	甲	432.0	2.6355	12.88	244.0	2.3874	3.91	4484
1063	NEPHEW	侄子	467.0	2.6693	13.92	300.0	2.4771	4.81	4240
1065	SPIDER WEB	蜘蛛网	55.0	1.7404	1.64	31.0	1.4914	0.5	16146
1069	GLUE	胶	343.0	2.5353	10.22	234.0	2.3692	3.75	5229
1071	HOOK	钩	267.0	2.4265	7.96	177.0	2.248	2.84	6221
1072	PRISONER	犯人	1040.0	3.017	31.0	437.0	2.6405	7.0	2343
1075	TRAP (PITFALL)	陷阱	599.0	2.7774	17.86	420.0	2.6232	6.73	3519
1076	EMERGE (APPEAR)	出现	7322.0	3.8646	218.26	3652.0	3.5625	58.5	456
1077	WHEAT	麦子	14.0	1.1461	0.42	10.0	1.0	0.16	31114
1080	VULGAR	粗俗	131.0	2.1173	3.91	111.0	2.0453	1.78	9756
1082	MERCHANT	商人	396.0	2.5977	11.8	310.0	2.4914	4.97	4757
1083	MESS	乱	3332.0	3.5227	99.32	2214.0	3.3452	35.46	928
1084	CALL	叫	34648.0	4.5397	1032.83	5853.0	3.7674	93.75	127
1085	FOLLOW	跟	62979.0	4.7992	1877.36	5801.0	3.7635	92.92	70
1086	WORK (ACTIVITY)	干活	1184.0	3.0734	35.29	831.0	2.9196	13.31	2116
1088	SINK (DESCEND)	沉	496.0	2.6955	14.79	354.0	2.549	5.67	4073
1090	BE BORN	出生	1753.0	3.2438	52.26	1213.0	3.0839	19.43	1555
1091	SALTY	咸	182.0	2.2601	5.43	119.0	2.0755	1.91	7961
1093	MIDDLE	中	34862.0	4.5424	1039.21	5837.0	3.7662	93.5	126
1094	FASTEN	系	1010.0	3.0043	30.11	674.0	2.8287	10.8	2401
1095	LET GO OR SET FREE	释放	1511.0	3.1793	45.04	937.0	2.9717	15.01	1764
1096	SONG	歌	6309.0	3.8	188.07	1505.0	3.1775	24.11	534
1098	WEIGH	称	1423.0	3.1532	42.42	1065.0	3.0273	17.06	1837
1100	COOK (SOMETHING)	熬	692.0	2.8401	20.63	567.0	2.7536	9.08	3160
1102	CLIMB	爬	1916.0	3.2824	57.11	1194.0	3.077	19.13	1451
1104	NURSE	护士	1365.0	3.1351	40.69	692.0	2.8401	11.08	1904
1106	FALL ASLEEP	睡着	782.0	2.8932	23.31	621.0	2.7931	9.95	2905
1107	GO OUT	出	42784.0	4.6313	1275.36	6120.0	3.7868	98.03	105
1108	UNCOVER	揭	106.0	2.0253	3.16	92.0	1.9638	1.47	11040
1109	WOUND	伤口	1299.0	3.1136	38.72	748.0	2.8739	11.98	1975
1111	CAR	汽车	2373.0	3.3753	70.74	1309.0	3.1169	20.97	1223
1113	WRAP	缠	697.0	2.8432	20.78	523.0	2.7185	8.38	3144
1114	BULLET	子弹	2488.0	3.3959	74.17	1027.0	3.0116	16.45	1173
1115	SPEECH	言	1044.0	3.0187	31.12	822.0	2.9149	13.17	2333
1117	LIKE	喜爱	484.0	2.6848	14.43	380.0	2.5798	6.09	4143
1120	HONEST	老实	1615.0	3.2082	48.14	1206.0	3.0813	19.32	1669
1121	SECRET	保密	1084.0	3.035	32.31	793.0	2.8993	12.7	2264
1122	WAGES	工资	601.0	2.7789	17.92	432.0	2.6355	6.92	3506
1123	PREGNANT	怀孕	2206.0	3.3436	65.76	922.0	2.9647	14.77	1303
1124	PIPE	烟筒	2.0	0.301	0.06	2.0	0.301	0.03	64331
1125	BALD	秃	66.0	1.8195	1.97	58.0	1.7634	0.93	14592
1127	SEND	发	6323.0	3.8009	188.48	3166.0	3.5005	50.71	531
1128	ORDER	顺序	325.0	2.5119	9.69	268.0	2.4281	4.29	5454
1129	PAINFUL	疼	2477.0	3.3939	73.84	1323.0	3.1216	21.19	1177
1131	WE (INCLUSIVE)	咱们	6519.0	3.8142	194.33	1551.0	3.1906	24.84	515
1132	BEAM	房梁	15.0	1.1761	0.45	14.0	1.1461	0.22	30111
1133	MATCH	火柴	207.0	2.316	6.17	153.0	2.1847	2.45	7362
1135	KICK	踢	2266.0	3.3553	67.55	1234.0	3.0913	19.77	1262
1136	RABBIT	兔子	797.0	2.9015	23.76	361.0	2.5575	5.78	2861
1137	TENDON	筋	124.0	2.0934	3.7	103.0	2.0128	1.65	10088
1139	LEOPARD	豹	176.0	2.2455	5.25	77.0	1.8865	1.23	8133
1142	URINE	尿	1788.0	3.2524	53.3	901.0	2.9547	14.43	1535
1146	AUBERGINE	茄子	162.0	2.2095	4.83	99.0	1.9956	1.59	8548
1147	PURE	清	2848.0	3.4545	84.9	1909.0	3.2808	30.58	1055
1149	ORPHAN	孤儿	392.0	2.5933	11.69	239.0	2.3784	3.83	4797
1150	THUNDER	雷电	68.0	1.8325	2.03	33.0	1.5185	0.53	14382
1153	CATTLE	牲口	79.0	1.8976	2.35	48.0	1.6812	0.77	13158
1155	CAVE	山洞	151.0	2.179	4.5	96.0	1.9823	1.54	8935
1156	OPEN	开	27382.0	4.4375	816.24	5709.0	3.7566	91.45	155
1157	BECAUSE	因为	59823.0	4.7769	1783.29	6148.0	3.7887	98.48	72
1158	STEP	步	4208.0	3.6241	125.44	2342.0	3.3696	37.51	743
1159	FART	屁	2332.0	3.3677	69.52	1200.0	3.0792	19.22	1239
1160	THIEF	小偷	572.0	2.7574	17.05	359.0	2.5551	5.75	3659
1161	THREAD	线	3791.0	3.5788	113.01	1873.0	3.2725	30.0	827
1171	MIRROR	镜子	772.0	2.8876	23.01	419.0	2.6222	6.71	2925
1172	SHOOT	射击	799.0	2.9025	23.82	434.0	2.6375	6.95	2853
1173	EYEBROW	眉毛	234.0	2.3692	6.98	175.0	2.243	2.8	6824
1174	YESTERDAY	昨天	4483.0	3.6516	133.64	2527.0	3.4026	40.48	704
1175	GHOST	鬼	4202.0	3.6235	125.26	1952.0	3.2905	31.27	745
1176	SPADE	铲子	178.0	2.2504	5.31	106.0	2.0253	1.7	8065
1179	DAY AFTER TOMORROW	后天	91.0	1.959	2.71	81.0	1.9085	1.3	12120
1180	DAY BEFORE YESTERDAY	前天	114.0	2.0569	3.4	96.0	1.9823	1.54	10598
1183	PALM OF HAND	手掌	129.0	2.1106	3.85	111.0	2.0453	1.78	9847
1185	VULTURE	秃鹫	31.0	1.4914	0.92	26.0	1.415	0.42	21977
1187	GOOSE	鵝	1.0	0.0	0.03	1.0	0.0	0.02	70555
1188	CHARCOAL	炭	59.0	1.7709	1.76	42.0	1.6232	0.67	15623
1189	ULCER	溃疡	61.0	1.7853	1.82	41.0	1.6128	0.66	15263
119	DIVE	潜水	367.0	2.5647	10.94	145.0	2.1614	2.32	5013
1191	COOKED RICE	米饭	147.0	2.1673	4.38	81.0	1.9085	1.3	9088
1193	STEAM	蒸汽	122.0	2.0864	3.64	57.0	1.7559	0.91	10214
1195	GIVE BIRTH	分娩	161.0	2.2068	4.8	88.0	1.9445	1.41	8588
1198	MANY	多	52605.0	4.721	1568.12	6189.0	3.7916	99.14	80
1199	WIFE	妻子	6494.0	3.8125	193.58	2401.0	3.3804	38.46	518
12	MIDDAY	午	105.0	2.0212	3.13	76.0	1.8808	1.22	11117
1200	HUSBAND	夫	1154.0	3.0622	34.4	579.0	2.7627	9.27	2166
1201	FEATHER	羽	54.0	1.7324	1.61	25.0	1.3979	0.4	16251
1202	BIG	大	45061.0	4.6538	1343.24	6109.0	3.786	97.85	99
1203	LONG	長	3.0	0.4771	0.09	3.0	0.4771	0.05	55982
1204	BARK	树皮	25.0	1.3979	0.75	23.0	1.3617	0.37	24066
1205	TONGUE	舌	504.0	2.7024	15.02	367.0	2.5647	5.88	4036
1206	BARKING	吠	96.0	1.9823	2.86	55.0	1.7404	0.88	11754
1207	YOUNG	年轻	3776.0	3.577	112.56	2226.0	3.3475	35.66	831
1208	CAT	貓	3.0	0.4771	0.09	1.0	0.0	0.02	53168
1209	I	我	1682285.0	6.2259	50147.83	6242.0	3.7953	99.98	2
121	SPIN	卷	1464.0	3.1655	43.64	953.0	2.9791	15.27	1792
1210	HEAVY	重	5079.0	3.7058	151.4	2860.0	3.4564	45.81	641
1211	HE	他	397653.0	5.5995	11853.78	6237.0	3.795	99.9	8
1212	WE	我们	371696.0	5.5702	11080.02	6241.0	3.7953	99.97	9
1213	YOU	你们	112946.0	5.0529	3366.85	6171.0	3.7904	98.85	46
1214	THIS	这个	92058.0	4.9641	2744.19	6229.0	3.7944	99.78	54
1215	THOU	你	1329424.0	6.1237	39629.27	6242.0	3.7953	99.98	3
1216	MOTHER	母	1061.0	3.0257	31.63	601.0	2.7789	9.63	2300
1217	FATHER	父	769.0	2.8859	22.92	404.0	2.6064	6.47	2929
1218	ROPE	绳	362.0	2.5587	10.79	226.0	2.3541	3.62	5057
1219	WORM	虫子	721.0	2.8579	21.49	249.0	2.3962	3.99	3067
1220	TAIL	尾	508.0	2.7059	15.14	320.0	2.5051	5.13	4017
1221	NOSE	鼻	385.0	2.5855	11.48	211.0	2.3243	3.38	4857
1222	PENIS	阴茎	269.0	2.4298	8.02	127.0	2.1038	2.03	6183
1223	HEART	心脏	1830.0	3.2625	54.55	801.0	2.9036	12.83	1503
1224	LIVER	肝脏	323.0	2.5092	9.63	148.0	2.1703	2.37	5480
1225	DAY (NOT NIGHT)	白天	582.0	2.7649	17.35	469.0	2.6712	7.51	3605
1226	YEAR	年	30648.0	4.4864	913.6	5578.0	3.7465	89.35	141
1227	BOARD	木板	148.0	2.1703	4.41	82.0	1.9138	1.31	9067
1228	EARTH (SOIL)	土壤	84.0	1.9243	2.5	56.0	1.7482	0.9	12735
123	FOREHEAD	额头	184.0	2.2648	5.48	152.0	2.1818	2.43	7903
1230	DIRTY	肮脏	655.0	2.8162	19.53	499.0	2.6981	7.99	3298
1231	NEW	新	17291.0	4.2378	515.43	5059.0	3.7041	81.03	229
1232	WARM	温暖	589.0	2.7701	17.56	485.0	2.6857	7.77	3571
1233	NIGHT	夜里	315.0	2.4983	9.39	245.0	2.3892	3.92	5571
1234	SMOOTH	光滑	106.0	2.0253	3.16	85.0	1.9294	1.36	11084
1235	WHO	誰	3.0	0.4771	0.09	3.0	0.4771	0.05	55952
1236	WHAT	什么	236517.0	5.3739	7050.42	6224.0	3.7941	99.7	17
1237	WHERE	哪里	13471.0	4.1294	401.56	3959.0	3.5976	63.42	273
1238	WHEN	几时	49.0	1.6902	1.46	32.0	1.5051	0.51	17265
1239	HOW	怎么样	20986.0	4.3219	625.58	5278.0	3.7225	84.54	197
124	THORN	荆棘	50.0	1.699	1.49	39.0	1.5911	0.62	16928
1240	NOT	弗	485.0	2.6857	14.46	217.0	2.3365	3.48	4131
1241	SOME	几	22431.0	4.3508	668.65	5590.0	3.7474	89.54	185
1242	FEW	少	5325.0	3.7263	158.73	3116.0	3.4936	49.91	616
1243	WIDE	宽	396.0	2.5977	11.8	295.0	2.4698	4.73	4760
1244	THICK	厚	416.0	2.6191	12.4	354.0	2.549	5.67	4609
1246	SMALL	小	34967.0	4.5437	1042.34	5838.0	3.7663	93.51	125
1247	EAR	耳	631.0	2.8	18.81	299.0	2.4757	4.79	3392
1248	EYE	眼	3539.0	3.5489	105.5	2073.0	3.3166	33.21	881
125	SWEAT (SUBSTANCE)	汗水	71.0	1.8513	2.12	62.0	1.7924	0.99	13940
