CONCEPTICON_ID	CONCEPTICON_GLOSS	POLISH	ENGLISH	POLISH_POS	POLISH_VALENCE_MEAN	POLISH_AROUSAL_MEAN	POLISH_DOMINANCE_MEAN	POLISH_ORIGIN_MEAN	POLISH_SIGNIFICANCE_MEAN	POLISH_CONCRETENESS_MEAN	POLISH_IMAGEABILITY_MEAN	POLISH_AOA_MEAN	POLISH_VALENCE_MEAN_FEMALE	POLISH_AROUSAL_MEAN_FEMALE	POLISH_DOMINANCE_MEAN_FEMALE	POLISH_ORIGIN_MEAN_FEMALE	POLISH_SIGNIFICANCE_MEAN_FEMALE	POLISH_CONCRETENESS_MEAN_FEMALE	POLISH_IMAGEABILITY_MEAN_FEMALE	POLISH_AOA_MEAN_FEMALE	POLISH_AOA_MEAN_FEMALE	POLISH_VALENCE_MEAN_MALE	POLISH_AROUSAL_MEAN_MALE	POLISH_DOMINANCE_MEAN_MALE	POLISH_ORIGIN_MEAN_MALE	POLISH_SIGNIFICANCE_MEAN_MALE	POLISH_CONCRETENESS_MEAN_MALE	POLISH_IMAGEABILITY_MEAN_MALE	POLISH_AOA_MEAN_MALE	POLISH_AOA_MEAN_MALE	LINE_IN_SOURCE
1007	COW	krowa	cow	N	5.0800	2.9400	4.4600	5.4400	2.6600	1.7600	8.2600	6.2600	4.8000	2.9600	4.6400	5.6400	2.8000	1.3200	8.6400	5.5200	5.5200	5.3600	2.9200	4.2800	5.2400	2.5200	2.2000	7.8800	7.0000	7.0000	1392
1025	WHISTLE	gwizdać	whistle	V	5.1800	4.2600	5.4200	4.8200	2.7200	3.5400	7.5200	6.7400	5.1600	4.6000	5.3600	5.0000	2.7200	2.9200	7.9600	6.8800	6.8800	5.2000	3.9200	5.4800	4.6400	2.7200	4.1600	7.0800	6.6000	6.6000	970
1069	GLUE	kleić	to stick	V	4.6600	3.6000	5.4200	6.2200	3.0400	3.5600	7.1224	6.9600	4.5600	3.5200	5.4400	5.9600	2.6800	2.7600	7.4800	6.3200	6.3200	4.7600	3.6800	5.4000	6.4800	3.4000	4.3600	6.7500	7.6000	7.6000	1215
1070	BUS	autobus	bus	N	5.1800	3.0200	5.2800	6.4000	2.9800	1.6000	7.9000	6.1800	5.0800	3.2400	5.2000	6.4800	3.0800	1.4000	8.0000	5.6000	5.6000	5.2800	2.8000	5.3600	6.3200	2.8800	1.8000	7.8000	6.7600	6.7600	74
1088	SINK (DESCEND)	tonąć	to sink	V	2.4000	5.7400	3.2400	4.5800	3.6800	3.9800	7.2200	8.1400	2.4400	6.1600	2.7600	5.0400	4.1200	3.4400	7.8000	7.8400	7.8400	2.3600	5.3200	3.7200	4.1200	3.2400	4.5200	6.6400	8.4400	8.4400	3889
1098	WEIGH	ważyć	to scale	V	4.8200	4.1400	5.6600	6.1000	3.1000	4.2200	6.6800	7.2000	5.2000	3.4400	5.0000	5.6000	1.6800	1.2400	8.3600	8.2000	8.2000	5.4000	2.7600	4.7600	5.2800	2.2800	1.9600	7.2000	8.3200	8.3200	4182
1100	COOK (SOMETHING)	gotować	cook	V	6.6600	4.3000	5.8800	4.8600	3.9800	3.8800	7.6800	7.2000	6.8800	4.5200	6.4400	5.2800	4.3600	3.2000	8.1200	6.8000	6.8000	6.4400	4.0800	5.3200	4.4400	3.6000	4.5600	7.2400	7.6000	7.6000	904
1136	RABBIT	królik	bunny / rabbit	N	5.7200	2.9800	4.5800	5.9000	2.7000	1.4400	8.2200	5.8800	5.8400	2.9600	4.6400	6.0000	2.6000	1.0400	8.2800	5.7600	5.7600	5.6000	3.0000	4.5200	5.8000	2.8000	1.8400	8.1600	6.0000	6.0000	1394
1206	BARKING	szczekać	to bark	V	4.7800	4.5400	5.0200	4.6400	3.0400	4.0000	7.5000	6.6400	4.8000	5.0000	5.4000	4.8800	2.7600	3.2800	8.1600	5.5600	5.5600	4.7600	4.0800	4.6400	4.4000	3.3200	4.7200	6.8400	7.7200	7.7200	3648
1208	CAT	kot	cat	N	5.8000	3.3600	5.9800	4.6200	3.3400	1.6600	8.4000	5.7600	5.9200	3.3600	6.1600	4.6000	3.0000	1.2800	8.6000	4.7200	4.7200	5.6800	3.3600	5.8000	4.6400	3.6800	2.0400	8.2000	6.8000	6.8000	1358
1220	TAIL	ogon	tail	N	4.8600	3.3400	4.6600	5.9200	2.6800	2.1200	7.7400	6.4200	4.8800	3.6000	4.9600	6.0000	2.7600	1.0800	7.8000	5.5200	5.5200	4.8400	3.0800	4.3600	5.8400	2.6000	3.1600	7.6800	7.3200	7.3200	2248
1221	NOSE	nos	nose	N	5.1600	3.1800	5.1400	5.7400	3.7400	1.8800	8.0200	5.8800	5.2400	3.0400	5.4000	5.6000	3.4000	1.2000	8.4000	5.4000	5.4000	5.0800	3.3200	4.8800	5.8800	4.0800	2.5600	7.6400	6.3600	6.3600	2098
1223	HEART	serce	heart	N	6.9400	4.6800	5.9400	2.6600	5.4000	2.6800	7.9000	6.2200	7.4800	5.3600	6.0800	2.9200	5.9200	2.1200	8.2000	6.0800	6.0800	6.4000	4.0000	5.8000	2.4000	4.8800	3.2400	7.6000	6.3600	6.3600	3326
1247	EAR	ucho	ear	N	5.2400	3.3200	5.0600	5.5000	3.4000	1.9400	8.1200	5.4400	5.2400	3.2800	5.3200	5.9600	3.2400	1.5600	8.3200	4.8400	4.8400	5.2400	3.3600	4.8000	5.0400	3.5600	2.3200	7.9200	6.0400	6.0400	3995
1248	EYE	oko	eye	N	5.3600	3.1000	5.7200	5.7200	3.7200	1.8400	8.4000	5.8400	5.5200	3.4400	5.9600	5.7600	3.8800	1.3600	8.5600	5.4000	5.4000	5.2000	2.7600	5.4800	5.6800	3.5600	2.3200	8.2400	6.2800	6.2800	2264
1252	HOUSE	dom	home/ house	N	7.3200	2.9200	6.4200	4.9800	5.4200	2.6000	8.0800	5.0200	7.5200	2.8400	6.4800	5.3600	6.4000	1.7600	8.3200	4.4000	4.4000	7.1200	3.0000	6.3600	4.6000	4.4400	3.4400	7.8400	5.6400	5.6400	568
1255	SNOWING	śnieżyć	to snow	V	5.2000	4.0200	4.7200	5.2000	2.7800	3.7400	7.0400	8.1000	5.3200	4.1600	4.8800	5.6000	3.0000	3.3200	7.3600	8.2400	8.2400	5.0800	3.8800	4.5600	4.8000	2.5600	4.1600	6.7200	7.9600	7.9600	3772
1261	SING	śpiewać	to sing	V	6.8200	4.3800	5.5400	4.7600	4.2400	3.9600	7.6000	5.7200	7.0800	4.7200	5.4400	4.6000	4.8000	3.6000	8.0400	5.2800	5.2800	6.5600	4.0400	5.6400	4.9200	3.6800	4.3200	7.1600	6.1600	6.1600	3775
127	EXTINGUISH	gasić	to extinguish	V	5.3000	3.9200	5.7400	5.6200	3.4600	3.5400	7.0600	7.8800	5.1600	4.2800	5.7600	5.8800	3.5200	2.8800	7.4000	8.1200	8.1200	5.4400	3.5600	5.7200	5.3600	3.4000	4.2000	6.7200	7.6400	7.6400	829
1273	CANDLE	świeczka	candle	N	5.6200	3.2400	5.2800	5.5400	3.5800	1.8750	8.1600	7.4000	5.8000	3.2800	5.6800	5.6800	3.7600	1.4000	8.4000	6.7200	6.7200	5.4400	3.2000	4.8800	5.4000	3.4000	2.3913	7.9200	8.0800	8.0800	3791
1280	FALL	spadać	to fall	V	3.8400	4.9800	3.5200	4.9200	4.2000	4.0800	7.0400	6.8800	3.6800	5.2400	3.4800	5.0000	4.5600	3.4800	7.2800	6.6000	6.6000	4.0000	4.7200	3.5600	4.8400	3.8400	4.6800	6.8000	7.1600	7.1600	3469
1290	ELEPHANT	słoń	elephant	N	5.8600	3.1000	5.9400	5.9200	2.6400	1.5400	8.2400	6.8200	5.7200	3.0800	6.1200	6.1200	2.6000	1.3200	8.5200	6.2800	6.2800	6.0000	3.1200	5.7600	5.7200	2.6800	1.7600	7.9600	7.3600	7.3600	3423
1297	LEG	noga	leg	N	5.2800	3.0600	5.2200	5.4400	3.3400	1.5600	7.8800	6.1600	5.2000	3.3600	5.4800	5.6000	3.4800	1.1600	8.0400	5.3600	5.3600	5.3600	2.7600	4.9600	5.2800	3.2000	1.9600	7.7200	6.9600	6.9600	2091
1302	FORK	widelec	fork	N	5.1800	2.8800	5.2200	5.7600	3.2000	1.7400	8.1400	6.6200	5.6800	3.2400	6.0800	6.2400	3.2400	2.9200	7.0000	12.4400	12.4400	5.7600	3.5600	5.4800	6.2400	3.0400	3.8400	6.8800	11.5200	11.5200	4228
1313	MOON	księżyc	moon	N	6.5000	3.4400	5.7800	5.1400	3.9000	2.1400	8.1837	6.7800	6.7600	4.1600	5.8400	5.4400	3.8000	1.4000	8.6000	7.0400	7.0400	6.2400	2.7200	5.7200	4.8400	4.0000	2.8800	7.7500	6.5200	6.5200	1426
1320	APPLE	jabłko	apple	N	6.2600	2.8800	5.0400	5.6800	3.6000	1.7400	8.4200	5.7800	6.3200	2.6400	5.2800	5.7200	3.3200	1.3200	8.6400	5.4800	5.4800	6.2000	3.1200	4.8000	5.6400	3.8800	2.1600	8.2000	6.0800	6.0800	1078
1321	BOTTLE	butelka	bottle	N	5.5600	2.9000	4.7000	5.5600	2.9400	2.1200	8.1000	6.2200	5.3200	2.8400	4.8000	5.6400	2.7600	1.4400	8.4000	5.3600	5.3600	5.8000	2.9600	4.6000	5.4800	3.1200	2.8000	7.8000	7.0800	7.0800	314
1323	CLOCK	zegar	clock	N	5.1200	3.0200	5.4400	6.8600	4.2200	1.9600	8.1000	6.1400	5.9200	3.4000	5.0000	5.6400	1.9600	1.2400	8.2800	6.8800	6.8800	5.6000	3.2000	4.7600	5.7600	2.2800	2.2000	7.8000	8.0400	8.0400	4711
1336	EAT	jeść	eat	V	6.9600	4.1200	5.6900	5.2300	4.4000	3.4000	7.6600	5.3200	7.3200	4.4800	6.0200	5.0400	5.0200	2.7200	8.0800	4.4600	4.4600	6.6000	3.7600	5.3600	5.4200	3.7800	4.0800	7.2400	6.1800	6.1800	1110
1343	SUN	słońce	sun	N	7.0800	4.0000	6.4600	4.5200	4.6200	2.6400	8.4800	5.7400	7.6000	3.8400	6.8400	4.7600	5.2400	2.0000	8.7200	5.2800	5.2800	6.5600	4.1600	6.0800	4.2800	4.0000	3.2800	8.2400	6.2000	6.2000	3424
1350	MONKEY	małpa	monkey	N	5.3400	3.8800	4.5510	5.5000	2.8600	1.7400	8.1224	7.4400	5.4000	4.2000	4.8000	5.6800	2.1200	1.3200	8.3600	6.8400	6.8400	5.2800	3.5600	4.2917	5.3200	3.6000	2.1600	7.8750	8.0400	8.0400	1635
1352	KNIFE	nóż	knife	N	4.4800	5.0800	5.9600	6.1800	3.7200	1.5200	8.3200	6.6939	4.3200	5.5200	5.4400	6.5600	3.4400	1.1200	8.6400	6.4800	6.4800	4.6400	4.6400	6.4800	5.8000	4.0000	1.9200	8.0000	6.9167	6.9167	2107
1355	LAUGH	śmiać się	to laugh	V	7.6800	5.8000	6.1000	3.6600	5.7800	4.1400	7.5600	6.3600	8.0000	5.9200	6.2800	3.7200	6.0800	3.5600	8.2800	5.7200	5.7200	7.3600	5.6800	5.9200	3.6000	5.4800	4.7200	6.8400	7.0000	7.0000	3756
1360	DUCK	kaczka	duck	N	5.3200	3.1600	4.5000	5.6200	2.9800	2.0800	8.1000	7.1000	5.4400	3.1600	4.6400	5.8000	2.8400	1.2400	8.2400	6.1600	6.1600	5.2000	3.1600	4.3600	5.4400	3.1200	2.9200	7.9600	8.0400	8.0400	1127
1378	SPOON	łyżka	spoon	N	5.1800	2.8600	4.8000	5.4200	3.3200	1.4400	8.3400	6.5200	5.1200	2.9200	4.8800	5.2400	3.2800	1.2800	8.5200	6.6800	6.6800	5.2400	2.8000	4.7200	5.6000	3.3600	1.6000	8.1600	6.3600	6.3600	1605
1381	SHOE	but	shoe	N	5.4600	2.9600	5.2400	5.9400	3.7600	1.7800	7.9800	6.3200	5.6400	3.2400	5.3600	5.8800	3.5600	1.1200	8.1600	5.8800	5.8800	5.2800	2.6800	5.1200	6.0000	3.9600	2.4400	7.8000	6.7600	6.7600	313
1382	NEEDLE (FOR SEWING)	igła	needle	N	4.3800	3.7200	5.4600	5.4200	3.0600	1.8000	8.0800	7.6000	4.4800	3.4400	5.6000	5.8400	3.0800	1.0400	8.3200	7.0800	7.0800	4.2800	4.0000	5.3200	5.0000	3.0400	2.5600	7.8400	8.1200	8.1200	1036
1386	LION	lew	lion	N	5.9000	4.4600	7.0000	5.0600	2.9600	1.9200	8.3600	6.6800	5.8000	4.9600	7.1600	5.2800	2.8800	1.8400	8.6400	6.0400	6.0400	6.0000	3.9600	6.8400	4.8400	3.0400	2.0000	8.0800	7.3200	7.3200	1509
