ID,ENG 1,ENG 2,PoS,ARA 1,ARA 2,CMN 1,CMN 2,CYM 1,CYM 2,EST 1,EST 2,FIN 1,FIN 2,FRA 1,FRA 2,HEB 1,HEB 2,POL 1,POL 2,RUS 1,RUS 2,SPA 1,SPA 2,SWA 1,SWA 2,YUE 1,YUE 2,scores 1,scores 2,translation 1,translation 2
1,arm,muscle,nouns,ذراع,عضل,手臂,肌肉,braich,cyhyr,käsi,lihas,käsivarsi,lihas,bras,muscle,זרוע,שריר,ramię,mięsień,рука,мускул,brazo,músculo,mkono,misuli,手臂,肌肉,arm,muscle,arm,muscle
2,democracy,monarchy,nouns,ديمقراطية,ملكية,民主,帝制,democratiaeth,brenhiniaeth,demokraatia,monarhia,demokratia,monarkia,démocratie,monarchie,דמוקרטיה,מלוכה,demokracja,monarchia,демократия,монархия,democracia,monarquía,ufalme,demokrasia,民主,帝制,democracy,monarchy,democracy,monarchy
3,roof,ceiling,nouns,سطح,سقف,屋顶,天花板,to,nenfwd,katus,lagi,katto,sisäkatto,toit,plafond,גג,תקרה,dach,sufit,крыша,потолок,tejado,techo,paa,dari,屋頂,天花板,roof,ceiling,roof,ceiling
4,friend,teacher,nouns,صديق,معلّم,朋友,老师,ffrind,athro,sõber,õpetaja,ystävä,opettaja,ami,professeur,חבר,מורה,przyjaciel,nauczyciel,друг,наставник,amigo,profesor,rafiki,mwalimu,朋友,老師,friend,teacher,friend,teacher
5,hand,foot,nouns,يد,قدم,手,脚,llaw,troed,käsi,jalg,käsi ,jalkaterä,main,pied,יד,רגל,ręka,stopa,кисть,ступня,mano,pie,mkono,mguu,手,腳,hand,foot,hand,foot
6,biography,fiction,nouns,سيرة شخصية,خيال,传记,小说,bywgraffiad,ffuglen,biograafia,ilukirjandus,elämäkerta,fiktio,biographie,fiction,ביוגרפיה,בדיה,biografia,fikcja,биография,роман,biografía,ficción,wasifu,habari za kubuniwa,傳記,小說,biography,fiction,biography,fiction
7,disc,computer,nouns,إسطوانة,حاسوب,磁盘,电脑,disg,cyfrifiadur,ketas,arvuti,levy,tietokone,disque,ordinateur,דיסק,מחשב,dysk,komputer,диск,компьютер,disco,ordenador,CD,kompyuta,磁盘,電腦,disc,computer,disc,computer
8,fencing,gymnastics,nouns,سياج,رياضة بدنية,击剑,体操,ffensio,gymnasteg,vehklemine,võimlemine,miekkailu,voimistelu,escrime,gymnastique,סיוף,התעמלות,szermierka,gimnastyka,фехтование,гимнастика,Esgrima,gimnasia,mazoezi,uzio,擊劍,體操,fencing,gymnastics,fencing,gymnastics
9,bank,seat,nouns,مصرف,مقعد,银行,座位,banc,sedd,pank,iste,pankki,istuin,banque,siège,שיפוע,מושב,brzeg,siedzenie,наклон,сиденье,banco,asiento,kiti,benki,銀行,座位,bank,seat,bank,seat
10,emperor,constitution,nouns,إمبراطور,دستور,皇帝,宪法,ymerawdwr,cyfansoddiad,imperaator,põhiseadus,keisari,perustuslaki,empereur,constitution,קיסר,חוקה,cesarz,konstytucja,император,конституция,emperador,constitución,katiba,mtawala,皇帝,憲法,emperor,constitution,emperor,constitution
