NUMBER	GLOSS	ENGLISH	POS	CONCEPTICON_ID	CONCEPTICON_GLOSS	COMMENT MATTIS	Comment Kristina	Comment Mei-Shin	Comments Tiago	SIMLEX_IDS	SIMLEX_GLOSSES	OCCURRENCES	TOTAL	MANDARIN	FRENCH	RUSSIAN	SPANISH	MANDARIN_SCORE	FRENCH_SCORE	RUSSIAN_SCORE	SPANISH_SCORE	ENGLISH_SCORE
2	ability	ability	nouns	2527	ABILITY					500:1	competence	1	1	能力	aptitude	способность	capacidad	4.181818182	5.8	2.2	2.9	3.942191142
13	accuse	accuse	verbs	1814	ACCUSE					1381:1 1593:0 1686:1	blame lie judge	3	3	指控	accuser	обвинять	acusar	3.3636363636363638 0.2727272727272727 0.7272727272727273	4.7 1.0 3.1	4.3 0.2 3.0	2.4 0.5 2.9	3.827972027972027 0.35903263403263413 2.3903846153846158
27	add	add	verbs	2882	ADD					1410:1 1422:0	join build	2	4	加	ajouter	добавлять	añadir	3.727272727272727 1.0	4.3 1.5	1.3 0.5	2.9 1.0	2.2879953379953384 1.0267482517482522
28	add (numbers)	add	verbs			I changed to add -> numbers, in my opinion, this is a clear case where we have an additional sense that is expressed by a polysemous word (jia in Chinese, etc.), but has a clearer term in Russian here, like German "addieren", which would be the best translation here!	the glosses mapped to ADD 2882 seem to refer to the meaning 'put sth into sth to increase it' while the meaning here is purely mathematecial			1731:0 1732:1	divide multiply	2	4	加	ajouter	складывать	añadir	0.45454545454545453 0.45454545454545453	1.8 3.1	0.1 0.3	0.3 1.3	0.6241258741258741 1.1125874125874124
32	admit	admit	verbs	2022	ADMIT					1655:1	deny	1	1	承认	admettre	признавать	admitir	0.3636363636	1.6	0.1	0.2	0.3942890443
34	adult	adult	nouns	3635	ADULT					412:0 556:1 952:0 1042:1	baby parent guardian child	4	4	成年人	adulte	взрослый	adulto	0.5454545454545454 3.1818181818181817 2.6363636363636362 0.5454545454545454	2.2 3.8 2.9 2.4	0.8 1.7 1.4 0.8	0.6 1.1 1.3 0.5	0.693065268065268 2.463519813519813 2.008508158508159 0.8062937062937063
43	after	after	adverbs	1685	AFTER					1775:1	before	1	1	之后	après	после	después	0.3636363636	1.9	0	0.1	0.4276223776
45	age	age	nouns	1789	AGE					801:1	beauty	1	1	年龄	âge	возраст	años	0.3636363636	1.2	0.6	0.5	0.459032634
52	agree (correspond)	agree	verbs			The Spanish form is wrong as it is not a verb. As to the Russian reading, this does not seem to be necessary, as it is an abstract reading that does not show up in all other languages. So I suggest to flag it as "we don't accept the Russian translation".	Russian here: correspond, übereinstimmen			1369:0	differ	1	5	同意	être d'accord	!соответствовать	!de acuerdo	0	1.4	0	0.3	0.288986014
53	agree	agree	verbs	3643	AGREE	We have a wrong translation here, since all other languages take this as a synonym, while the Russian translation changes the context. So I suggest to flag the Russian translation as wrong, by adding an exclamation mark. This means, we can map to 3643 AGREE.	Russian here: to get on well with sb			1493:0	please	1	5	同意	être d'accord	!ладить	estar de acuerdo	2	2.3	1.3	1.1	1.19481352
54	agree	agree	verbs	3643	AGREE					1366:0 1459:0 1489:0	disagree argue accept	3	5	同意	être d'accord	соглашаться	estar de acuerdo	0.36363636363636365 0.36363636363636365 3.727272727272727	1.7 2.9 4.1	0.1 0.2 2.3	0.8 0.5 3.9	0.4518648018648019 0.5367132867132868 3.648426573426573
55	agreement	agreement	nouns	3644	AGREEMENT					394:1 472:1 603:1	hole argument pact	3	3	协议	accord	соглашение	acuerdo	0.0 0.45454545454545453 4.636363636363637	0.0 3.4 5.6	0.0 0.5 4.5	0.0 1.2 5.3	0.008333333333333333 0.7344405594405594 4.913636363636364
59	air	air	nouns	27	AIR					778:0 789:1	helium molecule	2	2	空气	air	воздух	aire	2.6363636363636362 0.45454545454545453	2.7 2.0	1.6 0.9	1.4 0.9	1.9067016317016323 0.8607808857808857
1890	plane (area)	plane	nouns	2980	AREA	Very interesting example of the inconsistency of this database! PLANE is obviously to be read as "FLÄCHE" or similar (Ebene), but they all mis-translate it as "airplane". So the gloss must be modified to plane (area) or similar, and all translations with "avion" should be discarded!		It's a 2D dimension, so it should not mapped to AIRPLANE		673:0	sheet	1	4	平面	!avion	!самолет	!avión	0.2727272727	0.1	0	0	0.1583333333
1891	plane	plane	nouns	1597	AIRPLANE					337:0 459:0 641:1	jet airport helicopter	3	4	飞机	avion	самолет	avión	3.5454545454545454 1.0909090909090908 2.5454545454545454	4.3 2.7 3.3	1.5 1.1 1.5	0.0 1.4 0.9	3.1667832167832155 1.3176573426573426 2.2777972027972027
64	alcohol	alcohol	nouns	404	ALCOHOL (FERMENTED DRINK)					125:0 309:0 496:0 517:0 524:0 933:1	gin cocktail wine brandy whiskey beer	6	6	酒	alcool	алкоголь	alcohol	3.727272727272727 3.4545454545454546 3.727272727272727 3.6363636363636362 3.6363636363636362 5.181818181818182	3.8 3.7 3.6 3.6 3.5 3.7	2.1 1.7 2.0 2.2 2.3 2.2	2.3 2.4 1.7 1.8 1.8 2.5	2.7951048951048953 2.3417249417249413 2.7527389277389283 2.7131118881118894 2.820979020979022 3.213752913752913
79	always	always	adverbs	1676	ALWAYS					1845:1	twice	1	1	总是	toujours	всегда	siempre	0	1.5	0.1	0.1	0.4022144522
80	amazing	amazing	adjectives	1863	AMAZING					1206:1	dirty	1	1	非常好	incroyable	удивительный	increíble	0	0.7	0	0	0.125
86	anchor	anchor	nouns							677:1	boat	1	1	锚	ancre	якорь	ancla	0.5454545455	2.1	0.9	1	0.9824592075
90	anger	anger	nouns	82	ANGER					758:0	fury	1	3	生气	colère	злость	enfado	4	5.4	4.4	4.2	4.567715618
91	anger	anger	nouns	82	ANGER					21:1 796:0	frustration mood	2	3	愤怒	colère	злость	enfado	2.3636363636363638 2.3636363636363638	3.7 3.1	2.0 1.4	4.5 3.1	2.8909090909090907 1.4744755244755243
93	angry	angry	adjectives	1826	ANGRY					1136:1	violent	1	2	愤怒	fâché	злой	enojado	1.909090909	2.2	4.1	1.9	1.90955711
94	angry	angry	adjectives	1826	ANGRY					1275:1	happy	1	2	生气	fâché	злой	enojado	0	1.4	0	0.2	0.3458041958
95	animal	animal	nouns	619	ANIMAL					99:1 974:0	beast person	2	2	动物	animal	животное	animal	3.5454545454545454 2.0	5.4 1.5	5.1 0.8	4.1 0.4	3.633333333333333 0.8065850815850816
96	ankle	ankle	nouns	803	ANKLE					261:1 909:0 942:1	bone window elbow	3	3	踝	cheville	лодыжка	tobillo	0.45454545454545453 0.0 0.5454545454545454	2.3 0.0 2.8	1.2 0.0 0.5	1.1 0.1 0.4	1.6603729603729602 0.0234848484848485 1.0055361305361308
97	announce	announce	verbs	9	ANNOUNCE					1633:1	declare	1	2	宣告	annoncer	объявлять	anunciar	4.181818182	5.7	4.8	4.1	4.129487179
98	announce	announce	verbs	9	ANNOUNCE					1751:1	proclaim	1	2	宣告	annoncer	провозглашать	anunciar	4.727272727	5.6	5	4.2	3.927564103
99	ant	ant	nouns	587	ANT					297:1 787:1	fly bee	2	2	蚂蚁	fourmi	муравей	hormiga	0.6363636363636364 0.45454545454545453	2.5 2.3	0.6 0.4	0.5 0.8	1.0808275058275056 1.0505244755244758
113	apple	apple	nouns	1320	APPLE					162:0 198:0 302:0 687:0 766:0 1034:1	sauce sunshine candy lemon juice diet	6	6	苹果	pomme	яблоко	manzana	0.18181818181818182 0.18181818181818182 0.09090909090909091 0.18181818181818182 1.4545454545454546 0.7272727272727273	1.5 0.6 1.8 2.5 2.3 1.2	1.0 0.0 0.8 0.7 1.0 0.6	0.6 0.5 0.5 0.5 1.0 0.9	0.5678904428904429 0.15681818181818186 0.5624708624708625 0.9771561771561772 1.1209207459207462 0.6297785547785547
123	area	area	nouns	2980	AREA	I suggest to map all three to AREA and to accept synonymy in French and Spanish, since I don't know what the difference with ZONE would be!				566:0	zone	1	3	地区	surface	область	área	4.636363636	3.7	3.6	5.3	4.653030303
124	area	area	nouns	2980	AREA				This is more “zone”, as expected; the correspondences to “area, surface” are better suited to the previous entry	615:0	corner	1	3	地区	surface	область	zona	0.4545454545	1.1	0	0.6	0.6300699301
125	area	area	nouns	2980	AREA					654:0	region	1	3	地区	espace	область	zona	5.181818182	3	4.4	3.9	4.403379953
135	arm	arm	nouns	1673	ARM					1:0 335:1 546:0 587:0 648:0 728:1 752:0 822:0 842:0 906:0	muscle branch shoulder vein wrist leg neck bone body knee	10	10	手臂	bras	рука	brazo	1.1818181818181819 0.09090909090909091 0.2727272727272727 0.09090909090909091 0.09090909090909091 0.45454545454545453 0.18181818181818182 0.45454545454545453 0.45454545454545453 0.36363636363636365	2.6 1.7 2.9 1.5 2.5 2.9 2.1 2.2 2.4 2.2	1.1 0.3 1.4 0.8 1.3 0.6 0.6 0.9 1.1 0.7	1.4 1.3 1.0 0.5 1.0 0.6 0.5 0.9 1.1 0.5	1.1432983682983682 0.7761655011655012 1.7141025641025645 0.5458041958041958 1.3540792540792543 1.1194638694638692 0.6836829836829836 1.0124125874125876 1.190034965034965 0.8086829836829836
136	army	army	nouns	1561	ARMY					286:1 607:0 640:0	navy squad legion	3	3	军队	armée	армия	ejército	3.8181818181818183 0.6363636363636364 4.454545454545454	3.9 2.6 3.7	2.4 1.7 1.8	4.5 1.0 3.2	3.246561771561772 1.7041958041958036 3.2143356643356635
137	arrange	arrange	verbs	1568	ARRANGE					1372:0	require	1	2	安排	organiser	устраивать	organizar	0	0.4	0	0.3	0.2151515152
138	arrange	arrange	verbs	1568	ARRANGE					1391:0	organize	1	2	安排	organiser	устраивать	gestionar	0.8181818182	4.9	4.6	4.5	4.182167832
141	arrive	arrive	verbs	1387	ARRIVE					1388:1 1562:0 1632:0	attend leave come	3	3	到达	arriver	прибывать	llegar	3.090909090909091 0.2727272727272727 2.8181818181818183	0.4 0.4 5.0	1.1 0.0 3.1	2.2 0.4 1.9	1.9480769230769235 0.27913752913752915 3.407459207459208
143	arrow	arrow	nouns	977	ARROW					158:1	target	1	1	箭头	flèche	стрела	flecha	0.7272727273	2.6	1	1.2	0.9093240093
148	ashamed	ashamed	adjectives	1894	ASHAMED					1063:1 1117:1	guilty modest	2	4	羞愧	honteux	пристыженный	avergonzado	4.363636363636363 0.36363636363636365	3.0 1.1	2.5 0.5	1.8 0.8	2.1799533799533797 0.8381701631701634
149	ashamed (shame)	ashamed	adjectives					羞耻 is a noun		1210:0 1238:0	upset lucky	2	4	羞耻	honteux	пристыженный	avergonzado	0.2727272727272727 0.09090909090909091	1.3 0.8	0.9 0.0	0.7 0.0	0.8050116550116554 0.11515151515151519
150	ask (inquire, request)	ask	verbs	1309	ASK (INQUIRE)				“pedir” in Spanish is ASK (REQUEST); “preguntar” is the common term for ASK (INQUIRE)	1640:1	ignore	1	5	问	demander	обращаться	pedir	0.1818181818	1.1	0	0.2	0.2068181818
