NUMBER	ENGLISH	POS	CONCEPTICON_ID	CONCEPTICON_GLOSS	SIMLEX_IDS	SIMLEX_GLOSSES	OCCURRENCES	TOTAL	MANDARIN	FRENCH	RUSSIAN	SPANISH	MANDARIN_SCORE	FRENCH_SCORE	RUSSIAN_SCORE	SPANISH_SCORE	ENGLISH_SCORE
1	abdomen	nouns	1251	BELLY	697:1	belly	1	1	腹部	abdomen	живот	abdomen	2.909090909090909	5.2	5.0	4.3	3.5228438228438232
2	ability	nouns	2527	ABILITY	500:1	competence	1	1	能力	aptitude	способность	capacidad	4.181818181818182	5.8	2.2	2.9	3.942191142191143
3	abnormally	adverbs			1770:0	normally	1	1	异常地	anormalement	ненормально	anormalmente	0.0	1.5	0.0	0.2	0.3314102564102564
4	absence	nouns			936:0	presence	1	1	缺席	absence	отсутствие	ausencia	0.18181818181818182	2.2	0.5	0.3	0.5912004662004662
5	absorb	verbs			1326:0 1484:0 1549:0	withdraw possess learn	3	3	吸收	absorber	поглощать	absorber	0.0 0.45454545454545453 2.909090909090909	2.0 1.0 2.6	0.0 0.4 0.3	0.2 1.0 1.6	0.49090909090909096 0.5426573426573427 1.5621794871794876
6	abundance	nouns			866:0	plenty	1	1	丰富	abondance	изобилие	abundancia	4.181818181818182	5.8	4.7	5.0	4.401515151515152
7	accept	verbs			1311:0 1426:0 1485:0 1489:1 1525:0 1608:0 1615:1 1690:0 1719:0 1727:0	deny decline reject agree recommend forgive receive believe deliver acknowledge	10	10	接受	accepter	принимать	aceptar	0.0 0.36363636363636365 0.45454545454545453 3.727272727272727 0.2727272727272727 2.5454545454545454 0.9090909090909091 1.0909090909090908 0.0 3.272727272727273	1.7 1.9 1.8 4.1 1.0 2.1 3.0 3.4 1.1 5.3	0.1 0.0 0.1 2.3 0.5 1.3 2.9 0.9 0.2 2.8	0.1 0.0 0.2 3.9 0.8 2.6 2.6 1.4 0.4 4.6	0.3647435897435898 0.37837995337995345 0.49959207459207455 3.648426573426573 0.5560606060606061 1.6318181818181812 2.2762237762237763 1.6993589743589743 0.2833333333333334 3.41567599067599
8	accident	nouns			268:0	emergency	1	3	意外	accident	происшествие	accidente	4.0	3.1	4.3	3.1	2.907342657342657
9	accident	nouns			150:0 417:0	catastrophe book	2	3	意外	accident	авария	accidente	3.0 0.0	4.8 0.6	3.7 0.0	3.4 0.2	3.6302447552447554 0.075
10	accomplish	verbs			1438:1 1597:0 1654:1	achieve become win	3	3	完成	accomplir	завершать	realizar	3.272727272727273 0.7272727272727273 2.090909090909091	5.2 2.1 1.6	1.8 0.9 0.4	3.3 0.2 2.0	3.595687645687646 0.9783799533799536 2.045920745920746
11	accurately	adverbs			1772:0	actively	1	2	准确地	exactement	точно	precisamente	0.6363636363636364	0.5	0.0	1.0	0.6170163170163169
12	accurately	adverbs			1808:0	precisely	1	2	准确地	exactement	точно	exactamente	5.454545454545454	5.8	2.6	5.1	4.542715617715618
13	accuse	verbs	1814	ACCUSE	1381:1 1593:0 1686:1	blame lie judge	3	3	指控	accuser	обвинять	acusar	3.3636363636363638 0.2727272727272727 0.7272727272727273	4.7 1.0 3.1	4.3 0.2 3.0	2.4 0.5 2.9	3.827972027972027 0.35903263403263413 2.3903846153846158
14	acetaminophen	nouns			809:1	bronchitis	1	1	对乙酰氨基酚	paracétamol	ацетаминофен	acetaminofeno	0.18181818181818182	1.5	0.8	0.8	0.5798951048951049
15	acetylcholine	nouns			282:0	iris	1	1	乙酰胆碱	acétylcholine	ацетилхолин	acetilcolina	0.0	0.7777777777777778	0.0	0.3	0.2814814814814815
16	achieve	verbs			1438:0	accomplish	1	4	达到	réussir	достигать	lograr	3.272727272727273	5.2	1.8	3.3	3.595687645687646
17	achieve	verbs			1360:0 1530:0 1670:1	try succeed receive	3	4	实现	atteindre	достигать	lograr	0.8181818181818182 2.0 0.0	1.4 4.4 0.3	1.8 2.8 1.2	0.9 4.7 0.3	0.8805361305361307 3.2407925407925404 0.9874708624708625
18	acid	nouns	1906	SOUR	815:0	base	1	1	酸	acide	кислота	ácido	0.2727272727272727	2.3	0.1	1.0	0.7122960372960375
19	acknowledge	verbs			1613:1 1727:1 1735:0	speak accept notify	3	3	承认	reconnaître	признавать	reconocer	0.5454545454545454 3.272727272727273 0.0	0.5 5.3 1.3	0.8 2.8 0.5	0.8 4.6 1.0	0.6941142191142191 3.41567599067599 0.8685314685314687
20	acoustics	nouns			244:0	sound	1	1	声学	acoustique	акустика	acústica	1.0	4.4	3.0	3.8	2.7893939393939395
