word	pos	wordnet_id	nltk_name	hypernyms	hyponyms	hypernym_names	hyponym_names	in_degree	out_degree
breathe	v	00001740-v	breathe.v.01		00007328-v;00005041-v;00006697-v;00017031-v;00002724-v;00002573-v;00004032-v;00002942-v;00003826-v;00004227-v		yawn.v.01;inhale.v.02;wheeze.v.01;snore.v.01;choke.v.01;respire.v.01;sigh.v.01;hyperventilate.v.02;hiccup.v.01;exhale.v.01	0	10
object	n	00002684-n	object.n.01	00001930-n	09251689-n;09238143-n;03610270-n;04012260-n;00003553-n;09302031-n;09300905-n;09308398-n;09477037-n;09407346-n;04345288-n;04486445-n;03892891-n;03338648-n;09358550-n;03714721-n;09474162-n;09368224-n;09409203-n;03595179-n;09334396-n;09287968-n;09468237-n;07851054-n;04248010-n;09283193-n;09432990-n;03233423-n;09267490-n;09295338-n;09281777-n;03009633-n;03149951-n;03532080-n;09335240-n;00027167-n;09279458-n	physical_entity.n.01	commemorative.n.01;catch.n.04;keepsake.n.01;property.n.05;whole.n.02;head.n.17;hail.n.02;ice.n.02;web.n.01;remains.n.01;stuff.n.02;triviality.n.03;part.n.02;film.n.04;moon.n.02;makeweight.n.01;wall.n.02;neighbor.n.02;ribbon.n.01;je_ne_sais_quoi.n.01;land.n.04;geological_formation.n.01;vagabond.n.01;paring.n.02;snake.n.05;fomite.n.01;shiner.n.02;draw.n.04;discard.n.01;growth.n.07;floater.n.07;charm.n.03;curio.n.01;hoodoo.n.04;land.n.02;location.n.01;finding.n.03	1	37
hiccup	v	00003826-v	hiccup.v.01	00001740-v		breathe.v.01		1	0
sigh	v	00004032-v	sigh.v.01	00001740-v		breathe.v.01		1	0
absolute	a	00005205-a	absolute.a.01					0	0
pant	v	00005526-v	pant.v.01	00007012-v		blow.v.01		1	0
cough	v	00005815-v	cough.v.01	00006238-v	00035089-v;00006100-v	expectorate.v.02	clear_the_throat.v.01;hack.v.08	1	2
relative	a	00006032-a	relative.a.01					0	0
cell	n	00006484-n	cell.n.02	00004258-n	05430628-n;11688750-n;05458412-n;13092385-n;05432623-n;05229622-n;05268383-n;05431402-n;05242752-n;05447757-n;05431926-n;01907149-n;05459457-n;13092548-n;05458703-n;01313888-n;05449538-n;05456732-n;01459664-n;11530149-n;05459590-n;11688552-n;11688378-n	living_thing.n.01	somatic_cell.n.01;mother_cell.n.01;gametocyte.n.01;arthrospore.n.02;parthenote.n.01;fiber.n.03;beta_cell.n.01;blastema.n.01;kupffer's_cell.n.01;embryonic_cell.n.01;zygote.n.01;flagellated_cell.n.01;leydig_cell.n.01;arthrospore.n.01;polar_body.n.01;recombinant.n.01;akaryocyte.n.01;reproductive_cell.n.01;blastomere.n.01;plant_cell.n.01;sertoli_cell.n.01;daughter_cell.n.01;archespore.n.01	1	23
yawn	v	00007328-v	yawn.v.01	00001740-v		breathe.v.01		1	0
causal_agent	n	00007347-n	causal_agent.n.01	00001930-n	11417561-n;14778436-n;09504464-n;10461424-n;10009926-n;14540564-n;09503682-n;09190918-n;14541044-n;09504915-n;10757918-n;10378412-n;09503877-n;09504603-n;09900711-n;00007846-n	physical_entity.n.01	engine.n.02;agent.n.03;theurgy.n.01;power.n.05;deus_ex_machina.n.01;cause_of_death.n.01;nature.n.02;agent.n.01;danger.n.03;destiny.n.02;vital_principle.n.01;operator.n.02;supernatural.n.01;first_cause.n.01;catalyst.n.02;person.n.01	1	16
