CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	ENGLISH_AROUSAL_MEAN	ENGLISH_VALENCE_MEAN	LINE_IN_SOURCE
1368	BREAD	bread	7.345	4.154	287
1369	GOLD	gold	7.3	6.545	1026
1371	KNEE	knee	4.966	4	1299
1372	MEDICINE	medicine	5.806	4.323	1462
1373	TEA	tea	5.875	3.471	2355
1375	WINDOW	window	6.594	4.2	2591
1378	SPOON	spoon	5.182	3.586	2219
1379	TELEPHONE	phone	7	5.485	1695
1380	TOOTH	tooth	4.968	4.219	2417
1381	SHOE	shoes	6.167	4.818	2097
1384	SECOND	second	4.29	4.821	2046
1386	LION	lion	6.182	7.04	1364
1387	ARRIVE	arrive	6.189	4.841	113
1389	TOE	toe	4.567	3.613	2412
1391	TOWN	town	6.188	5.294	2424
1394	BONE	bone	4.75	4.526	250
1396	SHARP	sharp	4.25	5.72	2089
1398	DRY	dry	3.97	3.24	763
1400	THIN (SLIM)	slim	5.581	4.231	2147
1406	FAR	distant	3.63	4.519	712
1407	BREATHE	breathe	7.097	4.75	291
1409	SEE	see	6.933	5.188	2051
1414	SQUEEZE	squeeze	6.065	5.933	2228
1419	FEAR (BE AFRAID)	fear	2.485	5.906	892
1422	BE ALIVE	alive	7.677	6.25	55
1426	EXPENSIVE	expensive	3.727	5.75	845
1429	FULL	full	6.433	5.313	977
1430	STAR	star	7.818	5.966	2238
1434	STAB	prick	3.739	5.474	1787
1436	SCRATCH	scratch	4.348	4.6	2033
1437	SPLIT	split	4	5.125	2214
1438	FOOL	fool	3.586	5.138	941
1439	SWIM	swimming	7.021	4.921	2337
1440	SPIT	spit	3.4	4.583	2213
1443	WALK	walk	6.844	5	2558
1447	GIVE	give	6.6	6.063	1015
1448	HOLD	hold	5.8	4	1124
1452	PUSH	push	4.303	4.92	1829
1457	SEW	sew	5	3.593	2076
1458	SAY	say	5.667	4.543	2013
1465	BOX	case	4.467	4.926	363
1466	EXACT	exact	5.861	4.621	832
1475	COMB	comb	5.258	4.478	467
1476	CHAIR	throne	6.645	5.469	2398
1479	DOLPHIN	dolphin	7.129	5.219	731
1480	BODY	body	5.407	5.607	243
1481	HAMMER	hammer	4	5	1077
1487	POUR	pour	4.63	4.313	1764
1490	RAT	rat	3.313	5.6	1862
1495	HAPPY	happy	8.424	7.32	1086
1496	GRANDMOTHER	grandmother	7	5.964	1038
1497	POSTCARD	postcard	6.613	4.741	1760
1503	SALIVA	saliva	4.833	3.939	1991
1506	MEASURE	measure	5.267	3.939	1455
1507	FRUIT	fruit	6.611	4.69	971
1510	CHIN	chin	5.219	4.625	409
1511	ROOSTER	cock	4.71	5.962	450
1512	RISE (ONESELF)	arise	6	5.321	107
1514	HEN	hen	5.143	3.348	1114
1518	STUPID	stupid	2.556	5.103	2285
1519	RUN	run	5.5	6.4	1979
1523	FORGET	forget	3.438	4.839	948
1527	TICK	tick	4.29	5	2403
153	GREY	gray	4.9	3.207	1044
1530	BOWL	bowl	5.5	4.8	274
1535	SWORD	sword	5.31	5.929	2339
1536	UNDERSTAND	understand	6.784	5.114	2485
1537	SPRINGTIME	spring	7.742	6.548	2224
1538	SCORPION	scorpion	3.909	7.04	2030
1539	BASKET	basket	6.065	4.938	176
1545	HOST	host	6	5.111	1149
1548	UGLY	ugly	2.243	5.045	2475
1549	TRIBE	tribe	5.258	5.212	2447
155	CHOP	chop	4.645	5.885	413
1552	GLOOMY	gloomy	4.407	4.48	1021
1553	MALE	male	5.611	5.448	1417
1557	BEGINNING	beginning	6.083	5.105	198
1558	SIMILAR	similar	5.467	3.406	2121
156	RED	red	5.815	6.222	1886
1560	FACE	face	5.694	4.909	864
1561	ARMY	army	3.5	5.9	110
1564	LAZY	lazy	3.781	3.258	1326
1566	GUN	gun	1.917	6.354	1070
1570	EQUAL	equal	6.833	4.091	818
1571	SELL	sell	5.355	5.267	2056
1572	SURPRISED	surprised	7.182	7.4	2321
1573	SWELL	swell	4.826	5.182	2335
1575	COCKROACH	cockroach	2.346	6.087	452
1579	BE	be	6.806	4.964	183
1581	ALLIGATOR	alligator	4.935	5.767	58
1585	SLEEP	sleep	8.156	2.688	2143
1592	CHEST	chest	5.875	5.1	404
1593	DEEP	deep	4.167	4.763	623
1595	SOUTH	south	5.781	4.567	2186
1596	LOCK	lock	4.5	4.69	1377
1597	AIRPLANE	airplane	6.903	6.75	48
1600	SKIRT	skirt	6.583	5.552	2135
1610	PROSTITUTE	hooker	3.964	5.13	1139
1611	INVITE	invite	6.742	5.938	1259
1612	LETTER	letter	7.188	4.633	1343
1615	ESCAPE	escape	5.697	7.138	821
1619	GRANDDAUGHTER	granddaughter	7.375	5.033	1037
1621	SNEEZE	sneeze	4.833	4.806	2163
1622	SHIRT	shirt	6.292	4.105	2095
1624	EMPTY	empty	3.515	3.594	801
1625	DEAD	dead	2.129	5.469	612
1627	CHAIN	chain	4.065	5.735	379
1629	EVENING	evening	7.433	4.909	827
1631	FAST	quick	5.909	6.75	1838
1633	FLAT	flat	5.182	3.84	923
1634	HUNDRED	hundred	6.097	5.536	1163
1637	AUTHORITY	authority	4.03	5.875	139
1639	BEER	beer	5.722	5.759	193
1641	SILK	silk	6.387	3.8	2118
1646	GIRL	girl	7.5	6.034	1014
1653	BLIND	blind	2.594	4.231	229
1654	LIGHTNING	lightning	6.097	6.31	1358
1655	BLINK	wink	6.281	6.154	2594
1657	TRUE	real	6.625	5.71	1868
1663	BED	bed	7.939	3.25	190
1664	RAFT	raft	5.182	4.556	1849
1665	BEAT	beat	5.313	6.563	189
1667	HOLE	hole	4.031	4.48	1125
1668	GRIEF	grief	3.207	4.8	1051
1671	TOWER	tower	5.8	5.606	2423
1672	WRITE	write	6.909	5.69	2615
1673	ARM	arm	5	3.778	108
1679	LOAD	burden	3.25	5.316	317
168	REST	relax	7.871	3.5	1902
1688	FATE	fate	5.923	6.214	887
1690	FENCE	fence	4.968	4.269	900
1702	HOLY	holy	5.219	4.333	1127
1719	BURY	bury	2.962	5.269	322
1726	WET	wet	4.667	5.068	2578
1727	THRESHOLD	threshold	4.875	5.071	2396
1730	CHEEK	cheek	5.967	4.875	399
1732	SKY	sky	8.161	4.344	2137
1733	RAINBOW	rainbow	7.851	5.447	1852
174	PROUD	proud	8.406	6.533	1811
1740	PINE	pine	5.88	3.536	1714
1743	JOIN	join	6.606	6.276	1279
1746	BLADDER	bladder	4.043	5.182	222
1752	LEAVE	leave	3.889	4.897	1332
1755	UNDRESS	undress	5.2	5.222	2488
1756	WIDOW	widow	3.516	4.484	2587
1773	GRAVE	grave	3.419	5	1043
1775	TABLE	desk	4.867	3.697	656
1776	SHAME	shame	2.969	5.097	2085
1778	APPROACH	approach	6	5	101
1779	DARE	dare	6.1	6.806	604
178	RIPE	ripe	4.385	5.409	1949
1782	GUEST	guest	6.606	5.968	1065
1783	PAIN	pain	2.387	6.034	1631
1784	WANT	want	6.897	5.885	2561
1788	TELEVISION	television	6.531	5.9	2362
1789	AGE	age	4.742	4.643	41
1801	CHILD (DESCENDANT)	offspring	5.065	4.962	1600
1802	SCREW	screw	3.516	4.548	2038
1803	WOOD	log	5.293	3.8	1378
1806	BEGIN	begin	6.545	6.375	197
1807	AFTERNOON	afternoon	6.848	5	40
1810	DANGER	danger	3.03	7.12	603
1812	TRY	try	6.303	5.875	2461
1813	TASTY	delicious	8.531	7.037	637
1815	ACHE	ache	2.207	5.387	15
1817	WEST	west	5.484	4.241	2577
1820	BEAR	bear	5.333	5.938	187
1823	BORROW	borrow	5.258	4.125	265
1826	ANGRY	angry	3.167	6.515	78
1828	ASK (REQUEST)	request	4.656	5.433	1921
1831	MEET	meet	7.194	6.179	1465
1833	DINNER (SUPPER)	dinner	7.394	5.179	686
1835	MARROW	marrow	4.625	3.765	1436
1836	VAGINA	vagina	6.065	5.625	2522
1843	THOUSAND	thousand	5.917	5.586	2392
1844	BOAT	boat	6.032	4.929	241
1845	BALL	football	4.405	5.614	943
185	FIREPLACE	fireplace	5.485	4.96	910
1851	POCKET	pocket	5.515	4.438	1732
1853	DOVE	dove	4.9	4.069	745
1863	AMAZING	amazing	8.129	7.353	67
1868	VISIBLE	visible	5.818	4.156	2544
1874	SAUSAGE	sausage	6.033	4.515	2011
1875	REGRET	sorry	4.424	3.875	2184
1876	REINDEER	reindeer	5.92	5.318	1901
1887	CHEAP	cheap	7.583	5.517	396
1888	PAIR	couple	7.037	6.464	550
1891	PUMA	cougar	5.375	5.313	545
1895	CLOTHES	clothes	7.033	6.067	448
1899	MAD	mad	3.207	6.217	1404
1906	SOUR	acid	3.667	5.391	16
1917	TIE	tie	4.704	4.63	2404
1919	TORCH	torch	5.786	4.826	2419
1923	ROUGH	rough	4.067	5.75	1970
1929	STUDY	study	4.852	4.857	2280
193	SHALLOW	shallow	4.6	4.148	2084
1933	LOOSEN	loosen	4.313	4.367	1385
1934	BEGGAR	beggar	3.385	4.417	196
1936	DEER	deer	6.214	4.69	624
194	FAMILY	family	7.037	6.464	877
1941	SOLDIER	soldier	3.697	5.56	2175
1943	CROWN (OF HEAD)	crown	6.094	6.294	578
1945	IDOL	idol	6.667	6.237	1174
1948	SAW	saw	4.938	4.69	2012
1954	GENTLE	gentle	7.645	4.214	1007
196	DONATE	donate	6.697	5.241	735
1962	ROAST (SOMETHING)	roast	4.75	5.667	1956
1964	ALONE	alone	3.219	3.206	60
1966	BUNCH	bunch	5.185	4.586	316
1975	CHECK	check	5.567	5.026	397
1977	DEW	dew	5.143	4.923	669
1978	RECOVER	recover	6.633	4.968	1884
1986	DISEASE	sickness	1.861	4.69	2112
1991	INTESTINES	bowel	4.1	4.409	273
1993	SELF	self	5.741	5.429	2055
1995	DEFECT	defect	2.871	4.871	625
1996	GET TIRED	tire	3.9	4.435	2408
1998	COMMAND	command	4.344	5.25	474
2	DUST	dust	3.929	4.107	771
2001	PAINTING	draw	6.258	5.069	752
2002	DITCH	ditch	3.85	5.273	719
2003	FLOW	flow	6.75	4.69	932
2007	BOLT (OF LIGHTNING)	bolt	4.733	5.625	247
2008	RESCUE	rescue	7.031	6.267	1922
201	FARM	farm	5.938	4.267	881
2011	COFFIN	coffin	4.067	4.933	455
2012	COLLAR	collar	4.759	4.767	458
2013	BAIT	bait	4.64	4.958	160
2017	MIX	mix	6.061	5.448	1503
2021	GRASP	grasp	4.8	4.36	1041
2024	PLOT	plot	5.688	5.839	1729
2025	PEA	peas	4.733	4.036	1664
2030	DRAG	drag	5.296	4.769	746
2033	DELIVER	deliver	5.727	5.5	641
2038	DRAGON	dragon	6.111	6.793	747
2043	PEACH	peach	7.179	4.656	1661
2045	COLUMN	column	4.806	3.969	465
2046	APRON	apron	5.7	3.684	103
2052	BUCKET	bucket	5.229	3.919	306
2058	STOOL	stool	4.913	3.826	2259
2060	STORY	story	7.222	6.172	2262
2064	SCATTER (SEEDS)	scatter	4.095	3.824	2018
2069	SOAK (VERB)	soak	4.087	4.52	2167
2072	USE (VERB)	use	5.394	4.656	2518
208	NASAL MUCUS (SNOT)	snot	3.231	4.294	2164
209	RARE	rare	6	5.074	1860
210	LIFE	life	7.528	6.724	1353
2112	OLD (AGED)	elder	5.31	3.833	789
2134	RAISE (BRING UP)	raise	6.333	5.511	1854
2137	MAGICIAN	magician	6.8	6.283	1408
2150	MATTER	matter	5.548	4.71	1447
216	MOVIE	movie	7.914	6.448	1531
2204	LEDGE	ledge	4.222	4.733	1334
221	FIRE	fire	4.774	6.375	908
2216	BECOME NUMB	numb	4.125	3.828	1578
2219	LEAN (MEAT)	lean	5.423	4.195	1329
2224	BEND (SOMETHING)	bend	4.75	4.867	206
2230	UNTAMED OR WILD	wild	5.793	7	2589
2232	KEEN OR SUBTLE	subtle	5.5	4.72	2292
2252	PATH	path	6.25	3.96	1653
2253	DRIP (EMIT LIQUID)	leak	4.5	4.303	1328
227	FISH	fish	5.281	4.148	913
2283	SEMEN	semen	5	5.348	2057
2287	HORIZON	horizon	6.719	4.76	1144
2288	METEOROID (SHOOTING OR SHINING STAR)	meteor	4.71	6.231	1484
2291	VOLCANO	volcano	3.939	6.429	2551
2297	DUSK	twilight	7.103	5.286	2471
2298	VIRGIN	virgin	4.633	3.783	2542
2299	STRAW	straw	4.897	4.52	2268
2308	THIN	thin	5	4.267	2385
2316	FREE	free	7.871	6.621	958
232	FLEA	flea	3.857	5.292	927
2329	LACK (NOT HAVE)	lack	3.273	4.719	1306
2342	LANDSCAPE	landscape	7.5	4.531	1314
2349	SHRIMP	shrimp	6.192	4.407	2108
2352	DRAGONFLY	dragonfly	6.552	6.194	748
2354	CRICKET	cricket	4.531	3.7	569
236	STEPMOTHER	stepmother	4.697	4.688	2246
237	STEPFATHER	stepfather	3.667	3.968	2245
2374	DREAM	dream	8.091	5.88	754
2375	VERTICAL	vertical	4.71	4.069	2536
2386	TURKEY	turkey	5.387	4.906	2468
239	FLOWER	flower	7.556	5.25	933
2396	KNOCK	knock	4.909	6.094	1302
2397	LOBSTER	lobster	4.893	4.583	1374
24	PRAY	pray	4.351	3.636	1770
240	ELECTION	election	4.484	5.969	790
2403	TOY	toy	6.515	5.931	2426
2408	CAKE	cake	8.033	5.545	338
2410	GOOD-LOOKING	attractive	7.781	6.741	135
2411	HURT (SOMEBODY)	hurt	2.292	5.474	1165
2412	THANK (SOMEBODY)	thank	7.862	5.038	2377
2424	MEMBER	member	5.697	4.656	1468
2427	FUTURE	future	5.704	7.357	989
2428	LIBRARY	library	7.31	4.967	1351
2429	LOGIC	logic	6.313	5.032	1379
243	FRESH	fresh	7.323	4.531	964
2430	OFFICE	office	4.387	4.344	1598
2433	THEORY	theory	5.161	5	2380
2435	UNIVERSITY	university	6.333	6.276	2499
2440	PINEAPPLE	pineapple	6.63	4.714	1715
2449	FAT (OF MEAT AND FOOD)	fatty	3.037	4.519	890
246	THRUST	thrust	5.167	5.708	2400
2466	WEIGHT	weight	3.438	5.265	2574
2468	BAG	bag	5.729	4.184	158
2470	DEAR	beloved	7.813	5.294	203
2471	LADY	lady	6.844	5.265	1307
248	HAPPEN	happen	5.903	5.679	1085
2481	FEMALE DOG	bitch	5.067	6.844	218
2483	COLD (OF WEATHER)	chilly	6	5.281	408
249	FOG	fog	4.808	4.607	938
2493	BOIL	boil	4.714	4.679	246
25	DIRT	dirt	3.032	5.353	691
2505	BEDROOM	bedroom	7.576	3.531	191
2506	LOOSE	slack	4.824	3.667	2138
2519	SEEING (VISUAL SENSE)	sight	6	4.897	2114
252	FRIGHTEN	frighten	3.161	6.324	967
2526	POWER	power	7.5	7.2	1766
2527	ABILITY	ability	7.125	6.147	4
2530	SMART	intelligent	7.97	5.966	1239
2539	PIT (POTHOLE)	pit	3.926	4.829	1720
2541	MIRACLE	miracle	7.032	5.724	1497
2543	RAVEN	raven	5.742	5.043	1864
2546	BORDER	border	3.586	4.563	260
2547	CITY	city	6.6	6.636	428
2554	PRINCE (RULER)	prince	5.677	4.621	1788
256	FOOD	food	7.387	7	940
2562	SEX (GENDER)	sex	7.419	7.375	2078
2564	PIGLET	piglet	6.318	5.462	1709
2572	SENSE (PERCEIVE BY SENSES)	sense	6.364	5.103	2064
2580	HELICOPTER	helicopter	5.417	5.342	1111
2584	BENCH	bench	5.467	4.607	205
2588	GLOBE	globe	5.903	5.25	1020
2601	UNICORN	unicorn	6.933	6.1	2496
2604	NOOSE	noose	3.524	4.833	1571
2606	COMPASS	compass	5.793	4.24	483
2617	BULB	bulb	4.68	4.08	310
2618	CAMERA	camera	6.935	5.862	341
2619	CARD	card	5.833	5.034	355
2622	ENGINE	engine	5.484	4.935	809
2623	FLAG	flag	6.281	4.833	917
2627	ORANGE (FRUIT)	orange	6.458	4.447	1608
2630	WHIP	whip	3.5	5.72	2583
2631	WIRE	wire	4.4	4.281	2596
2638	FISHING	fishing	5	4.031	914
2651	BE IGNORANT	ignorant	2.432	5.273	1177
2666	SOLE (FOOT)	sole	4.958	4	2176
27	AIR	air	6.844	4.353	45
2704	FADE (LOOSE COLOR)	fade	5.036	4.188	868
2705	INHALE	inhale	5.207	3.516	1214
2709	FLATTER	flatter	5.346	5.2	924
271	SAUCER	saucer	4.419	5.048	2010
2712	GET DIZZY	dizzy	3.686	5.833	725
275	PEEL	peel	5.037	4.407	1668
2755	BUSY	busy	3.806	5.931	326
2756	IDLE	idle	4.737	3.905	1173
2769	PORK	pork	4.815	3.893	1751
2772	KITCHEN KNIFE	chopper	4.92	5.581	414
2809	BLUEBERRY	blueberry	7.516	5.281	237
281	POST	post	5.375	5.382	1759
2819	GRASSLAND	meadow	6.5	3.391	1452
2830	OYSTERS	oyster	4.92	4.867	1628
2831	PENGUIN	penguin	7.633	5.552	1671
2833	RUM	rum	6.435	5.64	1977
2838	TAME	tame	4.905	3.667	2347
2845	SIZE (OF OBJECT)	size	4.182	4.8	2128
2860	BOLT (MOVE IN HASTE)	rush	4.467	6.432	1981
2862	CONNECT	connect	6.639	5.207	513
2869	BOTHER (HARASS)	bother	4.032	5.034	266
2872	IMPROVE (SOMETHING)	improve	7.818	6.655	1195
2881	URGE (SOMEONE)	urge	3.679	6.156	2515
2884	HANG	hang	4.933	5.378	1084
289	MOLD	mold	3.846	3.917	1507
2904	RINSE	rinse	4.76	3.882	1947
2909	PREPARE	prepare	5.8	4.906	1780
292	RUG	carpet	5.03	4.125	360
2924	A LITTLE	bit	4.724	4.346	217
2932	COLD (CHILL)	chill	7.727	3.414	407
2933	CONVERSATION	conversation	7.241	5.385	531
2938	FLAVOR	flavor	6.556	5.704	926
2940	GATE	gate	5.862	4	998
2948	GAP (DISTANCE)	gap	4.222	4.333	995
2949	LAIR	lair	5.263	5.15	1308
2954	SLICE	slice	5.519	5.259	2145
2956	TUBE	tube	4.303	4.781	2462
2958	LAUGHTER	laughter	7.185	7	1320
2959	LEASH	leash	4.375	4.714	1330
296	CROUCH	squat	5.581	5.179	2226
2961	MESSAGE	message	6.75	6.241	1483
2964	NEWS	news	5	6.483	1563
2968	REASON	reason	6.452	4.594	1872
2973	STRAP	strap	4.32	5.19	2266
2975	THOUGHT	thought	6.364	4.875	2390
2977	WORKER	worker	5.606	4.68	2607
2978	DISTANCE	distance	3.037	4.964	711
2980	AREA	area	5.29	4.179	105
2983	COMPANIONSHIP	company	6.267	5.594	482
2985	HEIGHT	height	5.063	5.108	1110
2991	SKI	ski	6.606	6.613	2130
3	BRAVE	brave	8.094	7.1	284
3002	PRECIOUS	precious	7.938	6.613	1774
3003	SOLID	solid	5.419	4.258	2177
3006	SPACE (AVAILABLE)	space	7.188	6.2	2189
3020	BREAK (BREAKING)	burst	4	6.036	321
3025	BARN OR SHED	shed	5.179	4.571	2090
304	PREACH	preach	4.41	4.462	1772
3049	COURAGE	courage	7.452	5.938	552
307	HAWK	kite	6.435	4.75	1297
3074	FIX	fix	6.972	4.552	916
3076	SLOPE	slope	4.652	4.318	2152
3085	CARROT	carrot	5.568	3.864	361
3086	COMPUTER	computer	5.8	4.935	490
3087	PACIFIER	dummy	4.235	4.947	768
3090	GUITAR	guitar	7.333	4.921	1069
3091	LEMON	lemon	6.065	5.31	1340
3096	RACKET	racket	5.031	5.222	1844
3099	SOFA	sofa	6.818	3.88	2172
31	PAN	pan	5.467	3.839	1635
3105	UMBRELLA	umbrella	5.417	4.207	2477
3106	WARDROBE	wardrobe	5.808	4.593	2562
3110	CLAP	clap	6.364	6	432
3116	HATCH (OUT)	hatch	4.864	4.6	1094
3121	OPERATE (MEDICINE)	operate	4.667	6.233	1602
3128	SHOWER (ACTION)	shower	7.594	4.968	2107
3130	SPILL (SOMETHING)	spill	4.32	5.565	2209
3132	SURF	surf	6.636	6.813	2319
3134	TYPE (ON SOMETHING)	type	5.531	4.933	2473
3144	GORILLA	gorilla	4.69	5.808	1029
3146	CHEETAH	cheetah	6.419	6.345	401
3147	HAMSTER	hamster	6.452	4.906	1078
3153	LORD	lord	4.478	4.316	1387
3160	SLAP	slap	3.071	5.828	2139
3167	SERMON	sermon	2.935	3.786	2070
3174	WAKE UP (SOMEONE)	wake	5	4.929	2557
3176	RACK (FOR STORING FOOD)	rack	4.826	4.111	1843
3179	CORAL ROCK	coral	6.621	4.577	539
3181	MUSTARD	mustard	3.655	4.654	1541
319	LICK	lick	5.143	5.107	1352
3197	SUSPICION	suspicion	4.533	5.576	2326
320	LAME	lame	2.808	4.304	1310
321	CHEW	chew	5.25	4.9	405
323	FAT (ORGANIC SUBSTANCE)	fat	2.667	5.289	886
3268	QUESTION	question	5.25	5.31	1836
3276	SUNSHINE	sunshine	8.594	5.467	2306
3283	CAGE	cage	3.387	5.16	337
3287	BLOOM	blossom	7.276	5.321	234
329	STOCKING	stocking	5.815	4.095	2257
3303	PICTURE (PAINTING)	painting	7.219	4.871	1633
3304	PICTURE (PHOTOGRAPH)	photo	7	5.75	1696
332	RAG	rag	4.45	3.958	1850
3327	AUTUMN OR HARVEST SEASON	harvest	5.593	4.741	1091
3336	FUNERAL	funeral	1.771	5.316	980
3357	CUPBOARD	cupboard	4.839	3.37	589
3376	ROBBER	robber	2.931	5.578	1957
338	RAKE	rake	4.647	4.45	1855
3389	MEASLES	measles	2.75	5.353	1454
3405	RULER	ruler	4.257	4.606	1976
342	HAY	hay	4.458	4.524	1098
3423	DRILL	drill	4.29	5.808	756
3425	JOKE	joke	7.323	6.75	1280
3427	DIRECTION	direction	5.71	5.393	690
343	VINE	vine	5.667	4.462	2540
3446	PINK	pink	7.125	5	1716
