ID	NUMBER	CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	GLOSS_IN_SOURCE	LINKED_CONCEPTS	TARGET_CONCEPTS	SHIFTS	DOMAIN	ALIAS	DEFINITION
Zalizniak-2024-4583-1	1	2050	ALCOHOL (DRINK)	alcoholic drink		"""[]"""	"""[]"""				
Zalizniak-2024-4583-2	2	619	ANIMAL	animal		"""[]"""	"""[]"""				
Zalizniak-2024-4583-3	3			artiodactyl (even-toed animal)		"""[]"""	"""[]"""				
Zalizniak-2024-4583-4	4	1251	BELLY	abdomen		"""[]"""	"""[]"""				
Zalizniak-2024-4583-5	5			aberration of mind		"""[]"""	"""[]"""				
Zalizniak-2024-4583-6	6	1915	FIR	abies (Abies)		"""[]"""	"""[]"""				
Zalizniak-2024-4583-7	7	2527	ABILITY	ability		"""[]"""	"""[]"""				
Zalizniak-2024-4583-8	8			aborigine		"""[]"""	"""[]"""				
Zalizniak-2024-4583-9	9			about		"""[]"""	"""[]"""				
Zalizniak-2024-4583-10	10	1741	ABOVE	above		"""[]"""	"""[]"""				
Zalizniak-2024-4583-11	11			*abracadabra		"""[]"""	"""[]"""				
Zalizniak-2024-4583-12	12			abrupt (offensive, critical, or acrimonious)		"""[]"""	"""[]"""				
Zalizniak-2024-4583-13	13			abscess		"""[]"""	"""[]"""				
Zalizniak-2024-4583-14	14			abstinent (from alcohol)		"""[]"""	"""[]"""				
Zalizniak-2024-4583-15	15	4082	ABUNDANCE	abundance		"""[]"""	"""[]"""				
Zalizniak-2024-4583-16	16	4058	ACCIDENT	accident		"""[]"""	"""[]"""				
Zalizniak-2024-4583-17	17			accomplice		"""[]"""	"""[]"""				
Zalizniak-2024-4583-18	18			according to		"""[]"""	"""[]"""				
Zalizniak-2024-4583-19	19			ace (playing card)		"""[]"""	"""[]"""				
Zalizniak-2024-4583-20	20	1906	SOUR	acid		"""[]"""	"""[]"""				
Zalizniak-2024-4583-21	21			aconite		"""[]"""	"""[]"""				
Zalizniak-2024-4583-22	22	968	ACORN	acorn		"""[]"""	"""[]"""				
Zalizniak-2024-4583-23	23			acrobat, equilibrist		"""[]"""	"""[]"""				
Zalizniak-2024-4583-24	24			act, deed		"""[]"""	"""[]"""				
Zalizniak-2024-4583-25	25	1861	ACTIVE	active		"""[]"""	"""[]"""				
Zalizniak-2024-4583-26	26	1086	WORK (ACTIVITY)	activity		"""[]"""	"""[]"""				
Zalizniak-2024-4583-27	27			acute (disease, condition)		"""[]"""	"""[]"""				
Zalizniak-2024-4583-28	28			acute (of sound)		"""[]"""	"""[]"""				
Zalizniak-2024-4583-29	29	802	ADAM'S APPLE	Adam's apple		"""[]"""	"""[]"""				
Zalizniak-2024-4583-30	30			additional		"""[]"""	"""[]"""				
Zalizniak-2024-4583-31	31	591	ADDRESS	address (description of the location)		"""[]"""	"""[]"""				
Zalizniak-2024-4583-32	32			adulterer		"""[]"""	"""[]"""				
Zalizniak-2024-4583-33	33			advantage		"""[]"""	"""[]"""				
Zalizniak-2024-4583-34	34			Advent		"""[]"""	"""[]"""				
Zalizniak-2024-4583-35	35			advice		"""[]"""	"""[]"""				
Zalizniak-2024-4583-36	36			aër (veil covering vessels in the Orthodox Church)		"""[]"""	"""[]"""				
Zalizniak-2024-4583-37	37			aesthetic perception		"""[]"""	"""[]"""				
Zalizniak-2024-4583-38	38	1685	AFTER	after		"""[]"""	"""[]"""				
Zalizniak-2024-4583-39	39	3388	PLACENTA	afterbirth, placenta		"""[]"""	"""[]"""				
Zalizniak-2024-4583-40	40			afterworld		"""[]"""	"""[]"""				
Zalizniak-2024-4583-41	41	204	AGAIN	again		"""[]"""	"""[]"""				
