CONCEPTICON_ID	CONCEPTICON_GLOSS	CHINESE	CHINESE_POS	CHINESE_FREQUENCY_PM	CHINESE_FREQUENCY_LOG	CHINESE_FREQUENCY_LOG_ZIPF	LINE_IN_SOURCE
10	FIREWOOD	柴火	NN	0.833436818	0.606192248	3.214247467609735	16787
1002	STATUE	雕像	NN	23.33623092	3.191966224	4.375615469844711	2977
1004	MUSCLE	肌肉	NN	17.50217319	2.917888195	4.255640152767961	4154
1006	BRICK	砖	NN	6.667494547	2.036989906	3.867459981385079	5913
1007	COW	母牛	NN	1.666873637	0.980906864	3.390338726665417	16432
1008	BULL	公牛	NR	0.833436818	0.606192248	3.214247467609735	21187
101	BOAST	吹牛	VV	13.33498909	2.662703339	4.143666393324028	6540
1011	BRIDGE	桥	NN	60.00745093	4.110996003	4.77654033206621	2091
1016	DRIZZLE	毛毛雨	NN	0.833436818	0.606192248	3.214247467609735	17061
1017	APPEARANCE	样子	NN	146.68488	4.995080815	5.16119073830756	374
1019	RIGHT	右边	NN	25.83654137	3.289764443	4.41836745026566	1210
1020	HANDKERCHIEF	帕	SP	0.833436818	0.606192248	3.214247467609735	20838
1021	TOWEL	毛巾	NN	27.50341501	3.350023905	4.444696388988009	3403
1024	CHARACTER	字	NN	270.0335292	5.602242537	5.425100832924628	907
1025	WHISTLE	哨子	NN	1.666873637	0.980906864	3.390338726665417	3380
1027	BUG	虫	NN	25.83654137	3.289764443	4.41836745026566	4494
1030	NECESSARY	必须	VV	225.027941	5.420658624	5.34618676282016	899
1031	ON PURPOSE	故意	AD	10.00124182	2.398008159	4.027160824252591	9649
1032	CITIZEN	民	NN	0.833436818	0.606192248	3.214247467609735	17440
1033	GRIND	磨	VV	10.00124182	2.398008159	4.027160824252591	5926
1035	GOOD	好	AD	2765.343363	7.925281642	6.434224724354358	83
1036	OWNER	主	VA	10.00124182	2.398008159	4.027160824252591	5401
1038	TEACHER	老师	NN	982.6220089	6.891241686	5.985099479251879	226
1039	SHOW	展示	VV	4.167184092	1.642327877	3.691368722329398	3428
1041	INCREASE	增加	VV	4.167184092	1.642327877	3.691368722329398	10104
1043	BRAID	辫子	NN	16.66873637	2.871796771	4.235436766679674	2255
1044	PILLOW	枕头	NN	23.33623092	3.191966224	4.375615469844711	797
1045	POET	诗人	NN	0.833436818	0.606192248	3.214247467609735	14441
1046	SHUT	关闭	VV	10.83467864	2.471034089	4.059345507623992	1471
1047	PURSUE	追	VV	104.1796023	4.655669387	5.013588017063316	493
1052	LIGHT (WEIGHT)	轻	VV	11.66811546	2.539088243	4.089308731001435	2648
1053	HUNTER	猎人	NN	25.83654137	3.289764443	4.41836745026566	3472
1054	SMALLPOX	天花	NN	0.833436818	0.606192248	3.214247467609735	20777
106	SATIATED	饱	VA	2.500310455	1.252851666	3.515277463273716	4458
1065	SPIDER WEB	蜘蛛网	NN	10.83467864	2.471034089	4.059345507623992	3039
1066	CRIME	犯罪	VV	1.666873637	0.980906864	3.390338726665417	20541
1069	GLUE	胶	NN	30.83716228	3.460634233	4.493001068562564	4259
1071	HOOK	钩子	NN	14.16842591	2.719216025	4.16848997704906	2077
1072	PRISONER	犯人	NN	6.667494547	2.036989906	3.867459981385079	6985
1075	TRAP (PITFALL)	陷阱	NN	12.50155228	2.602804662	4.117337454601679	7171
1076	EMERGE (APPEAR)	出现	VV	74.17587684	4.319830393	4.867459981385079	1344
1077	WHEAT	小麦	NN	10.83467864	2.471034089	4.059345507623992	2445
1083	MESS	乱	VA	85.01055548	4.454470027	4.926054696650926	1700
1084	CALL	呼唤	VV	1.666873637	0.980906864	3.390338726665417	18633
1086	WORK (ACTIVITY)	干活	VV	50.0062091	3.931947372	4.698547306956521	2631
1088	SINK (DESCEND)	沉	VV	30.83716228	3.460634233	4.493001068562564	3282
1090	BE BORN	出生	VV	45.83902501	3.846716723	4.661405498951955	1650
1091	SALTY	咸	VV	24.16966773	3.225639608	4.390338726665417	4535
1093	MIDDLE	中间	NN	152.5189378	5.033823932	5.17803529495529	223
1094	FASTEN	系	VV	57.50714047	4.069148806	4.758315511960011	3267
1095	LET GO OR SET FREE	释放	VV	4.167184092	1.642327877	3.691368722329398	14771
1096	SONG	歌	NN	120.8483387	4.802777146	5.077570327730191	3168
1100	COOK (SOMETHING)	熬	VV	5.834057729	1.921918601	3.816307458937698	8601
1104	NURSE	护士	NN	4.167184092	1.642327877	3.691368722329398	12965
1106	FALL ASLEEP	睡着	VV	95.0117973	4.564471072	4.973915312299366	798
1108	UNCOVER	揭	VV	1.666873637	0.980906864	3.390338726665417	6143
1109	WOUND	伤口	NN	5.834057729	1.921918601	3.816307458937698	8858
1111	CAR	汽车	NN	620.0769929	6.431455056	5.78537374469405	8
1112	SUCCEED	成功	AD	33.33747274	3.536237257	4.526001328665489	1895
1113	WRAP	包	NN	143.3511328	4.972248753	5.15126357507455	1228
1114	BULLET	子弹	NN	58.34057729	4.083293343	4.764475820664829	252
1115	SPEECH	演讲	VV	0.833436818	0.606192248	3.214247467609735	18121
1117	LIKE	喜欢	VV	4860.603525	8.489123606	6.679109448375769	239
1119	DIVIDE	分	VV	153.3523746	5.039238135	5.180389200348768	2807
112	TURTLE	乌龟	NN	162.5201796	5.096936405	5.205473543302229	2302
1120	HONEST	诚实	VA	0.833436818	0.606192248	3.214247467609735	18882
1121	SECRET	保密	VA	1.666873637	0.980906864	3.390338726665417	15435
1122	WAGES	工资	NN	1.666873637	0.980906864	3.390338726665417	6369
1123	PREGNANT	怀孕	VV	0.833436818	0.606192248	3.214247467609735	17032
1124	PIPE	烟筒	NN	3.333747274	1.466432589	3.612187476281773	13646
1125	BALD	秃	VA	2.500310455	1.252851666	3.515277463273716	11840
1127	SEND	发	VV	174.188295	5.165861367	5.235436766679674	453
1128	ORDER	顺序	NN	3.333747274	1.466432589	3.612187476281773	8797
1129	PAINFUL	痛	VA	7.500931366	2.14017573	3.913217471945754	14830
1131	WE (INCLUSIVE)	咱们	PN	414.2180987	6.028803921	5.610446814705472	861
1132	BEAM	梁	NR	3.333747274	1.466432589	3.612187476281773	13625
1133	MATCH	火柴	NN	5.00062091	1.791862949	3.758315511960011	11293
1135	KICK	踢	VV	127.5158332	4.856052112	5.100738192782217	3214
1137	TENDON	筋	NN	0.833436818	0.606192248	3.214247467609735	13216
1139	LEOPARD	豹子	NN	15.83529955	2.823477846	4.214247467609735	4365
1142	URINE	尿	NN	52.50651956	3.979803507	4.719397445929641	3767
1145	SWAMP	沼泽	NN	3.333747274	1.466432589	3.612187476281773	482
1146	AUBERGINE	茄子	NN	6.667494547	2.036989906	3.867459981385079	7316
1147	PURE	清	VA	134.1833278	4.906631841	5.122732486488385	3411
