CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	ENGLISH_BOI_MEAN	LINE_IN_SOURCE
1204	BARK	bark	3.592592593	494
1205	TONGUE	tongue	5.928571429	8475
1207	YOUNG	young	2.56	9332
1208	CAT	cat	5.913043478	1248
121	SPIN	spin	2.217391304	7626
1210	HEAVY	heavy	2.24	3757
1211	HE	he	2.96	3721
1212	WE	we	2.47826087	9053
1213	YOU	you	5.52	9331
1214	THIS	this	1.72	8350
1216	MOTHER	mother	5.52	5094
1217	FATHER	father	6.035714286	2796
1218	ROPE	rope	6.2	6640
1219	WORM	worm	4.681818182	9262
122	CART	wagon	5.375	8958
1220	TAIL	tail	4.086956522	8179
1221	NOSE	nose	6	5328
1222	PENIS	penis	6.689655172	5716
1223	HEART	heart	3.666666667	3750
1224	LIVER	liver	3.956521739	4614
1225	DAY (NOT NIGHT)	day	1.541666667	2132
1226	YEAR	year	1.333333333	9312
1227	BOARD	board	4.48	765
1228	EARTH (SOIL)	earth	5.555555556	2542
1229	OLD	old	1.76	5417
123	FOREHEAD	forehead	5.777777778	3087
1230	DIRTY	dirty	1.80952381	2306
1231	NEW	new	2.086956522	5256
1232	WARM	warm	2.541666667	8995
1233	NIGHT	night	2.130434783	5283
1234	SMOOTH	smooth	2.04	7427
1235	WHO	who	1.88	9148
1236	WHAT	what	1.571428571	9102
1237	WHERE	where	2	9113
1238	WHEN	when	1.36	9112
1239	HOW	how	1.846153846	3956
124	THORN	thorn	4.925925926	8353
1240	NOT	not	1.260869565	5331
1241	SOME	some	1.583333333	7526
1242	FEW	few	1.583333333	2845
1243	WIDE	wide	2.166666667	9158
1244	THICK	thick	1.724137931	8338
1245	BUTTER	butter	6.217391304	1075
1246	SMALL	small	2.48	7408
1247	EAR	ear	6.652173913	2533
1248	EYE	eye	5.72	2739
125	SWEAT (SUBSTANCE)	sweat	4.208333333	8108
1250	JAGUAR	jaguar	4.826086957	4220
1251	BELLY	belly	5.846153846	608
1252	HOUSE	house	5.782608696	3939
1254	HANDLE	handle	4.958333333	3657
1256	HEAD	head	5.48	3722
1257	WING	wing	4.48	9194
1258	FINGERNAIL	fingernail	5.88	2882
1259	WEDDING	wedding	3.592592593	9070
1261	SING	sing	3.086956522	7260
1262	BROTHER	brother	5.043478261	968
1263	SISTER	sister	4.8	7274
1264	CHANGE	change	2.96	1327
1265	HIGH	high	1.296296296	3821
1267	NARROW	narrow	1.869565217	5216
1268	YES	yes	1.625	9321
1269	NO	no	1.333333333	5307
1270	WHY	why	1.304347826	9155
1271	DELIGHT	please	1.307692308	5921
1272	AUNT	aunt	5.041666667	372
1273	CANDLE	candle	5.166666667	1148
1274	SALT	salt	5.260869565	6746
1275	ANSWER	answer	2.416666667	209
1276	AUTUMN	autumn	2.4	382
1277	HAND	hand	6.44	3645
1278	VOMIT	vomit	4.666666667	8937
128	MUMBLE	mumble	1.692307692	5152
1280	FALL	fall	2.310344828	2775
1281	PRISON	prison	3.296296296	6122
1282	FAT (FROM ANIMALS)	lard	4.08	4448
1283	TODAY	today	1.625	8450
1284	BANK	bank	4.72	474
1286	HOT	hot	3	3932
1287	COLD	cold	2.782608696	1614
1288	CAP	cap	5.826086957	1168
1289	BABY	baby	6.285714286	403
129	CHOKE	choke	3.2	1415
1290	ELEPHANT	elephant	4.36	2599
1291	BACK	back	3.916666667	405
1292	BAD	bad	1.888888889	426
1293	MISTAKE	error	1.333333333	2672
1294	ZERO	zero	1.321428571	9339
1295	STICK	stick	6.16	7839
1296	WALKING STICK	staff	4.928571429	7739
1297	LEG	leg	5.875	4515
1298	NEWSPAPER	newspaper	5.76	5265
1299	COFFEE	coffee	5.538461538	1602
13	DECEIT	deceit	1.458333333	2161
1300	COUNTRY	country	3.36	1863
1301	FOOT	foot	6	3058
1302	FORK	fork	5.6	3093
1303	FINGER	finger	6	2878
1304	CHILD (YOUNG HUMAN)	kids	6.44	4326
1305	CHIMNEY	chimney	4.730769231	1396
1306	QUEEN	queen	4.083333333	6289
1308	DOUBT	doubt	2.2	2407
1309	ASK (INQUIRE)	ask	2.074074074	320
131	FESTIVAL	festival	4.5	2839
1312	FOX	fox	4.115384615	3117
1313	MOON	moon	2.083333333	5066
1314	QUIET	quiet	1.96	6299
1315	RADIO	radio	5.291666667	6323
1316	TENT	tent	5.5	8291
1318	CHICKEN	chicken	5.5	1382
1319	COWARD	coward	3.24	1884
132	SAUCE	sauce	5.130434783	6795
1320	APPLE	apple	6.272727273	247
1321	BOTTLE	bottle	5.464285714	846
1322	BREAKFAST	breakfast	6.173913043	902
1323	CLOCK	clock	4.714285714	1533
1324	SLIP	slip	3.615384615	7375
1325	FRIEND	friend	5	3156
1326	DOWN	down	1.791666667	2414
1327	UNCLE	uncle	5.392857143	8751
1329	TOMORROW	tomorrow	2.24	8469
133	WEAVE	weave	3.166666667	9066
1330	DEFEND	defense	2	2182
1331	SHEEP	sheep	4.5	7091
1332	NEIGHBOUR	neighbor	4.153846154	5244
1333	NECK	neck	6.12	5228
1334	GUTS	guts	3.04	3591
1335	WHITE	white	1.259259259	9140
1336	EAT	eat	3.125	2552
1337	PIG	pig	4.56	5815
1338	PEACE	peace	1.956521739	5672
1339	MORNING	morning	1.62962963	5077
134	FAULT	guilt	1.576923077	3560
1340	WITH	with	1.6	9215
1342	SUMMER	summer	1.92	8031
1343	SUN	sun	2.086956522	8036
1344	RAM	ram	3.391304348	6347
1346	THROAT	throat	5.347826087	8365
1347	NAPE (OF NECK)	nape	3.739130435	5210
1348	BOAR (MALE PIG)	boar	4.178571429	764
1349	CHURCH	church	4.148148148	1444
135	BOOMERANG	boomerang	5.666666667	822
1350	MONKEY	monkey	4.259259259	5055
1353	HOUR	hour	1.346153846	3937
1354	NEXT	next	1.826086957	5273
1355	LAUGH	laugh	2.875	4465
1356	NUMBER	number	2.592592593	5351
1357	DAUGHTER	daughter	5.192307692	2129
1358	ENEMY	enemy	4.375	2631
136	HERE	here	1.8	3792
1360	DUCK	duck	5.041666667	2492
1361	TOOL	tool	6.304347826	8482
1362	STREET	street	4.708333333	7928
1363	VOICE	voice	2.4	8927
1364	HEALTHY	health	2.25	3746
1365	KITCHEN	kitchen	5.625	4348
1366	BOY	boy	4.962962963	870
1367	CROSS	cross	5	1979
1368	BREAD	bread	6.230769231	896
1369	GOLD	gold	4.75	3404
1370	MONTH	month	1.36	5063
1371	KNEE	knee	5.818181818	4359
1372	MEDICINE	medicine	5.692307692	4891
1373	TEA	tea	6.153846154	8238
1374	RING	ring	6.130434783	6574
1375	WINDOW	window	5.68	9182
1376	NOW	now	1.892857143	5342
1377	VISIT	visit	2.68	8919
1378	SPOON	spoon	6.115384615	7658
1379	TELEPHONE	phone	6.5	5782
138	BATHE	bathe	5.214285714	530
1380	TOOTH	tooth	6.037037037	8484
1381	SHOE	shoe	6.458333333	7140
1382	NEEDLE (FOR SEWING)	needle	5.739130435	5237
1383	GRANDFATHER	grandfather	5.833333333	3446
1384	SECOND	second	1.6	6970
1385	PEPPER	pepper	5.875	5727
1386	LION	lion	3.416666667	4596
1387	ARRIVE	arrive	1.965517241	299
1388	SHADE	shadow	2.75	7045
1389	TOE	toe	5.954545455	8452
139	GUMS	gum	6.36	3570
1390	WRONG	wrong	1.76	9296
1391	TOWN	town	4.25	8526
1392	LOUSE	lice	5	4548
1393	HORN (ANATOMY)	horn	5.291666667	3908
1394	BONE	bone	5.259259259	797
1395	ROUND	round	1.76	6659
1396	SHARP	sharp	2	7073
1398	DRY	dry	2	2487
1399	CLAY	clay	5.52	1492
14	YOKE	yoke	3.565217391	9328
1400	THIN (SLIM)	skinny	2.24	7307
1401	DRINK	drink	6.074074074	2459
1402	BREAST	breast	5.4	905
1403	BITE	bite	3.72	669
1404	STRAIGHT	straight	1.96	7907
1405	NAME	name	1.72	5206
1406	FAR	far	1.44	2783
1407	BREATHE	breathe	3.24	912
1408	HEAR	hear	1.769230769	3748
1409	SEE	see	3.423076923	6983
1411	LIE (REST)	lie	2	4556
1412	RUDE	rude	1.615384615	6679
1413	PLAY	play	2.84	5909
1414	SQUEEZE	squeeze	2.458333333	7719
1416	SIT	sit	3.434782609	7275
1417	KILL	kill	2.24	4327
1418	DIG	dig	2.88	2278
1419	FEAR (BE AFRAID)	fear	1.88	2803
1420	COUNT	count	1.954545455	1857
1421	SUCK	suck	2.608695652	8006
1422	BE ALIVE	live	2.416666667	4613
1423	FIGHT	fight	2.5	2858
1424	YELLOW	yellow	1.652173913	9317
1425	GREEN	green	2.166666667	3485
1427	BEAUTIFUL	beautiful	1.875	570
1428	BURNING	burning	2.375	1054
1429	FULL	full	1.259259259	3187
143	HUMID	humid	1.814814815	3973
1430	STAR	star	1.916666667	7767
1431	FREEZE	freeze	2.44	3146
1432	CUT	cut	2.84	2074
1433	HIT	hit	2.576923077	3845
1434	STAB	stab	2.956521739	7733
1435	HUNT	hunt	2.32	3986
1436	SCRATCH	scratch	3.458333333	6896
1437	SPLIT	split	1.956521739	7647
1438	FOOL	fool	3.28	3057
1439	SWIM	swim	3.347826087	8125
144	MACHINE	machine	5.791666667	4721
1440	SPIT	spit	4.391304348	7635
1441	FLY (MOVE THROUGH AIR)	fly	3.826086957	3031
1442	STAND	stand	4.038461538	7761
1443	WALK	walk	3.2	8970
1446	COME	come	2.137931034	1651
1447	GIVE	give	1.92	3329
1448	HOLD	hold	2.32	3864
1449	RUB	rub	3.541666667	6669
1450	ROOM	room	4.130434783	6634
1451	SMILE	smile	3	7416
1452	PUSH	push	3.32	6255
1453	WASH	wash	2.851851852	9003
1454	WIPE	wipe	4	9204
1455	PULL	pull	3.125	6217
1456	THROW	throw	3.592592593	8373
1457	SEW	sew	3.230769231	7035
1458	SAY	say	1.833333333	6815
1459	IF	if	1.4	4039
146	SUGAR CANE	sugarcane	5.043478261	8016
1460	IN	in	2.25	4065
1461	AT	at	2	349
1462	POT	pot	6.16	6040
1463	DRUNK	drunk	2.379310345	2485
1464	LADDER	Ladder	6.117567568	4410
1465	BOX	box	6.291666667	867
1467	CIRCLE	circle	2.793103448	1455
1468	LOOK FOR	search	2.291666667	6956
1469	WEEK	week	2.090909091	9074
1470	FOLD	fold	2.555555556	3046
1471	WINTER	winter	3.333333333	9201
1472	KEY	key	6.28	4315
1473	FIST	fist	6.08	2918
1474	SEA	sea	4.653846154	6939
1475	COMB	comb	5.923076923	1646
1476	CHAIR	chair	6.88	1312
1479	DOLPHIN	dolphin	4.52	2378
1480	BODY	body	6.038461538	779
1481	HAMMER	hammer	6.173913043	3639
1482	SHOULDER	shoulder	5.869565217	7169
1483	NINE	nine	1.346153846	5299
1485	BELOW OR UNDER	below	1.4	611
1487	POUR	pour	2.173913043	6054
1488	FAUCET	tap	3.538461538	8207
1489	CLOUD	cloud	1.652173913	1548
149	ITCHY	itchy	2.791666667	4205
1490	RAT	rat	4.608695652	6370
1491	MOUSE	mouse	5.24	5117
1493	ONE	one	1.791666667	5426
1494	DIE	die	3.76	2273
1495	HAPPY	happy	2.043478261	3676
1497	POSTCARD	postcard	5.76	6031
1498	TWO	two	2.269230769	8727
1499	JUICE	juice	5.739130435	4282
15	OTTER	otter	4.04	5474
150	WORRY	worry	1.68	9265
1500	FOUR	four	1.4	3115
1501	BORE	bore	2.304347826	835
1502	GOAT	goat	4.8	3387
1504	FLY (INSECT)	housefly	4.541666667	3943
1505	SPERM	sperm	3.833333333	7612
1506	MEASURE	measure	2.333333333	4880
1507	FRUIT	fruit	6	3181
1508	KING	king	3.625	4340
1509	MOSQUITO	mosquito	4.4	5088
151	RAZOR	razor	6.12	6386
1510	CHIN	chin	5.884615385	1399
1511	ROOSTER	rooster	3.909090909	6637
1512	RISE (ONESELF)	arise	1.92	278
1514	HEN	hen	4.652173913	3781
1515	TEN	ten	1.583333333	8280
1517	WASP	wasp	3.913043478	9014
1518	STUPID	stupid	1.48	7979
1519	RUN	run	3.217391304	6694
152	HOOF	Hoof	4.016348774	3891
1520	CRUSH	crush	2.391304348	2013
1522	SOCK	sock	5.833333333	7499
1524	WINE	wine	5.791666667	9192
1525	COAST	coast	2.68	1572
1526	MEAL	meal	5.958333333	4877
1527	TICK	tick	3.851851852	8395
1529	LAST (FINAL)	last	1.304347826	4458
153	GREY	grey	2.222222222	3495
1530	BOWL	bowl	6.16	864
1531	BRANCH	branch	4.821428571	880
1532	SHEAR	shear	3.826086957	7085
1533	BE HUNGRY	hungry	2.961538462	3984
1534	FEVER	fever	3.095238095	2843
1535	SWORD	sword	5.461538462	8140
1537	SPRINGTIME	spring	2.851851852	7679
1538	SCORPION	scorpion	4.32	6881
1539	BASKET	basket	6.391304348	519
1540	EYELASH	eyelash	5.423076923	2745
1543	SNAIL	snail	4.52173913	7438
1545	HOST	host	3.730769231	3927
1546	TWICE	twice	1.75	8711
1547	SOUP	soup	5.576923077	7548
1548	UGLY	ugly	2.642857143	8742
1549	TRIBE	tribe	2.961538462	8609
155	CHOP	chop	2.47826087	1419
1551	FEMALE	female	5.689655172	2824
1553	MALE	male	5.5	4757
1554	MAN	man	5.346153846	4767
1555	CHAMELEON	chameleon	4.25	1322
1556	YOLK	yolk	4.875	9329
1557	BEGINNING	beginning	1.571428571	596
1559	MONEY	money	6.291666667	5049
156	RED	red	1.576923077	6419
1560	FACE	face	5.857142857	2755
1561	ARMY	army	3.48	290
1562	MIND	mind	2.347826087	4988
1563	PYTHON	python	3.583333333	6268
1564	LAZY	lazy	1.583333333	4482
1565	HEAVEN	heaven	2	3756
1566	GUN	gun	6.12	3575
1567	DOOR	door	6.217391304	2389
1568	ARRANGE	arrange	2.217391304	295
1569	CHEESE	cheese	6.391304348	1366
157	DYE	dye	4.52173913	2528
1570	EQUAL	equal	1.6	2663
1571	SELL	sell	1.681818182	6997
1573	SWELL	swell	1.782608696	8120
1574	FLOAT	float	2.8	2987
1575	COCKROACH	cockroach	4.038461538	1593
1577	AND	and	1.25	194
1578	IGUANA	iguana	5.166666667	4042
1579	BE	be	1.652173913	549
158	PUT ON	clothe	4.130434783	1542
1581	ALLIGATOR	alligator	3.608695652	141
1584	BLISTER	blister	5.2	711
1585	SLEEP	sleep	2.833333333	7351
1587	SMELL (STINK)	stink	3.642857143	7850
1588	TURN	turn	1.913043478	8688
1589	HUMMINGBIRD	hummingbird	4.071428571	3975
1590	WAIT (FOR)	wait	1.965517241	8964
1591	UP	up	1.653846154	8801
1592	CHEST	chest	5.851851852	1377
1593	DEEP	deep	1.333333333	2175
1594	FLOUR	flour	5.875	3009
1595	SOUTH	south	1.583333333	7552
1596	LOCK	lock	5.173913043	4629
1597	AIRPLANE	airplane	4.625	114
1598	NORTH	north	2.25	5326
16	SLED	sleigh	4.84	7357
160	SET (HEAVENLY BODIES)	set	2.44	7031
1600	SKIRT	skirt	6.041666667	7312
1601	WEAK	weak	1.76	9054
1603	MOSQUE	mosque	3.956521739	5087
1606	INSIDE	inside	2.304347826	4131
1607	HATE	hate	1.608695652	3708
1608	LISTEN	listen	2.652173913	4605
161	MISS (A TARGET)	miss	2.36	5010
1610	PROSTITUTE	prostitute	5	6172
1611	INVITE	invite	2.24	4186
1612	LETTER	letter	5.259259259	4537
1613	COLOR	color	2.47826087	1636
1614	SUMMIT	summit	3.074074074	8033
1615	ESCAPE	escape	2.304347826	2676
1616	CLOTH	cloth	5.961538462	1541
1617	GRANDCHILD	grandchild	5.24	3444
1618	GRANDSON	grandson	5.785714286	3452
1619	GRANDDAUGHTER	granddaughter	5	3445
162	HICCOUGH	hiccup	2.739130435	3813
1620	SON	son	5.875	7530
1621	SNEEZE	sneeze	3.166666667	7452
1622	SHIRT	Shirt	6.473045822	7133
1623	SPEAK	speak	3.44	7586
1624	EMPTY	empty	1.72	2623
1625	DEAD	dead	1.625	2141
1627	CHAIN	chain	5.958333333	1311
1628	SQUIRREL	squirrel	4.346153846	7731
1629	EVENING	evening	2.260869565	2694
163	BLACK	black	1.772727273	671
1630	MACAW	macaw	4.217391304	4717
1631	FAST	fast	1.608695652	2792
1632	FLOOR	floor	5.666666667	2998
1633	FLAT	flat	2.2	2951
1634	HUNDRED	hundred	1.72	3981
1635	OBEY	obey	1.814814815	5375
1636	MOTIONLESS	motionless	1.296296296	5096
1638	TRUTH	truth	1.962962963	8657
1639	BEER	beer	5.791666667	589
164	KANGAROO	kangaroo	4	4299
1640	SIBLING	sibling	5.04	7212
1641	SILK	silk	4.8	7247
1642	NIECE	niece	4.041666667	5281
1643	COUSIN	cousin	5.375	1878
1645	SHORT	short	2.166666667	7160
1646	GIRL	girl	5.52	3326
1647	FOAL	pony	5.375	5999
1648	ANVIL	anvil	5.24	228
1650	WATCH	watch	5.269230769	9019
1651	TEAR (OF EYE)	tear	4.44	8251
1653	BLIND	blind	2.2	703
1654	LIGHTNING	lightning	2.304347826	4567
1655	BLINK	blink	3.166666667	707
1657	TRUE	real	2.041666667	6391
1659	DOLL	doll	6.434782609	2375
1661	STRAIT	strait	1.652173913	7912
1662	CAPE	cape	5.416666667	1171
1663	BED	bed	6.36	574
1664	RAFT	raft	5.36	6328
1665	BEAT	beat	2.76	565
1666	MUTE	mute	2.535714286	5189
1667	HOLE	hole	4.090909091	3867
1668	GRIEF	grief	1.416666667	3500
167	MAIL	mail	6.125	4744
1671	TOWER	tower	4.307692308	8523
1672	WRITE	write	3.681818182	9293
1673	ARM	arm	6.47826087	281
1674	POOR	poor	1.869565217	6004
1678	HUT	hut	5.130434783	4007
1679	LOAD	load	3.28	4619
168	REST	rest	2.956521739	6516
1680	HELMET	helmet	6.111111111	3771
1681	WAIST	waist	4.888888889	8960
1683	BUSH	bush	4.8	1061
1684	BUD	bud	3.652173913	993
1685	AFTER	after	1.346153846	90
1686	BEHIND	behind	2.25	598
1687	PRAISE	praise	2.538461538	6064
1689	SMOKE (INHALE)	smoking	2.76	7423
169	IT	it	1.916666667	4201
1690	FENCE	fence	5.62962963	2827
1691	FLEXIBLE	flexible	2.037037037	2973
1698	CURVED	curved	2	2066
17	EYELID	eyelid	5.52173913	2747
1702	HOLY	holy	1.291666667	3874
1703	SIX	six	2.333333333	7278
1704	SEVEN	seven	1.583333333	7033
1705	EIGHT	eight	1.76	2580
1707	TWELVE	twelve	1.625	8710
1711	TELL	tell	1.37037037	8272
1712	OATH	oath	1.888888889	5373
1720	SIGN	sign	4.666666667	7236
1725	CORRECT (RIGHT)	correct	1.47826087	1826
1726	WET	wet	4.035714286	9093
1727	THRESHOLD	threshold	2.4	8363
1728	ROTTEN	rotten	2.730769231	6653
1730	CHEEK	cheek	5.481481481	1361
1732	SKY	sky	1.565217391	7319
1733	RAINBOW	Rainbow	1.696185286	6337
1737	OKRA	okra	5.269230769	5416
1740	PINE	pine	4.347826087	5844
1741	ABOVE	above	1.4	12
1743	JOIN	join	2	4264
1744	SPLEEN	spleen	2.96	7642
1745	HIP	hip	5.086956522	3835
1746	BLADDER	bladder	4.24	679
1747	CUSTOM	custom	1.6	2072
1748	RIDGE	ridge	3.818181818	6561
1749	TAKE	take	2.24	8186
175	BLOW (OF WIND)	blow	2.541666667	740
1750	CHOOSE	choose	1.772727273	1418
1751	BIRTHMARK	birthmark	4.333333333	662
1752	LEAVE	leave	1.625	4502
1753	TOP	top	2.958333333	8489
1754	BRACELET	bracelet	6.5	875
1756	WIDOW	widow	3.695652174	9159
1757	TIRED	tired	3.714285714	8437
1763	CLUB	club	5.458333333	1556
1766	FINISH	finish	2.192307692	2886
1767	SCRAPE	scrape	2.583333333	6893
1768	FOAM	foam	3.652173913	3040
1769	AXLE	axle	4.904761905	397
1770	CARCASS	carcass	4.043478261	1186
1771	TASTELESS	tasteless	2.72	8224
1772	ELK	elk	4.130434783	2603
1773	GRAVE	grave	4.730769231	3473
1775	TABLE	table	6.4	8164
1776	SHAME	shame	1.68	7059
1778	APPROACH	approach	2.6	253
178	RIPE	ripe	1.962962963	6586
1780	BILE	bile	3.590909091	640
1781	THUMB	thumb	6.357142857	8380
1782	GUEST	guest	4.857142857	3553
1783	PAIN	pain	3.136363636	5538
1784	WANT	want	1.4	8985
1787	LOOM	loom	4.038461538	4657
1788	TELEVISION	television	5.6	8271
1789	AGE	age	1.76	93
1791	BUTTERFLY	butterfly	4.25	1078
1792	PERJURY	perjury	1.541666667	5749
1793	BAT	bat	5.041666667	527
1796	SLAUGHTER	slaughter	2.333333333	7338
1797	HEDGEHOG	hedgehog	5.043478261	3759
1798	GUNPOWDER	gunpowder	4.96	3580
1799	HYENA	hyena	3.708333333	4018
1800	DANDELION	dandelion	5.826086957	2111
1801	CHILD (DESCENDANT)	offspring	4.913043478	5405
1802	SCREW	screw	5.708333333	6908
1803	WOOD	wood	5.590909091	9229
1804	BOMB	bomb	4.384615385	789
1806	BEGIN	begin	1.375	595
1808	PUS	pus	4.173913043	6254
1809	PIMPLE	pimple	5.72	5836
181	ANTEATER	anteater	3.913043478	212
1810	DANGER	danger	1.8	2114
1812	TRY	try	2.25	8658
1813	TASTY	tasty	2.296296296	8226
1815	ACHE	ache	2.913043478	35
1816	BESIDE	beside	1.925925926	622
1817	WEST	west	1.36	9092
1819	LOOK	look	2.681818182	4655
182	SPOKE	spoke	3.384615385	7650
1820	BEAR	bear	3.608695652	560
1821	BRUSH	brush	6.043478261	977
1823	BORROW	borrow	1.423076923	839
1825	COPPER	copper	4.833333333	1801
1826	ANGRY	angry	2.130434783	200
1828	ASK (REQUEST)	request	2.260869565	6493
1829	JUMP	jump	3.304347826	4286
