CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	ENGLISH_CONCRETENESS_GPT_SCORE	ENGLISH_VALENCE_GPT_SCORE	ENGLISH_AROUSAL_GPT_SCORE	LINE_IN_SOURCE
1	CONTEMPTIBLE	contemptible	1	2	5	24139
10	FIREWOOD	firewood	5	5	2	43089
100	FAITHFUL	faithful	2	8	3	41266
1000	ANXIETY	anxiety	1	2	8	4715
1001	BLACKSMITH	blacksmith	5	5	3	11319
1002	STATUE	statue	5	5	1	107011
1003	PERMIT	allow	1	5	1	2887
1004	MUSCLE	muscle	5	6	5	74441
1005	TWINS	twins	5	7	3	116940
1006	BRICK	brick	5	5	1	13739
1007	COW	cow	5	5	1	25902
1008	BULL	bull	5	5	3	14587
1009	CHESTNUT TREE	buckeye	5	5	3	14368
101	BOAST	boast	1	5	5	12069
1010	BOUNDARY	boundary	3	5	2	13001
1011	BRIDGE	bridge	4	5	1	13786
1012	LATCH	latch	4	5	3	64686
1013	FRESHWATER EEL	eel	5	5	2	36289
1014	OR	or	1	5	1	78766
1016	DRIZZLE	drizzle	4	6	1	34980
1017	APPEARANCE	appearance	2	5	3	4986
1018	MEMORY	memory	2	6	3	70608
1019	RIGHT	right	1	5	2	95573
102	COMMON COLD (DISEASE)	common	1	5	1	22418
1020	HANDKERCHIEF	handkerchief	5	5	1	51572
1021	TOWEL	towel	5	5	1	114855
1024	CHARACTER	character	2	5	1	18483
1025	WHISTLE	whistle	4	5	3	123890
1027	BUG	bug	3	5	3	14489
1028	YAWN	yawn	4	5	1	125775
1029	JEWEL	jewel	5	7	3	61829
1030	NECESSARY	necessary	1	5	3	75304
1032	CITIZEN	citizen	3	6	2	20176
1033	GRIND	grind	3	5	5	50159
1034	DEFENDANT	defendant	3	5	3	29297
1035	GOOD	good	1	8	1	49087
1036	OWNER	owner	3	5	3	80362
1037	ELF	elf	3	6	3	36871
1038	TEACHER	teacher	4	7	3	111834
1039	SHOW	show	2	5	3	101677
1040	HAIR	hair	5	5	1	51205
1041	INCREASE	increase	1	6	5	57843
1042	CARPENTER	carpenter	5	6	2	16908
1043	BRAID	braid	4	7	1	13265
1044	PILLOW	pillow	5	7	1	84454
1045	POET	poet	4	7	3	85689
1046	SHUT	close	1	5	3	20870
1047	PURSUE	pursue	1	6	5	89920
1048	LINE	line	3	5	1	66376
1049	MOLAR TOOTH	molar	4	5	1	72886
105	MATTRESS	mattress	5	6	1	69956
1050	MOTHER-IN-LAW	mother-in-law	5	5	5	73702
1052	LIGHT (WEIGHT)	light (weight)	3	6	2	66116
1053	HUNTER	hunter	4	5	7	55429
1054	SMALLPOX	smallpox	5	1	8	103579
1055	FATHER-IN-LAW	father-in-law	5	5	3	41733
1056	SON-IN-LAW	son-in-law	5	5	3	104774
1057	DAUGHTER-IN-LAW	daughter-in-law	5	6	3	28401
1058	STEPDAUGHTER	stepdaughter	5	5	3	107266
1059	STEPSON	stepson	5	5	3	107305
106	SATIATED	sated	2	7	1	97989
1061	ARMOUR	armor	4	5	5	5713
1062	LAW	law	1	5	3	64896
1063	NEPHEW	nephew	4	7	2	75563
1064	SHIELD	shield	4	6	3	101222
1065	SPIDER WEB	web	3	5	2	123161
1066	CRIME	crime	2	1	7	26552
1067	JUDGMENT	judgment	1	5	5	62289
1068	COURT	court	3	5	3	25787
1069	GLUE	glue	5	5	1	48696
107	OMEN	omen	2	3	5	78313
1070	BUS	bus	5	5	2	15027
1071	HOOK	hook	3	5	5	54580
1072	PRISONER	prisoner	4	3	7	88165
1074	FISHHOOK	fishhook	5	5	3	43173
1075	TRAP (PITFALL)	trap	3	5	5	115516
1076	EMERGE (APPEAR)	appear	1	5	2	4985
1077	WHEAT	wheat	5	6	1	123630
1078	MAIN	main	1	5	1	68548
1079	FEEL	feel	1	5	3	42048
108	RUDDER	rudder	5	5	1	96778
1080	VULGAR	vulgar	1	2	5	122186
1081	BILL	bill	3	5	2	10699
1082	MERCHANT	merchant	4	5	1	70795
1084	CALL	call	3	5	3	15768
1085	FOLLOW	follow	1	5	2	44458
1086	WORK (ACTIVITY)	activity	2	6	5	1023
1087	CONCEIVE	conceive	1	6	3	22948
1088	SINK (DESCEND)	sink	4	5	1	102500
109	FOREIGN	foreign	1	5	3	44805
1090	BE BORN	born	1	7	1	12810
1091	SALTY	salty	3	5	3	97557
1092	HOPE	hope	1	8	3	54638
1093	MIDDLE	middle	3	5	1	71457
1094	FASTEN	fasten	3	5	3	41678
1095	LET GO OR SET FREE	release	2	6	5	93461
1096	SONG	song	3	7	3	104746
1097	ABANDON	abandon	1	2	6	23
1098	WEIGH	weigh	3	5	1	123301
11	DARKNESS	darkness	2	4	5	28285
110	MOTOR	motor	4	5	3	73757
1100	COOK (SOMETHING)	cook	3	6	3	24604
1101	SUFFER	suffer	1	1	7	109234
1102	CLIMB	climb	3	5	5	20720
1103	SACRIFICE	sacrifice	2	5	6	97206
1104	NURSE	nurse	4	8	3	77384
