CONCEPTICON_ID	CONCEPTICON_GLOSS	POLISH	GERMAN	POLISH_VALENCE_MEAN_MALE	POLISH_VALENCY_MEAN_FEMALE	POLISH_VALENCY_MEAN	POLISH_AROUSAL_MEAN_MALE	POLISH_AROUSAL_MEAN_FEMALE	POLISH_AROUSAL_MEAN	POLISH_IMAGEABILITY_MEAN_MALE	POLISH_IMAGEABILITY_MEAN_FEMALE	POLISH_IMAGEABILITY_MEAN	LINE_IN_SOURCE
1098	WEIGH	ważyć	waage	-0.08	-0.23	-0.15	1.46	1.69	1.58	5.92	5.62	5.77	2480
1156	OPEN	otwierać	öffnen	0.79	1.31	1.04	2.43	2.38	2.41	5.93	6.15	6.04	1415
1208	CAT	kot	katze	1.2	1.47	1.37	2.0	2.47	2.3	6.6	7.0	6.85	789
1221	NOSE	nos	nase	0.38	-0.09	0.19	1.5	1.27	1.41	6.69	6.36	6.56	1232
1223	HEART	serce	herz	1.67	1.78	1.74	3.11	2.61	2.78	5.89	6.72	6.44	1991
1248	EYE	oko	auge	0.79	0.62	0.7	1.64	1.77	1.7	6.64	6.77	6.7	1345
1252	HOUSE	dom	zuhause	2.0	1.91	1.96	3.06	2.27	2.74	6.75	6.73	6.74	344
1261	SING	śpiewać	singen	2.09	1.81	1.93	3.27	2.94	3.07	5.91	6.44	6.22	2250
1280	FALL	spadać	fallen	-0.79	-1.23	-1.0	3.14	3.62	3.37	5.86	6.0	5.93	2069
1290	ELEPHANT	słoń	elefant	1.14	1.17	1.15	2.07	2.08	2.08	6.71	6.67	6.69	2048
1302	FORK	widelec	gabel	0.22	0.33	0.3	2.33	1.22	1.59	6.67	6.72	6.7	2511
1313	MOON	księżyc	mond	1.67	2.0	1.81	2.2	2.27	2.23	6.47	6.73	6.58	832
1321	BOTTLE	butelka	flasche	0.64	-0.08	0.31	2.21	1.92	2.08	6.43	5.92	6.19	191
1323	CLOCK	zegar	uhr	0.0	-0.09	-0.04	1.81	1.73	1.78	6.69	6.82	6.74	2804
1324	SLIP	zjeżdżalnia	rutsche	1.56	1.73	1.63	3.0	2.55	2.81	6.56	6.73	6.63	2819
1336	EAT	jeść	essen	1.9	2.0	1.96	2.7	2.71	2.7	6.3	6.53	6.44	634
1343	SUN	słońce	sonne	1.57	2.75	2.12	2.86	3.0	2.92	6.43	6.83	6.62	2049
1350	MONKEY	małpa	affe	0.79	0.69	0.74	2.21	2.08	2.15	6.5	6.54	6.52	979
1352	KNIFE	nóż	messer	-0.93	-1.45	-1.15	2.2	2.64	2.38	6.73	6.55	6.65	1240
1360	DUCK	kaczka	ente	0.57	0.33	0.46	1.57	1.5	1.54	6.79	6.58	6.69	643
1378	SPOON	łyżka	löffel	0.19	0.27	0.22	1.31	1.18	1.26	6.88	6.45	6.7	953
1379	TELEPHONE	telefon	telefon	0.56	0.45	0.52	2.19	2.0	2.11	6.69	6.55	6.63	2291
1381	SHOE	but	schuh	0.11	0.61	0.44	1.56	1.39	1.44	6.44	6.72	6.63	190
1382	NEEDLE (FOR SEWING)	igła	nadel	-0.77	-0.15	-0.46	1.54	2.0	1.77	6.54	6.77	6.65	587
1386	LION	lew	löwe	1.36	1.67	1.5	3.0	3.0	3.0	6.43	6.67	6.54	880
1394	BONE	kość	knochen	-0.14	0.15	0.0	1.5	1.69	1.59	6.5	6.46	6.48	788
1401	DRINK	pić	trinken	1.3	0.76	0.96	2.6	2.18	2.33	6.5	6.71	6.63	1499
1416	SIT	siedzieć	sitzen	-0.08	0.38	0.15	1.62	1.08	1.35	6.31	6.15	6.23	1998
1430	STAR	gwiazda	stern	1.3	1.59	1.48	2.4	2.12	2.22	6.2	6.53	6.41	547
1441	FLY (MOVE THROUGH AIR)	latać	fliegen	1.77	1.77	1.77	2.92	3.0	2.96	6.31	5.54	5.92	865
1443	WALK	iść	gehen	0.64	1.46	1.04	1.93	2.69	2.3	6.07	6.46	6.26	612
1455	PULL	ciągnąć	ziehen	0.91	-0.06	0.33	2.64	1.56	2.0	5.0	5.69	5.41	243
1475	COMB	grzebień	kamm	0.14	0.38	0.26	1.29	1.69	1.48	6.79	6.54	6.67	541
1476	CHAIR	krzesło	stuhl	0.21	0.17	0.19	1.64	1.33	1.5	6.21	6.58	6.38	822
1489	CLOUD	chmura	wolke	0.64	0.56	0.59	2.27	2.06	2.15	6.55	6.56	6.56	223
1491	MOUSE	mysz	maus	0.71	-0.31	0.22	1.93	2.54	2.22	6.71	6.38	6.56	1115
1502	GOAT	koza	ziege	0.93	0.85	0.89	1.86	1.69	1.78	6.71	6.31	6.52	792
1543	SNAIL	ślimak	schnecke	0.46	0.08	0.27	1.38	1.85	1.62	6.46	6.77	6.62	2237
1585	SLEEP	spać	schlafen	1.79	2.33	2.04	2.64	2.08	2.38	6.14	6.83	6.46	2068
1622	SHIRT	koszula	hemd	0.11	1.0	0.7	2.0	1.61	1.74	6.33	6.72	6.59	786
164	KANGAROO	kangur	känguruh	1.56	1.33	1.41	2.56	1.67	1.96	6.11	6.61	6.44	661
1650	WATCH	zegarek	unruh	0.93	1.15	1.04	1.93	2.08	2.0	6.79	6.85	6.81	2805
1659	DOLL	lalka	puppe	0.11	0.89	0.63	2.0	1.72	1.81	5.89	6.72	6.44	859
1663	BED	łóżko	bett	1.79	2.15	1.96	2.5	2.54	2.52	6.86	6.92	6.89	951
1672	WRITE	pisać	schreiben	0.57	1.0	0.78	2.29	2.38	2.33	6.57	6.46	6.52	1526
1689	SMOKE (INHALE)	palić	raucher	-0.79	-1.5	-1.12	2.79	2.58	2.69	6.29	5.83	6.08	1431
1735	TEAR (SHRED)	drzeć	reißen	-1.8	-0.94	-1.26	3.0	2.82	2.89	5.3	5.82	5.63	375
1786	DRY UP	suszyć	föhn	0.44	0.33	0.37	1.78	1.44	1.56	6.33	6.17	6.22	2156
1829	JUMP	skakać	sprung	1.44	1.27	1.37	2.81	2.64	2.74	6.25	6.09	6.19	2013
1839	CRY	płakać	weinen	-1.29	-2.25	-1.73	3.21	3.92	3.54	6.0	6.58	6.27	1549
1845	BALL	piłka	ball	1.21	0.83	1.04	3.29	2.25	2.81	6.64	6.83	6.73	1519
1849	ROW	wiosłować	paddel	0.67	0.39	0.48	2.33	1.94	2.07	6.0	6.06	6.04	2548
1857	CROCODILE	krokodyl	krokodil	0.89	-0.06	0.26	2.56	2.22	2.33	6.56	6.28	6.37	811
1879	DANCE	tańczyć	tanzen	1.79	2.31	2.04	3.79	3.46	3.63	6.43	6.77	6.59	2284
1917	TIE	wiązać	binden	0.29	0.25	0.27	2.36	2.33	2.35	5.36	4.67	5.04	2509
1948	SAW	piła	säge	-0.67	-1.11	-0.96	2.67	2.06	2.26	6.33	6.39	6.37	1518
2009	DOG	pies	haustier	0.93	1.69	1.3	2.21	2.92	2.56	6.86	6.69	6.78	1510
2058	STOOL	stołek	hocker	0.2	0.09	0.15	1.4	1.09	1.27	6.13	6.73	6.38	2126
2246	BELL	dzwonek	klingel	0.29	-1.33	-0.46	2.43	3.08	2.73	6.07	6.58	6.31	417
227	FISH	ryba	fisch	1.07	0.45	0.81	1.87	1.45	1.69	6.53	6.73	6.62	1939
2292	GLASSES	okulary	brille	-0.23	0.23	0.0	1.15	1.46	1.31	6.92	6.77	6.85	1351
2396	KNOCK	pukać	pochen	0.71	0.83	0.77	2.14	2.67	2.38	6.14	5.83	6.0	1830
245	BROOM	miotła	besen	-0.1	0.0	-0.04	1.6	1.65	1.63	5.9	6.76	6.44	1061
2623	FLAG	flaga	flagge	1.0	0.54	0.78	2.21	1.85	2.04	6.93	6.69	6.81	459
2783	SCALES (MEASURE INSTRUMENT)	waga	gewicht	0.21	-0.46	-0.11	1.43	2.46	1.93	6.5	6.0	6.26	2460
2875	RING (MAKE SOUND)	dzwonić	anrufen	0.11	0.56	0.41	2.56	2.0	2.19	6.56	6.44	6.48	418
3084	BLACKBOARD	tablica	tafel	0.14	-0.23	-0.04	2.07	1.92	2.0	6.21	6.69	6.44	2270
3089	GIRAFFE	żyrafa	giraffe	1.36	0.85	1.11	2.21	1.77	2.0	6.79	6.54	6.67	2900
3090	GUITAR	gitara	gitarre	1.87	1.36	1.65	2.67	2.09	2.42	6.67	6.36	6.54	496
3091	LEMON	cytryna	zitrone	1.0	0.83	0.89	2.44	1.78	2.0	6.56	6.61	6.59	272
3094	PAINTBRUSH	pędzel	pinsel	0.14	0.54	0.33	1.29	1.85	1.56	6.5	6.69	6.59	1493
3096	RACKET	rakieta	rakete	0.79	-0.09	0.4	2.71	1.36	2.12	6.5	6.09	6.32	1853
3101	SWING	huśtawka	schaukel	1.87	1.27	1.62	2.2	2.36	2.27	6.73	6.64	6.69	580
3102	TANK	czołg	panzer	0.75	-0.45	0.26	2.25	2.36	2.3	6.69	6.73	6.7	290
3122	PAINT (SOMETHING)	malować	malerei	1.57	2.08	1.81	2.57	2.33	2.46	6.07	5.67	5.88	977
3133	TALK (PHONE)	telefonować	anruf	0.29	-0.17	0.08	2.36	2.67	2.5	5.79	6.0	5.88	2292
3405	RULER	linijka	lineal	0.14	0.08	0.12	1.36	1.25	1.31	6.0	6.25	6.12	894
3534	BEG	żebrać	betteln	-1.43	-2.25	-1.81	2.79	3.5	3.12	5.64	5.67	5.65	2887
356	SHEARS	nożyczki	schere	0.07	0.0	0.04	1.79	2.17	1.96	6.0	6.58	6.27	1239
3675	ZEBRA	zebra	zebra	0.36	1.0	0.67	1.36	1.85	1.59	6.64	6.69	6.67	2803
496	CUCUMBER	ogórek	gurke	0.31	0.69	0.5	1.31	1.38	1.35	6.38	6.85	6.62	1333
503	FROG	żaba	frosch	0.2	0.18	0.19	1.8	2.29	2.11	6.4	6.71	6.59	2877
55	WHISPER	szeptać	tuscheln	0.07	0.54	0.3	2.5	2.23	2.37	6.36	6.15	6.26	2192
578	KISS	całować	küssen	2.07	2.38	2.22	3.64	3.92	3.78	6.64	6.77	6.7	197
615	HORSE	koń	pferd	0.57	0.92	0.74	1.64	2.31	1.96	6.86	6.62	6.74	768
625	LAMP	lampa	lampe	0.5	0.83	0.65	1.29	2.08	1.65	6.36	6.67	6.5	861
662	BATTERY	bateria	batterie	0.54	0.31	0.42	1.38	1.77	1.58	6.69	6.0	6.35	94
713	STEAL	kraść	stehlen	-1.86	-2.42	-2.12	3.21	3.08	3.15	5.93	5.17	5.58	797
724	READ	czytać	leser	1.94	1.18	1.63	2.69	2.27	2.52	6.56	6.27	6.44	300
