CONCEPTICON_ID	CONCEPTICON_GLOSS	GERMAN	GERMAN_IMAGEABILITY_MEAN_MALE_YOUNG	GERMAN_IMAGEABILITY_MEAN_FEMALE_YOUNG	GERMAN_IMAGEABILITY_MEAN_MALE_OLD	GERMAN_IMAGEABILITY_MEAN_FEMALE_OLD	GERMAN_IMAGEABILITY_MEAN_YOUNG	GERMAN_IMAGEABILITY_MEAN_OLD	GERMAN_EMOTIONALITY_MEAN_MALE_YOUNG	GERMAN_EMOTIONALITY_MEAN_FEMALE_YOUNG	GERMAN_EMOTIONALITY_MEAN_MALE_OLD	GERMAN_EMOTIONALITY_MEAN_FEMALE_OLD	GERMAN_EMOTIONALITY_MEAN_YOUNG	GERMAN_EMOTIONALITY_MEAN_OLD	LINE_IN_SOURCE
1082	MERCHANT	Kaufmann	59	38.3	69.31	79.7	48.11	73.83	16.8	-1	23	16.18	8.37	19.05	1034
1093	MIDDLE	Mitte	41.1	40.3	62.45	63.58	40.7	63.04	18.1	13.75	4	16.5	16.17	10.58	1407
1096	SONG	Lied	53.82	39.3	55.6	68.5	46.9	62.64	46.43	64.82	54.3	57.1	57.67	55.7	1281
11	DARKNESS	Dunkelheit	65.92	78.75	74.36	75.58	71.05	75	6.89	-21.78	-31.63	-14.55	-7.44	-21.74	416
1103	SACRIFICE	Opfer	52.3	36.22	45	59.92	44.68	53.43	-53.7	-66.56	-40.7	-42.4	-59.79	-41.55	1533
1105	CAMP	Lager	71.64	58.44	71.38	66.8	65.7	69.39	-20	-19	21.2	-8	-19.5	6.6	1220
1109	WOUND	Wunde	78.4	88.64	88.58	86.6	83.76	87.68	-48.91	-58.43	-49.73	-39.63	-52.61	-45.47	2509
1111	CAR	Auto	91.91	97.22	98	94.6	94.3	96.52	14.11	11.89	41.1	47.67	13	44.21	138
1114	BULLET	Geschoss	61.55	54.2	76.18	70.83	58.05	73.39	-9.5	-23.55	-49.6	-44.89	-17.63	-47.37	723
1115	SPEECH	Rede	39.08	41.89	40.77	59.1	40.29	48.74	22.2	12	4.88	24.91	17.37	16.47	1742
1132	BEAM	Strahl	81.5	61.91	66.83	70.64	70.16	68.65	9.67	14.1	24.3	22.33	12	23.37	2142
1138	FAIRY	Fee	76.7	77.33	52.75	61.64	77	57	48	56.44	32.11	44.5	52	38.63	552
1139	LEOPARD	Leopard	92.82	80.4	95.15	79.3	86.9	88.26	40.11	23.67	20.75	-8.36	31.89	3.89	1270
1142	URINE	Urin	86.55	84.64	78.42	86	85.59	81.86	-19.7	-55.75	-45.56	-27.3	-35.72	-35.95	2340
1145	SWAMP	Sumpf	69.67	72.33	75.08	76.4	70.81	75.65	4	-21.64	-34.38	-53.82	-10.84	-45.63	2174
1149	ORPHAN	Waise	40.8	30	60.18	77.42	35.14	69.17	-43.2	-49.11	-41.25	-32.36	-46	-36.11	2425
1150	THUNDER	Donner	72	53.2	43.5	68.73	62.6	55.57	14.33	4.2	-27	-29.8	9	-28.47	394
1154	OLIVE	Olive	85.9	97	96	88.27	91.16	92.14	36.9	12.13	39.89	48.4	25.89	44.37	1527
1155	CAVE	Höhle	83.36	78.5	88.15	78.7	81.32	84.04	20.64	1.25	-4.9	-23	12.47	-13.47	907
1160	THIEF	Dieb	47.09	59.5	74.25	60.1	53	67.82	-52.56	-45.44	-80.89	-79.3	-49	-80.05	381
1161	THREAD	Faden	76.3	83.6	90.54	82.89	79.95	87.41	12.44	1.3	10.44	22.3	6.58	16.68	523
1171	MIRROR	Spiegel	91.64	87.5	95.62	86.4	89.89	91.61	20.8	12.56	25.5	42.44	16.89	33.53	2062
1176	SPADE	Spaten	91.36	84.6	96.67	86.09	88.14	91.61	24.56	-1.1	16.9	10	11.05	13.63	2053
1178	NOSTRIL	Nasenloch	78	91	95.29	93.44	84.19	94.57	-8.38	2.1	18.2	15.75	-2.56	17.11	1479
1181	PALM TREE	Palme	90.33	94.4	95.25	88.09	92.47	91.83	41.22	56.1	44.67	44.8	49.05	44.74	1553
1185	VULTURE	Geier	86	82.5	92.92	85.64	84.25	89.43	-32.22	-20.11	11.7	-33.56	-26.17	-9.74	691
1187	GOOSE	Gans	90.2	94	96.92	89.27	92.1	93.26	27.88	17	46.88	26.18	21.83	34.89	656
1190	HARE	Hase	90.67	91.5	97.62	89.6	91.14	94.13	40.67	36.33	55.22	39	38.5	46.68	850
1194	BEAVER	Biber	93.67	88.64	95.17	85.64	90.9	90.61	46.9	33.25	47.75	19.55	40.83	31.42	234
12	MIDDAY	Mittag	42.08	41.67	68.38	70.9	41.9	69.48	31.44	39.44	51.1	42	35.44	46.79	1406
1201	FEATHER	Feder	87.6	94.25	83.17	85.4	90.56	84.18	28.6	44.22	33.88	24	36	28.16	551
1204	BARK	Rinde	70.8	80.91	88.91	84.75	76.1	86.74	19.13	27.4	15.11	12.91	23.72	13.9	1782
1205	TONGUE	Zunge	91.67	94	96.46	93.3	92.83	95.09	37.89	20.78	14.6	20.4	29.33	17.5	2579
1208	CAT	Katze	89.5	96.22	97.15	88.3	92.38	93.3	39.45	24.88	48.1	39.78	33.32	44.16	1032
1216	MOTHER	Mutter	70.4	74.5	79.92	96.3	72.45	87.36	65.9	61.56	86.9	83.67	63.84	85.37	1457
1217	FATHER	Vater	62.64	66.11	90.08	91.18	64.2	90.61	41	35.33	77.67	75.5	38.32	76.53	2348
1218	ROPE	Seil	88.9	93	93.83	85.36	90.84	89.78	3.6	12.88	23.8	11.67	7.72	18.05	1995
1219	WORM	Wurm	88	95.45	93.55	90.33	91.9	91.87	-8.89	-7.56	-30	-28.45	-8.22	-29.11	2514
1220	TAIL	Schwanz	85.27	91.73	87.25	89.5	88.5	88.27	12.56	2.22	11.11	7.7	7.39	9.32	1971
1221	NOSE	Nase	94.9	92.73	97.83	93.55	93.76	95.78	13.43	9.18	20	37.45	10.83	30.11	1478
1223	HEART	Herz	94.11	96.27	81.1	91.38	95.3	86.91	55.67	54.44	49.33	45.45	55.06	47.2	887
1224	LIVER	Leber	72.45	70.9	85.92	81.64	71.71	83.87	-18.1	-4.38	22.75	-.91	-12	9.05	1248
1225	DAY (NOT NIGHT)	Tag	49.18	31.8	62.75	66.27	40.9	64.43	16.2	22.13	28.38	53.18	18.83	42.74	2184
1226	YEAR	Jahr	34.5	33.87	44.53	55.76	34.17	50.5	18.25	16.9	15.78	22.09	17.5	19.25	960
1227	BOARD	Brett	85.45	92.11	97.55	81.08	88.45	88.96	3.78	-.11	8.2	14.33	1.83	11.11	294
1228	EARTH (SOIL)	Erde	83.78	88.3	86.93	80.88	86.16	84.73	48.91	43	43.67	46.6	46.61	45.21	492
123	FOREHEAD	Stirn	78.36	92.78	88.92	88.5	84.85	88.73	22.29	13.91	20.2	16.22	17.17	18.32	2133
1233	NIGHT	Nacht	61.44	71.7	79.42	78.9	66.84	79.18	49.11	38.5	10.75	10.27	43.53	10.47	1462
124	THORN	Dorn	84.25	83	84.62	81.8	83.53	83.39	-7.27	-31.75	-34.75	-52.09	-17.58	-44.79	397
1245	BUTTER	Butter	84.55	94	91.15	94.2	88.8	92.48	10.89	18	53	41.2	14.44	46.79	335
1247	EAR	Ohr	93.11	94	91.54	93.6	93.58	92.43	27.3	25.63	29.6	27.33	26.56	28.53	1523
1248	EYE	Auge	95.1	93.3	98	95	94.2	96.64	19	16.78	39.56	48.8	17.89	44.42	121
125	SWEAT (SUBSTANCE)	Schweiß	66.73	75	72.33	81.45	70.67	76.7	5.8	-33.56	-14	-46.73	-12.84	-32.95	1974
1250	JAGUAR	Jaguar	88.9	86.6	87.27	86.42	87.75	86.83	49.13	39.45	-.78	17.2	43.53	8.68	959
1251	BELLY	Bauch	83.91	89.78	89.38	86.2	86.55	88	38	22.22	-7.44	10	30.53	1.74	173
1252	HOUSE	Haus	91.3	94.22	94.36	94.27	92.68	94.32	32.1	32.89	42.33	47.8	32.47	45.21	855
1256	HEAD	Kopf	87.09	92.7	97.33	92.64	89.76	95.09	24	20.1	25.56	41.3	21.95	33.84	1143
1257	WING	Flügel	87.4	81	94.67	79.55	84.2	87.43	29.38	51.5	39.38	36.55	41.67	37.74	610
1259	WEDDING	Hochzeit	67	76.11	94.55	84.18	71.32	89.36	45.56	48.89	81.44	61.3	47.22	70.84	901
1262	BROTHER	Bruder	54.3	63.64	58.46	84.3	59.19	69.7	43.7	22.67	58.44	54	33.74	56.11	305
1263	SISTER	Schwester	54.5	59	66.91	86.25	56.86	77	53.78	18.67	80	49.2	36.22	63.79	1977
1266	BRIDE	Braut	79.27	90.78	91.23	88.7	84.45	90.13	54.55	58.86	66.78	58.8	56.22	62.58	288
1272	AUNT	Tante	65.9	51.73	72.75	82.64	58.48	77.48	30.4	18.78	43.5	60.82	24.89	53.53	2196
1273	CANDLE	Kerze	88.67	92.75	94	92.9	91	93.5	28.6	40.11	28.44	45.6	34.05	37.47	1054
1274	SALT	Salz	83.91	83.78	90.36	87.92	83.85	89.09	18.11	6.1	25	26.91	11.79	26.11	1830
1276	AUTUMN	Herbst	72.1	59.9	77.08	69	66	73.57	49.3	31.25	18.83	37.57	41.28	25.74	881
1277	HAND	Hand	89.91	93.9	97	88.18	91.81	92.59	24	19.78	35.55	38.88	22	36.95	836
1288	CAP	Mütze	87.5	96.18	96.91	90.42	92.05	93.52	18	15.27	40.56	28.1	16.42	34	1458
1290	ELEPHANT	Elefant	94.67	97.3	97.45	94.85	96.05	96.04	37.13	42.6	58.13	46.18	40.17	51.21	472
1291	BACK	Rücken	82.42	88.14	86.27	90.83	84.53	88.65	19.33	11.33	14.4	12.78	15.33	13.63	1806
1295	STICK	Stock	85.55	84.33	90.73	86.91	85	88.82	-8.22	-9.9	-9.33	-.6	-9.11	-4.74	2134
1297	LEG	Bein	90.3	91.6	96.45	90.08	90.95	93.13	9.11	6.33	39.67	37.2	7.72	38.37	196
1298	NEWSPAPER	Zeitung	81.82	95.11	94.67	94.27	87.8	94.48	31.2	28.13	30.25	47.73	29.83	40.37	2541
1300	COUNTRY	Land	65.8	56.2	87.25	79.27	61	83.43	18.11	22.5	44.13	30.55	20.42	36.26	1227
1301	FOOT	Fuß	86.6	95.4	98	91	91	94.96	8.8	4	16.67	27.9	6.67	22.58	648
1302	FORK	Gabel	90.1	96.78	97.69	89.4	93.26	94.09	8.44	5.8	31.56	9.1	7.05	19.74	652
1303	FINGER	Finger	92	94.7	97.54	93.8	93.29	95.91	18.9	20.63	25.13	37.45	19.67	32.26	582
1304	CHILD (YOUNG HUMAN)	Kind	94.5	93	93.6	92.29	93.72	92.91	48.62	36.54	74.5	81.46	42.58	78.12	1064
1306	QUEEN	Königin	79	78.91	77.92	77.64	78.95	77.78	22.38	25.1	11.7	7.11	23.89	9.53	1137
1307	LANGUAGE	Sprache	30.8	27.2	26.09	55.42	29	41.39	29.09	26.25	51.22	47.2	27.89	49.11	2081
131	FESTIVAL	Fest	58.3	69.09	74.42	74	63.95	74.22	44.5	59.38	60.89	72.5	51.11	67	568
1312	FOX	Fuchs	91.3	95.89	94.38	85.2	93.47	90.39	30.44	12.78	28.11	-2.4	21.61	12.05	643
1313	MOON	Mond	93.82	90.33	96.2	85.33	92.25	90.27	43.9	55	35.56	40.8	48.83	38.32	1420
1315	RADIO	Radio	88	91.4	91.31	95	89.62	92.91	27.82	21.25	25	57.67	25.05	45.63	1714
1316	TENT	Zelt	88.45	90.11	92.25	86.36	89.2	89.43	27.56	22.44	27.5	18.55	25	22.32	2543
1318	CHICKEN	Huhn	86.64	90.33	94.58	92.6	88.3	93.68	9.6	3.56	37.44	30.6	6.74	33.84	920
1320	APPLE	Apfel	94	97.6	97.17	92.45	95.8	94.91	18	27.9	58.89	76.2	23.5	68	84
1321	BOTTLE	Flasche	88.91	92.13	97.17	87.55	90.26	92.57	9.5	10.5	26.25	25.27	9.94	25.68	593
1322	BREAKFAST	Frühstück	64.3	66.8	88.5	82.27	65.55	85.52	31.56	52.33	53.67	57.7	41.94	55.79	642
1323	CLOCK	Uhr	90.07	95.87	85.53	90.06	93.07	87.94	.46	-4	32.75	41.54	-1.77	37.32	2317
1325	FRIEND	Freund	57.56	46.67	58.46	78.78	51.33	66.77	69.46	85.92	85.25	80.31	77.69	82.68	632
1327	UNCLE	Onkel	67.22	63.64	72.77	82.5	65.25	77	42.78	13.44	45.55	42.25	28.11	44.16	1531
1331	SHEEP	Schaf	89.64	97.4	95.62	93.8	93.33	94.83	18.9	33	46.88	24.55	25.17	33.95	1864
1332	NEIGHBOUR	Nachbar	53.82	45.13	76	73.64	50.16	74.87	13.11	-1	22.4	45.1	6.06	33.75	1461
1333	NECK	Hals	86.5	90.33	86.23	87.2	88.59	86.65	28.27	17.63	30.44	22.1	23.79	26.05	830
1336	EAT	Essen	70.7	79.7	80.82	82.92	75.2	81.91	49.13	52.1	62.78	51.27	50.78	56.45	511
1337	PIG	Schwein	93.25	95.33	97.33	91.2	94.14	94.55	-1.33	6.89	32.9	2.9	2.78	17.9	1973
1338	PEACE	Frieden	25.36	26.9	44.58	56.55	26.1	50.3	66.78	67.9	88.56	86.6	67.37	87.53	634
1339	MORNING	Morgen	45.75	26.56	62.75	62	37.52	62.41	30.11	36.1	27.14	53.08	33.26	43.53	1428
134	FAULT	Schuld	14.33	9.89	29.64	41.08	12.11	35.61	-48.64	-58.71	-59.91	-59.5	-52.56	-59.74	1957
1342	SUMMER	Sommer	59.33	73.56	77.75	68	65.43	73.09	80	72.1	81.11	73.8	75.61	77.26	2039
1343	SUN	Sonne	93.73	96.13	98.18	91.67	94.74	94.78	75.2	80.78	71.78	85.1	77.84	78.79	2041
1344	RAM	Widder	68.64	84.9	87.25	87.09	76.38	87.17	12.91	16.75	30.22	20.4	14.53	25.05	2471
1346	THROAT	Kehle	70.5	68.2	83.73	84.92	69.35	84.35	-9.88	-8.73	3.56	-.64	-9.21	1.25	1042
1347	NAPE (OF NECK)	Nacken	77.3	82.55	81.25	88.27	80.05	84.61	-4.75	20	19.91	7.13	9	14.53	1467
1349	CHURCH	Kirche	93.9	94.56	96.07	95.33	94.21	95.78	-21.11	17.8	55.56	32.8	-.63	43.58	1068
1350	MONKEY	Affe	93.8	94.2	94.64	92.38	94	93.82	33	28.89	30.7	28.44	31.05	29.63	23
1352	KNIFE	Messer	94.5	96.7	96.92	89.45	95.6	93.35	-16.44	-30.9	-11	-9.7	-24.05	-10.32	1389
1353	HOUR	Stunde	28.27	23.75	49.25	61.64	26.37	55.17	-1.44	14.22	14.33	16.2	6.39	15.32	2166
1356	NUMBER	Zahl	72.2	61.2	78.36	71	66.7	75.48	.55	2.71	11.9	29.67	1.39	20.32	2523
1357	DAUGHTER	Tochter	61.9	46.3	72.07	82.33	54.1	76.09	49.67	18.44	50.22	63.6	34.06	57.26	2250
1360	DUCK	Ente	91.09	95.2	94.46	92.7	93.05	93.7	37.3	38.38	59.75	40	37.78	48.32	484
1363	VOICE	Stimme	35.09	21.5	44.09	57.3	28.62	50.38	34.8	41	26.6	45.89	37.74	35.74	2130
1364	HEALTHY	Gesundheit	39.11	17.91	51.21	63.13	27.45	55.55	42.85	49.38	89.83	74.38	46.12	81.8	733
1365	KITCHEN	Küche	72.1	87.4	94.15	93	79.75	93.63	22.44	35.3	32.9	45.67	29.21	38.95	1190
1366	BOY	Junge	71.27	77.78	92.83	88.55	74.2	90.78	19.44	21	39.44	47	20.26	43.6	967
1367	CROSS	Kreuz	90	93.2	92.73	90.91	91.52	91.82	-21.56	-12.33	19.56	-6.4	-16.94	5.89	1178
1368	BREAD	Brot	92.1	92.1	95.8	93.5	92.1	94.55	43.63	22.4	72.4	66.2	31.83	69.3	303
1369	GOLD	Gold	76.33	85.55	84.8	88.33	81.4	86.73	30.5	49	48.38	47.82	38.72	48.05	770
1370	MONTH	Monat	35.22	18.6	42.83	71	26.47	56.3	2.91	20.38	.2	20.22	10.26	9.68	1418
1371	KNEE	Knie	87.8	87.73	93.15	91.8	87.76	92.57	2.89	3.2	28.11	27.2	3.05	27.63	1104
1373	TEA	Tee	75.45	87.33	91.42	88.4	80.8	90.05	34.2	52.38	46.4	75.11	42.28	60	2219
1374	RING	Ring	93.78	94.08	96.09	93.5	93.95	94.74	28.6	54.5	37.67	48.5	40.11	43.37	1783
1375	WINDOW	Fenster	88.92	92.13	97.23	88.6	90.2	93.48	28.22	41.7	30.5	39.45	35.32	35.68	560
1378	SPOON	Löffel	91.56	96.36	97.92	88.5	94.2	93.83	18.11	12.78	30.22	25	15.44	27.47	1297
1379	TELEPHONE	Telefon	91	96.33	95.58	93.6	93.4	94.68	11.27	29.86	36.36	62.63	18.5	47.42	2225
1380	TOOTH	Zahn	91.33	95	97.36	94.33	92.8	95.78	-3	-20	21.11	10.7	-11.05	15.63	2524
1381	SHOE	Schuh	88.64	95.63	95.55	95.67	91.58	95.61	20.38	-1.5	31.44	42.4	8.22	37.21	1956
1382	NEEDLE (FOR SEWING)	Nadel	89.78	92.08	89.33	86	91.1	87.36	-27.22	-20.8	6.56	7.1	-23.84	6.84	1468
1383	GRANDFATHER	Großvater	64.55	68.89	86.31	93.1	66.5	89.26	36.89	37.33	62.44	74.8	37.11	68.95	799
1385	PEPPER	Pfeffer	80.3	87.4	90.91	86.33	83.85	88.52	16.8	26.78	9.33	14.8	21.53	12.21	1595
1386	LION	Löwe	95.4	97.91	98.07	95.67	96.71	97.13	41.64	34.38	-3.78	-3.8	38.58	-3.79	1306
1388	SHADE	Schatten	77.73	79.6	85.91	70.25	78.62	77.74	15.63	-6.1	-3.1	10.78	3.56	3.47	1871
1389	TOE	Zeh	85	92.9	98.15	88	88.76	93.74	-3	13.5	24.55	13.13	6.17	19.74	2535
1391	TOWN	Stadt	74.73	72.89	94.33	83.27	73.9	89.04	38.44	21.78	16.11	41.6	30.11	29.53	2094
1392	LOUSE	Laus	71.9	82.9	89.75	82.73	77.4	86.39	-31	-39.27	-79.11	-73.8	-35.79	-76.32	1243
1393	HORN (ANATOMY)	Horn	84	88	84.64	69	86.1	78.52	10.25	3.8	-.33	3.9	6.67	1.89	912
1394	BONE	Knochen	87	90.18	87.5	88.18	88.67	87.83	-19.27	-7.13	-3	2.6	-14.16	-.05	1107
1399	CLAY	Lehm	70.4	74.8	79.58	77.64	72.6	78.65	13.63	14.9	15.5	-3.22	14.33	6.63	1253
1402	BREAST	Busen	88.44	95.33	93.77	87.22	92.38	91.09	69.29	31.36	53.1	30.6	46.11	41.85	333
1405	NAME	Name	28	27.78	49.75	61.36	27.89	55.3	16.67	-1	13.78	28.64	7.83	21.95	1472
1418	DIG	Graben	70.8	81.89	92.17	83.45	76.05	88	-9.22	-24	-12.33	-2.1	-17	-6.95	778
1430	STAR	Stern	90.64	94.8	91.92	91.9	92.62	91.91	55.56	67.89	46.1	58.11	61.72	51.79	2121
144	MACHINE	Maschine	57.91	63.5	86.36	75.67	60.57	80.78	-2.1	-14.5	17.63	19.82	-7.61	18.89	1362
1450	ROOM	Raum	70.91	74.89	79.82	82.18	72.7	81	5.43	19.25	18	20	14.16	18.95	1731
1462	POT	Topf	86	95.29	96	86.17	89.61	90.87	27.3	11.25	26.5	22.89	20.17	24.79	2260
1464	LADDER	Leiter	82.73	84.1	95.36	88.92	83.38	92	8.75	-.18	24.8	16.11	3.58	20.68	1266
1465	BOX	Kiste	84	89.18	95.5	90.64	86.71	93.17	12.67	-2.6	10.25	8.36	4.63	9.16	1072
1467	CIRCLE	Kreis	95.57	92.53	97.27	88.94	94	92.84	5.38	16.82	7.38	17	12	12.95	1173
1469	WEEK	Woche	23.56	25.27	39.09	60.55	24.5	49.82	3	10	10	32.09	6.11	22.15	2494
1471	WINTER	Winter	48.2	54.8	81	75.3	51.5	78.41	-1.82	-3.13	-3.11	21.1	-2.37	9.63	2487
1472	KEY	Schlüssel	89.5	92.8	97.25	91.91	91.15	94.7	12.8	15.78	29.33	23.5	14.21	26.26	1923
1473	FIST	Faust	88.8	96.22	89.23	93.1	92.32	90.91	-9.18	-23.13	4.22	-11.82	-15.05	-4.6	547
1474	SEA	Meer	88.3	96	91	88.36	92.15	89.74	80.11	79.4	51.1	59.67	79.74	55.16	1377
1475	COMB	Kamm	85	96.9	96.85	92	90.95	94.74	2.6	17.25	15.44	24.11	9.11	19.78	994
1476	CHAIR	Stuhl	94.29	95.2	94.07	91.65	94.76	92.78	12.89	4.22	15.22	24.5	8.56	20.11	2164
1479	DOLPHIN	Delphin	93.2	96.4	95.58	88.82	94.8	92.35	60.86	58	49.71	48.83	59.11	49.16	374
1480	BODY	Körper	79.18	86.56	85.46	82.7	82.5	84.26	21.1	44.67	34.22	31	32.26	32.53	1153
1481	HAMMER	Hammer	97.07	96.73	91.73	93.35	96.9	92.59	2.1	-7	16	11.27	-1.94	13.26	834
1482	SHOULDER	Schulter	80.36	89.67	93.82	88.5	84.55	91.04	11.3	21.88	7	27.85	16	20.55	1962
1484	OIL (ORGANIC SUBSTANCE)	Öl	76.75	82.67	85.58	86.55	79.29	86.04	-10.44	-16.78	25.88	23.18	-13.61	24.32	1526
1489	CLOUD	Wolke	91.25	97	95.85	85.2	93.55	91.22	45.11	43.56	25	29.64	44.33	27.68	2505
1490	RAT	Ratte	89	92.91	96	85.4	91.05	91.39	-27.22	-26.33	-48.78	-66.3	-26.78	-58	1726
1491	MOUSE	Maus	95.18	97.25	96.18	83.82	96.05	90	27.2	4.75	-8.33	-10.8	17.22	-9.63	1373
1496	GRANDMOTHER	Großmutter	72.44	67.64	89.31	90.1	69.8	89.65	60	40.75	78.11	81.9	51.44	80.11	797
1502	GOAT	Ziege	91.85	91.88	96.82	90	91.86	93.26	23.33	9.11	35	9	16.22	22.68	2552
1504	FLY (INSECT)	Fliege	92.11	95.6	97.5	85.3	93.95	91.95	-12.89	-10.5	-16.22	-24.1	-11.63	-20.37	601
1507	FRUIT	Frucht	78.33	79.92	93.69	89.1	79.24	91.7	38.1	40.38	55.78	53.3	39.11	54.47	640
1508	KING	König	77.67	83.1	71.69	71	80.14	71.39	-6	8.2	-5.33	5.3	1.47	.26	1136
1509	MOSQUITO	Mücke	95.9	93	95.33	89.27	94.45	92.43	-29.22	-45.9	-23.6	-35.67	-38	-29.32	1436
1510	CHIN	Kinn	79.82	91.33	96.64	89.67	85	93	12	6.45	20	22.67	8.79	21.26	1065
1511	ROOSTER	Hahn	87.6	91.5	96.5	92.92	89.55	94.48	10.33	.33	45.82	28.75	5.33	38.63	822
1514	HEN	Henne	71.18	92.13	91.75	92.36	80	92.04	14.22	11.3	29.5	17.27	12.68	22.42	880
1517	WASP	Wespe	94.45	95.75	94.92	90.9	95	93.17	-6.5	-46.8	-32.73	-42	-28.89	-36.63	2466
152	HOOF	Huf	82.45	77.7	91.82	83.75	80.19	87.61	3.2	6.5	12.45	7	4.67	10	917
1522	SOCK	Socke	91	95	90.64	90.8	92.78	90.71	7.7	16.33	28.75	14.27	11.79	20.37	2033
1524	WINE	Wein	81	91.64	92.1	89.23	86.85	90.48	25.11	36.33	33.63	48.36	30.72	42.16	2454
1525	COAST	Küste	74.83	83.1	92	81.91	78.59	87.17	65.22	54	49.8	49.56	59.32	49.68	1213
1527	TICK	Zecke	93.3	80.1	72	87.18	86.7	79.26	-40.4	-47.22	-51.56	-63.3	-43.63	-57.74	2533
