CONCEPTICON_ID	CONCEPTICON_GLOSS	CHINESE	CHINESE_CONCRETENESS_MEAN	LINE_IN_SOURCE
10	FIREWOOD	柴火	1.925926	624
1001	BLACKSMITH	铁匠	1.62963	708
1002	STATUE	雕像	1.884615	6808
1003	PERMIT	允许	2.695652	3324
1004	MUSCLE	肌肉	1.4	4238
1008	BULL	公牛	1.703704	9667
101	BOAST	吹牛	3.16	6061
1017	APPEARANCE	样子	3.193548	5169
1019	RIGHT	右边	1.653846	4313
1021	TOWEL	毛巾	1.314286	9070
1025	WHISTLE	哨子	1.884615	6374
1030	NECESSARY	必须	3.043478	8278
1031	ON PURPOSE	故意	3.615385	2364
1038	TEACHER	老师	1.347826	3379
1039	SHOW	展示	2.909091	489
1041	INCREASE	增加	2.608696	3326
1042	CARPENTER	木匠	1.576923	8581
1044	PILLOW	枕头	1.269231	9625
1045	POET	诗人	1.741935	5645
1046	SHUT	关闭	2.12	6824
1047	PURSUE	追求	3.448276	3084
1053	HUNTER	猎人	1.485714	9064
1054	SMALLPOX	天花	2.172414	5651
1055	FATHER-IN-LAW	岳父	1.4	6900
1066	CRIME	犯罪	2.384615	8419
107	OMEN	兆头	3.88	6036
1072	PRISONER	犯人	1.387097	4958
1075	TRAP (PITFALL)	陷阱	2.64	7634
1076	EMERGE (APPEAR)	出现	2.896552	9271
1080	VULGAR	粗俗	3.257143	9029
1082	MERCHANT	商人	1.766667	9205
1084	CALL	呼唤	3.2	6953
1085	FOLLOW	跟随	2.913043	5337
1086	WORK (ACTIVITY)	干活	2.5	2751
1087	CONCEIVE	构思	4.083333	4102
1090	BE BORN	出生	2.115385	5815
1095	LET GO OR SET FREE	释放	3.366667	9208
1096	SONG	歌曲	1.92	1379
1100	COOK (SOMETHING)	烹饪	1.692308	6854
1105	CAMP	营地	1.870968	7394
1111	CAR	汽车	1.291667	4768
1112	SUCCEED	成功	3.461538	751
1114	BULLET	子弹	1.2	7654
1115	SPEECH	演讲	2.060606	357
1117	LIKE	喜欢	3.32	7499
1119	DIVIDE	划分	3.041667	6710
1120	HONEST	诚实	3.344828	4578
1121	SECRET	保密	2.652174	8645
1122	WAGES	薪水	1.8	1831
1123	PREGNANT	怀孕	1.333333	2018
1133	MATCH	火柴	1.481481	6585
1136	RABBIT	兔子	1.038462	9469
1138	FAIRY	仙人	3.84	5772
1139	LEOPARD	豹子	1.333333	8892
1145	SWAMP	沼泽	1.793103	3076
1146	AUBERGINE	茄子	1.25	2166
1149	ORPHAN	孤儿	1.5	2007
1150	THUNDER	雷电	1.583333	5239
1156	OPEN	打开	2.681818	7542
1158	STEP	台阶	2.25	5402
1160	THIEF	小偷	1.703704	227
1162	INTENTION	意图	3.361111	1219
117	IMITATE	模仿	3.423077	8580
1171	MIRROR	镜子	1.4	6964
1172	SHOOT	射击	1.884615	3786
1173	EYEBROW	眉毛	1.344828	3140
