CONCEPTICON_ID	CONCEPTICON_GLOSS	GERMAN	GERMAN_FREQUENCY	GERMAN_SUBTITLE_FREQUENCY	GERMAN_FREQUENCY_LOG	LINE_IN_SOURCE
10	FIREWOOD	Brennholz	2e+01	0.63	1.23	36978
1001	BLACKSMITH	Schmied	4e+01	1.69	1.643	19546
1007	COW	Kuh	7e+02	26.3	2.825	2581
1008	BULL	Bulle	7e+02	26.26	2.825	2586
101	BOAST	prahlen	2e+01	0.98	1.415	27694
1011	BRIDGE	Brücke	1e+03	42.92	3.038	1737
1013	FRESHWATER EEL	Aal	3e+01	1.1	1.462	25753
1014	OR	oder	5e+04	2137.05	4.735	72
1018	MEMORY	Gedächtnis	5e+02	21.1	2.73	3077
1019	RIGHT	rechts	1e+03	67.76	3.236	1183
1021	TOWEL	Handtuch	4e+02	14.29	2.561	4139
1024	CHARACTER	Buchstabe	4e+01	1.61	1.623	20240
1025	WHISTLE	Pfeiffen	2e+00	0.08	0.477	113711
1033	GRIND	mahlen	2e+00	0.12	0.602	100242
1035	GOOD	gut	5e+04	2839.84	4.858	53
1038	TEACHER	Lehrer	1e+03	52.99	3.129	1473
1039	SHOW	zeigen	5e+03	206.5	3.72	515
1040	HAIR	Haar	1e+03	44.61	3.055	1690
1041	INCREASE	zunehmen	4e+01	1.42	1.568	22053
1042	CARPENTER	Zimmermann	6e+01	2.24	1.763	16165
1044	PILLOW	Kissen	3e+02	11.14	2.453	4947
1045	POET	Dichter	2e+02	8.58	2.34	6115
1046	SHUT	schließen	1e+03	53.15	3.131	1465
1048	LINE	Linie	6e+02	23.07	2.769	2886
1050	MOTHER-IN-LAW	Schwiegermutter	8e+01	3.39	1.94	12121
1052	LIGHT (WEIGHT)	leicht	3e+03	120.28	3.485	759
1053	HUNTER	Jäger	4e+02	15.12	2.585	3967
1055	FATHER-IN-LAW	Schwiegervater	6e+01	2.4	1.792	15388
1056	SON-IN-LAW	Schwiegersohn	8e+01	3.39	1.94	12122
1057	DAUGHTER-IN-LAW	Schwiegertochter	8e+01	3.35	1.934	12208
1064	SHIELD	Schild	6e+02	21.97	2.747	2984
1069	GLUE	kleben	1e+02	5.35	2.137	8709
1070	BUS	Bus	1e+03	51.93	3.121	1490
1071	HOOK	Haken	4e+02	15.79	2.604	3830
1075	TRAP (PITFALL)	Falle	1e+03	49.88	3.103	1541
1076	EMERGE (APPEAR)	erscheinen	5e+02	21.1	2.73	3078
1082	MERCHANT	Kaufmann	5e+01	1.89	1.69	18193
1084	CALL	rufen	2e+03	112.09	3.455	799
1085	FOLLOW	folgen	2e+03	109.26	3.443	816
1086	WORK (ACTIVITY)	arbeiten	6e+03	245.68	3.795	433
1088	SINK (DESCEND)	versinken	5e+01	2.17	1.748	16512
109	FOREIGN	fremd	2e+02	7.09	2.258	7089
1093	MIDDLE	Mitte	7e+02	28.74	2.864	2402
1096	SONG	Lied	1e+03	57.01	3.161	1381
1098	WEIGH	wiegen	7e+01	2.99	1.886	13228
1100	COOK (SOMETHING)	zubereiten	5e+01	1.93	1.699	17843
1102	CLIMB	steigen	7e+02	38.74	2.993	1890
1106	FALL ASLEEP	einschlafen	2e+02	7.99	2.31	6451
1109	WOUND	Wunde	5e+02	18.5	2.673	3376
1111	CAR	Auto	7e+03	271.7	3.839	393
1112	SUCCEED	gelingen	9e+01	3.94	2.004	10950
1113	WRAP	einwickeln	3e+01	1.18	1.491	24479
1116	DAMAGE	beschädigen	4e+01	1.46	1.58	21558
1117	LIKE	mögen	2e+03	105.32	3.427	844
1119	DIVIDE	teilen	1e+03	55.51	3.15	1417
112	TURTLE	Schildkröte	3e+02	13.19	2.526	4387
1127	SEND	schicken	2e+03	104.77	3.425	849
1129	PAINFUL	schmerzhaft	2e+02	8.31	2.326	6263
1132	BEAM	Strahl	1e+02	4.88	2.097	9353
1133	MATCH	Streichholz	6e+01	2.44	1.799	15157
1135	KICK	treten	1e+03	48.82	3.094	1566
1139	LEOPARD	Leopard	5e+01	1.89	1.69	18048
1142	URINE	Harn	2e+00	0.08	0.477	129722
1145	SWAMP	Sumpf	1e+02	5.67	2.161	8357
1146	AUBERGINE	Aubergine	8e+00	0.31	0.954	54622
1147	PURE	rein	1e+04	409.31	4.017	276
1150	THUNDER	Donner	2e+02	7.64	2.29	6674
1154	OLIVE	Olive	4e+01	1.42	1.568	21871
1155	CAVE	Höhle	5e+02	21.06	2.729	3082
1156	OPEN	öffnen	1e+03	71.38	3.259	1141
1157	BECAUSE	weil	2e+04	1070.91	4.435	135
1160	THIEF	Dieb	8e+02	29.88	2.881	2320
1161	THREAD	Faden	2e+02	6.34	2.21	7703
1165	MOUSTACHE	Schnurrbart	1e+02	4.96	2.104	9199
1171	MIRROR	Spiegel	7e+02	26.73	2.833	2556
1172	SHOOT	schießen	2e+03	90.36	3.361	944
1174	YESTERDAY	gestern	4e+03	184.53	3.671	562
1175	GHOST	Geist	2e+03	77.01	3.292	1073
1176	SPADE	Spaten	1e+01	0.51	1.146	42077
1179	DAY AFTER TOMORROW	übermorgen	1e+02	7.83	2.301	6548
1180	DAY BEFORE YESTERDAY	vorgestern	7e+01	3.9	2.0	10995
1182	NOISE	Lärm	4e+02	16.42	2.621	3722
1183	PALM OF HAND	Handfläche	3e+01	1.26	1.519	23609
1185	VULTURE	Geier	2e+02	6.65	2.23	7406
1187	GOOSE	Gans	1e+02	4.88	2.097	9350
119	DIVE	tauchen	2e+02	11.46	2.465	4851
1190	HARE	Hase	2e+02	7.68	2.292	6646
1194	BEAVER	Biber	3e+01	1.18	1.491	24595
1198	MANY	viel	2e+04	1075.2	4.436	132
1199	WIFE	Ehefrau	4e+02	14.13	2.556	4173
12	MIDDAY	Mittag	6e+02	22.56	2.759	2931
1200	HUSBAND	Ehemann	1e+03	44.53	3.054	1694
1201	FEATHER	Feder	3e+02	12.4	2.5	4567
1202	BIG	groß	3e+03	134.3	3.533	692
1203	LONG	lang	6e+03	241.54	3.788	439
1204	BARK	Rinde	2e+01	0.87	1.362	30243
1205	TONGUE	Zunge	8e+02	30.71	2.893	2279
1206	BARKING	bellen	7e+01	4.92	2.1	9266
1207	YOUNG	jung	1e+03	64.61	3.215	1236
1208	CAT	Katze	1e+03	43.74	3.046	1713
1209	I	Ich	5e+05	36633.29	5.969	1
1210	HEAVY	schwer	5e+03	206.66	3.72	512
1211	HE	er	1e+05	8452.3	5.332	15
1212	WE	wir	2e+05	11034.61	5.448	12
1213	YOU	ihr	7e+04	3594.91	4.961	45
1214	THIS	dieser	2e+04	1004.65	4.407	140
1215	THOU	du	3e+05	19943.9	5.705	5
1216	MOTHER	Mutter	1e+04	568.96	4.16	214
1217	FATHER	Vater	2e+04	654.79	4.221	181
1219	WORM	Wurm	2e+02	6.89	2.246	7212
1220	TAIL	Schwanz	9e+02	35.0	2.949	2042
1221	NOSE	Nase	2e+03	70.79	3.255	1146
1223	HEART	Hertz	1e+01	0.47	1.114	44525
1224	LIVER	Leber	3e+02	13.47	2.535	4325
1225	DAY (NOT NIGHT)	Tag	2e+04	649.83	4.218	185
1226	YEAR	Jahr	5e+03	213.79	3.735	496
1227	BOARD	Brett	4e+02	15.55	2.598	3876
1228	EARTH (SOIL)	Erde	3e+03	131.34	3.523	706
1229	OLD	alt	4e+03	160.12	3.609	616
