CONCEPTICON_ID	CONCEPTICON_GLOSS	ARABIC	ARABIC_CONCRETENESS_LLM_SCORE	ARABIC_FREQUENCY	LINE_IN_SOURCE
1002	STATUE	تمثال	7	95510	13000
1003	PERMIT	يسمح	2	746221	1570
1007	COW	بقرة	6	40907	25132
1008	BULL	ثور	7	53519	20649
1010	BOUNDARY	طرف	4	1017917	1024
1011	BRIDGE	جسر	6	352466	3774
1030	NECESSARY	ضروري	2	142734	9107
1035	GOOD	جيد	2	951152	1128
1045	POET	شاعر	4	315468	4233
1046	SHUT	يغلق	3	62190	18378
1047	PURSUE	يسعى	2	520036	2459
1064	SHIELD	درع	5	150501	8649
1066	CRIME	جريمة	3	587056	2125
1068	COURT	محكمة	4	1008533	1032
1070	BUS	حافلة	7	245638	5459
1076	EMERGE (APPEAR)	يظهر	2	794508	1442
1079	FEEL	يشعر	1	431816	3025
1104	NURSE	ممرضة	5	34313	28395
1105	CAMP	مخيم	7	398018	3308
1111	CAR	سيارة	7	1341687	709
1112	SUCCEED	ينجح	3	165518	7967
1120	HONEST	صادق	3	284222	4697
1122	WAGES	راتب	6	134856	9617
1127	SEND	يرسل	2	135015	9607
113	SHORE	شاطئ	7	298478	4469
1145	SWAMP	مستنقع	5	33431	28939
1162	INTENTION	قصد	2	265105	5074
1173	EYEBROW	حاجب	5	79946	15023
1182	NOISE	ضجيج	4	46544	22871
1183	PALM OF HAND	كف	5	75664	15673
1199	WIFE	زوجة	5	404390	3249
1200	HUSBAND	زوج	5	248876	5398
1202	BIG	كبير	3	3544852	119
1203	LONG	طويل	3	591226	2112
1205	TONGUE	لسان	6	353462	3762
1207	YOUNG	صغير	3	554707	2274
1210	HEAVY	ثقيل	5	57358	19576
1216	MOTHER	أم	7	54501	20353
1218	ROPE	حبل	6	74484	15873
122	CART	عربة	7	461642	2804
1220	TAIL	ذنب	3	119103	10776
1221	NOSE	أنف	6	45679	23167
1223	HEART	قلب	5	804420	1418
1224	LIVER	كبد	6	48991	22085
1229	OLD	قديم	2	294899	4523
1231	NEW	جديد	2	4010312	82
1233	NIGHT	ليل	6	353725	3758
1234	SMOOTH	ناعم	4	69390	16808
1243	WIDE	واسع	2	444058	2927
1245	BUTTER	زبدة	7	63886	17980
1251	BELLY	بطن	6	128841	10026
1252	HOUSE	بيت	7	2814235	192
1256	HEAD	رأس	5	1372376	690
1263	SISTER	أخت	5	75368	15730
1266	BRIDE	عروس	5	167792	7850
1274	SALT	ملح	7	110598	11456
1277	HAND	يد	7	985022	1063
1280	FALL	يفشل	3	43904	23886
1281	PRISON	سجن	5	377479	3510
1284	BANK	مصرف	5	280332	4777
1285	IMPORTANT	مهم	3	509704	2508
1287	COLD	بارد	4	126790	10183
1290	ELEPHANT	فيل	6	61114	18631
1292	BAD	سيئ	2	71906	16347
1297	LEG	ساق	7	63249	18108
1298	NEWSPAPER	جريدة	5	839130	1331
1299	COFFEE	قهوة	7	157338	8338
1301	FOOT	قدم	5	1667234	508
131	FESTIVAL	حفلة	4	165662	7958
1310	CLEVER	ذكي	2	104840	11997
1312	FOX	ثعلب	7	44644	23571
1313	MOON	قمر	5	219289	6120
132	SAUCE	صلصة	7	36070	27440
1325	FRIEND	صديق	6	450428	2878
1327	UNCLE	عم	6	296048	4505
1330	DEFEND	يدافع	3	124841	10334
1333	NECK	عنق	7	96540	12878
1335	WHITE	ابيض	5	269713	4962
1338	PEACE	سلام	3	802858	1424
1342	SUMMER	الصيف	5	644641	1889
1343	SUN	شمس	5	491954	2614
1346	THROAT	حلق	5	67726	17121
1349	CHURCH	كنيسة	5	420839	3110
1355	LAUGH	يضحك	4	68763	16925
1356	NUMBER	رقم	3	5215562	47
136	HERE	هنا	3	46078	23026
1361	TOOL	أداة	4	278683	4808
1362	STREET	شارع	6	886202	1236
1365	KITCHEN	مطبخ	7	1098871	914
1366	BOY	صبي	5	53474	20666
1368	BREAD	خبز	7	95181	13039
1370	MONTH	شهر	5	3529909	122
1373	TEA	شاي	7	106190	11861
1374	RING	خاتم	6	127809	10108
1376	NOW	حاليا	2	53342	20706
1378	SPOON	ملعقة	7	223571	6008
1379	TELEPHONE	هاتف	7	1338582	712
1380	TOOTH	سن	5	748518	1564
1386	LION	أسد	7	125694	10254
1387	ARRIVE	يصل	3	1022976	1016
1390	WRONG	خاطئ	2	100803	12436
1391	TOWN	بلدة	5	804256	1419
1394	BONE	عظم	7	90052	13642
1400	THIN (SLIM)	ضعيف	3	233656	5736
1401	DRINK	يشرب	5	81092	14840
1404	STRAIGHT	مستقيم	3	84403	14366
1408	HEAR	يسمع	3	222776	6029
1413	PLAY	يلعب	3	415628	3144
1414	SQUEEZE	يضغط	3	37626	26660
1417	KILL	يقتل	3	214927	6239
1422	BE ALIVE	يعيش	3	576541	2174
1423	FIGHT	يقاتل	2	59810	18952
1425	GREEN	اخضر	6	33457	28919
1426	EXPENSIVE	غالي	3	105772	11903
1427	BEAUTIFUL	جميل	2	711295	1679
1437	SPLIT	ينقسم	2	48531	22228
