CONCEPTICON_ID	CONCEPTICON_GLOSS	GREEK	GREEK_FREQUENCY	GREEK_CD	GREEK_FREQUENCY_PM	GREEK_SUBTITLE_CD	GREEK_FREQUENCY_LOG	GREEK_CD_LOG	LINE_IN_SOURCE
1007	COW	αγελάδα	343	201	12.3554	3.6492	2.5366	2.3054	75652
1025	WHISTLE	σφυρίζει	36	34	1.2968	0.6173	1.5682	1.5441	525568
1069	GLUE	κολλάει	244	206	8.7892	3.7400	2.3892	2.3160	296261
1070	BUS	λεωφορείο	1540	622	55.4731	11.2927	3.1878	2.7945	317595
1088	SINK (DESCEND)	βυθίζεται	57	43	2.0532	0.7807	1.7634	1.6435	153500
1098	WEIGH	ζυγίζει	86	78	3.0978	1.4161	1.9395	1.8976	245275
1100	COOK (SOMETHING)	μαγειρεύει	148	126	5.3312	2.2876	2.1732	2.1038	325304
1102	CLIMB	ανεβαίνει	348	284	12.5355	5.1561	2.5428	2.4548	99785
112	TURTLE	χελώνα	131	74	4.7188	1.3435	2.1206	1.8751	584369
1133	MATCH	σπίρτο	114	99	4.1065	1.7974	2.0607	2.0000	503829
1135	KICK	κλωτσάει	54	50	1.9452	0.9078	1.7404	1.7076	293560
1136	RABBIT	λαγός	136	63	4.8989	1.1438	2.1367	1.8062	312347
1156	OPEN	ανοίγει	588	469	21.1806	8.5149	2.7701	2.6721	103450
119	DIVE	βουτάει	19	18	0.6844	0.3268	1.3010	1.2788	150730
1201	FEATHER	φτερό	219	136	7.8887	2.4691	2.3424	2.1367	574494
1205	TONGUE	γλώσσα	1694	1022	61.0204	18.5548	3.2292	3.0099	166591
1206	BARKING	γαυγίζει	23	19	0.8285	0.3450	1.3802	1.3010	155988
1208	CAT	γάτα	984	480	35.4452	8.7146	2.9934	2.6821	155818
121	SPIN	στριφογυρίζει	29	20	1.0446	0.3631	1.4771	1.3222	511876
1220	TAIL	ουρά	676	466	24.3505	8.4604	2.8306	2.6693	419870
1221	NOSE	μύτη	1718	960	61.8849	17.4292	3.2353	2.9827	361290
1223	HEART	καρδιά	5302	1993	190.9860	36.1837	3.7245	3.2997	275738
1247	EAR	αυτί	646	348	23.2699	6.3181	2.8109	2.5428	134139
1248	EYE	μάτι	1597	939	57.5263	17.0479	3.2036	2.9731	333189
1252	HOUSE	σπίτι	28516	3536	1027.1891	64.1975	4.4551	3.5486	503883
1255	SNOWING	χιονίζει	58	48	2.0892	0.8715	1.7709	1.6902	585816
1256	HEAD	κεφάλι	6648	2450	239.4709	44.4808	3.8228	3.3893	288214
1261	SING	τραγουδάει	222	179	7.9968	3.2498	2.3483	2.2553	544166
127	EXTINGUISH	σβήνει	116	101	4.1785	1.8337	2.0682	2.0086	487553
1273	CANDLE	κερί	243	176	8.7532	3.1954	2.3874	2.2480	287795
1277	HAND	χέρι	7203	2627	259.4629	47.6943	3.8576	3.4196	584642
1280	FALL	πέφτει	1012	718	36.4538	13.0356	3.0056	2.8567	445522
1290	ELEPHANT	ελέφαντας	115	71	4.1425	1.2890	2.0645	1.8573	209471
1291	BACK	μέση	2757	1535	99.3113	27.8686	3.4406	3.1864	338470
1297	LEG	πόδι	2427	1227	87.4242	22.2767	3.3852	3.0892	453508
1302	FORK	πιρούνι	101	69	3.6382	1.2527	2.0086	1.8451	448574
1303	FINGER	δάχτυλο	539	342	19.4156	6.2092	2.7324	2.5353	174737
1313	MOON	φεγγάρι	721	384	25.9715	6.9717	2.8585	2.5855	565457
1320	APPLE	μήλο	215	163	7.7446	2.9593	2.3345	2.2148	342196
1321	BOTTLE	μπουκάλι	1024	634	36.8860	11.5105	3.0107	2.8028	358100
1323	CLOCK	ρολόι	1350	667	48.6290	12.1097	3.1307	2.8248	480125
1324	SLIP	γλιστράει	47	45	1.6930	0.8170	1.6812	1.6628	165798
