CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	ENGLISH_VALENCE_MEAN	ENGLISH_AROUSAL_MEAN	ENGLISH_DOMINANCE_MEAN	LINE_IN_SOURCE
1	CONTEMPTIBLE	contemptible	0.15	0.66	0.47	3753
10	FIREWOOD	firewood	0.52	0.35	0.26	6750
100	FAITHFUL	faithful	0.89	0.33	0.63	6449
1000	ANXIETY	anxiety	0.15	0.86	0.34	778
1001	BLACKSMITH	smith	0.68	0.33	0.53	16295
1002	STATUE	statute	0.59	0.33	0.67	16879
1003	PERMIT	allow	0.7	0.43	0.54	519
1004	MUSCLE	muscle	0.36	0.49	0.65	11527
1005	TWINS	twin	0.69	0.36	0.45	18527
1006	BRICK	brick	0.22	0.42	0.37	2152
1007	COW	cow	0.45	0.23	0.3	4024
1008	BULL	bull	0.52	0.64	0.64	2274
101	BOAST	brag	0.35	0.55	0.58	2089
1010	BOUNDARY	boundary	0.56	0.43	0.52	2046
1011	BRIDGE	bridge	0.62	0.32	0.52	2157
1013	FRESHWATER EEL	eel	0.29	0.56	0.49	5667
1016	DRIZZLE	drizzle	0.52	0.35	0.32	5472
1017	APPEARANCE	appearance	0.67	0.49	0.53	819
1018	MEMORY	memory	0.79	0.38	0.57	10959
1019	RIGHT	right	0.74	0.35	0.71	15030
102	COMMON COLD (DISEASE)	common	0.6	0.13	0.32	3400
1020	HANDKERCHIEF	kerchief	0.52	0.19	0.24	9821
1021	TOWEL	towel	0.63	0.21	0.29	18184
1024	CHARACTER	character	0.67	0.37	0.69	2822
1025	WHISTLE	whistle	0.65	0.55	0.46	19654
1027	BUG	bug	0.29	0.5	0.25	2255
1028	YAWN	gape	0.49	0.65	0.29	7361
1029	JEWEL	jewel	0.83	0.59	0.62	9690
1030	NECESSARY	necessary	0.75	0.43	0.68	11659
1032	CITIZEN	citizen	0.63	0.25	0.59	3058
1033	GRIND	grind	0.48	0.28	0.4	7830
1034	DEFENDANT	defendant	0.25	0.71	0.49	4535
1035	GOOD	goodness	0.97	0.32	0.71	7649
1036	OWNER	owner	0.78	0.45	0.92	12436
1038	TEACHER	teacher	0.76	0.4	0.89	17690
1039	SHOW	show	0.67	0.77	0.72	15956
1040	HAIR	hair	0.58	0.19	0.29	7994
1041	INCREASE	increase	0.81	0.66	0.89	9037
1042	CARPENTER	carpenter	0.52	0.55	0.52	2596
1043	BRAID	braid	0.43	0.22	0.22	2090
1044	PILLOW	cushion	0.65	0.22	0.29	4288
1045	POET	poet	0.83	0.35	0.56	13276
1046	SHUT	shut	0.24	0.35	0.31	15992
1047	PURSUE	chase	0.4	0.88	0.62	2845
1048	LINE	line	0.54	0.18	0.35	10289
1049	MOLAR TOOTH	molar	0.54	0.43	0.35	11291
1052	LIGHT (WEIGHT)	lightweight	0.67	0.3	0.36	10264
1053	HUNTER	hunter	0.29	0.82	0.82	8655
1054	SMALLPOX	smallpox	0.16	0.58	0.22	16274
1058	STEPDAUGHTER	stepdaughter	0.51	0.51	0.43	16915
1059	STEPSON	stepson	0.61	0.41	0.48	16920
1061	ARMOUR	armor	0.47	0.62	0.78	947
1062	LAW	law	0.74	0.59	0.81	10062
1063	NEPHEW	nephew	0.72	0.34	0.41	11707
1064	SHIELD	shield	0.51	0.37	0.66	15876
1065	SPIDER WEB	web	0.58	0.41	0.52	19556
1066	CRIME	crime	0.07	0.94	0.63	4127
1067	JUDGMENT	judgment	0.4	0.6	0.82	9745
1068	COURT	court	0.48	0.77	0.83	4003
1069	GLUE	glue	0.45	0.34	0.35	7587
107	OMEN	omen	0.39	0.66	0.58	12130
1070	BUS	bus	0.41	0.41	0.4	2344
1071	HOOK	hook	0.42	0.44	0.4	8506
