CONCEPTICON_ID	CONCEPTICON_GLOSS	FILIPINO	ENGLISH	FILIPINO_POS	FILIPINO_AOA_MEAN	LINE_IN_SOURCE
1011	BRIDGE	tulay	bridge	noun	3.43	856
1024	CHARACTER	liham	letter	noun	4.52	365
1025	WHISTLE	sisipol-sipol	whistle	verb	4.62	795
1036	OWNER	may-ari	owner	noun	3.87	487
1044	PILLOW	unan	pillow	noun	2.35	879
108	RUDDER	sagwan	oar	noun	4.58	758
1082	MERCHANT	tindero	merchant	noun	3.63	841
1084	CALL	tawagin	call	verb	2.72	835
1090	BE BORN	ipanganak	to be born	verb	4.05	226
1092	HOPE	pag-asa	hope	noun	4.98	651
1096	SONG	awit	song	noun	3	32
1100	COOK (SOMETHING)	luto	cook	verb	2.88	386
1105	CAMP	kampo	camp	noun	5.03	278
1111	CAR	kotse	car	noun	2.68	326
1128	ORDER	kaayusan	order	noun	4.62	246
1130	WE (EXCLUSIVE)	namin	we	pronoun	3.6	597
1144	WITNESS	saksi	witness	noun	5.16	761
1148	BRUISE	sugat	bruise	noun	2.48	802
1150	THUNDER	kulog	thunder	noun	3.25	330
1155	CAVE	yungib	cave	noun	4.76	885
1156	OPEN	buksan	to open	verb	2.57	88
1160	THIEF	magnanakaw	thief	noun	3.75	414
1161	THREAD	sinulid	thread	noun	3.92	790
117	IMITATE	manggaya	imitate	verb	3.68	452
1190	HARE	kuneho	rabbit	noun	3.25	339
1205	TONGUE	dila	tongue	noun	2.08	114
1213	YOU	niyo	you all	pronoun	3.78	635
1214	THIS	ito	this	pronoun	2.77	236
1216	MOTHER	nanay	mother	noun	1.93	600
1217	FATHER	tatay	father	noun	2	834
1219	WORM	mga uod	worms	noun	3	527
1220	TAIL	buntot	tail	noun	2.98	97
1221	NOSE	ilong	nose	noun	2.07	211
1223	HEART	puso	heart	adjective	2.97	743
1224	LIVER	atay	liver	noun	4.75	29
1226	YEAR	taon	year	noun	3.77	829
1230	DIRTY	gusgusin	dirty	adjective	4.48	161
1235	WHO	sino	who	pronoun	2.82	788
1236	WHAT	ano	what	pronoun	2.83	19
1237	WHERE	saan	where	pronoun	2.78	753
1238	WHEN	kailan	when	pronoun	3.56	256
1239	HOW	gaano	how	pronoun	4.33	135
1242	FEW	mangilan-ngilan	few	adverb	5.16	454
1246	SMALL	maliit	small	adjective	2.72	442
1247	EAR	tainga	ear	noun	2.15	818
1248	EYE	mata	eye	noun	1.95	471
1251	BELLY	tiyan	belly	noun	2.37	849
1252	HOUSE	tahanan	home	noun	3.62	816
1257	WING	pakpak	wing	noun	2.9	680
1269	NO	hindi	no	adverb	2.35	186
1270	WHY	bakit	why	pronoun	2.85	41
1277	HAND	kamay	hand	noun	1.97	273
1286	HOT	mainit	hot	adjective	2.67	433
1287	COLD	malamig	cold	adjective	2.6	440
1290	ELEPHANT	elepante	elephant	noun	2.57	131
1300	COUNTRY	bansa	country	noun	4.32	55
1306	QUEEN	reyna	queen	noun	3.43	751
1309	ASK (INQUIRE)	humihingi	to ask	verb	2.87	192
1315	RADIO	radyo	radio	noun	3.27	748
1322	BREAKFAST	almusal	breakfast	noun	3.08	14
1323	CLOCK	orasan	clock	noun	3.17	643
1327	UNCLE	tiyo	uncle	noun	3.58	850
1329	TOMORROW	kinabukasan	tomorrow	adverb	4.5	318
1332	NEIGHBOUR	kapitbahay	neighbour	noun	3.38	291
1333	NECK	leeg	neck	noun	2.37	362
1336	EAT	kumakain	eat	verb	2.4	331
1356	NUMBER	numero	number	noun	2.97	639
1358	ENEMY	kaaway	enemy	noun	3.37	245
136	HERE	dito	here	pronoun	2.88	121
1362	STREET	lansangan	street	noun	4.59	353
1363	VOICE	tinig	voice	noun	3.8	844
1364	HEALTHY	malusog	healthy	adjective	3.6	447
1372	MEDICINE	gamot	medicine	noun	2.9	139
1375	WINDOW	bintana	window	noun	2.65	79
1376	NOW	ngayon	now	adverb	3.12	625
1378	SPOON	kutsara	spoon	noun	2.4	341
1379	TELEPHONE	telepono	telephone	noun	3.08	838
1380	TOOTH	mga ngipin	teeth	noun	2.58	513
1381	SHOE	sapatos	shoe	noun	2.37	772
1384	SECOND	pangalawa	second	adjective	3.42	693
1386	LION	leon	lion	noun	2.93	363
1387	ARRIVE	pagsapit	to come, to arrive	verb	4.88	668
1388	SHADE	lilimliman	shade	verb	5.24	367
1396	SHARP	matutulis	sharp	adjective	3.77	485
1403	BITE	kagat	bite	noun	2.52	253
1409	SEE	kamo	see	pronoun	4.86	276
1410	KNOW (SOMETHING)	kilalanin	to know	verb	4.54	315
1415	THINK (REFLECT)	isipin	think	verb	3.93	229
1419	FEAR (BE AFRAID)	matakot	be afraid	verb	2.88	473
1425	GREEN	luntian	green	adjective	3.76	384
1427	BEAUTIFUL	maganda	beautiful	adjective	2.77	403
1429	FULL	punong-puno	full	adjective	3.8	741
1446	COME	halika	come	adverb	2.63	167
1447	GIVE	ibinigay	gave	verb	2.98	199
1455	PULL	hila	pull	verb	2.82	177
1457	SEW	tatahiin	sew	verb	3.95	831
1464	LADDER	hagdan	ladder	noun	3	163
1474	SEA	dagat	sea	noun	3	104
1480	BODY	katawan	body	noun	2.8	303
1495	HAPPY	maligaya	happy	adjective	4.05	441
1496	GRANDMOTHER	lola	grandmother	noun	2.28	370
1504	FLY (INSECT)	langaw	flies	noun	2.77	351
1511	ROOSTER	manok	chicken	noun	2.38	456
1515	TEN	sampu	ten	adjective	2.77	766
1519	RUN	nagtakbuhan	ran	verb	3.23	572
1522	SOCK	medyas	socks	noun	2.63	488
1523	FORGET	makalimutan	to forget	verb	3.72	436
1544	SOMETIMES	minsan	sometimes	adverb	3.75	531
1547	SOUP	sabaw	soup	noun	2.58	754
1558	SIMILAR	tulad	similar	adjective	4.03	855
1559	MONEY	pera	money	noun	2.82	715
1564	LAZY	tamad	lazy	adjective	3.73	823
1566	GUN	baril	gun	noun	3.22	59
1569	CHEESE	keso	cheese	noun	2.93	312
1572	SURPRISED	nagulat	surprised	verb	3.05	574
1585	SLEEP	matulog	sleep	verb	2.38	483
1599	WORD	mga salita	words	noun	3.55	521
1600	SKIRT	palda	skirt	noun	3.27	685
1622	SHIRT	kamiseta	shirt	noun	3.96	275
1623	SPEAK	nagsasabi	say	verb	3.13	567
163	BLACK	itim	black	adjective	2.83	232
1632	FLOOR	sahig	floor	noun	2.88	759
1640	SIBLING	kapatid	sibling	noun	2.8	290
1641	SILK	tela	fabric	noun	3.88	836
1645	SHORT	maikli	short	adjective	3.25	432
1653	BLIND	mabulag	blind	verb	3.59	395
1654	LIGHTNING	kidlat	lightning	noun	3.23	314
1659	DOLL	manyika	doll	noun	2.77	457
1660	LOSE	matalo	lose	verb	3.45	475
1663	BED	kama	bed	noun	2.48	271
1675	PROMISE	pangako	promise	noun	4.19	692
1676	ALWAYS	parati	always	adverb	3.86	703
168	REST	ipahinga	rest	verb	4.03	225
1702	HOLY	banal	holy	adjective	5.11	50
1730	CHEEK	mga pisngi	cheeks	noun	2.85	518
1757	TIRED	pagod	tired	noun	3.4	663
1758	OLDER SISTER	ate	elder sister	noun	2.22	30
176	BLOW (WITH MOUTH)	pag-ihip	blow	verb	3.68	654
1762	STONE (OF FRUIT)	bato	stone	noun	2.69	65
1775	TABLE	lamesa	table	noun	2.5	349
1778	APPROACH	lapit	to approach	verb	2.78	356
178	RIPE	hinog	ripe	noun	3.88	188
1784	WANT	hiling	wish	noun	4.33	179
1788	TELEVISION	telebisyon	television	noun	2.75	837
1789	AGE	edad	age	noun	3.37	130
1801	CHILD (DESCENDANT)	anak	offspring	noun	2.77	17
1807	AFTERNOON	hapon	afternoon	noun	3.52	172
1810	DANGER	kapahamakan	danger	noun	4.86	287
1811	SOUND OR NOISE	tunog	sound	noun	2.73	865
1812	TRY	sinubukan	tried	verb	4.05	789
1813	TASTY	sarap	tasty	adjective	2.5	774
