CONCEPTICON_ID	CONCEPTICON_GLOSS	DUTCH	DUTCH_AUDITORY_MEAN	DUTCH_GUSTATORY_MEAN	DUTCH_HAPTIC_MEAN	DUTCH_INTEROCEPTIVE_MEAN	DUTCH_OLFACTORY_MEAN	DUTCH_VISUAL_MEAN	DUTCH_PERCEPTUAL_DOMINANT	DUTCH_PERCEPTUAL_EXCLUSIVITY	DUTCH_PERCEPTUAL_STRENGTH_MAX	DUTCH_PERCEPTUAL_STRENGTH_MEAN	DUTCH_PERCEPTUAL_STRENGTH_AGGREGATED	DUTCH_POS	LINE_IN_SOURCE
100	FAITHFUL	trouw	1.9	0	1.3	2.2	0	3	Zien	0.35714285714285715	3	1.4000000000000001	3.6012341447658587	N	20200
1002	STATUE	standbeeld	0.1	0	2.6	0.2	0.3	5	Zien	0.6097560975609757	5	1.3666666666666665	5.224587698211226	N	18608
1006	BRICK	baksteen	0.8	0	3.5	0	0.6	4.5	Zien	0.47872340425531923	4.5	1.5666666666666664	5.126480238695922	N	1515
1007	COW	koe	3.25	0.9166666666666666	2.1666666666666665	0.08333333333333333	2.0833333333333335	3.5833333333333335	Zien	0.28965517241379307	3.58	2.013888888888889	4.646588554523101	N	10234
1011	BRIDGE	brug	0	0	0.5	0	0.1	4	Zien	0.8695652173913044	4	0.7666666666666666	4.002623279225435	N	3314
1013	FRESHWATER EEL	paling	0.1	3.7	3.6	0.2	3.4	4.6	Zien	0.2884615384615385	4.6	2.6	6.161871444654517	N	14782
1019	RIGHT	rechts	0.15384615384615385	0	0.6923076923076923	0.23076923076923078	0	2.6153846153846154	Zien	0.7083333333333333	2.62	0.6153846153846154	2.6322221299572375	ADJ	16235
1020	HANDKERCHIEF	zakdoek	0.9166666666666666	0	3.3333333333333335	0.25	1.0833333333333333	3.75	Zien	0.40178571428571425	3.75	1.5555555555555556	4.511553909599583	N	23471
1025	WHISTLE	fluiten	3.8333333333333335	0.3333333333333333	0.3333333333333333	0	0.3333333333333333	1.4166666666666667	Horen	0.6133333333333334	3.83	1.0416666666666665	3.8992105812047613	WW	6236
1030	NECESSARY	nodig	0.6363636363636364	0	0.09090909090909091	1.3636363636363635	0	0.2727272727272727	Sensaties	0.576923076923077	1.36	0.39393939393939387	1.411876054147933	ADJ	12985
1035	GOOD	goed	0.8333333333333334	0.16666666666666666	1.0833333333333333	0.75	0.16666666666666666	2	Zien	0.36666666666666664	2	0.8333333333333334	2.1744460649500232	ADJ	7359
1038	TEACHER	leraar	2.727272727272727	0	0.7272727272727273	0.2727272727272727	0.09090909090909091	3.909090909090909	Zien	0.5058823529411764	3.91	1.2878787878787878	4.316504006954123	N	11084
1040	HAIR	haar	0	0.4166666666666667	4.166666666666667	0.4166666666666667	1.8333333333333333	4.333333333333333	Zien	0.3880597014925373	4.33	1.861111111111111	5.429005402571264	N	7668
1044	PILLOW	kussen	1.1666666666666667	1.1666666666666667	2.6666666666666665	1.75	0.9166666666666666	2.8333333333333335	Zien	0.18253968253968256	2.83	1.75	3.708766379031972	WW	10694
1069	GLUE	lijmen	0.1	0	2.6	0	2.3	3.3	Zien	0.39759036144578314	3.3	1.383333333333333	4.0347186159023565	WW	11258
1070	BUS	bus	2.7	0	0.8	0.3	0.3	4.3	Zien	0.5119047619047619	4.3	1.4000000000000001	4.637810600063221	N	3450
1088	SINK (DESCEND)	zinken	1.1	0	1.2	0.9	0	4.4	Zien	0.5789473684210527	4.4	1.2666666666666668	4.464276833506142	WW	23755
1098	WEIGH	wegen	0.16666666666666666	0	1.75	0	0.25	3.5	Zien	0.6176470588235294	3.5	0.9444444444444443	3.640656143783405	WW	22908
110	MOTOR	motor	3.5	0	1.5	0	0.9	3.7	Zien	0.3854166666666667	3.7	1.5999999999999999	4.60465816728599	N	12532
1102	CLIMB	klimmen	1.3	0	3.3	0.9	0.1	4.5	Zien	0.44554455445544555	4.5	1.6833333333333333	5.065654133616323	WW	10046
1111	CAR	auto	3	0.08333333333333333	2.8333333333333335	0.16666666666666666	0.6666666666666666	4.166666666666667	Zien	0.3740458015267176	4.17	1.8194444444444444	4.964885139466776	N	1382
1117	LIKE	lijken	0.6666666666666666	0.4166666666666667	1.4166666666666667	0.75	1	3	Zien	0.3563218390804598	3	1.2083333333333333	3.162641083529569	WW	11250
1120	HONEST	eerlijk	2.1666666666666665	0	0	2.1666666666666665	0	2	Joint	0.3421052631578948	2.17	1.0555555555555554	3.048923478990529	ADJ	5450
1123	PREGNANT	zwanger	0.18181818181818182	0.18181818181818182	2.4545454545454546	3.5454545454545454	0.18181818181818182	3.909090909090909	Zien	0.35652173913043483	3.91	1.7424242424242422	4.920174896994616	ADJ	23964
1125	BALD	kaal	0.3076923076923077	0.07692307692307693	3.3076923076923075	0.38461538461538464	0.07692307692307693	4.3076923076923075	Zien	0.5	4.31	1.4102564102564104	4.879944217351829	ADJ	9447
1129	PAINFUL	pijnlijk	1.5	0.9166666666666666	1.9166666666666667	3.0833333333333335	0.6666666666666666	2.4166666666666665	Sensaties	0.23015873015873017	3.08	1.75	3.8008705812873527	ADJ	15201
1133	MATCH	lucifer	0.7692307692307693	0	3	0	1.9230769230769231	4.461538461538462	Zien	0.43939393939393945	4.46	1.6923076923076923	4.978245647727304	N	11504
1135	KICK	schoppen	1.1538461538461537	0	2.5384615384615383	0.6153846153846154	0	2.3846153846153846	Voelen	0.37931034482758624	2.54	1.1153846153846152	3.1643967042405765	WW	17444
