CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	ENGLISH_CONCRETENESS_MEAN	ENGLISH_DUNNO	LINE_IN_SOURCE
1129	PAINFUL	painful	3.43	0	22716
113	SHORE	shore	4.79	0	28678
1132	BEAM	beam	3.96	0	2472
1133	MATCH	match	4.14	0	19521
1134	DIVORCE	divorce	3.25	0	9351
1135	KICK	kick	4.33	4	17917
1136	RABBIT	rabbit	4.93	0	25435
1137	TENDON	tendon	4.47	0	31994
1138	FAIRY	fairy	4.11	0	11487
1139	LEOPARD	leopard	5	0	18496
1140	FATIGUE	fatigue	3.14	0	11648
1141	PITY	pity	1.87	0	23767
1142	URINE	urine	4.93	0	35354
1143	OVEN	oven	4.97	0	22384
1144	WITNESS	witness	4.07	0	36619
1145	SWAMP	swamp	4.96	1	31409
1146	AUBERGINE	eggplant	4.97	0	10079
1147	PURE	pure	1.87	0	25213
1148	BRUISE	bruise	4.73	0	3796
1149	ORPHAN	orphan	4.04	0	22219
1150	THUNDER	thunder	4.34	0	32323
1151	VEIL	veil	4.45	0	35526
1152	BEGET	beget	2.25	4	2585
1153	CATTLE	cattle	4.64	0	4494
1154	OLIVE	olive	4.9	0	22008
1155	CAVE	cave	4.96	0	4529
1156	OPEN	open	3.21	0	22065
1157	BECAUSE	because	1.22	0	2517
1158	STEP	step	4.54	0	30448
1159	FART	fart	4.18	0	11594
1160	THIEF	thief	4.37	0	32194
1161	THREAD	thread	4.83	0	32260
1162	INTENTION	intention	1.7	0	17071
1163	BRIBE (AMOUNT)	bribe	3.44	0	3670
1165	MOUSTACHE	moustache	4.96	0	20650
1167	GRUEL	gruel	3.93	2	14063
1169	OX	ox	4.86	1	22648
117	IMITATE	imitate	2.66	0	15736
1171	MIRROR	mirror	4.97	0	20135
1172	SHOOT	shoot	3.97	0	28664
1173	EYEBROW	eyebrow	4.85	0	11379
1174	YESTERDAY	yesterday	3	0	36963
1175	GHOST	ghost	3.19	1	13400
1176	SPADE	spade	4.46	0	29789
1177	DIARRHEA	diarrhea	4.52	0	8545
1178	NOSTRIL	nostril	4.89	0	21659
118	BEWITCH	bewitch	2.11	1	2734
1181	PALM TREE	palm tree	5	0	38808
1182	NOISE	noise	3.52	0	21319
1183	PALM OF HAND	palm	4.83	0	22762
1184	DIMINISH	diminish	2.5	0	8655
1185	VULTURE	vulture	4.73	0	35867
1187	GOOSE	goose	4.81	0	13695
1188	CHARCOAL	charcoal	4.85	0	4722
1189	ULCER	ulcer	4.69	0	33326
119	DIVE	dive	4.03	0	9303
1190	HARE	hare	4.88	1	14452
1192	THREATEN	threaten	2.63	0	32265
1193	STEAM	steam	4.5	0	30403
1194	BEAVER	beaver	4.68	0	2515
1195	GIVE BIRTH	give birth	4	0	38158
1197	BABOON	baboon	4.92	0	2055
1198	MANY	many	2.37	0	19385
1199	WIFE	wife	4.13	0	36441
12	MIDDAY	noon	2.67	0	21607
120	PITCHER	pitcher	4.93	0	23751
1200	HUSBAND	husband	4.11	1	15431
1201	FEATHER	feather	4.9	0	11700
1202	BIG	big	3.66	0	2774
1203	LONG	long	3.18	0	18908
1204	BARK	bark	4.52	0	2334
1205	TONGUE	tongue	4.93	0	32555
1207	YOUNG	young	3.16	0	36987
1208	CAT	cat	4.86	0	4437
1209	I	I	3.93	0	15580
121	SPIN	spin	3.9	0	29964
1210	HEAVY	heavy	3.37	0	14685
1211	HE	he	3.93	0	14558
1212	WE	we	3.08	0	36112
1213	YOU	you	4.11	0	36986
1214	THIS	this	2.14	0	32231
1215	THOU	thou	2.19	2	32245
1216	MOTHER	mother	4.6	0	20583
1217	FATHER	father	4.52	0	11637
1218	ROPE	rope	4.93	0	27252
1219	WORM	worm	4.9	0	36788
122	CART	wagon	4.89	0	35891
1220	TAIL	tail	4.96	0	31656
1221	NOSE	nose	4.89	0	21648
1222	PENIS	penis	5	0	23222
1223	HEART	heart	4.52	0	14632
1224	LIVER	liver	4.68	0	18790
1225	DAY (NOT NIGHT)	day	3.92	0	7603
1226	YEAR	year	3.25	0	36937
1227	BOARD	board	4.57	1	3213
1228	EARTH (SOIL)	earth	4.8	0	9924
1229	OLD	old	2.72	0	22001
123	FOREHEAD	forehead	4.9	0	12532
1230	DIRTY	dirty	4.23	0	8725
1231	NEW	new	2.81	0	21182
1232	WARM	warm	3.56	0	35970
1233	NIGHT	night	4.52	0	21242
1234	SMOOTH	smooth	3.81	0	29363
1235	WHO	who	1.74	0	36379
1236	WHAT	what	2	0	36269
1237	WHERE	where	1.66	0	36290
1238	WHEN	when	1.6	0	36287
1239	HOW	how	1.35	0	15295
124	THORN	thorn	5	0	32235
1240	NOT	not	2.08	0	21661
1241	SOME	some	2.48	0	29642
1242	FEW	few	2.48	0	11832
1243	WIDE	wide	3.06	0	36422
1244	THICK	thick	4	0	32184
1245	BUTTER	butter	4.9	0	4028
1246	SMALL	small	3.22	0	29306
1247	EAR	ear	5	0	9898
1248	EYE	eye	4.9	0	11375
125	SWEAT (SUBSTANCE)	sweat	4.71	0	31432
1250	JAGUAR	jaguar	4.9	0	17611
1251	BELLY	belly	4.8	0	2640
1252	HOUSE	house	5	0	15256
1254	HANDLE	handle	4.57	0	14352
1256	HEAD	head	4.75	0	14559
1257	WING	wing	4.86	0	36527
1258	FINGERNAIL	fingernail	4.93	0	11966
1259	WEDDING	wedding	3.92	0	36172
1261	SING	sing	4.34	0	28945
1262	BROTHER	brother	4.43	0	3776
1263	SISTER	sister	4	0	28983
1264	CHANGE	change	2.89	0	4682
1265	HIGH	high	3.46	0	14879
1266	BRIDE	bride	4.63	0	3680
1267	NARROW	narrow	3.04	0	20951
1268	YES	yes	2.14	0	36962
1269	NO	no	2.45	0	21303
127	EXTINGUISH	extinguish	3.47	0	11312
1270	WHY	why	1.86	0	36414
1271	DELIGHT	please	1.64	0	23894
1272	AUNT	aunt	4.17	0	1915
1273	CANDLE	candle	4.86	0	4199
1274	SALT	salt	4.89	0	27536
1275	ANSWER	answer	2.89	0	1168
1276	AUTUMN	autumn	3.27	0	1977
1277	HAND	hand	4.72	0	14324
1278	VOMIT	vomit	4.75	0	35835
1279	FAT (OBESE)	fatness	3.18	0	11652
128	MUMBLE	mumble	3.69	2	20767
1280	FALL	fall	4.04	0	11504
1281	PRISON	prison	4.68	0	24711
1282	FAT (FROM ANIMALS)	lard	4.88	1	18224
1283	TODAY	today	2.57	0	32498
1284	BANK	bank	4.78	0	2273
1285	IMPORTANT	important	2.14	0	15934
1286	HOT	hot	4.31	0	15232
1287	COLD	cold	3.85	5	5524
1288	CAP	cap	4.59	1	4243
1289	BABY	baby	5	0	2057
129	CHOKE	choke	3.97	0	4955
1290	ELEPHANT	elephant	5	0	10202
1291	BACK	back	4.33	0	2072
1292	BAD	bad	1.68	1	2157
1293	MISTAKE	mistake	1.97	0	20278
1294	ZERO	zero	2.86	0	37020
1295	STICK	stick	4.59	0	30494
1296	WALKING STICK	walking stick	4.85	0	39800
1297	LEG	leg	4.83	0	18425
1298	NEWSPAPER	newspaper	4.82	0	21208
1299	COFFEE	coffee	4.81	1	5474
13	DECEIT	deceit	2.37	0	7716
1300	COUNTRY	country	4.17	0	6836
1301	FOOT	foot	4.9	0	12443
1302	FORK	fork	4.9	0	12603
1303	FINGER	finger	5	0	11959
1304	CHILD (YOUNG HUMAN)	kids	4.61	0	17937
1305	CHIMNEY	chimney	5	0	4905
1306	QUEEN	queen	4.45	0	25366
1307	LANGUAGE	language	2.35	0	18200
1308	DOUBT	doubt	1.79	0	9516
1309	ASK (INQUIRE)	ask	2.52	0	1670
131	FESTIVAL	festival	4.33	0	11807
1310	CLEVER	clever	1.79	0	5238
1311	VERY	very	1.43	0	35615
1312	FOX	fox	4.97	0	12718
1313	MOON	moon	4.9	0	20504
1314	QUIET	quiet	2.76	0	25397
1315	RADIO	radio	4.74	0	25475
1316	TENT	tent	4.96	0	32007
1318	CHICKEN	chicken	4.8	0	4865
1319	COWARD	coward	2.93	0	6893
132	SAUCE	sauce	4.75	0	27662
1320	APPLE	apple	5	0	1380
1321	BOTTLE	bottle	4.91	5	3437
1322	BREAKFAST	breakfast	4.43	0	3619
1323	CLOCK	clock	5	0	5291
1324	SLIP	slip	4.1	0	29222
1325	FRIEND	friend	3.07	0	12869
1326	DOWN	down	3.52	1	9536
1327	UNCLE	uncle	4.24	0	33619
1329	TOMORROW	tomorrow	2.04	0	32545
133	WEAVE	weave	4.2	0	36149
1330	DEFEND	defend	2.31	0	7871
1331	SHEEP	sheep	4.9	0	28550
1332	NEIGHBOUR	neighbor	4.64	0	21093
1333	NECK	neck	5	0	21034
1334	GUTS	guts	3.85	0	14200
1335	WHITE	white	3.89	0	36355
1336	EAT	eat	4.44	0	9965
1337	PIG	pig	5	0	23643
1338	PEACE	peace	1.62	0	23105
1339	MORNING	morning	3.44	0	20549
134	FAULT	fault	2.41	0	11660
1340	WITH	with	2	0	36597
1342	SUMMER	summer	3.64	0	31147
1343	SUN	sun	4.83	0	31156
1344	RAM	ram	4.55	0	25548
1346	THROAT	throat	4.97	0	32288
1347	NAPE (OF NECK)	nape	4.44	1	20932
1348	BOAR (MALE PIG)	boar	4.8	0	3212
1349	CHURCH	church	4.9	0	5030
135	BOOMERANG	boomerang	4.7	1	3371
1350	MONKEY	monkey	4.9	0	20437
1352	KNIFE	knife	4.9	0	18029
1353	HOUR	hour	3.1	0	15253
1354	NEXT	next	2.56	1	21222
1355	LAUGH	laugh	4.21	0	18277
1356	NUMBER	number	3.3	0	21736
1357	DAUGHTER	daughter	4.79	0	7589
1358	ENEMY	enemy	2.83	0	10465
1359	SEPARATE	separate	3.25	0	28314
136	HERE	here	3.13	0	14795
1360	DUCK	duck	4.86	0	9772
1361	TOOL	tool	4.6	0	32566
1362	STREET	street	4.75	0	30717
1363	VOICE	voice	4.13	0	35798
1364	HEALTHY	healthy	3.31	0	14624
1365	KITCHEN	kitchen	4.97	0	17999
1366	BOY	boy	4.76	0	3504
1367	CROSS	cross	4.44	0	7152
1368	BREAD	bread	4.92	0	3599
1369	GOLD	gold	4.81	0	13654
1370	MONTH	month	4.2	0	20489
1371	KNEE	knee	5	0	18018
1372	MEDICINE	medicine	4.79	0	19679
1373	TEA	tea	4.69	0	31826
1374	RING	ring	4.81	0	27079
1375	WINDOW	window	4.86	0	36503
1376	NOW	now	1.48	0	21708
1377	VISIT	visit	3.92	1	35756
1378	SPOON	spoon	4.96	0	30065
1379	TELEPHONE	telephone	4.96	0	31922
138	BATHE	bathe	4.19	1	2415
1380	TOOTH	tooth	4.89	0	32574
1381	SHOE	shoe	4.97	0	28651
1382	NEEDLE (FOR SEWING)	needle	4.93	0	21053
1383	GRANDFATHER	grandfather	4.86	0	13789
1384	SECOND	second	3.3	0	28073
1385	PEPPER	pepper	4.59	0	23246
1386	LION	lion	4.96	0	18718
1387	ARRIVE	arrive	3.22	0	1586
1388	SHADE	shadow	4.54	0	28441
1389	TOE	toe	4.93	0	32501
139	GUMS	gum	4.89	0	14151
1390	WRONG	wrong	1.83	0	36890
1391	TOWN	town	4.64	0	32689
1392	LOUSE	lice	4.73	0	18570
1393	HORN (ANATOMY)	horn	5	0	15164
1394	BONE	bone	4.9	0	3309
1395	ROUND	round	3.9	0	27300
1396	SHARP	sharp	3.86	0	28516
1398	DRY	dry	3.77	0	9751
1399	CLAY	clay	4.93	0	5193
14	YOKE	yoke	4.83	1	36981
1400	THIN (SLIM)	skinny	3.57	0	29069
1401	DRINK	drink	4.76	0	9684
1402	BREAST	breast	4.89	0	3627
1403	BITE	bite	4.44	0	2920
1404	STRAIGHT	straight	2.76	0	30657
1405	NAME	name	3.5	1	20916
1406	FAR	far	2.71	1	11572
1407	BREATHE	breathe	4.07	0	3639
1408	HEAR	hear	3.66	0	14627
1409	SEE	see	3.21	0	28128
1411	LIE (REST)	lie	3.11	0	18585
1412	RUDE	rude	2.52	0	27354
1413	PLAY	play	3.24	0	23851
1414	SQUEEZE	squeeze	3.75	0	30192
1416	SIT	sit	4.8	0	28986
1417	KILL	kill	3.9	0	17938
1418	DIG	dig	4.33	0	8597
1419	FEAR (BE AFRAID)	fear	2.57	0	11683
1420	COUNT	count	3	0	6767
1421	SUCK	suck	3.46	0	31061
1422	BE ALIVE	live	3.57	0	18782
1423	FIGHT	fight	4.2	0	11889
1424	YELLOW	yellow	4.3	0	36948
1425	GREEN	green	4.07	0	13904
1426	EXPENSIVE	expensive	3.13	0	11187
1427	BEAUTIFUL	beautiful	2.16	0	2510
1428	BURNING	burning	3.85	0	3978
1429	FULL	full	3.59	0	12986
143	HUMID	humid	3.48	0	15359
1430	STAR	star	4.69	0	30306
1431	FREEZE	freeze	3.96	0	12836
1432	CUT	cut	4.55	0	7425
1433	HIT	hit	4.11	0	14953
1434	STAB	stab	4.07	0	30217
1435	HUNT	hunt	3.81	0	15405
1436	SCRATCH	scratch	4.16	0	27909
1437	SPLIT	split	3.96	0	30030
1438	FOOL	fool	3.19	0	12433
1439	SWIM	swim	4.43	0	31475
144	MACHINE	machine	4.25	0	19147
1440	SPIT	spit	4.71	0	30002
1441	FLY (MOVE THROUGH AIR)	fly	4.64	0	12364
1442	STAND	stand	4.16	0	30284
1443	WALK	walk	4.07	0	35915
1444	TURN AROUND	turn around	3.8	0	39739
1445	TURN (SOMETHING)	turn over	3.93	0	39746
1446	COME	come	2.72	0	5643
1447	GIVE	give	2.83	0	13467
1448	HOLD	hold	3.68	0	14996
1449	RUB	rub	4.33	0	27334
145	SORROWFUL	sorrowful	1.74	0	29698
1450	ROOM	room	4.79	0	27237
1451	SMILE	smile	4.5	0	29337
1452	PUSH	push	4.21	0	25252
1453	WASH	wash	4.35	0	36003
1454	WIPE	wipe	4	0	36554
1455	PULL	pull	3.97	0	25149
1456	THROW	throw	4.04	1	32300
1457	SEW	sew	3.93	0	28405
1458	SAY	say	2.58	0	27700
1459	IF	if	1.19	0	15656
146	SUGAR CANE	sugarcane	4.89	1	31092
1460	IN	in	3	0	16023
1461	AT	at	2.07	0	1808
1462	POT	pot	4.81	0	24258
1463	DRUNK	drunk	3.48	0	9746
1464	LADDER	ladder	5	0	18125
1465	BOX	box	4.9	0	3497
1466	EXACT	exact	2.54	0	10941
1467	CIRCLE	circle	4.44	0	5057
1468	LOOK FOR	search	3	0	28035
1469	WEEK	week	3.48	0	36186
1470	FOLD	fold	4.13	0	12398
1471	WINTER	winter	3.84	0	36542
1472	KEY	key	4.89	0	17902
1473	FIST	fist	4.93	0	12053
1474	SEA	sea	4.79	0	28000
1475	COMB	comb	5	1	5620
1476	CHAIR	chair	4.58	0	4647
1477	KEEP	keep	2.37	0	17885
1478	WITHOUT	without	2.15	1	36614
1479	DOLPHIN	dolphin	4.96	0	9426
1480	BODY	body	4.79	0	3250
1481	HAMMER	hammer	4.77	0	14315
1482	SHOULDER	shoulder	4.93	0	28711
1483	NINE	nine	4.04	0	21277
1484	OIL (ORGANIC SUBSTANCE)	oil	4.93	0	21985
1485	BELOW OR UNDER	below	3.45	0	2648
1487	POUR	pour	4.14	0	24295
1488	FAUCET	tap	4.29	0	31741
1489	CLOUD	cloud	4.54	0	5323
149	ITCHY	itchy	3.21	0	17573
1490	RAT	rat	4.85	0	25622
1491	MOUSE	mouse	4.83	0	20644
1492	DUMB	dumb	2.36	0	9800
1493	ONE	one	3.97	0	22035
1494	DIE	die	3.07	0	8565
1495	HAPPY	happy	2.56	0	14412
1496	GRANDMOTHER	grandmother	4.65	0	13799
1497	POSTCARD	postcard	4.93	0	24214
1498	TWO	two	4.18	0	33280
1499	JUICE	juice	4.89	0	17810
15	OTTER	otter	4.86	0	22249
150	WORRY	worry	2.55	0	36802
1500	FOUR	four	3.37	0	12709
1501	BORE	bore	2.96	0	3407
1502	GOAT	goat	5	0	13621
1503	SALIVA	saliva	4.89	0	27527
1504	FLY (INSECT)	housefly	4.96	0	15267
1505	SPERM	sperm	4.82	0	29930
1506	MEASURE	measure	3.59	0	19634
1507	FRUIT	fruit	4.81	0	12951
1508	KING	king	4.1	0	17973
1509	MOSQUITO	mosquito	4.88	0	20575
151	RAZOR	razor	4.9	0	25675
1510	CHIN	chin	4.89	0	4908
1511	ROOSTER	rooster	4.75	0	27246
1512	RISE (ONESELF)	arise	3.17	0	1530
1514	HEN	hen	4.9	0	14770
1515	TEN	ten	3.39	0	31973
1517	WASP	wasp	4.96	0	36022
1518	STUPID	stupid	1.75	0	30852
1519	RUN	run	4.31	0	27391
152	HOOF	hoof	4.89	0	15120
1520	CRUSH	crush	3.9	0	7241
1521	SEEM	seem	1.75	0	28145
1522	SOCK	sock	4.91	7	29562
1523	FORGET	forget	2.04	0	12585
1524	WINE	wine	4.79	0	36519
1525	COAST	coast	4.21	0	5387
1526	MEAL	meal	4.62	0	19607
1527	TICK	tick	4.57	0	32349
1528	FORGIVE	forgive	1.92	0	12594
1529	LAST (FINAL)	last	3.04	0	18246
153	GREY	grey	4.11	0	13925
1530	BOWL	bowl	4.87	0	3487
1531	BRANCH	branch	4.9	0	3557
1532	SHEAR	shear	3.37	2	28538
1533	BE HUNGRY	hungry	2.9	0	15400
1534	FEVER	fever	3.27	0	11826
1535	SWORD	sword	4.93	0	31515
1536	UNDERSTAND	understand	2.28	0	33914
1537	SPRINGTIME	spring	3.89	0	30115
1538	SCORPION	scorpion	4.84	0	27875
1539	BASKET	basket	5	0	2395
154	UDDER	udder	5	1	33321
1540	EYELASH	eyelash	5	0	11387
1541	CULTIVATE	cultivate	3.14	1	7312
1542	ACCOMPANY	accompany	3.07	0	191
1543	SNAIL	snail	4.93	0	29390
1544	SOMETIMES	sometimes	1.77	0	29651
1545	HOST	host	3.63	0	15224
1546	TWICE	twice	2.93	0	33250
1547	SOUP	soup	4.72	0	29730
1548	UGLY	ugly	3.23	0	33324
1549	TRIBE	tribe	4.14	0	32981
155	CHOP	chop	4.48	0	4967
1550	PREVENT	prevent	2.34	0	24637
1551	FEMALE	female	4.57	0	11760
1552	GLOOMY	gloomy	2.52	0	13558
1553	MALE	male	4.45	0	19259
1554	MAN	man	4.79	0	19300
1555	CHAMELEON	chameleon	4.68	1	4670
1556	YOLK	yolk	4.78	1	36983
1557	BEGINNING	beginning	2.5	0	2590
1558	SIMILAR	similar	2.46	0	28910
1559	MONEY	money	4.54	0	20420
156	RED	red	4.24	0	25993
1560	FACE	face	4.87	0	11416
1561	ARMY	army	4.7	0	1560
1562	MIND	mind	2.5	0	20067
1563	PYTHON	python	4.96	1	25295
1564	LAZY	lazy	2.67	0	18340
1565	HEAVEN	heaven	1.81	0	14677
1566	GUN	gun	4.83	0	14161
1567	DOOR	door	4.81	0	9471
1568	ARRANGE	arrange	2.79	0	1574
1569	CHEESE	cheese	4.7	0	4826
157	DYE	dye	4.58	0	9873
1570	EQUAL	equal	2.56	0	10683
1571	SELL	sell	3.35	1	28197
1572	SURPRISED	surprised	2.5	0	31345
1573	SWELL	swell	3.31	0	31463
1574	FLOAT	float	4.07	0	12254
1575	COCKROACH	cockroach	4.96	0	5433
1576	PILE UP	pile up	3.85	1	38901
1577	AND	and	1.52	0	1074
1578	IGUANA	iguana	4.83	0	15668
1579	BE	be	1.85	1	2453
158	PUT ON	clothe	3.5	3	5315
1580	ONLY	only	2.41	0	22043
1581	ALLIGATOR	alligator	4.96	0	828
1583	BRAIN	brain	4.69	1	3531
1584	BLISTER	blister	4.71	0	3067
1585	SLEEP	sleep	4.44	0	29163
1587	SMELL (STINK)	stink	3.72	0	30543
1588	TURN	turn	3.44	0	33196
1589	HUMMINGBIRD	hummingbird	4.96	0	15373
159	SWEET POTATO	sweet potato	5	0	39560
1590	WAIT (FOR)	wait	2.68	0	35899
1591	UP	up	3.83	0	35262
1592	CHEST	chest	4.93	0	4853
1593	DEEP	deep	3.38	0	7839
1594	FLOUR	flour	4.97	0	12299
1595	SOUTH	south	3.84	0	29741
1596	LOCK	lock	4.65	0	18842
1597	AIRPLANE	airplane	4.96	0	721
1598	NORTH	north	4.14	0	21623
1599	WORD	word	3.56	0	36725
16	SLED	sleigh	4.71	0	29184
160	SET (HEAVENLY BODIES)	set	3.41	0	28380
1600	SKIRT	skirt	4.82	0	29077
1601	WEAK	weak	2.79	0	36113
1602	WAKE UP	wake up	3.38	0	39795
1603	MOSQUE	mosque	4.54	0	20574
1605	SKULL	skull	4.83	0	29087
1606	INSIDE	inside	3.67	0	16893
1607	HATE	hate	1.97	0	14515
1608	LISTEN	listen	3.47	0	18746
1609	IDEA	idea	1.61	0	15610
161	MISS (A TARGET)	miss	2.54	0	20258
1610	PROSTITUTE	prostitute	4.28	0	24970
1611	INVITE	invite	3	0	17398
1612	LETTER	letter	4.7	0	18517
1613	COLOR	color	4.08	0	5594
1614	SUMMIT	summit	4.21	1	31152
1615	ESCAPE	escape	3.34	0	10766
1616	CLOTH	cloth	4.9	0	5314
1617	GRANDCHILD	grandchild	4.26	0	13784
1618	GRANDSON	grandson	4.3	0	13807
1619	GRANDDAUGHTER	granddaughter	4.37	0	13787
162	HICCOUGH	hiccup	4.31	0	14859
1620	SON	son	4.14	0	29655
1621	SNEEZE	sneeze	4.03	0	29430
1622	SHIRT	shirt	4.94	1	28629
1623	SPEAK	speak	3.7	0	29839
1624	EMPTY	empty	3.43	0	10367
1625	DEAD	dead	4.07	0	7629
1626	EXPLAIN	explain	1.97	0	11208
1627	CHAIN	chain	4.55	0	4642
1628	SQUIRREL	squirrel	4.89	0	30211
1629	EVENING	evening	3.26	0	10886
163	BLACK	black	3.76	0	2939
1630	MACAW	macaw	4.81	2	19142
1631	FAST	fast	3.32	0	11612
1632	FLOOR	floor	4.8	0	12279
1633	FLAT	flat	4.07	0	12148
1634	HUNDRED	hundred	3.2	0	15393
1635	OBEY	obey	2.67	0	21805
1636	MOTIONLESS	motionless	3	0	20598
1637	AUTHORITY	authority	2.34	0	1938
1638	TRUTH	truth	1.96	0	33125
1639	BEER	beer	4.88	0	2566
164	KANGAROO	kangaroo	4.86	0	17869
1640	SIBLING	sibling	4.37	0	28802
1641	SILK	silk	4.7	0	28888
1642	NIECE	niece	4.28	0	21237
1643	COUSIN	cousin	3.7	1	6871
1644	RELATIVES	relative	2.97	0	26302
1645	SHORT	short	3.61	0	28683
1646	GIRL	girl	4.85	0	13457
