CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	ENGLISH_RT_MEAN	ENGLISH_ZSCORE_MEAN	ENGLISH_ACCURACY_MEAN	LINE_IN_SOURCE
100	FAITHFUL	faithful	585.8421	-0.3805	0.9500	35344
1001	BLACKSMITH	smith	587.7632	-0.1936	0.9500	49771
1002	STATUE	statute	660.7778	0.0592	0.7368	50977
1003	PERMIT	allow	543.3429	-0.6954	0.9737	27528
1004	MUSCLE	muscle	587.3158	-0.4379	1.0000	42772
1005	TWINS	twin	527.4359	-0.6029	1.0000	53874
1006	BRICK	brick	528.9474	-0.6966	1.0000	29780
1007	COW	cow	512.2051	-0.7584	0.9750	32461
1008	BULL	bull	533.0263	-0.6882	1.0000	30071
101	BOAST	brag	600.5128	-0.2441	0.9750	29605
1011	BRIDGE	bridge	564.0278	-0.3771	0.9737	29794
1013	FRESHWATER EEL	eel	636.7647	-0.0665	0.8947	34758
1014	OR	or	539.9459	-0.6080	0.9737	43588
1016	DRIZZLE	drizzle	567.8947	-0.4189	0.9500	34383
1019	RIGHT	right	515.8684	-0.6957	1.0000	47140
102	COMMON COLD (DISEASE)	common	522.2432	-0.5819	0.9500	31911
1020	HANDKERCHIEF	kerchief	818.2308	1.4643	0.3684	40151
1021	TOWEL	towel	558.5000	-0.5795	1.0000	53239
1024	CHARACTER	graph	541.2308	-0.6408	0.9750	37714
1025	WHISTLE	whistle	541.0789	-0.5731	1.0000	55134
1027	BUG	bug	532.9474	-0.7310	1.0000	30033
1028	YAWN	gape	664.0769	0.1294	0.6842	37026
1029	JEWEL	jewels	608.7105	-0.2733	1.0000	39883
1033	GRIND	grind	564.5588	-0.3141	0.9000	37863
1035	GOOD	goodness	572.5556	-0.3104	0.9750	37567
1036	OWNER	owner	531.3750	-0.5774	1.0000	43793
1038	TEACHER	teacher	559.7368	-0.6590	1.0000	52343
1039	SHOW	show	495.1250	-0.8291	1.0000	48973
1040	HAIR	hair	510.7949	-0.7230	0.9750	38204
1041	INCREASE	increase	525.0000	-0.6742	0.9737	39524
1043	BRAID	braid	680.6071	0.0256	0.7632	29613
1044	PILLOW	cushion	576.9250	-0.3108	1.0000	33024
1045	POET	poet	565.5750	-0.4464	1.0000	45058
1046	SHUT	shut	528.9444	-0.6821	0.9474	49080
1047	PURSUE	chase	555.2821	-0.5266	0.9750	30950
1048	LINE	line	567.4474	-0.3968	0.9500	41026
1049	MOLAR TOOTH	molar	624.7429	0.0159	0.8750	42426
1052	LIGHT (WEIGHT)	lightweight	655.4167	0.1741	0.9474	40970
1053	HUNTER	hunter	543.7500	-0.4749	1.0000	39310
1054	SMALLPOX	smallpox	659.2821	0.1053	0.9750	49726
1062	LAW	law	525.8750	-0.7733	1.0000	40652
1063	NEPHEW	nephew	600.1500	-0.3027	1.0000	43008
1064	SHIELD	shield	534.8158	-0.6449	1.0000	48800
1065	SPIDER WEB	web	514.2368	-0.7236	0.9500	54885
1066	CRIME	crime	509.3421	-0.8242	1.0000	32692
1068	COURT	court	528.5789	-0.6516	1.0000	32429
1069	GLUE	glue	538.2973	-0.7557	0.9737	37451
107	OMEN	omen	604.8947	-0.2067	1.0000	43527
1070	BUS	bus	502.8649	-0.7865	0.9500	30225
1071	HOOK	hook	588.9697	-0.3862	0.9474	39060
1075	TRAP (PITFALL)	trap	541.0833	-0.5158	0.9474	53387
1076	EMERGE (APPEAR)	appear	494.5750	-0.7978	1.0000	27707
1077	WHEAT	wheat	571.2162	-0.4372	0.9737	55029
1078	MAIN	main	554.8919	-0.4655	0.9737	41577
1079	FEEL	feel	523.4324	-0.6708	0.9737	35539
108	RUDDER	rudder	762.1500	0.6471	0.5263	47506
1080	VULGAR	vulgar	628.0750	-0.1135	1.0000	54545
1082	MERCHANT	merchant	619.3947	-0.1687	1.0000	42027
1084	CALL	call	521.4250	-0.7301	1.0000	30399
1085	FOLLOW	follow	544.4474	-0.6810	1.0000	36235
1086	WORK (ACTIVITY)	work	512.2105	-0.7666	1.0000	55486
1087	CONCEIVE	conceive	557.0789	-0.5225	1.0000	31975
1088	SINK (DESCEND)	sink	554.5789	-0.3920	0.9500	49246
109	FOREIGN	foreign	552.8947	-0.4225	0.9500	36353
1090	BE BORN	born	565.1351	-0.3926	0.9500	29468
1091	SALTY	salty	562.9250	-0.4339	1.0000	47732
1092	HOPE	hope	520.3077	-0.6013	1.0000	39086
1093	MIDDLE	mid	680.1379	0.2449	0.7632	42105
1094	FASTEN	fasten	551.0811	-0.5315	1.0000	35439
1095	LET GO OR SET FREE	release	516.9737	-0.7165	1.0000	46757
1096	SONG	song	496.1795	-0.8362	0.9750	50139
1098	WEIGH	weigh	563.7297	-0.4072	0.9737	54926
11	DARKNESS	darkness	574.6750	-0.3414	1.0000	33211
1100	COOK (SOMETHING)	cooking	560.2895	-0.4846	1.0000	32199
1101	SUFFER	suffer	617.4722	-0.1631	0.9250	51641
1102	CLIMB	climb	522.5263	-0.6326	1.0000	31494
1104	NURSE	nurse	533.0250	-0.6762	1.0000	43347
1105	CAMP	camp	541.1579	-0.5458	0.9500	30433
1107	GO OUT	out	473.8611	-0.9852	0.9737	43651
1109	WOUND	wound	528.2750	-0.5880	1.0000	55547
111	DRUMMING	drumming	665.4286	-0.0767	0.9737	34453
1110	SHARK	shark	563.9143	-0.4700	0.9737	48690
1111	CAR	car	507.5641	-0.7785	0.9750	30548
1112	SUCCEED	succeed	589.8108	-0.3119	0.9737	51608
1113	WRAP	wrap	586.0000	-0.2752	1.0000	55565
1114	BULLET	bullet	548.5263	-0.6153	1.0000	30077
1115	SPEECH	speech	504.7368	-0.7237	1.0000	50376
1117	LIKE	like	513.5128	-0.7689	1.0000	40973
1119	DIVIDE	divide	535.2500	-0.6174	0.9737	33968
112	TURTLE	turtle	541.6579	-0.5479	1.0000	53804
1120	HONEST	honest	529.9474	-0.7848	1.0000	39033
1121	SECRET	secret	523.5128	-0.7039	0.9750	48374
1122	WAGES	wages	592.5000	-0.2612	1.0000	54589
1123	PREGNANT	pregnant	537.1795	-0.5499	0.9750	45411
1124	PIPE	pipe	552.7500	-0.5010	0.9474	44702
1125	BALD	bald	592.7838	-0.2796	0.9737	28185
1127	SEND	send	522.6750	-0.6706	1.0000	48467
1128	ORDER	order	511.0000	-0.7249	1.0000	43606
1129	PAINFUL	hurting	558.9737	-0.3872	1.0000	39333
