CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	ITALIAN	ITALIAN_SPECIFICITY_MEAN	ITALIAN_POS	LINE_IN_SOURCE
1002	STATUE	statue	statua	3.6011428571428565	s	912
1018	MEMORY	memory	memoria	1.7154285714285713	s	566
1020	HANDKERCHIEF	kerchief	fazzoletto	3.6011428571428565	s	347
1024	CHARACTER	letter	lettera	2.0285714285714285	s	522
1029	JEWEL	jewel	gioiello	2.3714285714285714	s	415
1035	GOOD	good	buono	1.0980645161290319	a	128
1038	TEACHER	teacher	insegnante	3.1714285714285717	s	484
1044	PILLOW	pillow	cuscino	3.2857142857142856	s	246
1054	SMALLPOX	smallpox	vaiolo	4.828571428571428	s	1008
1066	CRIME	crime	crimine	2.2274285714285718	s	237
1070	BUS	bus	autobus	4.058285714285715	s	79
1092	HOPE	hope	speranza	2.257142857142857	s	895
1096	SONG	song	canzone	3.0571428571428574	s	148
1100	COOK (SOMETHING)	cook	cucinare	1.9155107187894076	v	244
1104	NURSE	nurse	infermiere	3.541714285714286	s	474
1109	WOUND	cut	taglio	2.2868571428571425	s	936
1110	SHARK	shark	squalo	4.001142857142857	s	907
1111	CAR	car	automobile	3.1142857142857143	s	80
1114	BULLET	bullet	pallottola	4.371428571428572	s	669
113	SHORE	beach	spiaggia	3.0	s	897
1134	DIVORCE	divorce	divorzio	3.656	s	292
1135	KICK	kick	calciare	3.383354350567465	v	133
1141	PITY	pity	pietà	2.515428571428572	s	712
1142	URINE	urine	urina	4.771428571428571	s	1002
1145	SWAMP	swamp	palude	3.656	s	670
1160	THIEF	thief	ladro	3.4	s	504
1171	MIRROR	mirror	specchio	3.1142857142857143	s	893
1189	ULCER	ulcer	ulcera	4.485714285714286	s	993
1190	HARE	rabbit	coniglio	3.8	s	216
1199	WIFE	wife	moglie	3.7725714285714287	s	586
1216	MOTHER	mother	madre	2.8011428571428567	s	541
1217	FATHER	father	padre	3.2857142857142856	s	666
1218	ROPE	cord	corda	2.858285714285714	s	224
122	CART	wagon	carro	2.6274285714285712	s	162
1221	NOSE	nose	naso	3.8	s	611
1222	PENIS	penis	pene	3.914285714285714	s	691
1223	HEART	heart	cuore	3.0	s	245
1227	BOARD	board	bordo	2.6	s	118
1230	DIRTY	dirty	immondizia	2.771428571428572	s	453
1234	SMOOTH	smooth	liscio	3.0	a	529
124	THORN	thorn	spina	2.8857142857142857	s	899
1245	BUTTER	butter	burro	4.257142857142857	s	129
1247	EAR	ear	orecchio	3.8	s	649
1248	EYE	eye	occhio	3.457142857142857	s	631
1251	BELLY	stomach	stomaco	3.8	s	914
1252	HOUSE	house	abitazione	2.2	s	7
1259	WEDDING	wedding	matrimonio	3.886857142857143	s	562
1266	BRIDE	bride	sposa	3.3154285714285714	s	903
1271	DELIGHT	delight	delizia	1.8571428571428568	s	254
1275	ANSWER	answer	risposta	2.113142857142857	s	801
1276	AUTUMN	autumn	autunno	3.1714285714285717	s	82
1277	HAND	hand	mano	3.3154285714285714	s	554
1278	VOMIT	vomit	vomito	3.3428571428571425	s	1045
1281	PRISON	prison	prigione	2.8857142857142857	s	739
1289	BABY	baby	bebè	3.3154285714285714	s	100
1290	ELEPHANT	elephant	elefante	3.8571428571428568	s	308
1293	MISTAKE	mistake	errore	1.9142857142857144	s	319
1297	LEG	leg	gamba	3.3428571428571425	s	395
13	DECEIT	deceit	inganno	2.3440000000000003	s	479
1303	FINGER	finger	dito	3.457142857142857	s	289
1304	CHILD (YOUNG HUMAN)	kids	ragazzini	2.6	s	766
1306	QUEEN	queen	regina	2.8857142857142857	s	780
131	FESTIVAL	party	festa	1.656	s	358
1314	QUIET	quiet	silenzioso	3.740645161290322	a	867
1315	RADIO	radio	radio	2.9154285714285715	s	763
1319	COWARD	coward	codardo	3.549677419354839	a	196
1321	BOTTLE	bottle	bottiglia	3.4	s	119
1323	CLOCK	clock	orologio	3.656	s	654
1325	FRIEND	friend	amico	2.5702857142857143	s	39
1333	NECK	neck	collo	3.3725714285714288	s	199
1335	WHITE	white	bianco	3.2580645161290325	a	107
1336	EAT	eat	mangiare	1.5018915510718789	v	552
1338	PEACE	peace	pace	1.9417142857142855	s	664
134	FAULT	fault	colpa	1.9142857142857144	s	203
1343	SUN	sun	sole	3.6011428571428565	s	875
1350	MONKEY	monkey	scimmia	2.9154285714285715	s	836
1352	KNIFE	knife	coltello	3.886857142857143	s	205
1361	TOOL	tool	attrezzo	1.5142857142857142	s	76
1362	STREET	street	strada	2.1725714285714286	s	916
1364	HEALTHY	health	salute	2.113142857142857	s	818
1366	BOY	boy	ragazzo	2.5702857142857143	s	767
1369	GOLD	gold	oro	3.2582857142857145	s	653
1370	MONTH	month	mese	2.3988571428571426	s	573
1372	MEDICINE	medicine	medicina	1.7999999999999998	s	563
1375	WINDOW	window	finestra	2.741714285714286	s	367
1378	SPOON	spoon	cucchiaio	3.541714285714286	s	241
138	BATHE	bath	lavare	1.7364438839848677	v	512
1381	SHOE	shoe	scarpa	2.4857142857142858	s	828
1382	NEEDLE (FOR SEWING)	needle	ago	3.971428571428572	s	29
1386	LION	lion	leone	3.914285714285714	s	519
1388	SHADE	shadow	ombra	3.0	s	639
1392	LOUSE	lice	pidocchi	4.142857142857142	s	710
140	PADDY FIELD	field	campo	1.685714285714286	s	140
1405	NAME	name	nome	1.544	s	622
1422	BE ALIVE	alive	vivo	2.388387096774194	a	1043
1427	BEAUTIFUL	beautiful	bello	1.2245161290322581	a	102
1430	STAR	star	stella	2.657142857142857	s	913
1434	STAB	prick	puntura	3.029714285714286	s	753
144	MACHINE	machine	macchina	1.5988571428571428	s	539
1462	POT	pot	pentola	3.457142857142857	s	696
1464	LADDER	stairs	scala	2.5428571428571427	s	825
1467	CIRCLE	circle	cerchio	3.3154285714285714	s	177
1472	KEY	key	chiave	2.8857142857142857	s	182
1476	CHAIR	chair	sedia	3.4297142857142857	s	851
1480	BODY	body	corpo	2.4285714285714293	s	227
1481	HAMMER	hammer	martello	3.7428571428571433	s	558
1489	CLOUD	clouds	nuvole	2.858285714285714	s	626
1495	HAPPY	happy	felice	1.8722580645161293	a	350
1508	KING	king	re	3.3725714285714288	s	778
1509	MOSQUITO	mosquito	zanzara	4.629714285714286	s	1049
151	RAZOR	razor	rasoio	3.9417142857142857	s	776
1510	CHIN	chin	mento	3.7725714285714287	s	570
1517	WASP	wasp	vespa	3.8571428571428568	s	1023
1518	STUPID	stupid	stupido	1.5470967741935484	a	925
1522	SOCK	sock	calza	2.741714285714286	s	135
1524	WINE	wine	vino	2.858285714285714	s	1034
1525	COAST	coast	costa	2.6274285714285712	s	232
1530	BOWL	bowl	scodella	3.971428571428572	s	838
1533	BE HUNGRY	hungry	affamato	3.549677419354839	a	18
1534	FEVER	fever	febbre	3.3725714285714288	s	348
1538	SCORPION	scorpion	scorpione	3.7725714285714287	s	845
1539	BASKET	basket	cesto	2.741714285714286	s	179
1548	UGLY	ugly	brutto	1.2890322580645162	a	126
1559	MONEY	money	denaro	2.9428571428571435	s	257
156	RED	red	rosso	3.740645161290322	a	811
1560	FACE	face	faccia	2.771428571428572	s	328
1561	ARMY	army	esercito	2.657142857142857	s	321
1562	MIND	mind	mente	2.0857142857142854	s	569
1563	PYTHON	python	pitone	4.401142857142856	s	717
1564	LAZY	lazy	pigro	3.1935483870967745	a	713
1566	GUN	gun	rivoltella	4.170285714285715	s	808
1567	DOOR	door	porta	2.9154285714285715	s	723
1572	SURPRISED	surprised	sorpreso	2.772903225806452	a	886
1575	COCKROACH	cockroach	blatta	4.44	s	112
1583	BRAIN	brain	cervello	3.4	s	178
1584	BLISTER	blister	vescica	4.284571428571429	s	1022
1585	SLEEP	sleep	dormire	1.8121059268600253	v	298
1587	SMELL (STINK)	stink	puzza	2.0857142857142854	s	757
1592	CHEST	breast	seno	3.457142857142857	s	853
1600	SKIRT	skirt	gonna	3.3428571428571425	s	426
1601	WEAK	feeble	debole	1.998709677419355	a	250
